,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,619,617,624,624,622,625,620,620,610,612,609,603,604,607,607,607,604,600,602,602,0
1,617,624,624,622,625,620,620,610,612,609,603,604,607,607,607,604,600,602,602,597,0
2,624,624,622,625,620,620,610,612,609,603,604,607,607,607,604,600,602,602,597,600,0
3,624,622,625,620,620,610,612,609,603,604,607,607,607,604,600,602,602,597,600,597,0
4,622,625,620,620,610,612,609,603,604,607,607,607,604,600,602,602,597,600,597,593,0
5,625,620,620,610,612,609,603,604,607,607,607,604,600,602,602,597,600,597,593,577,0
6,620,620,610,612,609,603,604,607,607,607,604,600,602,602,597,600,597,593,577,549,0
7,620,610,612,609,603,604,607,607,607,604,600,602,602,597,600,597,593,577,549,537,0
8,610,612,609,603,604,607,607,607,604,600,602,602,597,600,597,593,577,549,537,581,0
9,612,609,603,604,607,607,607,604,600,602,602,597,600,597,593,577,549,537,581,595,0
10,609,603,604,607,607,607,604,600,602,602,597,600,597,593,577,549,537,581,595,584,0
11,603,604,607,607,607,604,600,602,602,597,600,597,593,577,549,537,581,595,584,552,0
12,604,607,607,607,604,600,602,602,597,600,597,593,577,549,537,581,595,584,552,516,0
13,607,607,607,604,600,602,602,597,600,597,593,577,549,537,581,595,584,552,516,533,0
14,607,607,604,600,602,602,597,600,597,593,577,549,537,581,595,584,552,516,533,560,0
15,607,604,600,602,602,597,600,597,593,577,549,537,581,595,584,552,516,533,560,556,0
16,604,600,602,602,597,600,597,593,577,549,537,581,595,584,552,516,533,560,556,562,0
17,600,602,602,597,600,597,593,577,549,537,581,595,584,552,516,533,560,556,562,594,0
18,602,602,597,600,597,593,577,549,537,581,595,584,552,516,533,560,556,562,594,618,0
19,602,597,600,597,593,577,549,537,581,595,584,552,516,533,560,556,562,594,618,624,0
20,597,600,597,593,577,549,537,581,595,584,552,516,533,560,556,562,594,618,624,624,0
21,600,597,593,577,549,537,581,595,584,552,516,533,560,556,562,594,618,624,624,627,0
22,597,593,577,549,537,581,595,584,552,516,533,560,556,562,594,618,624,624,627,639,0
23,593,577,549,537,581,595,584,552,516,533,560,556,562,594,618,624,624,627,639,642,0
24,577,549,537,581,595,584,552,516,533,560,556,562,594,618,624,624,627,639,642,643,0
25,549,537,581,595,584,552,516,533,560,556,562,594,618,624,624,627,639,642,643,639,0
26,537,581,595,584,552,516,533,560,556,562,594,618,624,624,627,639,642,643,639,644,0
27,581,595,584,552,516,533,560,556,562,594,618,624,624,627,639,642,643,639,644,661,0
28,595,584,552,516,533,560,556,562,594,618,624,624,627,639,642,643,639,644,661,664,0
29,584,552,516,533,560,556,562,594,618,624,624,627,639,642,643,639,644,661,664,666,0
30,552,516,533,560,556,562,594,618,624,624,627,639,642,643,639,644,661,664,666,663,0
31,516,533,560,556,562,594,618,624,624,627,639,642,643,639,644,661,664,666,663,666,0
32,533,560,556,562,594,618,624,624,627,639,642,643,639,644,661,664,666,663,666,670,0
33,560,556,562,594,618,624,624,627,639,642,643,639,644,661,664,666,663,666,670,674,0
34,556,562,594,618,624,624,627,639,642,643,639,644,661,664,666,663,666,670,674,672,0
35,562,594,618,624,624,627,639,642,643,639,644,661,664,666,663,666,670,674,672,672,0
36,594,618,624,624,627,639,642,643,639,644,661,664,666,663,666,670,674,672,672,676,0
37,618,624,624,627,639,642,643,639,644,661,664,666,663,666,670,674,672,672,676,690,0
38,624,624,627,639,642,643,639,644,661,664,666,663,666,670,674,672,672,676,690,701,0
39,624,627,639,642,643,639,644,661,664,666,663,666,670,674,672,672,676,690,701,700,0
40,627,639,642,643,639,644,661,664,666,663,666,670,674,672,672,676,690,701,700,710,0
41,639,642,643,639,644,661,664,666,663,666,670,674,672,672,676,690,701,700,710,715,0
42,642,643,639,644,661,664,666,663,666,670,674,672,672,676,690,701,700,710,715,722,0
43,643,639,644,661,664,666,663,666,670,674,672,672,676,690,701,700,710,715,722,721,0
44,639,644,661,664,666,663,666,670,674,672,672,676,690,701,700,710,715,722,721,723,0
45,644,661,664,666,663,666,670,674,672,672,676,690,701,700,710,715,722,721,723,727,0
46,661,664,666,663,666,670,674,672,672,676,690,701,700,710,715,722,721,723,727,733,0
47,664,666,663,666,670,674,672,672,676,690,701,700,710,715,722,721,723,727,733,733,0
48,666,663,666,670,674,672,672,676,690,701,700,710,715,722,721,723,727,733,733,734,0
49,663,666,670,674,672,672,676,690,701,700,710,715,722,721,723,727,733,733,734,728,0
50,666,670,674,672,672,676,690,701,700,710,715,722,721,723,727,733,733,734,728,727,0
51,670,674,672,672,676,690,701,700,710,715,722,721,723,727,733,733,734,728,727,730,0
52,674,672,672,676,690,701,700,710,715,722,721,723,727,733,733,734,728,727,730,728,0
