date and time,value
[2020-04-10 15:43:04.175] ,556
[2020-04-10 15:43:04.205] ,555
[2020-04-10 15:43:04.205] ,552
[2020-04-10 15:43:04.205] ,553
[2020-04-10 15:43:04.205] ,547
[2020-04-10 15:43:04.205] ,554
[2020-04-10 15:43:04.205] ,548
[2020-04-10 15:43:04.205] ,555
[2020-04-10 15:43:04.205] ,531
[2020-04-10 15:43:04.205] ,545
[2020-04-10 15:43:04.205] ,552
[2020-04-10 15:43:04.205] ,549
[2020-04-10 15:43:04.205] ,561
[2020-04-10 15:43:04.205] ,581
[2020-04-10 15:43:04.205] ,605
[2020-04-10 15:43:04.205] ,610
[2020-04-10 15:43:04.205] ,610
[2020-04-10 15:43:04.205] ,610
[2020-04-10 15:43:04.205] ,610
[2020-04-10 15:43:04.205] ,610
[2020-04-10 15:43:04.205] ,609
[2020-04-10 15:43:04.205] ,600
[2020-04-10 15:43:04.205] ,591
[2020-04-10 15:43:04.205] ,606
[2020-04-10 15:43:04.205] ,606
[2020-04-10 15:43:04.205] ,606
[2020-04-10 15:43:04.205] ,605
[2020-04-10 15:43:04.205] ,601
[2020-04-10 15:43:04.205] ,593
[2020-04-10 15:43:04.205] ,590
[2020-04-10 15:43:04.205] ,588
[2020-04-10 15:43:04.205] ,579
[2020-04-10 15:43:04.205] ,592
[2020-04-10 15:43:04.205] ,586
[2020-04-10 15:43:04.205] ,572
[2020-04-10 15:43:04.205] ,566
[2020-04-10 15:43:04.205] ,556
[2020-04-10 15:43:04.205] ,554
[2020-04-10 15:43:04.205] ,554
[2020-04-10 15:43:04.205] ,496
[2020-04-10 15:43:04.205] ,449
[2020-04-10 15:43:04.205] ,456
[2020-04-10 15:43:04.205] ,540
[2020-04-10 15:43:04.205] ,557
[2020-04-10 15:43:04.205] ,554
[2020-04-10 15:43:04.205] ,566
[2020-04-10 15:43:04.205] ,561
[2020-04-10 15:43:04.205] ,556
[2020-04-10 15:43:04.205] ,546
[2020-04-10 15:43:04.205] ,533
[2020-04-10 15:43:04.205] ,525
[2020-04-10 15:43:04.205] ,513
[2020-04-10 15:43:04.205] ,454
[2020-04-10 15:43:04.205] ,435
[2020-04-10 15:43:04.205] ,446
[2020-04-10 15:43:04.205] ,494
[2020-04-10 15:43:04.205] ,507
[2020-04-10 15:43:04.205] ,508
[2020-04-10 15:43:04.205] ,499
[2020-04-10 15:43:04.205] ,497
[2020-04-10 15:43:04.205] ,487
[2020-04-10 15:43:04.205] ,486
[2020-04-10 15:43:04.205] ,484
[2020-04-10 15:43:04.205] ,475
[2020-04-10 15:43:04.205] ,475
[2020-04-10 15:43:04.205] ,471
[2020-04-10 15:43:04.205] ,470
[2020-04-10 15:43:04.205] ,468
[2020-04-10 15:43:04.205] ,468
[2020-04-10 15:43:04.205] ,466
[2020-04-10 15:43:04.205] ,462
[2020-04-10 15:43:04.205] ,460
[2020-04-10 15:43:04.205] ,458
[2020-04-10 15:43:04.205] ,456
[2020-04-10 15:43:04.205] ,456
[2020-04-10 15:43:04.205] ,452
[2020-04-10 15:43:04.205] ,450
[2020-04-10 15:43:04.205] ,449
[2020-04-10 15:43:04.205] ,450
[2020-04-10 15:43:04.205] ,452
[2020-04-10 15:43:04.205] ,451
[2020-04-10 15:43:04.205] ,449
[2020-04-10 15:43:04.205] ,449
[2020-04-10 15:43:04.205] ,448
[2020-04-10 15:43:04.205] ,447
[2020-04-10 15:43:04.205] ,438
[2020-04-10 15:43:04.205] ,433
[2020-04-10 15:43:04.205] ,434
[2020-04-10 15:43:04.205] ,439
