,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,-1.0,102495913.0,1030565256.0,1079302136.0,153480225.0,180091964.0,1944141230.0,1955795719.0,2357647305.0,2478171368.0,2478615626.0,2488443307.0,2592491108.0,2865432406.0,2871110731.0,2898886249.0,2911645364.0,2961279018.0,2988322231.0,299161925.0,3057113258.0,312433007.0,3181735458.0,3315587412.0,3319992475.0,4079033294.0,4131624921.0,413729906.0,4586148074.0,4713727810.0,4755832759.0,51855176.0,552633255.0,552686514.0,553504196.0,66122954.0,7.042462039075963e+17,7.469687692437996e+17,7.513127665063731e+17,7.525573371524547e+17,7.793474572053463e+17,7.93680660850434e+17,7.965865850138092e+17,8.152582154747453e+17,8.16603217605718e+17,8.23040761134465e+17,8.292044062142587e+17,8.38255186539864e+17,8.670853615281889e+17,8.690339645598392e+17,8.697949348904796e+17,8.818545596934267e+17,8.842459902779064e+17,8.879175210383032e+17,9.014361944618557e+17,9.112602518395453e+17,9.230797889772012e+17,9.297214869522719e+17,9.387594893557801e+17,9.441418263526482e+17
1,102495913.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,18.0,15.0,0.0,18.0,0.0,0.0,3.0,0.0,18.0,2.0,7.0,12.0,0.0,0.0,14.0,2.0,18.0,0.0,6.0,15.0,10.0,2.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,2.0,11.0,0.0,0.0,3.0
2,1030565256.0,1.0,0.0,5.0,29.0,29.0,77.0,8.0,193.0,25.0,101.0,179.0,184.0,150.0,0.0,142.0,9.0,41.0,155.0,11.0,72.0,48.0,131.0,19.0,137.0,127.0,1.0,120.0,147.0,13.0,112.0,146.0,199.0,160.0,217.0,101.0,145.0,173.0,19.0,23.0,2.0,32.0,0.0,51.0,49.0,9.0,128.0,100.0,38.0,50.0,0.0,0.0,29.0,19.0,37.0,112.0,61.0,69.0,50.0,14.0
3,1079302136.0,0.0,5.0,0.0,8.0,5.0,3.0,3.0,7.0,4.0,3.0,5.0,8.0,10.0,0.0,7.0,1.0,1.0,8.0,2.0,10.0,6.0,7.0,4.0,9.0,3.0,0.0,7.0,8.0,1.0,5.0,8.0,6.0,8.0,10.0,5.0,4.0,4.0,4.0,1.0,1.0,2.0,0.0,4.0,5.0,1.0,6.0,4.0,4.0,5.0,0.0,0.0,3.0,3.0,7.0,8.0,4.0,6.0,4.0,1.0
4,153480225.0,1.0,29.0,8.0,0.0,15.0,10.0,8.0,38.0,13.0,14.0,29.0,60.0,53.0,0.0,56.0,8.0,8.0,41.0,7.0,51.0,32.0,28.0,27.0,39.0,29.0,3.0,43.0,55.0,6.0,27.0,51.0,48.0,30.0,55.0,24.0,24.0,23.0,10.0,3.0,1.0,8.0,0.0,18.0,22.0,1.0,31.0,23.0,15.0,22.0,0.0,0.0,20.0,10.0,18.0,34.0,30.0,21.0,13.0,7.0
5,180091964.0,0.0,29.0,5.0,15.0,0.0,13.0,5.0,51.0,16.0,30.0,34.0,41.0,34.0,0.0,32.0,4.0,5.0,37.0,9.0,28.0,22.0,36.0,5.0,42.0,23.0,0.0,41.0,34.0,7.0,31.0,30.0,37.0,32.0,50.0,28.0,32.0,34.0,6.0,3.0,2.0,14.0,0.0,15.0,19.0,3.0,27.0,25.0,20.0,17.0,0.0,0.0,10.0,6.0,11.0,29.0,14.0,22.0,17.0,4.0
6,1944141230.0,0.0,77.0,3.0,10.0,13.0,0.0,2.0,190.0,8.0,98.0,195.0,110.0,170.0,0.0,62.0,3.0,46.0,136.0,7.0,20.0,19.0,136.0,4.0,152.0,86.0,0.0,65.0,53.0,6.0,99.0,90.0,177.0,157.0,228.0,92.0,188.0,197.0,25.0,48.0,0.0,50.0,0.0,44.0,17.0,7.0,184.0,51.0,24.0,38.0,0.0,0.0,5.0,4.0,16.0,81.0,14.0,51.0,41.0,5.0
7,1955795719.0,1.0,8.0,3.0,8.0,5.0,2.0,0.0,20.0,5.0,6.0,8.0,41.0,19.0,0.0,28.0,1.0,2.0,18.0,2.0,27.0,14.0,15.0,29.0,14.0,10.0,1.0,20.0,24.0,3.0,18.0,22.0,25.0,13.0,25.0,7.0,6.0,5.0,5.0,1.0,1.0,2.0,0.0,3.0,13.0,2.0,14.0,13.0,4.0,11.0,0.0,0.0,16.0,3.0,5.0,17.0,23.0,3.0,5.0,2.0
8,2357647305.0,5.0,193.0,7.0,38.0,51.0,190.0,20.0,0.0,35.0,267.0,570.0,588.0,545.0,0.0,373.0,10.0,121.0,415.0,12.0,195.0,94.0,366.0,48.0,400.0,277.0,10.0,440.0,509.0,19.0,265.0,420.0,565.0,531.0,1036.0,299.0,669.0,580.0,73.0,118.0,3.0,88.0,0.0,109.0,127.0,24.0,416.0,209.0,50.0,93.0,0.0,0.0,89.0,26.0,53.0,247.0,102.0,95.0,70.0,16.0
9,2478171368.0,0.0,25.0,4.0,13.0,16.0,8.0,5.0,35.0,0.0,27.0,37.0,37.0,36.0,0.0,35.0,2.0,5.0,37.0,9.0,25.0,26.0,32.0,4.0,34.0,31.0,0.0,38.0,37.0,6.0,26.0,33.0,37.0,33.0,42.0,31.0,31.0,32.0,8.0,4.0,2.0,8.0,0.0,16.0,18.0,2.0,26.0,30.0,15.0,20.0,0.0,0.0,5.0,5.0,11.0,28.0,14.0,17.0,15.0,2.0
10,2478615626.0,0.0,101.0,3.0,14.0,30.0,98.0,6.0,267.0,27.0,0.0,220.0,159.0,234.0,0.0,102.0,2.0,50.0,181.0,11.0,44.0,38.0,183.0,3.0,186.0,108.0,0.0,126.0,114.0,13.0,122.0,127.0,191.0,201.0,310.0,139.0,258.0,205.0,34.0,73.0,2.0,65.0,0.0,51.0,27.0,15.0,198.0,86.0,38.0,42.0,0.0,0.0,7.0,11.0,27.0,118.0,28.0,68.0,47.0,5.0
11,2488443307.0,0.0,179.0,5.0,29.0,34.0,195.0,8.0,570.0,37.0,220.0,0.0,337.0,617.0,0.0,274.0,5.0,92.0,345.0,14.0,74.0,70.0,528.0,11.0,457.0,333.0,0.0,274.0,244.0,13.0,269.0,265.0,561.0,406.0,1145.0,322.0,756.0,662.0,134.0,276.0,2.0,161.0,0.0,154.0,43.0,15.0,724.0,169.0,48.0,107.0,0.0,0.0,16.0,28.0,30.0,298.0,44.0,92.0,75.0,15.0
12,2592491108.0,18.0,184.0,8.0,60.0,41.0,110.0,41.0,588.0,37.0,159.0,337.0,0.0,456.0,0.0,737.0,15.0,69.0,399.0,13.0,469.0,119.0,272.0,215.0,293.0,189.0,34.0,351.0,613.0,19.0,219.0,559.0,523.0,269.0,712.0,190.0,265.0,317.0,67.0,55.0,3.0,52.0,0.0,80.0,216.0,17.0,306.0,222.0,49.0,116.0,0.0,0.0,223.0,31.0,62.0,182.0,217.0,73.0,63.0,20.0
13,2865432406.0,15.0,150.0,10.0,53.0,34.0,170.0,19.0,545.0,36.0,234.0,617.0,456.0,0.0,0.0,400.0,12.0,71.0,394.0,13.0,216.0,98.0,536.0,81.0,456.0,200.0,30.0,274.0,339.0,17.0,301.0,403.0,470.0,340.0,1138.0,267.0,621.0,414.0,128.0,289.0,2.0,155.0,0.0,132.0,108.0,11.0,734.0,142.0,56.0,112.0,0.0,0.0,87.0,24.0,46.0,270.0,146.0,90.0,71.0,19.0
14,2871110731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2898886249.0,18.0,142.0,7.0,56.0,32.0,62.0,28.0,373.0,35.0,102.0,274.0,737.0,400.0,0.0,0.0,16.0,35.0,291.0,12.0,387.0,113.0,221.0,159.0,214.0,183.0,45.0,278.0,583.0,14.0,179.0,479.0,426.0,212.0,539.0,177.0,205.0,240.0,46.0,32.0,2.0,38.0,0.0,81.0,186.0,10.0,211.0,166.0,41.0,82.0,0.0,0.0,167.0,21.0,48.0,158.0,203.0,58.0,44.0,18.0
16,2911645364.0,0.0,9.0,1.0,8.0,4.0,3.0,1.0,10.0,2.0,2.0,5.0,15.0,12.0,0.0,16.0,0.0,3.0,10.0,1.0,14.0,8.0,5.0,6.0,7.0,7.0,0.0,9.0,13.0,1.0,5.0,13.0,12.0,8.0,12.0,5.0,4.0,3.0,1.0,1.0,0.0,3.0,0.0,3.0,14.0,1.0,2.0,12.0,5.0,5.0,0.0,0.0,9.0,1.0,3.0,8.0,9.0,4.0,4.0,3.0
17,2961279018.0,0.0,41.0,1.0,8.0,5.0,46.0,2.0,121.0,5.0,50.0,92.0,69.0,71.0,0.0,35.0,3.0,0.0,58.0,5.0,13.0,8.0,54.0,4.0,71.0,51.0,1.0,37.0,60.0,2.0,30.0,37.0,95.0,85.0,105.0,62.0,97.0,88.0,12.0,22.0,0.0,21.0,0.0,19.0,9.0,6.0,72.0,40.0,9.0,35.0,0.0,0.0,6.0,7.0,5.0,46.0,11.0,16.0,22.0,4.0
18,2988322231.0,3.0,155.0,8.0,41.0,37.0,136.0,18.0,415.0,37.0,181.0,345.0,399.0,394.0,0.0,291.0,10.0,58.0,0.0,12.0,215.0,93.0,280.0,66.0,296.0,170.0,4.0,238.0,285.0,17.0,211.0,314.0,388.0,281.0,541.0,176.0,296.0,322.0,46.0,81.0,2.0,75.0,0.0,71.0,115.0,13.0,298.0,156.0,48.0,76.0,0.0,0.0,93.0,19.0,47.0,186.0,105.0,95.0,57.0,12.0
19,299161925.0,0.0,11.0,2.0,7.0,9.0,7.0,2.0,12.0,9.0,11.0,14.0,13.0,13.0,0.0,12.0,1.0,5.0,12.0,0.0,10.0,8.0,14.0,1.0,14.0,12.0,0.0,12.0,12.0,3.0,12.0,10.0,13.0,12.0,14.0,12.0,14.0,13.0,5.0,2.0,1.0,5.0,0.0,10.0,5.0,1.0,10.0,12.0,7.0,9.0,0.0,0.0,2.0,3.0,4.0,10.0,5.0,10.0,7.0,1.0
20,3057113258.0,18.0,72.0,10.0,51.0,28.0,20.0,27.0,195.0,25.0,44.0,74.0,469.0,216.0,0.0,387.0,14.0,13.0,215.0,10.0,0.0,94.0,112.0,136.0,110.0,63.0,33.0,175.0,332.0,14.0,122.0,309.0,233.0,107.0,295.0,63.0,54.0,60.0,26.0,5.0,1.0,13.0,0.0,31.0,153.0,6.0,103.0,92.0,30.0,55.0,0.0,0.0,141.0,12.0,43.0,90.0,152.0,39.0,21.0,13.0
21,312433007.0,2.0,48.0,6.0,32.0,22.0,19.0,14.0,94.0,26.0,38.0,70.0,119.0,98.0,0.0,113.0,8.0,8.0,93.0,8.0,94.0,0.0,64.0,33.0,83.0,57.0,3.0,89.0,117.0,8.0,67.0,103.0,105.0,70.0,122.0,57.0,57.0,61.0,12.0,9.0,2.0,14.0,0.0,28.0,54.0,3.0,65.0,56.0,27.0,38.0,0.0,0.0,36.0,6.0,21.0,61.0,57.0,27.0,19.0,6.0
22,3181735458.0,7.0,131.0,7.0,28.0,36.0,136.0,15.0,366.0,32.0,183.0,528.0,272.0,536.0,0.0,221.0,5.0,54.0,280.0,14.0,112.0,64.0,0.0,41.0,389.0,170.0,5.0,224.0,232.0,12.0,224.0,247.0,326.0,268.0,786.0,229.0,558.0,305.0,113.0,246.0,2.0,122.0,0.0,126.0,62.0,8.0,518.0,135.0,45.0,74.0,0.0,0.0,37.0,14.0,29.0,221.0,60.0,83.0,57.0,12.0
