,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,-1.0,2425797434.0,2519635381.0,2546423847.0,2599710864.0,2883498066.0,332112916.0,7.9569410330436e+17,8.025299125192786e+17,8.191849106992046e+17,8.202322469049508e+17,8.232017006768579e+17,8.245251575447593e+17,8.246256278063063e+17,8.257113405641196e+17,8.280457086872412e+17,8.317340556956877e+17,8.327992698998661e+17,8.328520204491203e+17,8.380344727297065e+17,8.512751046756925e+17,8.742453289916539e+17,8.782936188547359e+17,8.789571088128123e+17,8.814603345733673e+17,8.815528372131758e+17,8.825663653490647e+17,8.82634056864641e+17,8.832771498174996e+17,8.835849258735903e+17,8.835941645957734e+17,8.836097552390308e+17,8.840798689710326e+17,8.847109391525929e+17,8.890053285069906e+17,8.942328539233485e+17,8.952363187745423e+17,9.023942522057646e+17,9.026063195756954e+17,9.039184536769495e+17,9.072928239085773e+17,9.091238775649567e+17,9.093137651616727e+17,9.095982513927127e+17,9.097311625446728e+17,9.098360659087278e+17,9.100072235179745e+17,9.114666217885e+17,9.126241287539876e+17,9.134515231447695e+17,9.15292884697473e+17,9.159553039795323e+17,9.181336987922678e+17,9.213858667018445e+17,9.284943907161989e+17,9.302520822248858e+17,9.308809701058273e+17,9.315628441846538e+17,9.31721480332755e+17,9.317507131595039e+17,9.32180989601706e+17,9.333454217111183e+17,9.333764535503421e+17,9.344590503260815e+17,9.346143150799503e+17,9.359222061476905e+17,9.368037920995369e+17,9.371111570006508e+17,9.373338723074867e+17,9.3766626624401e+17,9.397777788192768e+17,9.422822665116836e+17,9.422962717289513e+17,9.445871310321787e+17,9.458757771611259e+17,9.474260420916716e+17,9.474524868387308e+17,9.482123893164073e+17,9.500180222608835e+17,9.522256950940672e+17,9.539402704075489e+17,9.5584559627486e+17,9.563557593520701e+17,9.567617679793152e+17,9.569112143317074e+17,9.582227046953779e+17,9.63094760784216e+17,9.657813163010785e+17,9.663922756003963e+17,9.666257970491474e+17,9.670740048916521e+17
1,2425797434.0,0.0,323.0,776.0,326.0,169.0,419.0,362.0,604.0,38.0,661.0,141.0,611.0,545.0,549.0,354.0,181.0,65.0,270.0,175.0,172.0,390.0,163.0,709.0,238.0,32.0,0.0,53.0,361.0,94.0,227.0,21.0,453.0,33.0,175.0,238.0,85.0,65.0,34.0,379.0,0.0,25.0,85.0,107.0,40.0,354.0,163.0,39.0,246.0,284.0,169.0,473.0,104.0,95.0,147.0,113.0,33.0,29.0,326.0,24.0,761.0,2.0,12.0,211.0,93.0,98.0,284.0,328.0,65.0,382.0,267.0,166.0,0.0,138.0,71.0,113.0,267.0,57.0,328.0,300.0,32.0,0.0,67.0,292.0,24.0,34.0,70.0,103.0,52.0,79.0,21.0
2,2519635381.0,323.0,0.0,1438.0,506.0,313.0,632.0,943.0,607.0,81.0,1382.0,310.0,999.0,813.0,575.0,322.0,635.0,206.0,709.0,290.0,624.0,392.0,114.0,518.0,426.0,94.0,0.0,49.0,1166.0,367.0,553.0,21.0,1100.0,44.0,854.0,271.0,198.0,67.0,65.0,701.0,0.0,46.0,188.0,128.0,47.0,748.0,40.0,55.0,602.0,809.0,371.0,548.0,175.0,180.0,323.0,173.0,130.0,0.0,426.0,43.0,315.0,2.0,4.0,512.0,44.0,157.0,728.0,383.0,207.0,308.0,1111.0,349.0,0.0,14.0,146.0,192.0,556.0,45.0,952.0,569.0,67.0,0.0,103.0,548.0,36.0,53.0,61.0,200.0,8.0,128.0,27.0
3,2546423847.0,776.0,1438.0,0.0,711.0,386.0,1102.0,1764.0,1312.0,107.0,2672.0,402.0,1951.0,1492.0,1302.0,673.0,835.0,281.0,882.0,431.0,803.0,792.0,204.0,1222.0,485.0,114.0,0.0,78.0,1815.0,532.0,1117.0,28.0,1786.0,66.0,1223.0,354.0,286.0,111.0,75.0,1081.0,0.0,50.0,197.0,185.0,68.0,987.0,197.0,82.0,787.0,963.0,464.0,868.0,232.0,283.0,426.0,200.0,124.0,45.0,806.0,54.0,911.0,7.0,18.0,721.0,142.0,226.0,999.0,643.0,222.0,516.0,1417.0,457.0,0.0,201.0,165.0,239.0,848.0,83.0,1398.0,745.0,67.0,0.0,153.0,700.0,53.0,71.0,111.0,305.0,72.0,197.0,50.0
4,2599710864.0,326.0,506.0,711.0,0.0,259.0,385.0,616.0,601.0,47.0,697.0,222.0,555.0,470.0,375.0,206.0,358.0,81.0,499.0,281.0,225.0,310.0,83.0,531.0,279.0,42.0,0.0,29.0,726.0,188.0,350.0,18.0,565.0,32.0,357.0,270.0,122.0,53.0,40.0,404.0,0.0,28.0,111.0,98.0,40.0,386.0,62.0,36.0,458.0,517.0,305.0,395.0,88.0,101.0,262.0,130.0,68.0,9.0,535.0,33.0,536.0,3.0,6.0,325.0,51.0,106.0,539.0,299.0,95.0,402.0,568.0,242.0,0.0,34.0,128.0,154.0,482.0,49.0,618.0,432.0,52.0,0.0,55.0,325.0,27.0,57.0,69.0,143.0,22.0,114.0,21.0
5,2883498066.0,169.0,313.0,386.0,259.0,0.0,251.0,317.0,243.0,30.0,398.0,133.0,340.0,329.0,246.0,175.0,206.0,39.0,292.0,151.0,125.0,226.0,26.0,283.0,213.0,27.0,0.0,16.0,334.0,58.0,194.0,16.0,354.0,33.0,182.0,193.0,90.0,44.0,31.0,273.0,0.0,25.0,80.0,79.0,36.0,262.0,66.0,27.0,289.0,316.0,217.0,271.0,64.0,61.0,179.0,94.0,40.0,9.0,228.0,28.0,236.0,2.0,6.0,217.0,45.0,66.0,301.0,222.0,43.0,198.0,282.0,161.0,0.0,41.0,91.0,103.0,208.0,40.0,308.0,277.0,41.0,0.0,20.0,217.0,22.0,34.0,60.0,90.0,18.0,86.0,17.0
6,332112916.0,419.0,632.0,1102.0,385.0,251.0,0.0,651.0,559.0,72.0,1031.0,212.0,753.0,686.0,525.0,363.0,392.0,176.0,459.0,219.0,461.0,364.0,247.0,606.0,327.0,74.0,0.0,63.0,676.0,210.0,441.0,19.0,742.0,41.0,508.0,265.0,149.0,62.0,42.0,525.0,0.0,40.0,135.0,115.0,44.0,565.0,92.0,50.0,447.0,532.0,272.0,494.0,172.0,162.0,246.0,154.0,85.0,28.0,374.0,37.0,525.0,5.0,12.0,353.0,85.0,124.0,493.0,339.0,103.0,325.0,605.0,271.0,0.0,91.0,111.0,144.0,363.0,54.0,662.0,424.0,47.0,0.0,90.0,375.0,28.0,51.0,75.0,168.0,48.0,105.0,31.0
7,7.9569410330436e+17,362.0,943.0,1764.0,616.0,317.0,651.0,0.0,763.0,87.0,1491.0,334.0,1004.0,759.0,590.0,320.0,644.0,188.0,666.0,354.0,634.0,463.0,116.0,559.0,344.0,90.0,0.0,47.0,1336.0,493.0,976.0,20.0,986.0,42.0,1068.0,267.0,216.0,65.0,48.0,723.0,0.0,42.0,168.0,134.0,51.0,741.0,95.0,69.0,727.0,803.0,385.0,570.0,191.0,219.0,364.0,185.0,105.0,15.0,649.0,45.0,401.0,4.0,16.0,636.0,84.0,193.0,828.0,409.0,208.0,376.0,1339.0,390.0,0.0,85.0,156.0,195.0,743.0,65.0,1102.0,599.0,61.0,0.0,112.0,519.0,40.0,71.0,89.0,244.0,36.0,172.0,42.0
8,8.025299125192786e+17,604.0,607.0,1312.0,601.0,243.0,559.0,763.0,0.0,60.0,1055.0,265.0,903.0,720.0,660.0,415.0,393.0,158.0,455.0,302.0,328.0,509.0,215.0,863.0,280.0,50.0,0.0,69.0,782.0,232.0,448.0,21.0,666.0,41.0,438.0,300.0,134.0,79.0,35.0,505.0,0.0,35.0,114.0,146.0,39.0,482.0,235.0,57.0,421.0,482.0,261.0,596.0,129.0,145.0,232.0,152.0,77.0,28.0,726.0,39.0,948.0,7.0,16.0,404.0,100.0,146.0,522.0,457.0,97.0,522.0,635.0,253.0,0.0,146.0,109.0,145.0,549.0,56.0,776.0,434.0,39.0,0.0,107.0,439.0,34.0,39.0,83.0,168.0,56.0,115.0,40.0
9,8.191849106992046e+17,38.0,81.0,107.0,47.0,30.0,72.0,87.0,60.0,0.0,94.0,40.0,71.0,55.0,53.0,23.0,65.0,80.0,56.0,42.0,293.0,39.0,120.0,53.0,33.0,5.0,0.0,15.0,98.0,40.0,62.0,2.0,67.0,7.0,89.0,27.0,23.0,3.0,9.0,57.0,0.0,10.0,21.0,20.0,5.0,60.0,9.0,8.0,50.0,63.0,33.0,51.0,105.0,64.0,31.0,16.0,10.0,0.0,76.0,4.0,40.0,1.0,2.0,41.0,8.0,9.0,71.0,35.0,28.0,43.0,88.0,35.0,0.0,7.0,20.0,21.0,64.0,7.0,176.0,47.0,10.0,0.0,114.0,46.0,7.0,10.0,8.0,23.0,1.0,12.0,2.0
