HASHTAG,ANNOTATION 1,ANNOTATION 2,ANNOTATION 3,FINAL
#trndnl9,RANDOM,EVENT,RANDOM,RANDOM
#trndnl8,RANDOM,EVENT,EVENT,EVENT
#trndnl7,EVENT,EVENT,RANDOM,EVENT
#trndnl6,EVENT,EVENT,EVENT,EVENT
#trndnl5,RANDOM,EVENT,RANDOM,RANDOM
#trndnl4,RANDOM,EVENT,EVENT,EVENT
#trndnl3,EVENT,EVENT,EVENT,EVENT
#trndnl2,EVENT,EVENT,EVENT,EVENT
#trndnl12,EVENT,EVENT,RANDOM,EVENT
#trndnl11,EVENT,EVENT,RANDOM,EVENT
#trndnl10,EVENT,EVENT,EVENT,EVENT
#trndnl1,EVENT,EVENT,EVENT,EVENT
#travel8,RANDOM,RANDOM,RANDOM,RANDOM
#travel6,RANDOM,RANDOM,RANDOM,RANDOM
#travel4,RANDOM,RANDOM,RANDOM,RANDOM
#travel2,RANDOM,RANDOM,RANDOM,RANDOM
#travel13,RANDOM,RANDOM,RANDOM,RANDOM
#travel12,RANDOM,RANDOM,RANDOM,RANDOM
#travel10,RANDOM,RANDOM,RANDOM,RANDOM
#travel1,RANDOM,RANDOM,RANDOM,RANDOM
#thtraffic9,RANDOM,RANDOM,RANDOM,RANDOM
#thtraffic8,RANDOM,RANDOM,RANDOM,RANDOM
#thtraffic7,RANDOM,RANDOM,RANDOM,RANDOM
#thtraffic6,RANDOM,RANDOM,RANDOM,RANDOM
#thtraffic5,RANDOM,RANDOM,RANDOM,RANDOM
#thtraffic4,RANDOM,RANDOM,RANDOM,RANDOM
#thtraffic3,RANDOM,RANDOM,RANDOM,RANDOM
#thtraffic2,RANDOM,RANDOM,RANDOM,RANDOM
#thailand9,RANDOM,RANDOM,RANDOM,RANDOM
#thailand8,RANDOM,RANDOM,EVENT,RANDOM
#thailand7,RANDOM,RANDOM,RANDOM,RANDOM
#thailand6,RANDOM,RANDOM,EVENT,RANDOM
#thailand5,RANDOM,RANDOM,RANDOM,RANDOM
#thailand4,RANDOM,RANDOM,EVENT,RANDOM
#thailand3,RANDOM,RANDOM,RANDOM,RANDOM
#thailand2,RANDOM,RANDOM,RANDOM,RANDOM
#thailand14,RANDOM,RANDOM,RANDOM,RANDOM
#thailand13,RANDOM,RANDOM,RANDOM,RANDOM
#thailand12,RANDOM,RANDOM,RANDOM,RANDOM
#thailand11,RANDOM,RANDOM,RANDOM,RANDOM
#thailand10,RANDOM,RANDOM,RANDOM,RANDOM
#thailand1,RANDOM,RANDOM,RANDOM,RANDOM
#spiritualleadersaintrampalji1,RANDOM,RANDOM,EVENT,RANDOM
#singapore8,EVENT,RANDOM,RANDOM,RANDOM
#singapore7,EVENT,RANDOM,RANDOM,RANDOM
#singapore6,EVENT,RANDOM,RANDOM,RANDOM
#singapore5,EVENT,RANDOM,RANDOM,RANDOM
#singapore4,RANDOM,RANDOM,RANDOM,RANDOM
#singapore3,RANDOM,RANDOM,RANDOM,RANDOM
#singapore2,RANDOM,RANDOM,RANDOM,RANDOM
#singapore1,EVENT,RANDOM,RANDOM,RANDOM
#savesyrianchildren1,RANDOM,EVENT,EVENT,EVENT
#repost9,RANDOM,RANDOM,RANDOM,RANDOM
#repost8,RANDOM,RANDOM,RANDOM,RANDOM
#repost7,RANDOM,RANDOM,RANDOM,RANDOM
#repost6,RANDOM,RANDOM,RANDOM,RANDOM
#repost5,RANDOM,RANDOM,RANDOM,RANDOM
#repost4,RANDOM,RANDOM,RANDOM,RANDOM
#repost3,RANDOM,RANDOM,RANDOM,RANDOM
#repost2,RANDOM,RANDOM,RANDOM,RANDOM
#repost11,RANDOM,RANDOM,RANDOM,RANDOM
#repost10,RANDOM,RANDOM,RANDOM,RANDOM
#repost1,RANDOM,RANDOM,RANDOM,RANDOM
#realholiwithgod1,EVENT,EVENT,EVENT,EVENT
#photography9,RANDOM,RANDOM,RANDOM,RANDOM
#photography8,RANDOM,RANDOM,RANDOM,RANDOM
#photography7,RANDOM,RANDOM,RANDOM,RANDOM
#photography6,RANDOM,RANDOM,RANDOM,RANDOM
#photography5,RANDOM,RANDOM,RANDOM,RANDOM
#photography4,RANDOM,RANDOM,RANDOM,RANDOM
#photography3,RANDOM,RANDOM,RANDOM,RANDOM
#photography2,RANDOM,RANDOM,RANDOM,RANDOM
#photography10,RANDOM,RANDOM,RANDOM,RANDOM
#photography1,RANDOM,RANDOM,RANDOM,RANDOM
#mumbai9,RANDOM,RANDOM,RANDOM,RANDOM
#mumbai8,RANDOM,EVENT,RANDOM,RANDOM
#mumbai7,RANDOM,RANDOM,RANDOM,RANDOM
#mumbai6,RANDOM,RANDOM,RANDOM,RANDOM
#mumbai5,RANDOM,RANDOM,RANDOM,RANDOM
#mumbai4,RANDOM,RANDOM,RANDOM,RANDOM
#mumbai3,RANDOM,RANDOM,RANDOM,RANDOM
#mumbai2,RANDOM,RANDOM,EVENT,RANDOM
#mumbai12,RANDOM,RANDOM,RANDOM,RANDOM
#mumbai11,RANDOM,RANDOM,RANDOM,RANDOM
#mumbai10,RANDOM,RANDOM,RANDOM,RANDOM
#mumbai1,RANDOM,RANDOM,EVENT,RANDOM
#love9,RANDOM,RANDOM,RANDOM,RANDOM
#love8,RANDOM,RANDOM,RANDOM,RANDOM
#love7,RANDOM,RANDOM,RANDOM,RANDOM
#love6,RANDOM,RANDOM,RANDOM,RANDOM
#love5,RANDOM,RANDOM,RANDOM,RANDOM
#love4,RANDOM,RANDOM,RANDOM,RANDOM
#love3,RANDOM,RANDOM,RANDOM,RANDOM
#love2,RANDOM,RANDOM,RANDOM,RANDOM
#love12,RANDOM,RANDOM,RANDOM,RANDOM
#love11,RANDOM,RANDOM,RANDOM,RANDOM
#love10,RANDOM,RANDOM,RANDOM,RANDOM
#love1,RANDOM,RANDOM,RANDOM,RANDOM
#kca1,EVENT,EVENT,EVENT,EVENT
#kaalateaser2,RANDOM,EVENT,EVENT,EVENT
#kaalateaser1,EVENT,EVENT,EVENT,EVENT
#india9,EVENT,RANDOM,RANDOM,RANDOM
#india8,RANDOM,RANDOM,RANDOM,RANDOM
#india7,EVENT,RANDOM,RANDOM,RANDOM
#india6,EVENT,RANDOM,RANDOM,RANDOM
#india5,EVENT,RANDOM,RANDOM,RANDOM
#india4,EVENT,EVENT,RANDOM,EVENT
#india3,EVENT,RANDOM,RANDOM,RANDOM
#india2,RANDOM,RANDOM,RANDOM,RANDOM
#india11,EVENT,RANDOM,EVENT,EVENT
#india10,RANDOM,RANDOM,RANDOM,RANDOM
#india1,RANDOM,RANDOM,RANDOM,RANDOM
