0,Synch:,Annotation:,Avg Common Friends:
1,Sync2_#syriatube,NONEVENT,7.333333333333332
2,Sync4_#syriatube,NONEVENT,0.6666666666666666
3,Sync8_#jan25,NONEVENT,1.6666666666666667
4,Sync7_#aljazeera,NONEVENT,12.522108843537413
5,Sync3_#assadabuses,NONEVENT,8.933823529411764
6,Sync2_#aljazeera,NONEVENT,10.709623709623711
7,Sync4_#aljazeera,NONEVENT,15.25234441602728
8,Sync2_#palestine,EVENT,18.522222222222226
9,Sync5_#aljazeera,NONEVENT,15.111949685534592
10,Sync4_#palestine,EVENT,8.56793893129771
11,Sync2_#jordan,EVENT,7.322176328158383
12,Sync3_#palestine,EVENT,10.002851439977187
13,Sync1_#palestine,EVENT,10.015486725663717
14,Sync5_#palestine,EVENT,9.316256157635467
15,Sync2_#rifdimashq,EVENT,1.0
16,Sync5_#jordan,EVENT,24.649439775910363
17,Sync1_#jordan,EVENT,10.508271483501744
18,Sync2_#kuwait,EVENT,8.1583030805933
19,Sync4_#humanrights,EVENT,25.793277310924374
20,Sync4_#usa,NONEVENT,8.559308872063676
21,Sync1_#syrian,EVENT,26.399816417519013
22,Sync9_#un,NONEVENT,22.429430379746837
23,Sync2_#arab,EVENT,11.553699861687413
24,Sync6_#syrian,EVENT,22.6096357226792
25,Sync1_#al,EVENT,34.857227722772286
26,Sync4_#deirezzor,EVENT,40.12820512820513
27,Sync5_#humanrights,EVENT,31.564831993403427
28,Sync6_#humanrights,EVENT,23.677887649905323
29,Sync6_#Russia,NONEVENT,11.312121212121212
30,Sync8_#deirezzor,EVENT,21.347126436781608
31,Sync6_#uk,EVENT,12.377912867274569
32,Sync5_#damascus,EVENT,18.5850347084697
33,Sync6_#snc,EVENT,26.69593613933236
34,Sync5_#Russia,EVENT,20.459830866807607
35,Sync6_#usa,NONEVENT,7.007259528130671
36,Sync7_#Russia,EVENT,24.896705750977112
37,Sync7_#humanrights,EVENT,28.389249720044788
38,Sync5_#us,EVENT,14.933672959744284
39,Sync6_#us,EVENT,14.687114845938375
40,Sync2_#al,NONEVENT,22.235365853658532
41,Sync1_#iran,EVENT,17.62569075174643
42,Sync5_#arabspring,NONEVENT,16.722639933166253
43,Sync6_#iran,NONEVENT,17.117243867243868
44,Sync2_#Russia,NONEVENT,18.462478184991273
45,Sync4_#aleppo,EVENT,27.90053950109502
46,Sync4_#arabspring,NONEVENT,12.256825525821867
47,Sync1_#Russia,EVENT,21.04411554104371
48,Sync11_#syrie,NONEVENT,45.44603174603174
49,Sync4_#un,EVENT,19.938271604938272
50,Sync2_#us,NONEVENT,21.392788461538466
51,Sync5_#assad,NONEVENT,19.565169769989048
52,Sync8_#syrie,NONEVENT,19.241379310344826
53,Sync3_#turkey,NONEVENT,9.574534161490684
54,Sync2_#turkey,EVENT,26.79481792717087
55,Sync2_#arableague,EVENT,26.496984867447942
56,Sync6_#assad,NONEVENT,21.22028071026979
57,Sync1_#turkey,EVENT,15.388697647733792
58,Sync7_#snc,EVENT,35.98301053346925
59,Sync6_#arabspring,NONEVENT,13.446309581853221
60,Sync8_#humanrights,EVENT,28.03153153153153
61,Sync4_#al,EVENT,30.0729078613694
62,Sync3_#un,EVENT,17.10503144654088
63,Sync1_#arabspring,EVENT,12.716025794124672
64,Sync5_#uk,NONEVENT,10.420171867933062
65,Sync9_#syrian,EVENT,22.65752075418601
66,Sync4_#us,EVENT,16.792998477929984
67,Sync8_#iran,EVENT,21.886018237082066
68,Sync8_#syrian,EVENT,19.09369369369369
69,Sync1_#assad,EVENT,19.31700779005361
70,Sync3_#snc,EVENT,42.06603773584906
71,Sync2_#snc,EVENT,49.56799259944496
72,Sync1_#us,NONEVENT,21.84076147816349
73,Sync5_#algeria,NONEVENT,49.7006711409396
74,Sync2_#un,EVENT,13.61366724907785
75,Sync3_#uk,EVENT,20.095628415300546
76,Sync3_#humanrights,EVENT,47.48167966624342
77,Sync2_#arabspring,EVENT,16.46182457903996
78,Sync7_#syrian,EVENT,32.67304070693901
79,Sync2_#iran,EVENT,15.524948440914828
80,Sync5_#un,EVENT,17.366439467705288
81,Sync2_#assad,EVENT,19.005289567322453
82,Sync2_#humanrights,EVENT,31.320261437908496
83,Sync4_#idlib,EVENT,35.977595220313674
84,Sync3_#usa,EVENT,8.520792322834646
85,Sync5_#iran,EVENT,16.018451620750472
86,Sync1_#un,EVENT,18.74968722802437
87,Sync2_#syrias,EVENT,31.18891673628516
88,Sync1_#snc,NONEVENT,25.641148325358852
89,Sync4_#assad,NONEVENT,19.950579341528893
90,Sync4_#snc,NONEVENT,31.907420595356783
91,Sync3_#arableague,EVENT,22.667082000667147
92,Sync1_#algeria,NONEVENT,28.97791627150793
93,Sync7_#uk,NONEVENT,14.531408714247528
94,Sync3_#al,EVENT,33.23927648578811
95,Sync5_#syrias,EVENT,25.661398176291794
96,Sync3_#aleppo,EVENT,22.969111969111967
97,Sync3_#us,EVENT,13.713213213213216
98,Sync1_#syrias,EVENT,29.393890386343216
99,Sync3_#syrian,EVENT,26.18743509865005
100,Sync3_#idlib,EVENT,23.816093884491853
101,Sync4_#syrian,EVENT,32.14980633401686
102,Sync6_#syrias,EVENT,25.75142401458191
103,Sync2_#uk,EVENT,17.27857142857143
104,Sync2_#syrian,EVENT,24.506503591535626
105,Sync4_#syrias,EVENT,21.735938170888797
106,Sync4_#arableague,EVENT,28.498962224989626
107,Sync5_#syrian,EVENT,25.706618962432923
108,Sync7_#syrias,EVENT,24.182374409617857
109,Sync10_#un,EVENT,17.878436178392924
110,Sync4_#uk,NONEVENT,12.044546850998467
111,Sync3_#syrias,EVENT,28.113585346143484
112,Sync2_#jan25,EVENT,132.54691259021652
113,Sync5_#jan25,EVENT,131.27507598784194
