,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,-1.0,127208387.0,1509218515.0,1698098162.0,2373375913.0,2613271860.0,322204783.0,3285199926.0,3319089384.0,3489159194.0,4892585654.0,7.27385453553406e+17,7.887260692432364e+17,8.049194593327677e+17,8.109193173783183e+17,8.14188733511725e+17,8.25510533759656e+17,8.455751191415726e+17,8.473193706153165e+17,8.688252137560351e+17,8.692855178120397e+17,8.843927734696018e+17,8.923646005529395e+17,8.968033349836227e+17,8.985872616330527e+17,9.12499292765483e+17,9.140551214320681e+17,9.187978567099351e+17,9.216766457312051e+17,9.216821936839639e+17,9.219679853795123e+17,9.221367286384067e+17,9.267826405348557e+17,9.284780241184276e+17,9.355284997244846e+17,9.36532885821182e+17,9.434842728153784e+17,9.435102945417462e+17,9.495960695366984e+17,9.498210059789926e+17,9.506353031983145e+17,9.518935433577923e+17,9.546885122840781e+17,9.555062743005471e+17,9.56076658888532e+17,9.572494711291249e+17,9.596742573818388e+17,9.598023408312566e+17,9.626466561843036e+17,9.634522206739988e+17,9.640850576263741e+17
1,127208387.0,0.0,41.0,27.0,22.0,20.0,12.0,13.0,13.0,16.0,30.0,15.0,0.0,16.0,7.0,45.0,10.0,12.0,16.0,23.0,35.0,0.0,0.0,30.0,44.0,16.0,11.0,51.0,0.0,0.0,18.0,24.0,1.0,11.0,63.0,7.0,34.0,9.0,6.0,16.0,1.0,3.0,25.0,5.0,15.0,11.0,8.0,0.0,18.0,30.0,8.0
2,1509218515.0,41.0,0.0,19.0,44.0,55.0,47.0,12.0,27.0,25.0,40.0,58.0,0.0,29.0,8.0,82.0,48.0,21.0,45.0,49.0,63.0,0.0,0.0,51.0,74.0,30.0,24.0,66.0,0.0,0.0,39.0,53.0,4.0,22.0,73.0,23.0,59.0,14.0,5.0,25.0,1.0,15.0,44.0,23.0,29.0,54.0,29.0,0.0,35.0,78.0,25.0
3,1698098162.0,27.0,19.0,0.0,13.0,5.0,15.0,5.0,5.0,5.0,4.0,11.0,0.0,10.0,3.0,13.0,10.0,9.0,1.0,11.0,8.0,0.0,0.0,158.0,61.0,15.0,21.0,122.0,0.0,0.0,41.0,26.0,2.0,12.0,11.0,26.0,34.0,16.0,10.0,9.0,1.0,22.0,20.0,6.0,48.0,7.0,4.0,0.0,2.0,68.0,17.0
4,2373375913.0,22.0,44.0,13.0,0.0,38.0,33.0,9.0,19.0,23.0,28.0,35.0,0.0,19.0,9.0,43.0,33.0,19.0,27.0,35.0,41.0,0.0,1.0,36.0,43.0,25.0,14.0,36.0,0.0,0.0,26.0,43.0,3.0,18.0,46.0,19.0,38.0,15.0,5.0,22.0,2.0,13.0,38.0,23.0,24.0,32.0,19.0,0.0,26.0,47.0,15.0
5,2613271860.0,20.0,55.0,5.0,38.0,0.0,49.0,9.0,26.0,27.0,35.0,41.0,0.0,23.0,11.0,55.0,45.0,24.0,31.0,46.0,51.0,0.0,2.0,47.0,58.0,30.0,21.0,40.0,0.0,0.0,25.0,48.0,15.0,24.0,57.0,22.0,55.0,17.0,6.0,22.0,4.0,14.0,46.0,23.0,37.0,38.0,23.0,0.0,37.0,71.0,24.0
6,322204783.0,12.0,47.0,15.0,33.0,49.0,0.0,8.0,19.0,20.0,28.0,41.0,1.0,22.0,14.0,40.0,34.0,36.0,36.0,43.0,45.0,0.0,6.0,46.0,50.0,20.0,22.0,37.0,3.0,1.0,30.0,47.0,21.0,22.0,44.0,35.0,56.0,13.0,5.0,21.0,15.0,12.0,36.0,23.0,24.0,39.0,27.0,0.0,36.0,61.0,19.0
7,3285199926.0,13.0,12.0,5.0,9.0,9.0,8.0,0.0,10.0,9.0,20.0,9.0,0.0,6.0,5.0,31.0,9.0,9.0,6.0,12.0,10.0,0.0,0.0,19.0,21.0,10.0,8.0,19.0,0.0,0.0,12.0,9.0,2.0,6.0,41.0,5.0,18.0,10.0,4.0,10.0,1.0,1.0,20.0,4.0,9.0,4.0,5.0,0.0,7.0,15.0,4.0
8,3319089384.0,13.0,27.0,5.0,19.0,26.0,19.0,10.0,0.0,15.0,21.0,26.0,0.0,21.0,7.0,29.0,21.0,17.0,14.0,24.0,22.0,0.0,0.0,22.0,25.0,19.0,16.0,22.0,0.0,0.0,19.0,20.0,1.0,11.0,34.0,15.0,27.0,12.0,5.0,14.0,1.0,9.0,29.0,19.0,17.0,22.0,13.0,0.0,13.0,36.0,10.0
9,3489159194.0,16.0,25.0,5.0,23.0,27.0,20.0,9.0,15.0,0.0,21.0,20.0,0.0,12.0,6.0,26.0,17.0,17.0,19.0,25.0,34.0,0.0,0.0,23.0,31.0,13.0,10.0,23.0,0.0,0.0,15.0,30.0,3.0,10.0,31.0,15.0,22.0,10.0,4.0,12.0,2.0,5.0,22.0,12.0,15.0,22.0,16.0,0.0,25.0,30.0,10.0
10,4892585654.0,30.0,40.0,4.0,28.0,35.0,28.0,20.0,21.0,21.0,0.0,24.0,0.0,24.0,8.0,55.0,19.0,21.0,24.0,46.0,33.0,0.0,0.0,29.0,49.0,28.0,12.0,37.0,0.0,0.0,30.0,33.0,2.0,15.0,62.0,18.0,34.0,13.0,5.0,27.0,2.0,7.0,31.0,20.0,24.0,22.0,15.0,0.0,40.0,42.0,13.0
11,7.27385453553406e+17,15.0,58.0,11.0,35.0,41.0,41.0,9.0,26.0,20.0,24.0,0.0,0.0,21.0,11.0,54.0,47.0,29.0,28.0,44.0,39.0,0.0,0.0,45.0,46.0,29.0,22.0,31.0,0.0,0.0,29.0,37.0,6.0,25.0,49.0,21.0,52.0,21.0,5.0,15.0,6.0,8.0,52.0,22.0,21.0,49.0,18.0,0.0,27.0,68.0,19.0
12,7.887260692432364e+17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
