,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,-1.0,123907301.0,130307355.0,132095682.0,1368755407.0,1543161900.0,1547052817.0,17481929.0,2408787926.0,2489330202.0,251071411.0,253442776.0,2541934525.0,2596447963.0,2647228652.0,2667844086.0,2684173742.0,2705535895.0,2795392087.0,2817241284.0,286714614.0,2882972743.0,2889537120.0,2902695462.0,2925375086.0,2997148682.0,3018000188.0,3051671544.0,3078657603.0,3103378417.0,3114420098.0,3139985070.0,3181148130.0,3224841817.0,328432443.0,3307780548.0,3361379838.0,3516467011.0,3816586273.0,402117701.0,438142822.0,4484936813.0,4743978974.0,55200138.0,605560586.0,606126277.0,62707485.0,64521442.0,7.079768569017876e+17,7.183990775708754e+17,7.361812386758205e+17,7.404902697499607e+17,7.416344126058988e+17,7.854981415754793e+17,7.873280576358973e+17,7.875982177225933e+17,8.112578461050757e+17,8.116846603549614e+17,817387291.0,8.220594830943478e+17,8.338477568590111e+17,833877799.0,8.455604788102144e+17,8.550212085547008e+17,8.867724689075159e+17,8.884294282706944e+17,9.079612950260859e+17,9.250377368844493e+17,9.31557192448086e+17,9.425973228310487e+17,9.437278637227786e+17
1,123907301.0,0.0,12.0,0.0,2.0,18.0,0.0,0.0,1.0,10.0,8.0,10.0,7.0,2.0,0.0,13.0,0.0,1.0,1.0,0.0,0.0,7.0,4.0,0.0,4.0,0.0,9.0,1.0,8.0,32.0,6.0,1.0,2.0,4.0,6.0,15.0,5.0,9.0,14.0,6.0,2.0,1.0,2.0,9.0,1.0,5.0,18.0,0.0,1.0,4.0,2.0,18.0,0.0,9.0,7.0,0.0,2.0,1.0,5.0,0.0,6.0,0.0,6.0,3.0,0.0,1.0,0.0,13.0,1.0,16.0,0.0
2,130307355.0,12.0,0.0,10.0,33.0,140.0,2.0,0.0,5.0,58.0,21.0,55.0,69.0,16.0,1.0,86.0,1.0,17.0,9.0,17.0,0.0,41.0,36.0,5.0,23.0,12.0,78.0,8.0,21.0,56.0,25.0,23.0,12.0,6.0,58.0,23.0,25.0,16.0,94.0,23.0,7.0,14.0,19.0,55.0,9.0,32.0,29.0,16.0,3.0,20.0,13.0,86.0,1.0,47.0,50.0,1.0,16.0,6.0,20.0,15.0,47.0,0.0,26.0,26.0,7.0,9.0,2.0,79.0,22.0,64.0,0.0
3,132095682.0,0.0,10.0,0.0,11.0,29.0,2.0,0.0,5.0,48.0,2.0,19.0,18.0,10.0,0.0,27.0,0.0,5.0,6.0,12.0,0.0,16.0,9.0,3.0,12.0,3.0,31.0,5.0,9.0,13.0,10.0,6.0,6.0,2.0,32.0,4.0,5.0,14.0,28.0,9.0,2.0,4.0,7.0,9.0,1.0,13.0,1.0,5.0,3.0,16.0,18.0,29.0,1.0,12.0,5.0,1.0,6.0,0.0,9.0,5.0,12.0,0.0,7.0,5.0,1.0,6.0,3.0,9.0,7.0,14.0,0.0
4,1368755407.0,2.0,33.0,11.0,0.0,129.0,6.0,0.0,54.0,80.0,2.0,77.0,203.0,97.0,2.0,18.0,2.0,16.0,54.0,87.0,0.0,52.0,123.0,28.0,41.0,14.0,77.0,55.0,20.0,119.0,27.0,87.0,87.0,10.0,18.0,45.0,32.0,9.0,117.0,72.0,3.0,52.0,52.0,35.0,3.0,30.0,1.0,8.0,17.0,37.0,35.0,117.0,19.0,121.0,35.0,12.0,25.0,0.0,66.0,55.0,60.0,0.0,48.0,23.0,14.0,57.0,15.0,44.0,139.0,144.0,0.0
5,1543161900.0,18.0,140.0,29.0,129.0,0.0,20.0,0.0,18.0,211.0,26.0,195.0,276.0,77.0,1.0,131.0,1.0,30.0,35.0,63.0,0.0,131.0,113.0,15.0,87.0,25.0,254.0,35.0,52.0,193.0,55.0,78.0,62.0,18.0,61.0,53.0,92.0,39.0,285.0,84.0,8.0,38.0,46.0,96.0,13.0,74.0,40.0,24.0,6.0,73.0,53.0,333.0,2.0,176.0,112.0,2.0,49.0,4.0,61.0,44.0,120.0,0.0,69.0,51.0,19.0,49.0,6.0,157.0,98.0,208.0,0.0
6,1547052817.0,0.0,2.0,2.0,6.0,20.0,0.0,0.0,1.0,4.0,0.0,9.0,7.0,3.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,7.0,5.0,0.0,3.0,3.0,11.0,2.0,0.0,8.0,3.0,5.0,3.0,0.0,3.0,2.0,4.0,0.0,7.0,4.0,1.0,3.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,4.0,4.0,10.0,0.0,11.0,6.0,0.0,4.0,0.0,2.0,1.0,3.0,0.0,3.0,4.0,1.0,2.0,0.0,3.0,2.0,9.0,0.0
7,17481929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2408787926.0,1.0,5.0,5.0,54.0,18.0,1.0,0.0,0.0,16.0,1.0,12.0,79.0,67.0,0.0,4.0,0.0,4.0,33.0,54.0,0.0,8.0,64.0,15.0,2.0,3.0,15.0,51.0,4.0,52.0,5.0,43.0,59.0,3.0,4.0,32.0,7.0,3.0,23.0,31.0,2.0,37.0,44.0,6.0,0.0,5.0,0.0,1.0,12.0,7.0,8.0,21.0,17.0,45.0,4.0,11.0,1.0,0.0,43.0,34.0,15.0,0.0,20.0,7.0,1.0,21.0,11.0,6.0,53.0,65.0,0.0
9,2489330202.0,10.0,58.0,48.0,80.0,211.0,4.0,0.0,16.0,0.0,7.0,138.0,173.0,58.0,1.0,53.0,1.0,22.0,19.0,50.0,0.0,98.0,96.0,12.0,63.0,19.0,110.0,27.0,47.0,136.0,41.0,50.0,49.0,14.0,43.0,28.0,51.0,153.0,269.0,52.0,8.0,30.0,34.0,70.0,7.0,77.0,9.0,16.0,6.0,144.0,227.0,227.0,4.0,139.0,58.0,2.0,41.0,0.0,39.0,26.0,86.0,0.0,35.0,32.0,13.0,37.0,4.0,85.0,68.0,131.0,0.0
10,251071411.0,8.0,21.0,2.0,2.0,26.0,0.0,0.0,1.0,7.0,0.0,11.0,7.0,2.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,3.0,1.0,9.0,2.0,5.0,8.0,3.0,1.0,2.0,2.0,6.0,2.0,6.0,11.0,14.0,5.0,1.0,1.0,1.0,13.0,2.0,7.0,5.0,1.0,0.0,5.0,2.0,15.0,0.0,7.0,9.0,0.0,1.0,6.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,12.0,0.0,10.0,0.0
11,253442776.0,10.0,55.0,19.0,77.0,195.0,9.0,0.0,12.0,138.0,11.0,0.0,156.0,47.0,10.0,62.0,8.0,19.0,14.0,38.0,0.0,141.0,69.0,5.0,101.0,47.0,94.0,22.0,175.0,125.0,96.0,50.0,43.0,11.0,18.0,25.0,37.0,19.0,151.0,49.0,8.0,28.0,39.0,69.0,4.0,51.0,17.0,16.0,4.0,51.0,42.0,242.0,2.0,100.0,62.0,1.0,31.0,1.0,43.0,22.0,73.0,0.0,33.0,21.0,40.0,34.0,4.0,82.0,58.0,129.0,0.0
12,2541934525.0,7.0,69.0,18.0,203.0,276.0,7.0,0.0,79.0,173.0,7.0,156.0,0.0,131.0,1.0,47.0,1.0,31.0,70.0,127.0,0.0,108.0,215.0,30.0,70.0,21.0,153.0,76.0,44.0,222.0,43.0,117.0,120.0,17.0,37.0,94.0,62.0,19.0,237.0,104.0,8.0,88.0,89.0,82.0,5.0,55.0,7.0,14.0,15.0,64.0,55.0,236.0,28.0,179.0,64.0,21.0,43.0,0.0,96.0,78.0,117.0,0.0,73.0,36.0,16.0,75.0,19.0,110.0,186.0,259.0,0.0
13,2596447963.0,2.0,16.0,10.0,97.0,77.0,3.0,0.0,67.0,58.0,2.0,47.0,131.0,0.0,0.0,10.0,0.0,6.0,46.0,85.0,0.0,41.0,106.0,20.0,30.0,11.0,43.0,73.0,14.0,120.0,18.0,64.0,87.0,6.0,8.0,58.0,19.0,7.0,72.0,52.0,1.0,52.0,59.0,16.0,0.0,16.0,1.0,5.0,17.0,23.0,25.0,66.0,12.0,81.0,17.0,10.0,14.0,0.0,70.0,43.0,35.0,0.0,45.0,12.0,7.0,55.0,14.0,22.0,97.0,103.0,0.0
14,2647228652.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,13.0,6.0,2.0,0.0,13.0,2.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,13.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0
15,2667844086.0,13.0,86.0,27.0,18.0,131.0,4.0,0.0,4.0,53.0,26.0,62.0,47.0,10.0,0.0,0.0,0.0,9.0,5.0,11.0,0.0,40.0,23.0,2.0,20.0,5.0,42.0,5.0,20.0,46.0,16.0,14.0,13.0,8.0,17.0,21.0,27.0,25.0,68.0,18.0,4.0,12.0,17.0,49.0,8.0,32.0,52.0,11.0,3.0,19.0,12.0,72.0,1.0,37.0,49.0,1.0,11.0,4.0,11.0,11.0,36.0,0.0,9.0,14.0,4.0,8.0,3.0,62.0,8.0,45.0,0.0
16,2684173742.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,10.0,5.0,2.0,0.0,10.0,2.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0
17,2705535895.0,1.0,17.0,5.0,16.0,30.0,1.0,0.0,4.0,22.0,1.0,19.0,31.0,6.0,1.0,9.0,1.0,0.0,5.0,13.0,0.0,24.0,19.0,1.0,10.0,7.0,25.0,4.0,10.0,29.0,11.0,17.0,7.0,3.0,5.0,10.0,16.0,4.0,31.0,11.0,1.0,9.0,9.0,19.0,0.0,15.0,0.0,2.0,3.0,14.0,7.0,32.0,0.0,25.0,18.0,0.0,5.0,0.0,7.0,8.0,18.0,0.0,7.0,11.0,4.0,3.0,1.0,22.0,10.0,26.0,0.0
18,2795392087.0,1.0,9.0,6.0,54.0,35.0,0.0,0.0,33.0,19.0,0.0,14.0,70.0,46.0,0.0,5.0,0.0,5.0,0.0,33.0,0.0,16.0,74.0,21.0,7.0,6.0,24.0,31.0,7.0,37.0,5.0,45.0,35.0,1.0,3.0,38.0,8.0,6.0,31.0,43.0,1.0,37.0,36.0,6.0,1.0,5.0,0.0,1.0,17.0,12.0,9.0,33.0,23.0,64.0,10.0,9.0,7.0,0.0,48.0,37.0,31.0,0.0,36.0,8.0,3.0,26.0,15.0,16.0,74.0,70.0,0.0
19,2817241284.0,0.0,17.0,12.0,87.0,63.0,3.0,0.0,54.0,50.0,0.0,38.0,127.0,85.0,1.0,11.0,1.0,13.0,33.0,0.0,0.0,33.0,88.0,19.0,21.0,7.0,39.0,56.0,7.0,90.0,13.0,54.0,68.0,6.0,8.0,36.0,13.0,3.0,57.0,47.0,2.0,48.0,47.0,23.0,2.0,17.0,0.0,3.0,11.0,25.0,23.0,56.0,16.0,70.0,13.0,12.0,10.0,0.0,50.0,40.0,35.0,0.0,25.0,12.0,6.0,42.0,12.0,21.0,84.0,89.0,0.0
20,286714614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2882972743.0,7.0,41.0,16.0,52.0,131.0,7.0,0.0,8.0,98.0,4.0,141.0,108.0,41.0,6.0,40.0,6.0,24.0,16.0,33.0,0.0,0.0,46.0,6.0,76.0,33.0,75.0,21.0,103.0,88.0,62.0,42.0,28.0,9.0,16.0,16.0,32.0,21.0,112.0,37.0,5.0,17.0,24.0,53.0,6.0,42.0,11.0,7.0,5.0,39.0,28.0,165.0,2.0,75.0,57.0,1.0,25.0,0.0,30.0,21.0,50.0,0.0,25.0,19.0,30.0,25.0,3.0,63.0,39.0,89.0,0.0
22,2889537120.0,4.0,36.0,9.0,123.0,113.0,5.0,0.0,64.0,96.0,5.0,69.0,215.0,106.0,0.0,23.0,0.0,19.0,74.0,88.0,0.0,46.0,0.0,26.0,36.0,14.0,72.0,72.0,28.0,156.0,35.0,84.0,101.0,6.0,21.0,115.0,29.0,17.0,112.0,70.0,5.0,108.0,99.0,39.0,3.0,31.0,3.0,5.0,14.0,44.0,42.0,106.0,32.0,142.0,36.0,15.0,21.0,0.0,85.0,65.0,66.0,0.0,63.0,25.0,10.0,58.0,17.0,56.0,150.0,184.0,0.0
23,2902695462.0,0.0,5.0,3.0,28.0,15.0,0.0,0.0,15.0,12.0,0.0,5.0,30.0,20.0,0.0,2.0,0.0,1.0,21.0,19.0,0.0,6.0,26.0,0.0,2.0,1.0,14.0,16.0,1.0,19.0,1.0,21.0,18.0,1.0,4.0,21.0,4.0,1.0,18.0,18.0,2.0,21.0,16.0,3.0,1.0,5.0,0.0,0.0,9.0,5.0,4.0,19.0,10.0,27.0,4.0,6.0,1.0,0.0,20.0,22.0,17.0,0.0,15.0,6.0,2.0,21.0,12.0,5.0,30.0,28.0,0.0
24,2925375086.0,4.0,23.0,12.0,41.0,87.0,3.0,0.0,2.0,63.0,3.0,101.0,70.0,30.0,13.0,20.0,10.0,10.0,7.0,21.0,0.0,76.0,36.0,2.0,0.0,34.0,43.0,10.0,129.0,54.0,115.0,32.0,18.0,8.0,7.0,11.0,21.0,10.0,75.0,21.0,4.0,15.0,13.0,24.0,2.0,26.0,2.0,13.0,2.0,27.0,23.0,144.0,1.0,54.0,40.0,0.0,24.0,0.0,32.0,11.0,35.0,0.0,23.0,9.0,32.0,24.0,1.0,33.0,44.0,60.0,0.0
25,2997148682.0,0.0,12.0,3.0,14.0,25.0,3.0,0.0,3.0,19.0,1.0,47.0,21.0,11.0,6.0,5.0,5.0,7.0,6.0,7.0,0.0,33.0,14.0,1.0,34.0,0.0,18.0,7.0,69.0,17.0,54.0,12.0,5.0,3.0,7.0,6.0,12.0,7.0,21.0,10.0,2.0,6.0,4.0,9.0,0.0,6.0,0.0,3.0,2.0,9.0,9.0,65.0,0.0,21.0,20.0,0.0,6.0,0.0,11.0,10.0,13.0,0.0,12.0,7.0,17.0,3.0,1.0,13.0,8.0,24.0,0.0
26,3018000188.0,9.0,78.0,31.0,77.0,254.0,11.0,0.0,15.0,110.0,9.0,94.0,153.0,43.0,2.0,42.0,2.0,25.0,24.0,39.0,0.0,75.0,72.0,14.0,43.0,18.0,0.0,26.0,39.0,101.0,48.0,56.0,32.0,20.0,191.0,32.0,59.0,31.0,143.0,56.0,9.0,25.0,32.0,48.0,3.0,49.0,5.0,39.0,9.0,49.0,27.0,194.0,3.0,119.0,57.0,2.0,26.0,1.0,39.0,32.0,74.0,0.0,42.0,37.0,16.0,26.0,5.0,76.0,56.0,130.0,0.0
27,3051671544.0,1.0,8.0,5.0,55.0,35.0,2.0,0.0,51.0,27.0,2.0,22.0,76.0,73.0,0.0,5.0,0.0,4.0,31.0,56.0,0.0,21.0,72.0,16.0,10.0,7.0,26.0,0.0,12.0,72.0,7.0,41.0,68.0,3.0,6.0,35.0,13.0,8.0,34.0,33.0,2.0,37.0,43.0,10.0,1.0,8.0,0.0,2.0,12.0,15.0,13.0,34.0,15.0,52.0,10.0,9.0,2.0,0.0,41.0,35.0,26.0,0.0,21.0,10.0,4.0,27.0,11.0,9.0,53.0,67.0,0.0
28,3078657603.0,8.0,21.0,9.0,20.0,52.0,0.0,0.0,4.0,47.0,5.0,175.0,44.0,14.0,13.0,20.0,10.0,10.0,7.0,7.0,0.0,103.0,28.0,1.0,129.0,69.0,39.0,12.0,0.0,36.0,203.0,16.0,12.0,6.0,13.0,10.0,16.0,21.0,49.0,11.0,5.0,5.0,7.0,21.0,1.0,22.0,1.0,4.0,2.0,18.0,9.0,218.0,1.0,48.0,35.0,0.0,12.0,0.0,12.0,10.0,25.0,0.0,10.0,9.0,42.0,6.0,1.0,36.0,12.0,35.0,0.0
29,3103378417.0,32.0,56.0,13.0,119.0,193.0,8.0,0.0,52.0,136.0,8.0,125.0,222.0,120.0,2.0,46.0,2.0,29.0,37.0,90.0,0.0,88.0,156.0,19.0,54.0,17.0,101.0,72.0,36.0,0.0,41.0,82.0,108.0,16.0,17.0,118.0,49.0,11.0,172.0,67.0,4.0,63.0,86.0,60.0,8.0,47.0,20.0,11.0,11.0,55.0,38.0,170.0,11.0,121.0,50.0,6.0,28.0,0.0,82.0,52.0,79.0,0.0,55.0,26.0,17.0,63.0,10.0,78.0,111.0,175.0,0.0
30,3114420098.0,6.0,25.0,10.0,27.0,55.0,3.0,0.0,5.0,41.0,3.0,96.0,43.0,18.0,12.0,16.0,9.0,11.0,5.0,13.0,0.0,62.0,35.0,1.0,115.0,54.0,48.0,7.0,203.0,41.0,0.0,19.0,7.0,9.0,23.0,21.0,20.0,15.0,41.0,16.0,3.0,8.0,8.0,18.0,1.0,12.0,9.0,9.0,1.0,20.0,22.0,172.0,0.0,56.0,39.0,0.0,10.0,0.0,21.0,8.0,29.0,0.0,19.0,13.0,42.0,5.0,1.0,31.0,16.0,41.0,0.0
31,3139985070.0,1.0,23.0,6.0,87.0,78.0,5.0,0.0,43.0,50.0,1.0,50.0,117.0,64.0,1.0,14.0,1.0,17.0,45.0,54.0,0.0,42.0,84.0,21.0,32.0,12.0,56.0,41.0,16.0,82.0,19.0,0.0,54.0,8.0,12.0,47.0,27.0,4.0,73.0,57.0,3.0,50.0,43.0,25.0,1.0,29.0,0.0,5.0,16.0,27.0,24.0,82.0,25.0,96.0,31.0,8.0,16.0,0.0,68.0,53.0,55.0,0.0,48.0,17.0,9.0,43.0,14.0,35.0,96.0,128.0,0.0
32,3181148130.0,2.0,12.0,6.0,87.0,62.0,3.0,0.0,59.0,49.0,2.0,43.0,120.0,87.0,0.0,13.0,0.0,7.0,35.0,68.0,0.0,28.0,101.0,18.0,18.0,5.0,32.0,68.0,12.0,108.0,7.0,54.0,0.0,4.0,7.0,44.0,15.0,5.0,62.0,39.0,2.0,46.0,55.0,20.0,4.0,15.0,0.0,4.0,12.0,12.0,15.0,58.0,12.0,58.0,13.0,6.0,7.0,0.0,43.0,34.0,36.0,0.0,29.0,12.0,4.0,44.0,10.0,18.0,70.0,82.0,0.0
33,3224841817.0,4.0,6.0,2.0,10.0,18.0,0.0,0.0,3.0,14.0,2.0,11.0,17.0,6.0,0.0,8.0,0.0,3.0,1.0,6.0,0.0,9.0,6.0,1.0,8.0,3.0,20.0,3.0,6.0,16.0,9.0,8.0,4.0,0.0,8.0,7.0,20.0,10.0,15.0,9.0,0.0,2.0,5.0,4.0,1.0,8.0,2.0,2.0,0.0,5.0,9.0,22.0,1.0,21.0,8.0,0.0,4.0,0.0,9.0,2.0,6.0,0.0,8.0,24.0,1.0,2.0,0.0,3.0,4.0,13.0,0.0
34,328432443.0,6.0,58.0,32.0,18.0,61.0,3.0,0.0,4.0,43.0,6.0,18.0,37.0,8.0,0.0,17.0,0.0,5.0,3.0,8.0,0.0,16.0,21.0,4.0,7.0,7.0,191.0,6.0,13.0,17.0,23.0,12.0,7.0,8.0,0.0,6.0,15.0,45.0,50.0,16.0,5.0,6.0,5.0,16.0,2.0,20.0,6.0,12.0,0.0,11.0,14.0,45.0,0.0,35.0,18.0,0.0,8.0,1.0,12.0,8.0,20.0,0.0,10.0,13.0,4.0,2.0,0.0,20.0,6.0,23.0,0.0
