,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
0,-1.0,1014472861.0,1088673384.0,108932561.0,123907301.0,1286073547.0,129734015.0,132095476.0,1345923643.0,1360226702.0,138168534.0,1404113779.0,1448071981.0,1526624384.0,1578018152.0,1609986416.0,1612980956.0,1624960712.0,1677481501.0,1679974800.0,17481929.0,175654096.0,1953490207.0,1958029015.0,196195734.0,202571420.0,2150974058.0,22052895.0,2218834058.0,2325208218.0,2385434784.0,2507816448.0,2529779670.0,2594788350.0,2685147625.0,2715396797.0,2766102815.0,2819935525.0,2834367054.0,2842442970.0,2862889645.0,2898655952.0,2912563656.0,2919412724.0,2941076594.0,2954907308.0,2955251099.0,2955690313.0,2955832574.0,2955941941.0,2982013375.0,2995350464.0,302474902.0,3062572074.0,30860019.0,309701929.0,320811254.0,3253783614.0,325610106.0,3258801637.0,3265625238.0,3271916676.0,33131371.0,3315400338.0,333948601.0,335159421.0,3502039692.0,3515814794.0,353708454.0,3617084718.0,372180741.0,3759062833.0,3969464114.0,4184156722.0,449843383.0,4504378703.0,4610802808.0,4718740534.0,4737419786.0,4830668070.0,53078495.0,546953628.0,574227053.0,580057012.0,614941426.0,632432638.0,7.054849283564708e+17,7.089505947198874e+17,7.184282798336369e+17,7.332228107226767e+17,7.506884830233313e+17,7.533416302587453e+17,756330074.0,7.626870950014525e+17,7.647663670440837e+17,7.647874566211584e+17,7.77553343375827e+17,7.804736633929155e+17,7.8171733684369e+17,7.876581978888643e+17,7.909474863281725e+17,7.951811338643702e+17,7.987212636823388e+17,8.059736744320082e+17,8.123508837112914e+17,8.206789392701194e+17,8.24908397053096e+17,8.289750972685476e+17,832373833.0,833877799.0,8.369322251700429e+17,8.380843397787771e+17,8.446761639770071e+17,8.451974327365345e+17,8.477601558612746e+17,8.559749635846676e+17,8.653962276799775e+17,8.65490241217364e+17,8.658594844589507e+17,8.821165070265958e+17,8.82262074239275e+17,884831366.0,9.029099839304622e+17,9.040418751615468e+17,9.064800187415347e+17,9.152004418220442e+17,9.174309554212659e+17,9.204821986161213e+17,9.373387028749107e+17,94105816.0,9.427013383114793e+17,9.458874019934208e+17,9.465940454548275e+17,9.48090855553876e+17,9.540326676866621e+17,9.563869328330793e+17,9.568830545298432e+17,9.607106383339766e+17,9.616763204835901e+17,9.630733214526259e+17
1,1014472861.0,0.0,6.0,2.0,4.0,33.0,39.0,5.0,37.0,47.0,11.0,44.0,4.0,47.0,0.0,58.0,84.0,67.0,2.0,14.0,0.0,22.0,39.0,48.0,44.0,12.0,12.0,0.0,46.0,7.0,38.0,11.0,4.0,11.0,42.0,3.0,15.0,28.0,19.0,61.0,4.0,26.0,13.0,20.0,16.0,24.0,40.0,13.0,22.0,23.0,4.0,30.0,48.0,82.0,9.0,20.0,6.0,15.0,82.0,59.0,51.0,8.0,2.0,61.0,2.0,57.0,46.0,3.0,37.0,5.0,24.0,6.0,7.0,78.0,10.0,67.0,14.0,6.0,51.0,70.0,0.0,7.0,8.0,22.0,116.0,1.0,6.0,33.0,83.0,0.0,56.0,0.0,61.0,22.0,34.0,34.0,17.0,21.0,17.0,6.0,65.0,0.0,38.0,50.0,51.0,1.0,23.0,15.0,48.0,0.0,14.0,48.0,0.0,49.0,1.0,12.0,32.0,10.0,47.0,19.0,42.0,23.0,15.0,37.0,33.0,0.0,38.0,3.0,1.0,23.0,0.0,13.0,8.0,53.0,1.0,4.0,7.0,15.0,2.0,10.0
2,1088673384.0,6.0,0.0,4.0,3.0,11.0,9.0,3.0,9.0,19.0,7.0,71.0,8.0,46.0,0.0,21.0,41.0,88.0,2.0,53.0,0.0,35.0,56.0,15.0,11.0,50.0,21.0,0.0,8.0,9.0,26.0,21.0,2.0,0.0,11.0,22.0,41.0,9.0,21.0,78.0,26.0,13.0,13.0,6.0,20.0,4.0,11.0,0.0,0.0,12.0,0.0,0.0,7.0,20.0,7.0,2.0,3.0,72.0,22.0,20.0,64.0,23.0,1.0,108.0,2.0,22.0,44.0,26.0,53.0,0.0,8.0,7.0,44.0,77.0,42.0,37.0,0.0,12.0,32.0,24.0,0.0,24.0,5.0,4.0,29.0,0.0,19.0,39.0,38.0,0.0,18.0,0.0,13.0,18.0,8.0,6.0,21.0,1.0,10.0,4.0,22.0,0.0,104.0,13.0,50.0,0.0,4.0,56.0,5.0,0.0,5.0,69.0,0.0,78.0,23.0,16.0,53.0,10.0,58.0,104.0,62.0,7.0,1.0,32.0,13.0,0.0,38.0,1.0,0.0,7.0,1.0,8.0,13.0,14.0,0.0,7.0,11.0,12.0,38.0,23.0
3,108932561.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,9.0,8.0,8.0,1.0,9.0,0.0,7.0,11.0,19.0,0.0,2.0,0.0,5.0,5.0,7.0,10.0,2.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,7.0,1.0,3.0,2.0,5.0,19.0,0.0,6.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,13.0,4.0,0.0,0.0,3.0,5.0,2.0,10.0,0.0,3.0,15.0,0.0,14.0,10.0,0.0,10.0,0.0,3.0,3.0,1.0,15.0,4.0,23.0,2.0,0.0,11.0,12.0,0.0,0.0,8.0,0.0,16.0,2.0,1.0,1.0,23.0,0.0,9.0,0.0,5.0,4.0,4.0,0.0,3.0,0.0,4.0,1.0,8.0,0.0,8.0,4.0,15.0,0.0,2.0,6.0,2.0,0.0,6.0,14.0,0.0,11.0,0.0,2.0,7.0,1.0,10.0,7.0,6.0,1.0,0.0,13.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,4.0,0.0,0.0,1.0
4,123907301.0,4.0,3.0,0.0,0.0,7.0,6.0,0.0,8.0,8.0,36.0,11.0,0.0,14.0,0.0,8.0,15.0,37.0,9.0,4.0,0.0,6.0,7.0,5.0,20.0,2.0,5.0,0.0,2.0,3.0,10.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,7.0,21.0,2.0,1.0,4.0,3.0,8.0,1.0,7.0,2.0,1.0,10.0,1.0,1.0,12.0,15.0,9.0,1.0,1.0,7.0,11.0,1.0,11.0,8.0,2.0,14.0,19.0,63.0,15.0,1.0,12.0,1.0,3.0,3.0,8.0,21.0,3.0,25.0,3.0,2.0,32.0,10.0,0.0,2.0,10.0,3.0,30.0,13.0,2.0,14.0,44.0,0.0,13.0,0.0,8.0,2.0,4.0,3.0,5.0,1.0,5.0,2.0,11.0,2.0,7.0,6.0,20.0,0.0,3.0,11.0,4.0,0.0,3.0,17.0,0.0,10.0,0.0,14.0,12.0,5.0,17.0,4.0,13.0,3.0,1.0,10.0,18.0,0.0,13.0,1.0,4.0,3.0,0.0,5.0,4.0,9.0,0.0,1.0,3.0,3.0,2.0,3.0
5,1286073547.0,33.0,11.0,3.0,7.0,0.0,23.0,1.0,41.0,75.0,11.0,25.0,4.0,28.0,0.0,61.0,56.0,47.0,4.0,5.0,0.0,16.0,25.0,66.0,37.0,9.0,10.0,0.0,51.0,3.0,21.0,11.0,10.0,13.0,54.0,1.0,8.0,48.0,19.0,34.0,0.0,44.0,5.0,21.0,6.0,17.0,45.0,11.0,24.0,32.0,8.0,24.0,37.0,77.0,6.0,26.0,11.0,11.0,56.0,57.0,25.0,5.0,6.0,46.0,8.0,44.0,22.0,2.0,26.0,5.0,43.0,6.0,3.0,42.0,11.0,50.0,11.0,0.0,35.0,42.0,0.0,6.0,9.0,19.0,104.0,2.0,4.0,14.0,70.0,0.0,49.0,0.0,49.0,29.0,37.0,36.0,10.0,22.0,11.0,10.0,56.0,0.0,31.0,57.0,38.0,0.0,18.0,18.0,53.0,0.0,14.0,42.0,0.0,38.0,0.0,14.0,24.0,5.0,31.0,17.0,18.0,23.0,26.0,27.0,46.0,0.0,17.0,3.0,0.0,27.0,0.0,9.0,4.0,30.0,0.0,3.0,6.0,6.0,0.0,4.0
6,129734015.0,39.0,9.0,0.0,6.0,23.0,0.0,4.0,40.0,56.0,5.0,73.0,2.0,52.0,0.0,84.0,97.0,101.0,2.0,30.0,0.0,24.0,66.0,39.0,68.0,20.0,15.0,0.0,42.0,10.0,50.0,17.0,7.0,11.0,50.0,5.0,18.0,32.0,19.0,104.0,6.0,32.0,18.0,28.0,32.0,27.0,51.0,11.0,23.0,32.0,6.0,33.0,70.0,95.0,8.0,16.0,9.0,13.0,106.0,75.0,75.0,15.0,2.0,94.0,4.0,86.0,69.0,4.0,63.0,5.0,17.0,6.0,8.0,96.0,15.0,97.0,12.0,5.0,70.0,116.0,0.0,10.0,8.0,27.0,147.0,0.0,2.0,48.0,128.0,0.0,65.0,0.0,61.0,18.0,41.0,37.0,9.0,19.0,21.0,8.0,78.0,0.0,55.0,42.0,50.0,2.0,23.0,17.0,53.0,0.0,10.0,80.0,0.0,77.0,0.0,16.0,37.0,8.0,62.0,23.0,44.0,36.0,14.0,43.0,47.0,0.0,57.0,6.0,1.0,30.0,0.0,17.0,12.0,74.0,1.0,1.0,2.0,21.0,2.0,15.0
7,132095476.0,5.0,3.0,0.0,0.0,1.0,4.0,0.0,1.0,6.0,1.0,8.0,0.0,4.0,0.0,12.0,11.0,10.0,0.0,4.0,0.0,2.0,8.0,2.0,4.0,4.0,1.0,0.0,4.0,0.0,4.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,16.0,0.0,8.0,1.0,0.0,2.0,3.0,4.0,0.0,2.0,0.0,0.0,3.0,7.0,13.0,0.0,0.0,0.0,2.0,10.0,15.0,7.0,0.0,0.0,17.0,0.0,12.0,11.0,0.0,7.0,0.0,2.0,1.0,0.0,13.0,4.0,8.0,1.0,2.0,5.0,9.0,0.0,2.0,0.0,5.0,18.0,0.0,1.0,4.0,15.0,0.0,10.0,0.0,7.0,2.0,1.0,4.0,4.0,2.0,6.0,0.0,7.0,0.0,8.0,3.0,3.0,0.0,3.0,1.0,4.0,0.0,1.0,12.0,0.0,12.0,0.0,0.0,3.0,1.0,7.0,1.0,7.0,2.0,2.0,5.0,5.0,0.0,6.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0
8,1345923643.0,37.0,9.0,1.0,8.0,41.0,40.0,1.0,0.0,92.0,8.0,52.0,2.0,55.0,0.0,88.0,90.0,84.0,1.0,17.0,0.0,23.0,65.0,65.0,61.0,17.0,14.0,0.0,63.0,10.0,41.0,17.0,11.0,15.0,47.0,6.0,19.0,48.0,24.0,75.0,7.0,51.0,20.0,24.0,21.0,30.0,53.0,21.0,27.0,34.0,8.0,27.0,55.0,113.0,16.0,23.0,8.0,15.0,112.0,92.0,50.0,14.0,8.0,85.0,7.0,80.0,46.0,4.0,47.0,6.0,45.0,7.0,12.0,100.0,10.0,74.0,11.0,5.0,52.0,88.0,0.0,5.0,7.0,34.0,159.0,3.0,3.0,46.0,108.0,0.0,62.0,0.0,90.0,25.0,40.0,59.0,14.0,23.0,23.0,7.0,92.0,0.0,52.0,71.0,51.0,2.0,23.0,22.0,75.0,0.0,7.0,80.0,0.0,59.0,0.0,21.0,36.0,13.0,61.0,20.0,42.0,31.0,26.0,38.0,49.0,0.0,43.0,7.0,3.0,33.0,0.0,18.0,12.0,63.0,2.0,3.0,3.0,20.0,3.0,14.0
9,1360226702.0,47.0,19.0,9.0,8.0,75.0,56.0,6.0,92.0,0.0,16.0,60.0,2.0,50.0,0.0,140.0,110.0,87.0,5.0,20.0,0.0,19.0,69.0,118.0,67.0,29.0,13.0,0.0,101.0,5.0,35.0,19.0,20.0,20.0,76.0,6.0,13.0,115.0,24.0,78.0,4.0,100.0,14.0,36.0,12.0,38.0,83.0,20.0,29.0,46.0,11.0,39.0,74.0,173.0,15.0,40.0,9.0,15.0,151.0,180.0,48.0,10.0,4.0,100.0,6.0,82.0,45.0,7.0,63.0,6.0,83.0,7.0,9.0,115.0,23.0,86.0,16.0,5.0,54.0,102.0,0.0,13.0,15.0,53.0,275.0,1.0,6.0,36.0,136.0,0.0,88.0,0.0,113.0,55.0,59.0,79.0,15.0,37.0,23.0,11.0,131.0,0.0,55.0,127.0,61.0,1.0,22.0,27.0,126.0,0.0,15.0,81.0,0.0,81.0,0.0,17.0,29.0,6.0,62.0,23.0,41.0,35.0,35.0,47.0,75.0,0.0,30.0,5.0,1.0,71.0,0.0,19.0,9.0,53.0,2.0,2.0,9.0,22.0,1.0,9.0
