,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,-1.0,1067845556.0,113653261.0,132037287.0,134441194.0,141439024.0,145535500.0,165798073.0,17035802.0,17737327.0,1864432290.0,1912242896.0,2209010516.0,22368351.0,231620897.0,23758173.0,239921956.0,245440355.0,27843220.0,2787471493.0,279973577.0,29229201.0,304156373.0,3221964720.0,3292442355.0,3315727800.0,336942724.0,336960235.0,352338233.0,395321652.0,397307300.0,402396647.0,4292100615.0,46343277.0,487816537.0,50595242.0,538571667.0,53865169.0,550382928.0,57758737.0,590969116.0,66718258.0,7.846316843229512e+17,79120430.0,7.975259423652905e+17,833877799.0,8.486946887690936e+17,8.488147755387699e+17,914363598.0,9.230404974505288e+17,9.261342454828319e+17,9.448053821315564e+17,976028846.0
1,1067845556.0,0.0,24.0,9.0,14.0,5.0,2.0,23.0,26.0,0.0,13.0,1.0,12.0,0.0,10.0,35.0,10.0,0.0,5.0,89.0,1.0,45.0,29.0,2.0,10.0,33.0,2.0,0.0,11.0,0.0,14.0,5.0,3.0,17.0,6.0,8.0,1.0,19.0,0.0,3.0,29.0,0.0,14.0,7.0,22.0,0.0,23.0,2.0,268.0,0.0,1.0,12.0,0.0
2,113653261.0,24.0,0.0,24.0,27.0,29.0,23.0,31.0,217.0,9.0,42.0,4.0,41.0,14.0,46.0,87.0,14.0,5.0,22.0,81.0,5.0,119.0,99.0,5.0,67.0,1.0,2.0,3.0,21.0,11.0,23.0,12.0,2.0,58.0,35.0,92.0,18.0,96.0,0.0,6.0,69.0,2.0,42.0,32.0,56.0,0.0,45.0,23.0,28.0,2.0,2.0,14.0,3.0
3,132037287.0,9.0,24.0,0.0,5.0,15.0,2.0,10.0,60.0,0.0,12.0,1.0,11.0,0.0,4.0,46.0,6.0,0.0,18.0,48.0,0.0,37.0,23.0,3.0,9.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,30.0,13.0,1.0,0.0,22.0,0.0,1.0,44.0,0.0,20.0,8.0,66.0,0.0,12.0,15.0,24.0,0.0,0.0,0.0,0.0
4,134441194.0,14.0,27.0,5.0,0.0,18.0,1.0,17.0,34.0,0.0,21.0,1.0,24.0,0.0,14.0,77.0,6.0,0.0,5.0,34.0,2.0,32.0,38.0,1.0,25.0,1.0,0.0,0.0,15.0,2.0,11.0,10.0,1.0,13.0,10.0,3.0,1.0,28.0,0.0,2.0,27.0,0.0,22.0,6.0,20.0,0.0,28.0,12.0,14.0,0.0,0.0,13.0,0.0
5,141439024.0,5.0,29.0,15.0,18.0,0.0,5.0,16.0,100.0,2.0,54.0,0.0,264.0,0.0,4.0,32.0,0.0,0.0,10.0,22.0,2.0,44.0,93.0,72.0,58.0,0.0,19.0,1.0,21.0,1.0,19.0,0.0,5.0,11.0,9.0,11.0,4.0,38.0,0.0,2.0,21.0,0.0,89.0,2.0,10.0,0.0,10.0,142.0,14.0,0.0,3.0,90.0,2.0
6,145535500.0,2.0,23.0,2.0,1.0,5.0,0.0,4.0,17.0,3.0,2.0,0.0,5.0,2.0,7.0,7.0,1.0,0.0,2.0,11.0,1.0,17.0,13.0,1.0,12.0,0.0,0.0,4.0,4.0,2.0,5.0,3.0,0.0,8.0,3.0,22.0,12.0,5.0,0.0,2.0,13.0,0.0,4.0,4.0,3.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0
7,165798073.0,23.0,31.0,10.0,17.0,16.0,4.0,0.0,49.0,0.0,18.0,1.0,24.0,0.0,17.0,54.0,11.0,4.0,8.0,83.0,1.0,45.0,45.0,4.0,22.0,2.0,3.0,2.0,10.0,2.0,21.0,8.0,2.0,18.0,18.0,20.0,3.0,29.0,0.0,2.0,33.0,0.0,34.0,7.0,25.0,0.0,38.0,13.0,56.0,0.0,1.0,17.0,2.0
8,17035802.0,26.0,217.0,60.0,34.0,100.0,17.0,49.0,0.0,9.0,107.0,1.0,87.0,16.0,39.0,100.0,4.0,5.0,47.0,88.0,8.0,187.0,180.0,11.0,135.0,0.0,3.0,5.0,16.0,14.0,42.0,12.0,5.0,77.0,47.0,116.0,29.0,159.0,0.0,11.0,116.0,3.0,112.0,18.0,58.0,0.0,44.0,113.0,44.0,9.0,5.0,19.0,9.0
9,17737327.0,0.0,9.0,0.0,0.0,2.0,3.0,0.0,9.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,6.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
10,1864432290.0,13.0,42.0,12.0,21.0,54.0,2.0,18.0,107.0,2.0,0.0,0.0,45.0,2.0,9.0,61.0,7.0,1.0,12.0,36.0,3.0,75.0,153.0,9.0,54.0,0.0,0.0,5.0,8.0,3.0,18.0,3.0,2.0,27.0,9.0,30.0,6.0,62.0,0.0,3.0,41.0,0.0,46.0,3.0,14.0,0.0,23.0,35.0,22.0,0.0,7.0,7.0,36.0
