,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,-1.0,102576747.0,1111770013.0,1186987117.0,1256244530.0,1330876951.0,14726605.0,1558658197.0,1645658815.0,168364328.0,185667013.0,2339508653.0,2359328575.0,2481754254.0,253687000.0,2777267479.0,2890704012.0,2891849250.0,2904321841.0,2922747169.0,3011418180.0,3378668294.0,370092843.0,4344951854.0,4861887744.0,4864314450.0,540884301.0,58516766.0,61524466.0,69302901.0,7.91643479915e+17,7.037815820420588e+17,7.106005821642506e+17,7.20436554771116e+17,729894487.0,730088562.0,742289460.0,7.453915798006047e+17,7.513127665063731e+17,7.796301699297403e+17,7.854707486472356e+17,7.981946285414769e+17,8.159112482483692e+17,8.165591268096369e+17,817507375.0,8.256747820457124e+17,8.584123721044337e+17,8.721770636118712e+17,8.775749149658194e+17,8.849835205438628e+17,8.959394730027745e+17,9.119818808822989e+17,9.127430059661066e+17,9.317240215525048e+17,9.347037552196198e+17
1,102576747.0,0.0,0.0,0.0,17.0,6.0,63.0,18.0,17.0,67.0,3.0,0.0,144.0,1.0,68.0,3.0,6.0,1.0,3.0,15.0,4.0,2.0,2.0,0.0,3.0,24.0,1.0,164.0,43.0,1.0,0.0,36.0,0.0,0.0,143.0,0.0,4.0,2.0,5.0,2.0,8.0,6.0,4.0,20.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0,72.0
2,1111770013.0,0.0,0.0,72.0,957.0,27.0,0.0,233.0,13.0,0.0,0.0,15.0,0.0,27.0,3.0,0.0,577.0,337.0,156.0,130.0,30.0,1.0,841.0,25.0,101.0,0.0,2.0,1.0,0.0,28.0,0.0,5.0,108.0,30.0,0.0,1.0,0.0,436.0,2.0,0.0,77.0,0.0,125.0,81.0,0.0,0.0,0.0,1.0,30.0,0.0,12.0,13.0,0.0,0.0,0.0
3,1186987117.0,0.0,72.0,0.0,126.0,14.0,0.0,88.0,18.0,0.0,1.0,10.0,1.0,16.0,0.0,0.0,120.0,70.0,53.0,72.0,25.0,2.0,74.0,14.0,56.0,0.0,5.0,1.0,9.0,20.0,0.0,14.0,9.0,17.0,2.0,1.0,0.0,87.0,4.0,0.0,47.0,1.0,49.0,37.0,1.0,0.0,1.0,1.0,12.0,1.0,7.0,14.0,0.0,0.0,0.0
4,1256244530.0,17.0,957.0,126.0,0.0,73.0,10.0,621.0,224.0,1.0,22.0,20.0,17.0,49.0,8.0,2.0,1041.0,576.0,358.0,581.0,88.0,20.0,1019.0,25.0,305.0,2.0,51.0,42.0,64.0,100.0,0.0,190.0,107.0,47.0,27.0,1.0,12.0,502.0,15.0,5.0,267.0,12.0,322.0,161.0,4.0,0.0,3.0,15.0,52.0,5.0,17.0,34.0,0.0,0.0,8.0
5,1330876951.0,6.0,27.0,14.0,73.0,0.0,6.0,61.0,51.0,2.0,14.0,6.0,11.0,20.0,7.0,0.0,65.0,37.0,49.0,61.0,27.0,18.0,32.0,10.0,46.0,3.0,7.0,25.0,22.0,16.0,0.0,66.0,12.0,19.0,20.0,1.0,3.0,55.0,11.0,3.0,55.0,11.0,63.0,61.0,4.0,0.0,2.0,4.0,12.0,5.0,9.0,10.0,0.0,0.0,10.0
6,14726605.0,63.0,0.0,0.0,10.0,6.0,0.0,13.0,10.0,81.0,4.0,0.0,123.0,1.0,109.0,2.0,6.0,1.0,4.0,9.0,3.0,1.0,1.0,0.0,4.0,12.0,1.0,141.0,27.0,1.0,0.0,22.0,0.0,0.0,98.0,0.0,2.0,3.0,2.0,0.0,8.0,5.0,2.0,14.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,68.0
7,1558658197.0,18.0,233.0,88.0,621.0,61.0,13.0,0.0,189.0,3.0,21.0,20.0,24.0,46.0,14.0,2.0,572.0,276.0,245.0,408.0,79.0,18.0,370.0,21.0,212.0,4.0,43.0,40.0,61.0,73.0,0.0,172.0,22.0,39.0,31.0,1.0,6.0,277.0,12.0,4.0,197.0,12.0,203.0,120.0,7.0,0.0,3.0,18.0,43.0,4.0,16.0,33.0,0.0,3.0,13.0
8,1645658815.0,17.0,13.0,18.0,224.0,51.0,10.0,189.0,0.0,10.0,27.0,4.0,27.0,24.0,16.0,1.0,238.0,71.0,189.0,267.0,50.0,27.0,69.0,3.0,143.0,4.0,37.0,40.0,61.0,44.0,0.0,248.0,6.0,21.0,36.0,1.0,10.0,103.0,14.0,4.0,153.0,12.0,133.0,95.0,6.0,0.0,4.0,13.0,25.0,4.0,7.0,21.0,0.0,2.0,19.0
9,168364328.0,67.0,0.0,0.0,1.0,2.0,81.0,3.0,10.0,0.0,0.0,0.0,129.0,1.0,80.0,0.0,4.0,3.0,2.0,4.0,7.0,4.0,0.0,0.0,1.0,15.0,0.0,139.0,23.0,0.0,0.0,14.0,0.0,0.0,90.0,0.0,1.0,1.0,11.0,1.0,5.0,2.0,1.0,8.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0
