,0,1,2,3,4,5,6,7,8,9
0,-1.0,7.366442002387436e+17,7.887050814620262e+17,8.791843515604255e+17,9.072087185337549e+17,9.118133782382428e+17,9.248462129347502e+17,9.530516762183434e+17,9.533666435094282e+17,9.801232116218348e+17
1,7.366442002387436e+17,0.0,2.0,16.0,27.0,6.0,1.0,14.0,6.0,16.0
2,7.887050814620262e+17,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
3,8.791843515604255e+17,16.0,1.0,0.0,10.0,6.0,2.0,9.0,6.0,7.0
4,9.072087185337549e+17,27.0,0.0,10.0,0.0,6.0,0.0,10.0,7.0,14.0
5,9.118133782382428e+17,6.0,0.0,6.0,6.0,0.0,16.0,21.0,4.0,4.0
6,9.248462129347502e+17,1.0,1.0,2.0,0.0,16.0,0.0,1.0,0.0,0.0
7,9.530516762183434e+17,14.0,1.0,9.0,10.0,21.0,1.0,0.0,6.0,14.0
8,9.533666435094282e+17,6.0,0.0,6.0,7.0,4.0,0.0,6.0,0.0,6.0
9,9.801232116218348e+17,16.0,0.0,7.0,14.0,4.0,0.0,14.0,6.0,0.0
