,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157
0,-1.0,1011916519.0,101258468.0,101988131.0,104794259.0,106704255.0,1110840294.0,116503509.0,11658172.0,1173501156.0,121716202.0,122322961.0,124044755.0,130027649.0,13013112.0,1309690194.0,1316763114.0,132350168.0,136522872.0,138278423.0,14195753.0,14223083.0,14311112.0,14311121.0,1434246793.0,14416772.0,14428536.0,14451153.0,144988686.0,145995046.0,146426156.0,14714136.0,148786408.0,149580057.0,151295285.0,152584516.0,155517993.0,15657091.0,15763350.0,160221039.0,162304989.0,16418528.0,164666306.0,164700268.0,16470319.0,16542463.0,1665589644.0,169085447.0,16947322.0,17018645.0,173424834.0,17563718.0,17676091.0,1799044873.0,1883645040.0,193771887.0,19662889.0,19685758.0,201995913.0,217323941.0,218192899.0,21998539.0,22374366.0,228433927.0,23016462.0,232037722.0,232788367.0,233627103.0,2349527815.0,2391762186.0,23991729.0,242266975.0,2426665586.0,244051691.0,249689870.0,251726691.0,252870274.0,2547040466.0,2556186108.0,256882565.0,257509172.0,263308380.0,264471883.0,26945692.0,278527917.0,282916645.0,2856528830.0,296053038.0,29892753.0,3129259739.0,3194758304.0,3299264534.0,333310734.0,361704573.0,363494868.0,36453220.0,36911342.0,371088454.0,37114659.0,377158991.0,39024549.0,39807785.0,399840700.0,410763191.0,42778117.0,430804578.0,4487840539.0,4677857995.0,48226009.0,499475087.0,522408965.0,52356199.0,595387432.0,597135391.0,60822560.0,60864604.0,608866235.0,614694299.0,61673414.0,622540432.0,62558115.0,62845902.0,62972086.0,63069724.0,63954745.0,64070520.0,64455961.0,64558929.0,64646984.0,64694303.0,64947650.0,65916370.0,66632083.0,66901823.0,67250716.0,69839181.0,722289631.0,72302410.0,72315090.0,7.23843107729494e+17,72458998.0,72480943.0,72772802.0,7.361332612487291e+17,742435256.0,76026916.0,77187387.0,77374206.0,77932548.0,78028120.0,80874374.0,81850109.0,85095597.0,85740885.0,86819813.0,91307415.0,93598752.0,95133471.0
1,1011916519.0,0.0,1.0,0.0,0.0,4.0,8.0,1.0,41.0,4.0,1.0,0.0,91.0,0.0,0.0,9.0,0.0,2.0,0.0,10.0,12.0,5.0,5.0,0.0,1.0,1.0,13.0,4.0,2.0,2.0,0.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,5.0,15.0,1.0,1.0,7.0,19.0,0.0,9.0,0.0,13.0,0.0,0.0,13.0,2.0,1.0,1.0,1.0,17.0,0.0,1.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,23.0,36.0,0.0,17.0,2.0,1.0,1.0,1.0,0.0,17.0,12.0,0.0,2.0,1.0,1.0,11.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,74.0,1.0,4.0,10.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,4.0,1.0,7.0,50.0,2.0,0.0,1.0,0.0,0.0,6.0,1.0,7.0,0.0,5.0,33.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,24.0,7.0,1.0,4.0,15.0,1.0,7.0,9.0,1.0,0.0,2.0,1.0,0.0,0.0,8.0,1.0,1.0,10.0,0.0,0.0,1.0,2.0,1.0
2,101258468.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,6.0,8.0,2.0,0.0,0.0,1.0,18.0,0.0,1.0,3.0,2.0,2.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,10.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,2.0,2.0,3.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,3.0,0.0,1.0,3.0,4.0,0.0,0.0,12.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
3,101988131.0,0.0,2.0,0.0,52.0,43.0,1.0,15.0,3.0,20.0,1.0,0.0,5.0,1.0,2.0,0.0,23.0,1.0,6.0,0.0,6.0,12.0,41.0,8.0,10.0,8.0,49.0,0.0,16.0,35.0,8.0,27.0,0.0,0.0,2.0,0.0,56.0,20.0,29.0,6.0,0.0,2.0,18.0,31.0,5.0,10.0,2.0,0.0,0.0,10.0,7.0,11.0,0.0,9.0,1.0,0.0,2.0,28.0,0.0,44.0,0.0,26.0,39.0,7.0,4.0,1.0,10.0,25.0,10.0,0.0,50.0,0.0,24.0,1.0,2.0,2.0,3.0,0.0,8.0,1.0,1.0,2.0,5.0,1.0,78.0,6.0,1.0,3.0,8.0,1.0,0.0,0.0,4.0,0.0,1.0,23.0,5.0,1.0,0.0,47.0,31.0,0.0,30.0,0.0,20.0,1.0,0.0,0.0,0.0,20.0,1.0,29.0,29.0,0.0,15.0,2.0,0.0,47.0,31.0,53.0,24.0,40.0,5.0,29.0,22.0,28.0,0.0,3.0,45.0,29.0,18.0,12.0,3.0,12.0,0.0,2.0,25.0,17.0,48.0,0.0,43.0,72.0,37.0,10.0,0.0,3.0,1.0,57.0,0.0,3.0,9.0,0.0,0.0,0.0,7.0,13.0,1.0,21.0
4,104794259.0,0.0,1.0,52.0,0.0,98.0,1.0,32.0,3.0,56.0,1.0,1.0,20.0,2.0,8.0,0.0,38.0,3.0,12.0,1.0,6.0,31.0,59.0,10.0,35.0,9.0,63.0,2.0,29.0,94.0,20.0,37.0,0.0,0.0,4.0,0.0,148.0,47.0,24.0,15.0,0.0,2.0,37.0,73.0,10.0,27.0,3.0,1.0,2.0,28.0,13.0,20.0,1.0,17.0,2.0,0.0,4.0,40.0,0.0,78.0,0.0,40.0,51.0,11.0,13.0,1.0,20.0,47.0,17.0,0.0,89.0,0.0,39.0,1.0,5.0,3.0,7.0,0.0,15.0,1.0,1.0,4.0,8.0,2.0,204.0,6.0,1.0,18.0,13.0,3.0,0.0,1.0,14.0,0.0,1.0,61.0,8.0,6.0,0.0,85.0,49.0,1.0,69.0,0.0,52.0,2.0,0.0,1.0,2.0,42.0,1.0,51.0,74.0,0.0,44.0,6.0,0.0,120.0,50.0,133.0,37.0,103.0,22.0,75.0,47.0,46.0,0.0,5.0,75.0,68.0,26.0,24.0,5.0,20.0,0.0,2.0,47.0,30.0,91.0,1.0,71.0,157.0,55.0,30.0,0.0,6.0,1.0,83.0,0.0,3.0,15.0,0.0,3.0,0.0,18.0,23.0,1.0,31.0
5,106704255.0,4.0,3.0,43.0,98.0,0.0,1.0,24.0,14.0,41.0,1.0,3.0,60.0,4.0,20.0,0.0,14.0,8.0,5.0,2.0,15.0,28.0,81.0,17.0,63.0,11.0,94.0,8.0,48.0,73.0,20.0,66.0,0.0,2.0,8.0,1.0,126.0,69.0,32.0,15.0,0.0,20.0,18.0,35.0,8.0,17.0,2.0,1.0,6.0,52.0,16.0,17.0,5.0,7.0,1.0,0.0,13.0,54.0,0.0,56.0,0.0,39.0,34.0,6.0,16.0,1.0,10.0,46.0,10.0,1.0,100.0,0.0,30.0,6.0,22.0,20.0,8.0,0.0,9.0,1.0,1.0,3.0,11.0,7.0,295.0,9.0,8.0,31.0,13.0,6.0,0.0,7.0,25.0,0.0,6.0,49.0,3.0,25.0,3.0,48.0,71.0,3.0,56.0,0.0,40.0,7.0,2.0,2.0,1.0,37.0,1.0,39.0,109.0,2.0,47.0,17.0,0.0,86.0,42.0,120.0,31.0,88.0,14.0,46.0,42.0,58.0,9.0,9.0,84.0,65.0,51.0,34.0,3.0,26.0,1.0,8.0,39.0,23.0,100.0,0.0,47.0,142.0,97.0,21.0,1.0,4.0,3.0,118.0,0.0,11.0,1.0,0.0,25.0,2.0,9.0,25.0,2.0,23.0
6,1110840294.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,1.0,1.0,0.0,27.0,2.0,0.0,4.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,7.0,0.0,12.0,0.0,8.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,5.0,7.0,21.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,21.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,3.0,2.0,1.0,10.0,1.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,17.0,4.0,2.0,5.0,3.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0
7,116503509.0,1.0,1.0,15.0,32.0,24.0,1.0,0.0,2.0,18.0,1.0,0.0,5.0,0.0,5.0,0.0,12.0,2.0,5.0,0.0,4.0,16.0,24.0,11.0,11.0,11.0,38.0,1.0,8.0,30.0,3.0,11.0,0.0,1.0,4.0,0.0,41.0,19.0,11.0,12.0,0.0,3.0,7.0,21.0,16.0,8.0,2.0,2.0,0.0,8.0,6.0,10.0,3.0,7.0,2.0,0.0,5.0,14.0,0.0,30.0,0.0,14.0,15.0,2.0,7.0,1.0,7.0,15.0,11.0,0.0,40.0,0.0,18.0,0.0,6.0,5.0,1.0,0.0,7.0,1.0,1.0,1.0,2.0,1.0,53.0,3.0,0.0,6.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,18.0,2.0,3.0,0.0,23.0,20.0,2.0,9.0,0.0,20.0,2.0,0.0,1.0,1.0,9.0,1.0,15.0,16.0,0.0,14.0,3.0,0.0,35.0,17.0,25.0,20.0,37.0,16.0,32.0,21.0,18.0,0.0,6.0,21.0,19.0,9.0,8.0,4.0,9.0,0.0,1.0,24.0,10.0,36.0,1.0,27.0,52.0,18.0,7.0,0.0,4.0,0.0,20.0,0.0,1.0,6.0,0.0,3.0,0.0,8.0,9.0,1.0,13.0
8,11658172.0,41.0,2.0,3.0,3.0,14.0,10.0,2.0,0.0,14.0,1.0,0.0,391.0,4.0,2.0,16.0,1.0,3.0,1.0,13.0,25.0,15.0,14.0,2.0,4.0,4.0,31.0,11.0,6.0,6.0,0.0,3.0,3.0,1.0,8.0,1.0,6.0,1.0,5.0,2.0,0.0,70.0,1.0,6.0,1.0,1.0,1.0,7.0,34.0,0.0,1.0,12.0,61.0,0.0,13.0,0.0,75.0,5.0,1.0,19.0,2.0,1.0,0.0,0.0,11.0,2.0,1.0,8.0,1.0,0.0,44.0,2.0,3.0,1.0,85.0,76.0,0.0,20.0,6.0,2.0,1.0,0.0,1.0,35.0,23.0,0.0,3.0,1.0,5.0,12.0,0.0,3.0,2.0,0.0,5.0,5.0,0.0,206.0,4.0,4.0,32.0,8.0,2.0,1.0,1.0,6.0,0.0,11.0,3.0,2.0,1.0,12.0,4.0,4.0,20.0,115.0,0.0,2.0,2.0,4.0,1.0,15.0,3.0,10.0,2.0,8.0,74.0,3.0,7.0,1.0,3.0,5.0,1.0,1.0,0.0,30.0,12.0,4.0,21.0,27.0,5.0,23.0,18.0,0.0,1.0,4.0,2.0,1.0,0.0,4.0,0.0,7.0,19.0,0.0,0.0,0.0,3.0,2.0
9,1173501156.0,4.0,1.0,20.0,56.0,41.0,1.0,18.0,14.0,0.0,1.0,0.0,61.0,2.0,8.0,0.0,24.0,6.0,5.0,0.0,13.0,29.0,50.0,11.0,9.0,15.0,109.0,4.0,28.0,37.0,10.0,25.0,0.0,1.0,8.0,0.0,58.0,21.0,33.0,6.0,0.0,22.0,15.0,50.0,7.0,9.0,4.0,0.0,4.0,19.0,4.0,25.0,3.0,11.0,3.0,0.0,16.0,32.0,0.0,50.0,0.0,17.0,27.0,5.0,10.0,1.0,18.0,49.0,8.0,0.0,69.0,0.0,35.0,1.0,15.0,33.0,2.0,0.0,16.0,1.0,1.0,3.0,10.0,4.0,93.0,7.0,3.0,7.0,12.0,1.0,0.0,3.0,2.0,0.0,1.0,17.0,0.0,36.0,0.0,34.0,73.0,0.0,17.0,0.0,20.0,5.0,0.0,4.0,0.0,15.0,1.0,47.0,44.0,1.0,46.0,30.0,0.0,69.0,30.0,46.0,25.0,85.0,14.0,53.0,12.0,16.0,3.0,13.0,54.0,24.0,22.0,20.0,3.0,19.0,0.0,1.0,67.0,24.0,74.0,0.0,40.0,82.0,64.0,15.0,6.0,4.0,2.0,47.0,0.0,7.0,3.0,0.0,11.0,1.0,21.0,23.0,1.0,19.0
