,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0,-1.0,1195603878.0,130025472.0,1368820381.0,157646729.0,188370361.0,2287831914.0,2616400495.0,2770244100.0,2815088778.0,2842406474.0,2921306660.0,327043630.0,327444253.0,3395146690.0,346499792.0,3669478513.0,3690672558.0,3697461972.0,3867235214.0,4046627532.0,4163438836.0,4313030473.0,4431207253.0,4629616573.0,4721594294.0,548532354.0,7.21321752710611e+17,7.347836377202033e+17,7.496333841340867e+17,752306227.0,7.553696041935421e+17,7.58142434081665e+17,7.641078031203369e+17,7.827947575336428e+17,7.873057365021778e+17,8.067475306586522e+17,8.202469494881321e+17,8.212326928931267e+17,8.232324380715336e+17,8.51747213893972e+17,8.564437216210207e+17,8.621360750655816e+17,8.759183298437775e+17,8.799644407827538e+17,8.881829124781916e+17,8.933328232637932e+17,8.974491220677345e+17,8.989326360804557e+17,9.020881233325507e+17,9.054151240300749e+17,9.096157668188447e+17,9.104824313455329e+17,9.11479886920917e+17,9.139521606850888e+17,91532483.0,9.16925706105389e+17,9.170238034939044e+17,9.172496571215503e+17,9.178759423279268e+17,9.182646781277348e+17,9.201138194892227e+17,9.203793035814134e+17,9.217624999799112e+17,9.262313348544348e+17,9.304033057712251e+17,9.348313399327007e+17,9.36989468392747e+17,9.379282477019955e+17,9.38659261055361e+17,9.40138428028543e+17,9.405870718019338e+17,9.42421865888469e+17,94295087.0,9.459887887102853e+17,9.499674784524493e+17,9.517127932873196e+17,9.517698460850708e+17,9.56357425199661e+17,9.575920285351772e+17,9.5960696126319e+17,9.597478291398287e+17,9.599602890882253e+17,9.611982998259139e+17,9.616556569556992e+17,9.625837092568392e+17,9.642860611562496e+17,9.684774594431713e+17,9.687616925103923e+17,96955532.0
1,1195603878.0,0.0,169.0,5.0,24.0,159.0,66.0,52.0,115.0,61.0,244.0,131.0,149.0,33.0,121.0,25.0,85.0,80.0,30.0,293.0,176.0,119.0,0.0,16.0,103.0,125.0,13.0,30.0,127.0,84.0,48.0,69.0,48.0,283.0,66.0,54.0,90.0,144.0,496.0,251.0,137.0,46.0,63.0,31.0,27.0,78.0,31.0,65.0,262.0,129.0,260.0,43.0,57.0,108.0,192.0,219.0,58.0,31.0,149.0,97.0,24.0,13.0,84.0,49.0,54.0,139.0,112.0,12.0,0.0,84.0,35.0,36.0,75.0,390.0,34.0,38.0,33.0,0.0,26.0,51.0,10.0,47.0,344.0,35.0,205.0,40.0,27.0,10.0,31.0,118.0
2,130025472.0,169.0,0.0,3.0,17.0,115.0,14.0,31.0,74.0,13.0,140.0,109.0,102.0,25.0,75.0,22.0,44.0,48.0,17.0,174.0,70.0,71.0,0.0,15.0,65.0,62.0,13.0,19.0,65.0,48.0,17.0,43.0,22.0,153.0,8.0,33.0,43.0,60.0,172.0,119.0,60.0,7.0,35.0,15.0,23.0,37.0,19.0,32.0,119.0,86.0,136.0,28.0,41.0,52.0,87.0,97.0,30.0,22.0,94.0,55.0,20.0,11.0,43.0,31.0,30.0,79.0,52.0,11.0,0.0,69.0,24.0,26.0,38.0,272.0,24.0,24.0,22.0,0.0,14.0,56.0,7.0,27.0,125.0,24.0,77.0,32.0,20.0,4.0,23.0,90.0
3,1368820381.0,5.0,3.0,0.0,2.0,4.0,2.0,2.0,4.0,2.0,5.0,5.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0,0.0,2.0,3.0,9.0,1.0,4.0,4.0,5.0,3.0,2.0,2.0,5.0,1.0,3.0,2.0,3.0,4.0,3.0,6.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,6.0,6.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,0.0,3.0,3.0,3.0,2.0,5.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,3.0,6.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0
4,157646729.0,24.0,17.0,2.0,0.0,16.0,2.0,11.0,13.0,12.0,22.0,11.0,15.0,8.0,20.0,8.0,12.0,10.0,5.0,12.0,25.0,9.0,0.0,6.0,14.0,16.0,2.0,9.0,16.0,11.0,5.0,13.0,2.0,22.0,1.0,7.0,13.0,12.0,27.0,19.0,5.0,3.0,10.0,4.0,4.0,11.0,8.0,12.0,16.0,12.0,19.0,10.0,11.0,12.0,25.0,28.0,14.0,12.0,16.0,11.0,6.0,2.0,19.0,9.0,12.0,19.0,18.0,7.0,0.0,11.0,9.0,10.0,14.0,24.0,11.0,6.0,8.0,0.0,11.0,12.0,2.0,11.0,30.0,12.0,19.0,12.0,9.0,1.0,9.0,13.0
5,188370361.0,159.0,115.0,4.0,16.0,0.0,17.0,37.0,80.0,26.0,128.0,89.0,98.0,47.0,95.0,25.0,53.0,49.0,20.0,111.0,114.0,61.0,0.0,11.0,69.0,61.0,11.0,25.0,75.0,52.0,22.0,80.0,21.0,132.0,11.0,35.0,78.0,72.0,207.0,137.0,73.0,8.0,36.0,25.0,23.0,51.0,23.0,42.0,136.0,69.0,113.0,27.0,44.0,69.0,116.0,153.0,30.0,21.0,114.0,60.0,22.0,10.0,46.0,36.0,38.0,89.0,70.0,10.0,0.0,58.0,25.0,51.0,58.0,211.0,22.0,33.0,45.0,0.0,12.0,43.0,9.0,34.0,196.0,31.0,94.0,38.0,23.0,4.0,48.0,66.0
6,2287831914.0,66.0,14.0,2.0,2.0,17.0,0.0,3.0,10.0,7.0,20.0,10.0,8.0,4.0,9.0,8.0,6.0,8.0,3.0,26.0,7.0,12.0,0.0,2.0,8.0,10.0,3.0,2.0,7.0,8.0,10.0,7.0,4.0,21.0,10.0,3.0,5.0,14.0,29.0,14.0,13.0,6.0,5.0,2.0,2.0,9.0,3.0,9.0,18.0,10.0,18.0,6.0,5.0,6.0,12.0,19.0,6.0,7.0,10.0,9.0,3.0,0.0,2.0,7.0,4.0,10.0,10.0,3.0,0.0,6.0,2.0,3.0,5.0,27.0,5.0,2.0,3.0,0.0,1.0,2.0,2.0,5.0,21.0,3.0,11.0,3.0,3.0,3.0,3.0,7.0
7,2616400495.0,52.0,31.0,2.0,11.0,37.0,3.0,0.0,82.0,19.0,120.0,25.0,47.0,5.0,61.0,10.0,53.0,19.0,30.0,26.0,36.0,20.0,0.0,18.0,34.0,24.0,3.0,44.0,42.0,60.0,11.0,18.0,7.0,57.0,3.0,14.0,17.0,26.0,106.0,64.0,21.0,2.0,15.0,19.0,20.0,24.0,18.0,24.0,34.0,18.0,36.0,16.0,18.0,37.0,55.0,87.0,17.0,9.0,39.0,18.0,8.0,3.0,29.0,13.0,27.0,28.0,38.0,5.0,0.0,29.0,25.0,7.0,26.0,144.0,10.0,7.0,6.0,0.0,9.0,10.0,2.0,11.0,108.0,16.0,107.0,9.0,13.0,0.0,5.0,39.0
8,2770244100.0,115.0,74.0,4.0,13.0,80.0,10.0,82.0,0.0,24.0,192.0,65.0,76.0,10.0,96.0,18.0,71.0,35.0,48.0,135.0,62.0,45.0,0.0,19.0,38.0,53.0,8.0,53.0,74.0,95.0,22.0,25.0,31.0,138.0,5.0,24.0,39.0,69.0,207.0,115.0,63.0,4.0,29.0,31.0,23.0,39.0,20.0,33.0,94.0,55.0,102.0,33.0,39.0,48.0,79.0,145.0,21.0,20.0,63.0,50.0,13.0,3.0,32.0,25.0,41.0,65.0,50.0,8.0,0.0,58.0,36.0,13.0,33.0,216.0,16.0,9.0,12.0,0.0,13.0,18.0,7.0,26.0,140.0,14.0,143.0,13.0,13.0,1.0,11.0,62.0
9,2815088778.0,61.0,13.0,2.0,12.0,26.0,7.0,19.0,24.0,0.0,46.0,6.0,39.0,11.0,65.0,5.0,24.0,8.0,6.0,24.0,83.0,4.0,0.0,6.0,17.0,41.0,2.0,12.0,22.0,11.0,11.0,27.0,9.0,34.0,6.0,15.0,19.0,19.0,69.0,43.0,7.0,3.0,6.0,15.0,5.0,30.0,9.0,12.0,39.0,7.0,27.0,5.0,14.0,25.0,76.0,75.0,41.0,20.0,43.0,13.0,6.0,4.0,50.0,6.0,10.0,34.0,35.0,4.0,0.0,7.0,8.0,16.0,26.0,65.0,14.0,15.0,13.0,0.0,30.0,12.0,2.0,12.0,140.0,14.0,60.0,13.0,16.0,3.0,13.0,14.0
