,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,-1.0,1604707735.0,295688822.0,7.27385453553406e+17,7.366442002387436e+17,7.693480844217098e+17,7.887050814620262e+17,8.14134110771757e+17,8.434631593945539e+17,8.434961764984955e+17,8.640138945447567e+17,8.687469032693719e+17,8.772291584091464e+17,8.789262191311913e+17,8.791843515604255e+17,8.894214649269985e+17,8.923646005529395e+17,8.935062087406428e+17,9.072087185337549e+17,9.118133782382428e+17,9.119650247757865e+17,9.209731821228073e+17,9.332773711839273e+17,9.412560678493757e+17,9.530516762183434e+17,9.533666435094282e+17,9.536489794677842e+17,9.801232116218348e+17
1,1604707735.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0
2,295688822.0,0.0,0.0,13.0,1.0,1.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7.27385453553406e+17,0.0,13.0,0.0,5.0,5.0,2.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,7.366442002387436e+17,4.0,1.0,5.0,0.0,30.0,2.0,7.0,2.0,6.0,10.0,17.0,22.0,16.0,16.0,8.0,25.0,14.0,27.0,6.0,17.0,5.0,6.0,17.0,14.0,6.0,5.0,16.0
5,7.693480844217098e+17,5.0,1.0,5.0,30.0,0.0,2.0,10.0,52.0,59.0,122.0,131.0,61.0,13.0,28.0,8.0,70.0,60.0,26.0,20.0,72.0,80.0,7.0,46.0,21.0,10.0,30.0,19.0
6,7.887050814620262e+17,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,8.14134110771757e+17,0.0,27.0,18.0,7.0,10.0,2.0,0.0,1.0,6.0,2.0,2.0,3.0,0.0,7.0,1.0,2.0,1.0,4.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
8,8.434631593945539e+17,1.0,0.0,0.0,2.0,52.0,0.0,1.0,0.0,42.0,39.0,35.0,16.0,1.0,2.0,1.0,18.0,8.0,1.0,1.0,35.0,29.0,1.0,15.0,1.0,1.0,15.0,1.0
9,8.434961764984955e+17,2.0,0.0,0.0,6.0,59.0,0.0,6.0,42.0,0.0,32.0,38.0,16.0,2.0,6.0,2.0,15.0,9.0,2.0,2.0,40.0,24.0,2.0,15.0,2.0,2.0,16.0,2.0
10,8.640138945447567e+17,3.0,0.0,0.0,10.0,122.0,0.0,2.0,39.0,32.0,0.0,121.0,41.0,5.0,7.0,5.0,48.0,33.0,10.0,5.0,68.0,63.0,4.0,31.0,5.0,6.0,23.0,6.0
11,8.687469032693719e+17,4.0,0.0,0.0,17.0,131.0,0.0,2.0,35.0,38.0,121.0,0.0,64.0,7.0,7.0,7.0,65.0,50.0,15.0,7.0,74.0,80.0,6.0,46.0,10.0,9.0,32.0,14.0
12,8.772291584091464e+17,4.0,0.0,1.0,22.0,61.0,0.0,3.0,16.0,16.0,41.0,64.0,0.0,11.0,8.0,8.0,49.0,23.0,13.0,5.0,43.0,33.0,7.0,27.0,14.0,10.0,29.0,15.0
13,8.789262191311913e+17,4.0,0.0,0.0,16.0,13.0,0.0,0.0,1.0,2.0,5.0,7.0,11.0,0.0,11.0,5.0,10.0,7.0,8.0,6.0,2.0,4.0,7.0,6.0,9.0,7.0,4.0,14.0
14,8.791843515604255e+17,3.0,5.0,5.0,16.0,28.0,1.0,7.0,2.0,6.0,7.0,7.0,8.0,11.0,0.0,4.0,10.0,6.0,10.0,6.0,6.0,5.0,4.0,6.0,9.0,6.0,4.0,7.0
15,8.894214649269985e+17,4.0,0.0,1.0,8.0,8.0,0.0,1.0,1.0,2.0,5.0,7.0,8.0,5.0,4.0,0.0,6.0,6.0,8.0,3.0,7.0,3.0,5.0,6.0,4.0,6.0,5.0,4.0
16,8.923646005529395e+17,4.0,0.0,0.0,25.0,70.0,0.0,2.0,18.0,15.0,48.0,65.0,49.0,10.0,10.0,6.0,0.0,40.0,22.0,9.0,30.0,47.0,7.0,28.0,16.0,10.0,26.0,15.0
17,8.935062087406428e+17,5.0,0.0,0.0,14.0,60.0,0.0,1.0,8.0,9.0,33.0,50.0,23.0,7.0,6.0,6.0,40.0,0.0,12.0,4.0,14.0,33.0,6.0,21.0,9.0,9.0,15.0,9.0
18,9.072087185337549e+17,4.0,0.0,0.0,27.0,26.0,0.0,4.0,1.0,2.0,10.0,15.0,13.0,8.0,10.0,8.0,22.0,12.0,0.0,6.0,9.0,7.0,6.0,12.0,10.0,7.0,5.0,14.0
19,9.118133782382428e+17,3.0,0.0,0.0,6.0,20.0,0.0,0.0,1.0,2.0,5.0,7.0,5.0,6.0,6.0,3.0,9.0,4.0,6.0,0.0,3.0,8.0,3.0,5.0,21.0,4.0,4.0,4.0
20,9.119650247757865e+17,2.0,0.0,1.0,17.0,72.0,0.0,5.0,35.0,40.0,68.0,74.0,43.0,2.0,6.0,7.0,30.0,14.0,9.0,3.0,0.0,42.0,2.0,36.0,2.0,3.0,27.0,4.0
21,9.209731821228073e+17,3.0,1.0,0.0,5.0,80.0,0.0,1.0,29.0,24.0,63.0,80.0,33.0,4.0,5.0,3.0,47.0,33.0,7.0,8.0,42.0,0.0,4.0,37.0,5.0,5.0,31.0,5.0
22,9.332773711839273e+17,4.0,0.0,0.0,6.0,7.0,0.0,0.0,1.0,2.0,4.0,6.0,7.0,7.0,4.0,5.0,7.0,6.0,6.0,3.0,2.0,4.0,0.0,5.0,6.0,6.0,4.0,6.0
23,9.412560678493757e+17,3.0,0.0,1.0,17.0,46.0,0.0,1.0,15.0,15.0,31.0,46.0,27.0,6.0,6.0,6.0,28.0,21.0,12.0,5.0,36.0,37.0,5.0,0.0,9.0,6.0,22.0,9.0
24,9.530516762183434e+17,3.0,0.0,0.0,14.0,21.0,1.0,0.0,1.0,2.0,5.0,10.0,14.0,9.0,9.0,4.0,16.0,9.0,10.0,21.0,2.0,5.0,6.0,9.0,0.0,6.0,5.0,14.0
25,9.533666435094282e+17,4.0,0.0,0.0,6.0,10.0,0.0,1.0,1.0,2.0,6.0,9.0,10.0,7.0,6.0,6.0,10.0,9.0,7.0,4.0,3.0,5.0,6.0,6.0,6.0,0.0,7.0,6.0
26,9.536489794677842e+17,4.0,0.0,0.0,5.0,30.0,0.0,1.0,15.0,16.0,23.0,32.0,29.0,4.0,4.0,5.0,26.0,15.0,5.0,4.0,27.0,31.0,4.0,22.0,5.0,7.0,0.0,4.0
27,9.801232116218348e+17,3.0,0.0,0.0,16.0,19.0,0.0,0.0,1.0,2.0,6.0,14.0,15.0,14.0,7.0,4.0,15.0,9.0,14.0,4.0,4.0,5.0,6.0,9.0,14.0,6.0,4.0,0.0
