,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,-1.0,1014830100.0,1062449508.0,153693557.0,1598449958.0,1601046433.0,1647719407.0,1912264554.0,215341791.0,236331628.0,2414206130.0,2484536708.0,2508116794.0,2532353640.0,2558197038.0,2770114159.0,2897635004.0,2902496366.0,290876235.0,2913273294.0,2982476599.0,3114420098.0,3118190760.0,3170883763.0,3189515778.0,3194843808.0,3248168326.0,3281494524.0,3322590888.0,338872040.0,3628875433.0,4161259815.0,4202424553.0,434133183.0,445479286.0,4694377202.0,469439419.0,4880039583.0,607145367.0,608881628.0,6.977407773137142e+17,7.130816140085084e+17,7.180756294851748e+17,736243394.0,736405705.0,7.75710467906007e+17,7.852951984232817e+17,8.28642286292652e+17,848807995.0,8.488114639635743e+17,8.528639465498419e+17,8.620198094285988e+17,8.797219568151429e+17,8.804451179364475e+17,8.865801846477783e+17,8.908573299308052e+17,9.021015744318177e+17,9.249067980327322e+17,9.337158685040353e+17,9.361846208816251e+17,941425974.0
1,1014830100.0,0.0,0.0,3.0,13.0,7.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,3.0,107.0,7.0,4.0,3.0,2.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,0.0,4.0,2.0,0.0,2.0,84.0,4.0,0.0,0.0,1.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,5.0,11.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2,1062449508.0,0.0,0.0,22.0,5.0,27.0,9.0,28.0,2.0,1.0,1.0,2.0,1.0,10.0,1.0,8.0,4.0,42.0,13.0,4.0,55.0,43.0,31.0,59.0,12.0,8.0,0.0,0.0,5.0,13.0,31.0,7.0,5.0,67.0,0.0,3.0,70.0,7.0,2.0,97.0,0.0,2.0,2.0,2.0,7.0,6.0,52.0,8.0,32.0,5.0,0.0,5.0,18.0,10.0,15.0,0.0,0.0,19.0,0.0,34.0,0.0
3,153693557.0,3.0,22.0,0.0,20.0,377.0,125.0,14.0,1.0,2.0,9.0,5.0,10.0,79.0,59.0,42.0,17.0,48.0,88.0,28.0,13.0,22.0,9.0,35.0,204.0,256.0,0.0,0.0,174.0,136.0,3.0,79.0,11.0,43.0,0.0,12.0,30.0,198.0,11.0,78.0,2.0,7.0,3.0,11.0,254.0,12.0,20.0,10.0,14.0,39.0,1.0,2.0,11.0,19.0,6.0,0.0,1.0,15.0,4.0,5.0,1.0
4,1598449958.0,13.0,5.0,20.0,0.0,58.0,15.0,1.0,0.0,7.0,18.0,1.0,3.0,10.0,5.0,82.0,54.0,17.0,11.0,26.0,2.0,5.0,0.0,23.0,36.0,28.0,0.0,0.0,13.0,26.0,0.0,7.0,17.0,24.0,0.0,2.0,3.0,20.0,32.0,48.0,32.0,11.0,7.0,5.0,7.0,10.0,4.0,5.0,4.0,43.0,0.0,0.0,1.0,13.0,0.0,0.0,7.0,4.0,0.0,1.0,0.0
5,1601046433.0,7.0,27.0,377.0,58.0,0.0,186.0,10.0,1.0,7.0,39.0,5.0,23.0,104.0,71.0,123.0,43.0,91.0,81.0,54.0,31.0,25.0,18.0,96.0,308.0,474.0,0.0,0.0,221.0,173.0,8.0,103.0,19.0,98.0,0.0,12.0,82.0,303.0,36.0,176.0,9.0,26.0,11.0,20.0,615.0,21.0,36.0,13.0,44.0,90.0,0.0,1.0,13.0,41.0,9.0,0.0,3.0,56.0,6.0,18.0,5.0
6,1647719407.0,0.0,9.0,125.0,15.0,186.0,0.0,5.0,0.0,0.0,12.0,1.0,0.0,81.0,39.0,31.0,17.0,20.0,69.0,21.0,5.0,3.0,2.0,20.0,133.0,172.0,0.0,0.0,103.0,72.0,0.0,52.0,13.0,24.0,0.0,7.0,7.0,148.0,7.0,36.0,2.0,10.0,7.0,0.0,135.0,16.0,15.0,9.0,6.0,21.0,1.0,0.0,3.0,13.0,1.0,0.0,2.0,7.0,2.0,2.0,0.0
7,1912264554.0,0.0,28.0,14.0,1.0,10.0,5.0,0.0,2.0,0.0,1.0,0.0,1.0,7.0,0.0,3.0,1.0,34.0,6.0,2.0,47.0,35.0,22.0,40.0,6.0,5.0,0.0,0.0,4.0,4.0,14.0,2.0,4.0,44.0,0.0,1.0,36.0,9.0,0.0,66.0,0.0,0.0,2.0,0.0,4.0,3.0,31.0,4.0,17.0,3.0,0.0,8.0,16.0,9.0,17.0,0.0,0.0,8.0,0.0,22.0,1.0
8,215341791.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
9,236331628.0,1.0,1.0,2.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,66.0,131.0,1.0,0.0,24.0,1.0,10.0,4.0,2.0,2.0,4.0,2.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,13.0,0.0,0.0,0.0,170.0,1.0,1.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,75.0
10,2414206130.0,5.0,1.0,9.0,18.0,39.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,52.0,28.0,8.0,10.0,16.0,1.0,0.0,1.0,8.0,24.0,21.0,0.0,0.0,11.0,20.0,0.0,4.0,7.0,13.0,0.0,0.0,0.0,16.0,20.0,19.0,1.0,16.0,7.0,0.0,22.0,12.0,5.0,0.0,2.0,46.0,0.0,0.0,0.0,7.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0
11,2484536708.0,0.0,2.0,5.0,1.0,5.0,1.0,0.0,0.0,66.0,0.0,0.0,260.0,0.0,0.0,6.0,1.0,7.0,2.0,1.0,2.0,33.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,66.0,157.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,278.0
12,2508116794.0,0.0,1.0,10.0,3.0,23.0,0.0,1.0,0.0,131.0,0.0,260.0,0.0,1.0,0.0,11.0,1.0,10.0,2.0,1.0,1.0,25.0,2.0,10.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,7.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,14.0,0.0,1.0,0.0,106.0,15.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,265.0
13,2532353640.0,1.0,10.0,79.0,10.0,104.0,81.0,7.0,0.0,1.0,8.0,0.0,1.0,0.0,35.0,25.0,18.0,18.0,39.0,21.0,5.0,4.0,3.0,18.0,92.0,113.0,0.0,0.0,66.0,53.0,0.0,46.0,8.0,19.0,0.0,5.0,6.0,101.0,10.0,25.0,3.0,10.0,5.0,1.0,85.0,13.0,11.0,9.0,3.0,16.0,1.0,0.0,1.0,6.0,1.0,0.0,1.0,5.0,2.0,1.0,0.0
14,2558197038.0,3.0,1.0,59.0,5.0,71.0,39.0,0.0,0.0,0.0,14.0,0.0,0.0,35.0,0.0,30.0,16.0,3.0,23.0,11.0,0.0,0.0,0.0,3.0,67.0,73.0,0.0,0.0,58.0,57.0,0.0,34.0,0.0,5.0,0.0,1.0,0.0,73.0,18.0,12.0,1.0,17.0,2.0,0.0,60.0,6.0,4.0,1.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0
15,2770114159.0,107.0,8.0,42.0,82.0,123.0,31.0,3.0,0.0,24.0,52.0,6.0,11.0,25.0,30.0,0.0,70.0,32.0,25.0,41.0,6.0,6.0,2.0,42.0,82.0,65.0,0.0,0.0,38.0,63.0,1.0,14.0,121.0,47.0,0.0,2.0,16.0,61.0,53.0,85.0,11.0,32.0,12.0,14.0,47.0,36.0,14.0,7.0,11.0,85.0,1.0,0.0,5.0,22.0,1.0,0.0,8.0,9.0,1.0,1.0,6.0
16,2897635004.0,7.0,4.0,17.0,54.0,43.0,17.0,1.0,0.0,1.0,28.0,1.0,1.0,18.0,16.0,70.0,0.0,17.0,13.0,23.0,0.0,2.0,1.0,16.0,33.0,29.0,0.0,0.0,9.0,34.0,1.0,8.0,4.0,23.0,0.0,2.0,4.0,29.0,35.0,31.0,19.0,24.0,7.0,1.0,18.0,16.0,7.0,4.0,2.0,40.0,1.0,0.0,2.0,7.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0
17,2902496366.0,4.0,42.0,48.0,17.0,91.0,20.0,34.0,2.0,10.0,8.0,7.0,10.0,18.0,3.0,32.0,17.0,0.0,42.0,17.0,92.0,71.0,49.0,170.0,39.0,23.0,0.0,0.0,31.0,25.0,35.0,10.0,12.0,140.0,0.0,3.0,137.0,21.0,7.0,233.0,3.0,6.0,8.0,18.0,18.0,15.0,99.0,15.0,80.0,19.0,1.0,9.0,38.0,64.0,21.0,0.0,0.0,69.0,1.0,44.0,4.0
18,290876235.0,3.0,13.0,88.0,11.0,81.0,69.0,6.0,0.0,4.0,10.0,2.0,2.0,39.0,23.0,25.0,13.0,42.0,0.0,10.0,9.0,9.0,9.0,37.0,78.0,81.0,0.0,0.0,62.0,42.0,1.0,20.0,11.0,23.0,4.0,4.0,25.0,74.0,5.0,45.0,5.0,11.0,6.0,12.0,56.0,21.0,15.0,9.0,11.0,17.0,1.0,0.0,2.0,25.0,2.0,0.0,0.0,8.0,1.0,3.0,1.0
19,2913273294.0,2.0,4.0,28.0,26.0,54.0,21.0,2.0,0.0,2.0,16.0,1.0,1.0,21.0,11.0,41.0,23.0,17.0,10.0,0.0,1.0,2.0,1.0,15.0,35.0,45.0,0.0,0.0,20.0,25.0,0.0,12.0,8.0,28.0,0.0,3.0,5.0,32.0,8.0,39.0,2.0,5.0,11.0,1.0,23.0,11.0,7.0,6.0,7.0,28.0,1.0,0.0,3.0,11.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0
20,2982476599.0,0.0,55.0,13.0,2.0,31.0,5.0,47.0,2.0,2.0,1.0,2.0,1.0,5.0,0.0,6.0,0.0,92.0,9.0,1.0,0.0,224.0,163.0,149.0,11.0,6.0,0.0,0.0,7.0,6.0,36.0,6.0,5.0,109.0,0.0,2.0,103.0,8.0,0.0,308.0,0.0,0.0,0.0,3.0,4.0,4.0,143.0,6.0,48.0,1.0,0.0,9.0,28.0,33.0,26.0,0.0,0.0,33.0,0.0,100.0,0.0
21,3114420098.0,1.0,43.0,22.0,5.0,25.0,3.0,35.0,2.0,4.0,0.0,33.0,25.0,4.0,0.0,6.0,2.0,71.0,9.0,2.0,224.0,0.0,137.0,110.0,4.0,3.0,0.0,0.0,4.0,4.0,37.0,36.0,3.0,75.0,0.0,0.0,81.0,5.0,3.0,152.0,0.0,0.0,0.0,8.0,58.0,3.0,129.0,5.0,43.0,4.0,0.0,8.0,27.0,18.0,19.0,0.0,0.0,24.0,0.0,84.0,2.0
