,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142
0,-1.0,100429276.0,1011916519.0,104794259.0,108520642.0,1110840294.0,116503509.0,117683777.0,118593643.0,122322961.0,122947803.0,128547430.0,130796554.0,1309690194.0,131573772.0,13203032.0,132350168.0,1372440206.0,138278423.0,14223083.0,1434246793.0,14416772.0,146900193.0,14714136.0,149580057.0,155517993.0,15657091.0,164666306.0,164700268.0,16542463.0,169085447.0,169344983.0,16947322.0,17388797.0,17676091.0,1799044873.0,187752663.0,195333496.0,19662889.0,200083361.0,201759331.0,206315278.0,2171012108.0,217868517.0,22243745.0,2261276785.0,2263781.0,228433927.0,231584136.0,232037722.0,232090596.0,233627103.0,2357032981.0,23698329.0,237598493.0,23991729.0,2426665586.0,244051691.0,247279155.0,251726691.0,2547040466.0,256882565.0,257509172.0,259277264.0,264471883.0,2704917343.0,278527917.0,282916645.0,294634289.0,297927632.0,301586617.0,302282119.0,3297013507.0,3299264534.0,3319782867.0,36275643.0,36453220.0,371088454.0,39024549.0,39807785.0,42950646.0,430804578.0,43828470.0,438485176.0,4487840539.0,4677857995.0,48226009.0,499475087.0,518377581.0,519278044.0,521382536.0,52356199.0,53084534.0,54505638.0,578770422.0,60541562.0,60864604.0,608866235.0,61673414.0,622540432.0,623305651.0,62845902.0,63069724.0,64070520.0,64558929.0,64646984.0,64694303.0,66632083.0,66901823.0,67970714.0,68431771.0,69637046.0,69839181.0,70914180.0,72302410.0,72315090.0,7.23843107729494e+17,72458998.0,72476833.0,72480943.0,72772802.0,7.361332612487291e+17,7.380385066482606e+17,73857971.0,75831901.0,76026916.0,766481.0,77435960.0,78028120.0,80262154.0,80874374.0,81850109.0,82032959.0,84209996.0,85580306.0,85740885.0,86819813.0,87001050.0,89228602.0,952583990.0,95623358.0,9595722.0,99493299.0
1,100429276.0,0.0,0.0,8.0,2.0,1.0,6.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,12.0,1.0,1.0,0.0,6.0,5.0,10.0,1.0,5.0,0.0,9.0,3.0,3.0,7.0,4.0,0.0,3.0,0.0,4.0,0.0,3.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,2.0,1.0,11.0,7.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,19.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,13.0,0.0,3.0,2.0,0.0,17.0,0.0,1.0,0.0,7.0,1.0,5.0,2.0,10.0,10.0,8.0,5.0,4.0,2.0,0.0,5.0,13.0,0.0,13.0,7.0,6.0,5.0,6.0,6.0,1.0,4.0,9.0,4.0,9.0,1.0,11.0,5.0,12.0,0.0,8.0,16.0,16.0,14.0,6.0,0.0,3.0,10.0,1.0,2.0,5.0,1.0,5.0,0.0,0.0,3.0,2.0,7.0,0.0,5.0,0.0,4.0,1.0,0.0,11.0,2.0
2,1011916519.0,0.0,0.0,0.0,3.0,8.0,1.0,2.0,1.0,0.0,3.0,1.0,36.0,9.0,0.0,5.0,2.0,0.0,10.0,5.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0,15.0,1.0,19.0,0.0,2.0,0.0,13.0,0.0,1.0,6.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,15.0,0.0,0.0,1.0,36.0,17.0,1.0,1.0,0.0,0.0,9.0,12.0,0.0,1.0,23.0,5.0,0.0,39.0,2.0,0.0,13.0,0.0,74.0,10.0,1.0,1.0,1.0,0.0,6.0,0.0,4.0,0.0,0.0,5.0,2.0,0.0,3.0,0.0,4.0,3.0,0.0,50.0,2.0,1.0,0.0,5.0,6.0,7.0,5.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,24.0,6.0,1.0,4.0,15.0,1.0,3.0,7.0,9.0,1.0,3.0,0.0,4.0,2.0,2.0,1.0,8.0,1.0,1.0,1.0,4.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0
3,104794259.0,8.0,0.0,0.0,1.0,1.0,32.0,1.0,26.0,1.0,2.0,18.0,0.0,0.0,0.0,49.0,3.0,1.0,1.0,31.0,35.0,9.0,1.0,37.0,0.0,148.0,47.0,37.0,73.0,27.0,1.0,11.0,2.0,16.0,1.0,17.0,32.0,20.0,4.0,18.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,11.0,1.0,1.0,0.0,47.0,4.0,1.0,1.0,89.0,39.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,8.0,1.0,204.0,6.0,28.0,3.0,2.0,14.0,2.0,1.0,0.0,3.0,61.0,6.0,49.0,1.0,35.0,2.0,0.0,156.0,0.0,1.0,2.0,42.0,1.0,52.0,17.0,51.0,90.0,78.0,6.0,8.0,6.0,0.0,50.0,133.0,0.0,103.0,75.0,46.0,5.0,75.0,68.0,5.0,20.0,75.0,21.0,18.0,2.0,75.0,30.0,91.0,1.0,71.0,93.0,157.0,55.0,30.0,3.0,13.0,62.0,6.0,4.0,51.0,3.0,69.0,15.0,0.0,31.0,31.0,37.0,0.0,18.0,6.0,48.0,0.0,0.0,78.0,49.0
4,108520642.0,2.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0,3.0,2.0,1.0,2.0,6.0,3.0,2.0,0.0,0.0,1.0,5.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,1.0,13.0,0.0,3.0,0.0,14.0,1.0,0.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,4.0,1.0,20.0,1.0,0.0,2.0,12.0,0.0,1.0,2.0,1.0,0.0,1.0,15.0,1.0,1.0,6.0,11.0,0.0,7.0,1.0,0.0,22.0,3.0,15.0,9.0,2.0,2.0,3.0,1.0,3.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,5.0,3.0,5.0,3.0,2.0,18.0,0.0,1.0,5.0,0.0,6.0,3.0,3.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,8.0,1.0,2.0,10.0,0.0,1.0,2.0,4.0,6.0,0.0,5.0,1.0,6.0,4.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,2.0
5,1110840294.0,1.0,8.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,16.0,4.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,5.0,0.0,21.0,4.0,1.0,2.0,0.0,0.0,7.0,2.0,0.0,2.0,12.0,4.0,0.0,18.0,0.0,0.0,5.0,1.0,21.0,2.0,0.0,1.0,4.0,0.0,4.0,0.0,6.0,0.0,1.0,7.0,1.0,0.0,1.0,1.0,2.0,4.0,1.0,21.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,0.0,2.0,0.0,3.0,0.0,1.0,17.0,0.0,2.0,5.0,3.0,0.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
6,116503509.0,6.0,1.0,32.0,2.0,1.0,0.0,0.0,13.0,0.0,2.0,10.0,1.0,0.0,0.0,23.0,2.0,1.0,0.0,16.0,11.0,11.0,1.0,11.0,1.0,41.0,19.0,7.0,21.0,8.0,2.0,4.0,0.0,7.0,3.0,7.0,10.0,12.0,5.0,9.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,15.0,1.0,2.0,1.0,40.0,18.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,2.0,0.0,53.0,3.0,15.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,18.0,3.0,20.0,2.0,11.0,2.0,0.0,43.0,0.0,1.0,1.0,9.0,1.0,10.0,14.0,15.0,22.0,15.0,6.0,7.0,3.0,0.0,17.0,25.0,0.0,37.0,32.0,18.0,6.0,21.0,19.0,4.0,9.0,30.0,6.0,11.0,1.0,24.0,10.0,36.0,1.0,27.0,29.0,52.0,18.0,7.0,0.0,5.0,19.0,4.0,3.0,10.0,1.0,12.0,6.0,0.0,16.0,11.0,14.0,0.0,8.0,1.0,13.0,1.0,0.0,20.0,12.0
7,117683777.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,118593643.0,6.0,1.0,26.0,1.0,1.0,13.0,0.0,0.0,0.0,3.0,17.0,1.0,1.0,0.0,19.0,2.0,0.0,0.0,19.0,6.0,3.0,1.0,14.0,1.0,80.0,24.0,14.0,29.0,11.0,1.0,4.0,1.0,14.0,1.0,17.0,9.0,28.0,3.0,9.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,41.0,4.0,0.0,0.0,52.0,40.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,17.0,1.0,95.0,9.0,24.0,2.0,2.0,10.0,3.0,1.0,0.0,3.0,13.0,3.0,48.0,0.0,49.0,2.0,0.0,95.0,0.0,2.0,1.0,14.0,0.0,10.0,14.0,15.0,63.0,25.0,4.0,7.0,2.0,0.0,21.0,127.0,0.0,49.0,32.0,13.0,5.0,77.0,18.0,1.0,34.0,21.0,16.0,8.0,1.0,33.0,24.0,67.0,1.0,32.0,68.0,59.0,60.0,11.0,2.0,6.0,64.0,2.0,1.0,52.0,1.0,18.0,4.0,0.0,16.0,12.0,12.0,0.0,20.0,1.0,12.0,0.0,0.0,40.0,14.0
9,122322961.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,16.0,20.0,0.0,0.0,4.0,0.0,4.0,1.0,6.0,0.0,2.0,1.0,0.0,4.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,0.0,2.0,1.0,5.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
10,122947803.0,0.0,3.0,2.0,4.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,9.0,0.0,2.0,6.0,3.0,0.0,1.0,4.0,2.0,12.0,2.0,1.0,7.0,0.0,3.0,1.0,8.0,8.0,4.0,0.0,10.0,3.0,18.0,1.0,1.0,4.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,14.0,1.0,1.0,0.0,32.0,10.0,6.0,4.0,14.0,0.0,0.0,2.0,5.0,3.0,9.0,21.0,1.0,1.0,5.0,3.0,2.0,11.0,7.0,0.0,19.0,0.0,25.0,14.0,1.0,7.0,10.0,0.0,13.0,3.0,12.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,4.0,1.0,13.0,1.0,3.0,1.0,3.0,17.0,2.0,2.0,0.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,9.0,2.0,11.0,1.0,3.0,7.0,14.0,12.0,0.0,7.0,5.0,19.0,7.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,5.0,1.0
11,128547430.0,2.0,1.0,18.0,2.0,2.0,10.0,0.0,17.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,3.0,2.0,1.0,12.0,2.0,2.0,0.0,6.0,0.0,29.0,14.0,8.0,23.0,6.0,2.0,5.0,1.0,13.0,3.0,8.0,7.0,17.0,5.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,22.0,2.0,3.0,1.0,24.0,21.0,3.0,3.0,7.0,0.0,1.0,1.0,1.0,7.0,0.0,34.0,4.0,18.0,6.0,3.0,8.0,3.0,0.0,0.0,7.0,4.0,4.0,18.0,0.0,17.0,4.0,0.0,34.0,0.0,3.0,1.0,10.0,1.0,9.0,13.0,18.0,24.0,4.0,4.0,5.0,5.0,1.0,6.0,16.0,0.0,25.0,30.0,5.0,5.0,29.0,11.0,6.0,11.0,14.0,7.0,6.0,5.0,13.0,13.0,25.0,1.0,16.0,22.0,24.0,18.0,11.0,0.0,4.0,20.0,3.0,3.0,17.0,2.0,8.0,1.0,0.0,19.0,9.0,9.0,0.0,13.0,2.0,10.0,1.0,0.0,12.0,6.0
