,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,-1.0,1029779491.0,1399637430.0,1547927953.0,1572406873.0,1658943061.0,179415371.0,2669743933.0,2723949330.0,2765732160.0,2905200708.0,3221051580.0,322204783.0,3240596224.0,3317015827.0,3320251608.0,3769684214.0,4090782444.0,439885517.0,447286009.0,499587034.0,568062823.0,704505936.0,7.083963270681108e+17,7.239075256077189e+17,7.27385453553406e+17,7.30995486744662e+17,7.655789406351606e+17,8.017500711758807e+17,8.15117755183575e+17,8.331612358225551e+17,8.429669005062062e+17,8.500479782282076e+17,8.505825621667553e+17,8.510573563644314e+17,8.628871521488978e+17,8.662195610952786e+17,8.668751969756201e+17,8.684169920755794e+17,8.836598115391242e+17,8.84244525555753e+17,8.927680948204995e+17,8.952213074443469e+17,8.981292377014026e+17,9.001591328120504e+17,9.194460490385981e+17,9.209316570702316e+17,9.220917812855398e+17,9.239370897957683e+17,9.241248115713147e+17,9.270738503275684e+17,9.284780241184276e+17,9.364354574742733e+17,9.365056564204012e+17,9.36557291595219e+17,9.378316829623747e+17,9.389676328326349e+17,9.481604879039898e+17,9.481637402092626e+17,9.524989480479621e+17,9.546024210277089e+17,9.54984941653078e+17,9.572305189190861e+17,9.574421154866954e+17,9.598611069520814e+17,9.600127834410025e+17,9.601006495002092e+17,9.601021307144888e+17,9.603491752998339e+17,9.604469008088187e+17,9.604937429174845e+17,9.618102249684746e+17
1,1029779491.0,0.0,74.0,1.0,6.0,3.0,20.0,70.0,7.0,73.0,35.0,24.0,19.0,7.0,13.0,18.0,31.0,39.0,51.0,8.0,39.0,8.0,15.0,1.0,18.0,23.0,44.0,43.0,11.0,51.0,50.0,73.0,30.0,3.0,33.0,35.0,52.0,41.0,59.0,18.0,13.0,19.0,3.0,4.0,0.0,9.0,0.0,6.0,19.0,10.0,25.0,14.0,9.0,19.0,8.0,0.0,92.0,4.0,48.0,30.0,31.0,43.0,19.0,5.0,28.0,8.0,8.0,41.0,1.0,20.0,1.0,9.0
2,1399637430.0,74.0,0.0,5.0,18.0,5.0,31.0,75.0,14.0,142.0,56.0,38.0,34.0,13.0,28.0,29.0,39.0,85.0,62.0,11.0,66.0,12.0,13.0,6.0,43.0,41.0,60.0,87.0,20.0,91.0,72.0,112.0,40.0,8.0,63.0,73.0,114.0,61.0,56.0,42.0,24.0,40.0,4.0,5.0,0.0,17.0,0.0,10.0,39.0,17.0,47.0,19.0,21.0,54.0,14.0,0.0,121.0,6.0,62.0,52.0,41.0,64.0,32.0,12.0,44.0,14.0,22.0,102.0,2.0,44.0,2.0,26.0
3,1547927953.0,1.0,5.0,0.0,8.0,3.0,8.0,2.0,7.0,7.0,7.0,3.0,11.0,5.0,1.0,2.0,7.0,6.0,11.0,3.0,5.0,3.0,2.0,3.0,6.0,8.0,9.0,7.0,8.0,4.0,6.0,12.0,5.0,3.0,7.0,6.0,7.0,8.0,4.0,7.0,5.0,7.0,2.0,5.0,0.0,1.0,0.0,6.0,7.0,5.0,6.0,4.0,5.0,8.0,3.0,0.0,7.0,2.0,8.0,7.0,3.0,5.0,4.0,4.0,5.0,3.0,6.0,8.0,1.0,9.0,0.0,7.0
4,1572406873.0,6.0,18.0,8.0,0.0,3.0,6.0,8.0,8.0,23.0,17.0,16.0,22.0,13.0,7.0,11.0,9.0,21.0,16.0,9.0,11.0,7.0,4.0,9.0,13.0,20.0,17.0,23.0,15.0,14.0,14.0,22.0,9.0,8.0,18.0,15.0,23.0,16.0,14.0,9.0,14.0,17.0,4.0,4.0,0.0,4.0,0.0,11.0,21.0,10.0,13.0,10.0,13.0,19.0,12.0,0.0,24.0,6.0,14.0,18.0,12.0,17.0,9.0,8.0,18.0,12.0,20.0,20.0,2.0,22.0,2.0,19.0
5,1658943061.0,3.0,5.0,3.0,3.0,0.0,6.0,6.0,5.0,5.0,5.0,4.0,9.0,4.0,5.0,4.0,6.0,7.0,5.0,3.0,2.0,7.0,2.0,0.0,5.0,4.0,7.0,7.0,6.0,7.0,7.0,9.0,3.0,1.0,4.0,5.0,5.0,8.0,4.0,4.0,2.0,6.0,3.0,3.0,0.0,4.0,0.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,0.0,7.0,2.0,7.0,5.0,2.0,4.0,5.0,3.0,4.0,5.0,5.0,7.0,1.0,6.0,0.0,6.0
6,179415371.0,20.0,31.0,8.0,6.0,6.0,0.0,15.0,8.0,29.0,16.0,9.0,24.0,9.0,16.0,9.0,26.0,21.0,22.0,10.0,12.0,6.0,27.0,1.0,20.0,31.0,36.0,21.0,23.0,16.0,17.0,48.0,10.0,3.0,29.0,26.0,22.0,24.0,7.0,23.0,8.0,6.0,4.0,11.0,0.0,5.0,0.0,8.0,10.0,16.0,14.0,19.0,7.0,13.0,7.0,0.0,21.0,4.0,28.0,15.0,9.0,21.0,13.0,5.0,11.0,7.0,7.0,16.0,1.0,15.0,1.0,7.0
7,2669743933.0,70.0,75.0,2.0,8.0,6.0,15.0,0.0,10.0,93.0,30.0,20.0,21.0,10.0,50.0,14.0,62.0,63.0,66.0,9.0,32.0,10.0,7.0,0.0,34.0,21.0,59.0,69.0,22.0,112.0,58.0,131.0,36.0,4.0,39.0,48.0,53.0,54.0,89.0,31.0,14.0,32.0,4.0,4.0,0.0,13.0,0.0,7.0,20.0,14.0,34.0,13.0,15.0,70.0,7.0,0.0,136.0,5.0,111.0,29.0,35.0,38.0,21.0,6.0,36.0,7.0,10.0,55.0,2.0,24.0,2.0,16.0
8,2723949330.0,7.0,14.0,7.0,8.0,5.0,8.0,10.0,0.0,16.0,6.0,6.0,11.0,6.0,6.0,5.0,9.0,11.0,11.0,7.0,9.0,4.0,3.0,2.0,9.0,9.0,14.0,13.0,10.0,10.0,13.0,17.0,10.0,4.0,11.0,11.0,14.0,14.0,7.0,9.0,7.0,9.0,3.0,8.0,0.0,3.0,0.0,5.0,8.0,5.0,8.0,7.0,5.0,10.0,5.0,0.0,13.0,5.0,14.0,9.0,9.0,7.0,9.0,6.0,10.0,5.0,5.0,12.0,2.0,9.0,1.0,8.0
9,2765732160.0,73.0,142.0,7.0,23.0,5.0,29.0,93.0,16.0,0.0,74.0,47.0,58.0,17.0,36.0,23.0,78.0,152.0,84.0,13.0,89.0,12.0,13.0,11.0,48.0,69.0,91.0,146.0,37.0,105.0,82.0,216.0,63.0,8.0,120.0,89.0,141.0,75.0,90.0,68.0,41.0,61.0,4.0,7.0,0.0,29.0,0.0,12.0,50.0,22.0,59.0,29.0,39.0,93.0,24.0,0.0,210.0,6.0,102.0,48.0,54.0,145.0,38.0,13.0,57.0,24.0,43.0,129.0,2.0,70.0,2.0,41.0
