,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
0,-1.0,103762154.0,157646729.0,183551790.0,185285912.0,188370361.0,215500389.0,2318322031.0,2593094562.0,2689240231.0,2692260301.0,2827117608.0,2883087242.0,2949974756.0,3005735058.0,327444253.0,3395146690.0,3585901632.0,3702157212.0,3867235214.0,394908850.0,409598590.0,448687554.0,456273241.0,4600722138.0,4656231012.0,489136202.0,7.162893989464187e+17,7.21321752710611e+17,7.496333841340867e+17,7.553696041935421e+17,7.582192035350733e+17,8.202469494881321e+17,8.232324380715336e+17,8.286054940926525e+17,8.414788301286769e+17,8.51747213893972e+17,8.621360750655816e+17,868078963.0,8.688110929101947e+17,8.750170554134815e+17,8.759183298437775e+17,8.876929650568724e+17,8.87965987479339e+17,8.881829124781916e+17,8.892020142736343e+17,8.933328232637932e+17,8.936766483310715e+17,8.967180705965507e+17,8.974491220677345e+17,9.100635769283379e+17,9.108764923551416e+17,9.11479886920917e+17,9.118775633408819e+17,9.154597829406188e+17,9.172496571215503e+17,9.200568945672356e+17,9.201138194892227e+17,9.203793035814134e+17,9.220867701997117e+17,9.267865027506381e+17,92711659.0,9.275550299002061e+17,9.297205572973732e+17,9.299510293192786e+17,9.304033057712251e+17,9.317273723862303e+17,9.34474715875369e+17,9.359778505611837e+17,9.36989468392747e+17,9.37641189716779e+17,9.38659261055361e+17,9.390398128870482e+17,9.40138428028543e+17,9.40568109261267e+17,9.405870718019338e+17,94295087.0,9.433697689327534e+17,9.445761406177198e+17,9.450478742318694e+17,9.459887887102853e+17,9.465599368546058e+17,9.492276824236974e+17,9.517127932873196e+17,9.517698460850708e+17,9.550130329035039e+17,9.55307655311999e+17,9.56357425199661e+17,9.56790577546199e+17,9.576124643166659e+17,9.599602890882253e+17,9.603751889603789e+17,9.61558007812309e+17,9.616556569556992e+17,9.619193202207498e+17,9.640897946523812e+17,9.684139227085373e+17,9.686833749350318e+17
1,103762154.0,0.0,15.0,48.0,57.0,61.0,31.0,35.0,88.0,39.0,130.0,55.0,44.0,42.0,10.0,34.0,67.0,12.0,17.0,25.0,28.0,32.0,55.0,21.0,19.0,45.0,31.0,7.0,14.0,33.0,62.0,38.0,33.0,74.0,38.0,17.0,27.0,14.0,85.0,27.0,32.0,20.0,3.0,49.0,19.0,88.0,20.0,83.0,58.0,35.0,37.0,50.0,49.0,14.0,47.0,61.0,18.0,8.0,49.0,36.0,42.0,32.0,0.0,0.0,27.0,56.0,10.0,27.0,14.0,6.0,13.0,20.0,25.0,11.0,32.0,39.0,97.0,108.0,48.0,86.0,20.0,17.0,60.0,37.0,0.0,51.0,9.0,12.0,36.0,6.0,122.0,11.0,14.0,69.0,38.0,19.0,17.0,3.0
2,157646729.0,15.0,0.0,23.0,15.0,16.0,17.0,15.0,24.0,15.0,29.0,19.0,18.0,19.0,8.0,8.0,20.0,8.0,14.0,12.0,9.0,8.0,22.0,12.0,12.0,10.0,16.0,7.0,9.0,11.0,13.0,15.0,12.0,19.0,11.0,8.0,5.0,10.0,21.0,14.0,14.0,4.0,6.0,17.0,11.0,24.0,8.0,24.0,17.0,12.0,13.0,14.0,12.0,8.0,14.0,16.0,8.0,2.0,19.0,13.0,17.0,11.0,0.0,0.0,11.0,19.0,8.0,11.0,11.0,7.0,6.0,11.0,9.0,9.0,14.0,10.0,24.0,30.0,14.0,21.0,11.0,13.0,15.0,8.0,0.0,23.0,8.0,11.0,15.0,5.0,30.0,12.0,14.0,19.0,12.0,8.0,12.0,2.0
3,183551790.0,48.0,23.0,0.0,102.0,115.0,134.0,96.0,133.0,150.0,211.0,81.0,110.0,61.0,22.0,22.0,98.0,83.0,51.0,136.0,94.0,36.0,109.0,70.0,44.0,81.0,94.0,39.0,32.0,71.0,46.0,102.0,95.0,173.0,70.0,31.0,78.0,58.0,139.0,90.0,43.0,31.0,13.0,68.0,62.0,109.0,33.0,148.0,143.0,50.0,78.0,131.0,76.0,64.0,62.0,122.0,34.0,18.0,71.0,50.0,96.0,58.0,0.0,0.0,61.0,114.0,27.0,17.0,62.0,13.0,30.0,81.0,69.0,40.0,75.0,24.0,257.0,149.0,55.0,90.0,30.0,104.0,129.0,24.0,0.0,107.0,19.0,20.0,75.0,39.0,204.0,19.0,67.0,129.0,127.0,62.0,55.0,4.0
4,185285912.0,57.0,15.0,102.0,0.0,66.0,76.0,71.0,197.0,99.0,268.0,92.0,64.0,62.0,12.0,34.0,123.0,43.0,41.0,93.0,47.0,29.0,120.0,39.0,38.0,65.0,63.0,13.0,10.0,53.0,56.0,50.0,66.0,210.0,46.0,17.0,58.0,35.0,114.0,60.0,44.0,23.0,5.0,68.0,55.0,233.0,32.0,229.0,134.0,42.0,72.0,134.0,110.0,52.0,58.0,143.0,14.0,24.0,123.0,33.0,90.0,60.0,0.0,0.0,60.0,105.0,14.0,29.0,39.0,7.0,20.0,36.0,37.0,26.0,52.0,38.0,390.0,270.0,63.0,145.0,32.0,44.0,161.0,33.0,0.0,102.0,13.0,31.0,85.0,21.0,360.0,18.0,35.0,194.0,79.0,38.0,48.0,4.0
5,188370361.0,61.0,16.0,115.0,66.0,0.0,107.0,76.0,119.0,108.0,192.0,78.0,103.0,48.0,17.0,47.0,95.0,67.0,47.0,111.0,80.0,41.0,96.0,56.0,40.0,83.0,85.0,48.0,25.0,52.0,80.0,77.0,72.0,137.0,64.0,24.0,73.0,36.0,132.0,73.0,38.0,25.0,7.0,65.0,51.0,106.0,23.0,135.0,123.0,42.0,68.0,85.0,69.0,50.0,54.0,114.0,27.0,10.0,46.0,49.0,65.0,47.0,0.0,0.0,53.0,89.0,25.0,19.0,46.0,10.0,23.0,58.0,60.0,25.0,63.0,51.0,211.0,141.0,76.0,95.0,22.0,69.0,100.0,45.0,0.0,88.0,15.0,12.0,69.0,34.0,196.0,14.0,50.0,94.0,100.0,44.0,55.0,4.0
6,215500389.0,31.0,17.0,134.0,76.0,107.0,0.0,86.0,88.0,138.0,153.0,60.0,108.0,44.0,21.0,20.0,77.0,88.0,54.0,173.0,89.0,41.0,88.0,69.0,49.0,67.0,88.0,37.0,26.0,49.0,40.0,69.0,69.0,135.0,59.0,25.0,67.0,48.0,139.0,86.0,29.0,21.0,10.0,50.0,47.0,74.0,22.0,105.0,112.0,37.0,65.0,121.0,59.0,51.0,39.0,91.0,27.0,11.0,51.0,36.0,74.0,42.0,0.0,0.0,48.0,88.0,24.0,16.0,63.0,12.0,22.0,72.0,74.0,29.0,54.0,21.0,246.0,114.0,43.0,63.0,24.0,108.0,101.0,18.0,0.0,79.0,21.0,16.0,84.0,39.0,152.0,20.0,57.0,99.0,117.0,45.0,42.0,3.0
7,2318322031.0,35.0,15.0,96.0,71.0,76.0,86.0,0.0,80.0,91.0,125.0,63.0,81.0,36.0,21.0,19.0,64.0,57.0,47.0,73.0,58.0,26.0,79.0,58.0,24.0,53.0,49.0,25.0,22.0,52.0,39.0,65.0,70.0,107.0,53.0,24.0,50.0,38.0,74.0,69.0,27.0,24.0,10.0,54.0,42.0,68.0,21.0,99.0,94.0,42.0,61.0,73.0,54.0,48.0,38.0,75.0,26.0,8.0,48.0,38.0,64.0,47.0,0.0,0.0,43.0,79.0,21.0,8.0,50.0,13.0,24.0,52.0,40.0,26.0,53.0,23.0,132.0,93.0,44.0,57.0,20.0,59.0,83.0,20.0,0.0,77.0,19.0,14.0,67.0,24.0,126.0,18.0,50.0,83.0,75.0,39.0,50.0,4.0
8,2593094562.0,88.0,24.0,133.0,197.0,119.0,88.0,80.0,0.0,126.0,511.0,186.0,92.0,86.0,22.0,143.0,219.0,34.0,50.0,79.0,99.0,71.0,161.0,45.0,44.0,97.0,99.0,22.0,46.0,116.0,215.0,103.0,75.0,218.0,82.0,40.0,74.0,40.0,260.0,88.0,66.0,53.0,13.0,96.0,96.0,316.0,44.0,236.0,193.0,61.0,68.0,127.0,125.0,35.0,81.0,181.0,39.0,25.0,137.0,74.0,112.0,73.0,0.0,0.0,73.0,132.0,25.0,65.0,35.0,10.0,26.0,53.0,47.0,41.0,76.0,151.0,443.0,407.0,143.0,231.0,34.0,44.0,183.0,146.0,0.0,149.0,18.0,46.0,86.0,18.0,524.0,24.0,41.0,253.0,122.0,42.0,64.0,4.0
9,2689240231.0,39.0,15.0,150.0,99.0,108.0,138.0,91.0,126.0,0.0,217.0,69.0,113.0,45.0,17.0,22.0,101.0,100.0,56.0,176.0,115.0,41.0,100.0,70.0,29.0,69.0,86.0,27.0,31.0,83.0,42.0,81.0,75.0,155.0,61.0,32.0,84.0,45.0,172.0,90.0,38.0,30.0,14.0,56.0,48.0,102.0,30.0,144.0,139.0,48.0,70.0,142.0,64.0,56.0,43.0,91.0,27.0,11.0,51.0,38.0,82.0,57.0,0.0,0.0,40.0,85.0,23.0,17.0,62.0,11.0,25.0,71.0,69.0,33.0,63.0,25.0,266.0,142.0,44.0,101.0,21.0,124.0,114.0,23.0,0.0,83.0,21.0,14.0,62.0,50.0,206.0,19.0,53.0,147.0,140.0,43.0,57.0,3.0
