,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
0,-1.0,102704131.0,102955752.0,104199233.0,105055859.0,1073514464.0,111484973.0,113121196.0,113690319.0,1137241106.0,115952029.0,120786735.0,1222855608.0,132960957.0,134477865.0,135615769.0,1385113170.0,138689499.0,14140147.0,142202568.0,1440615146.0,14546538.0,14611672.0,146156293.0,150207217.0,150218406.0,153041212.0,15687140.0,1579789536.0,160036232.0,164958548.0,1670240430.0,1700951646.0,170204825.0,172523743.0,174495295.0,176795769.0,183000038.0,18594633.0,186414842.0,190333186.0,1940580211.0,194875854.0,214805362.0,22066367.0,2240421060.0,2307236948.0,23483075.0,2380425654.0,242371557.0,24345796.0,245053542.0,248292872.0,248767540.0,255431198.0,25779100.0,258221375.0,258402273.0,26101075.0,261059590.0,26717288.0,2758282289.0,278552571.0,2813394564.0,284867370.0,2934105440.0,294114036.0,298614684.0,2990522481.0,299559388.0,303198543.0,306052324.0,3075930266.0,315078346.0,325535216.0,328330186.0,328551761.0,332173629.0,3356460674.0,3526633582.0,357721672.0,361117885.0,365900821.0,3679774881.0,37625403.0,382527275.0,383642756.0,406709198.0,40701166.0,409241975.0,4110572473.0,43186551.0,439075171.0,453603539.0,459947885.0,477495205.0,4777301054.0,47851089.0,4835029216.0,491154569.0,49939267.0,50243288.0,552601724.0,552756117.0,56286660.0,568273335.0,5850482.0,60839931.0,608833661.0,61515271.0,617816980.0,621685290.0,63836809.0,64112715.0,71045239.0,7.147424901931172e+17,71834922.0,718443038.0,7.372017044212367e+17,739018201.0,74262470.0,74558431.0,75739298.0,79345413.0,79752693.0,815729346.0,845645718.0,848787420.0,8.600338213784658e+17,86017185.0,8.764784152384389e+17,8.788444552557814e+17,8.941528950709617e+17,89695826.0,9.013487716399432e+17
1,102704131.0,0.0,7.0,2.0,6.0,3.0,51.0,4.0,5.0,3.0,0.0,11.0,0.0,0.0,20.0,0.0,3.0,3.0,14.0,1.0,72.0,3.0,2.0,2.0,183.0,12.0,0.0,16.0,1.0,0.0,41.0,13.0,0.0,0.0,4.0,0.0,1.0,0.0,30.0,6.0,0.0,3.0,2.0,2.0,6.0,5.0,2.0,0.0,2.0,0.0,0.0,6.0,18.0,0.0,2.0,4.0,0.0,0.0,5.0,16.0,17.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,0.0,3.0,137.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,34.0,10.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,3.0,65.0,4.0,1.0,0.0,2.0,3.0,1.0,0.0,8.0,1.0,3.0,1.0,3.0,4.0,0.0,4.0,3.0,14.0,0.0,208.0,5.0,0.0,0.0,1.0,0.0,9.0,3.0,6.0,0.0,0.0,16.0,2.0,124.0,1.0,0.0,3.0,0.0,1.0,1.0
2,102955752.0,7.0,0.0,1.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,1.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,2.0
3,104199233.0,2.0,1.0,0.0,25.0,8.0,41.0,0.0,35.0,1.0,0.0,0.0,0.0,2.0,18.0,0.0,10.0,16.0,46.0,0.0,9.0,15.0,5.0,3.0,3.0,11.0,1.0,6.0,0.0,0.0,23.0,8.0,6.0,2.0,5.0,0.0,12.0,1.0,8.0,5.0,2.0,15.0,2.0,1.0,7.0,0.0,13.0,3.0,2.0,2.0,3.0,3.0,28.0,0.0,4.0,6.0,0.0,0.0,5.0,9.0,19.0,1.0,2.0,12.0,0.0,2.0,5.0,0.0,3.0,4.0,3.0,6.0,0.0,0.0,1.0,14.0,6.0,5.0,11.0,4.0,0.0,5.0,4.0,10.0,21.0,0.0,7.0,12.0,7.0,15.0,4.0,0.0,4.0,0.0,3.0,1.0,1.0,4.0,0.0,1.0,5.0,1.0,0.0,0.0,19.0,1.0,3.0,2.0,29.0,15.0,2.0,26.0,6.0,30.0,0.0,1.0,2.0,5.0,1.0,0.0,8.0,21.0,33.0,2.0,10.0,0.0,5.0,6.0,15.0,7.0,0.0,1.0,1.0,7.0,2.0
4,105055859.0,6.0,1.0,25.0,0.0,11.0,70.0,1.0,105.0,6.0,1.0,0.0,2.0,8.0,43.0,1.0,71.0,41.0,26.0,8.0,14.0,21.0,13.0,5.0,7.0,16.0,1.0,21.0,2.0,0.0,56.0,12.0,30.0,1.0,23.0,0.0,23.0,2.0,27.0,4.0,6.0,42.0,1.0,9.0,19.0,2.0,21.0,7.0,5.0,5.0,1.0,2.0,37.0,0.0,3.0,6.0,0.0,0.0,12.0,13.0,35.0,2.0,7.0,22.0,6.0,1.0,5.0,2.0,0.0,4.0,4.0,3.0,1.0,0.0,3.0,5.0,25.0,10.0,23.0,10.0,0.0,17.0,6.0,14.0,39.0,0.0,3.0,24.0,9.0,23.0,8.0,1.0,3.0,5.0,11.0,2.0,8.0,11.0,0.0,7.0,7.0,7.0,0.0,0.0,23.0,4.0,14.0,4.0,61.0,17.0,4.0,26.0,22.0,25.0,0.0,2.0,9.0,10.0,2.0,0.0,10.0,31.0,66.0,8.0,16.0,0.0,11.0,10.0,31.0,5.0,0.0,7.0,3.0,8.0,5.0
5,1073514464.0,3.0,0.0,8.0,11.0,0.0,138.0,1.0,22.0,10.0,1.0,2.0,1.0,14.0,23.0,1.0,19.0,10.0,17.0,3.0,13.0,8.0,3.0,4.0,27.0,8.0,0.0,1.0,0.0,3.0,26.0,4.0,22.0,6.0,4.0,2.0,6.0,2.0,12.0,3.0,20.0,12.0,14.0,1.0,6.0,0.0,6.0,10.0,6.0,1.0,22.0,0.0,32.0,0.0,23.0,0.0,0.0,7.0,1.0,4.0,5.0,0.0,15.0,29.0,2.0,11.0,73.0,1.0,14.0,13.0,4.0,8.0,1.0,1.0,15.0,7.0,19.0,14.0,8.0,32.0,2.0,12.0,6.0,9.0,8.0,0.0,2.0,9.0,7.0,5.0,3.0,0.0,22.0,3.0,9.0,11.0,0.0,2.0,0.0,4.0,38.0,21.0,1.0,1.0,4.0,0.0,3.0,16.0,100.0,49.0,2.0,2.0,10.0,38.0,0.0,5.0,5.0,7.0,7.0,0.0,5.0,50.0,25.0,6.0,4.0,1.0,6.0,7.0,25.0,1.0,0.0,2.0,18.0,7.0,1.0
6,111484973.0,51.0,5.0,41.0,70.0,138.0,0.0,9.0,156.0,16.0,3.0,4.0,7.0,13.0,86.0,1.0,38.0,39.0,73.0,5.0,65.0,59.0,16.0,9.0,57.0,51.0,1.0,20.0,13.0,2.0,58.0,31.0,60.0,5.0,15.0,0.0,40.0,2.0,63.0,21.0,22.0,90.0,74.0,8.0,23.0,4.0,62.0,8.0,9.0,10.0,25.0,25.0,121.0,0.0,16.0,18.0,0.0,4.0,8.0,34.0,82.0,11.0,12.0,108.0,7.0,11.0,65.0,2.0,12.0,22.0,15.0,12.0,2.0,0.0,17.0,16.0,31.0,18.0,63.0,48.0,2.0,23.0,12.0,59.0,66.0,0.0,9.0,38.0,24.0,48.0,11.0,13.0,13.0,10.0,9.0,15.0,26.0,28.0,0.0,9.0,38.0,26.0,1.0,2.0,41.0,5.0,7.0,20.0,111.0,90.0,5.0,67.0,19.0,111.0,1.0,11.0,9.0,21.0,6.0,1.0,14.0,108.0,113.0,20.0,32.0,2.0,42.0,24.0,97.0,17.0,0.0,10.0,15.0,21.0,31.0
7,113121196.0,4.0,0.0,0.0,1.0,1.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,13.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,113690319.0,5.0,2.0,35.0,105.0,22.0,156.0,2.0,0.0,4.0,2.0,2.0,8.0,3.0,42.0,4.0,79.0,22.0,41.0,4.0,24.0,46.0,20.0,7.0,15.0,30.0,2.0,10.0,9.0,1.0,50.0,15.0,12.0,2.0,14.0,1.0,17.0,2.0,49.0,10.0,8.0,29.0,4.0,11.0,32.0,0.0,14.0,11.0,11.0,10.0,7.0,5.0,80.0,0.0,6.0,8.0,0.0,1.0,15.0,18.0,44.0,8.0,9.0,40.0,10.0,5.0,25.0,5.0,4.0,16.0,13.0,7.0,1.0,1.0,10.0,12.0,32.0,26.0,32.0,27.0,0.0,15.0,13.0,33.0,51.0,2.0,6.0,32.0,13.0,45.0,8.0,8.0,10.0,6.0,17.0,4.0,2.0,15.0,0.0,7.0,17.0,5.0,1.0,2.0,15.0,6.0,10.0,7.0,64.0,47.0,5.0,57.0,17.0,41.0,0.0,4.0,9.0,5.0,6.0,0.0,15.0,68.0,53.0,11.0,13.0,0.0,20.0,10.0,22.0,14.0,0.0,5.0,4.0,13.0,1.0
9,1137241106.0,3.0,0.0,1.0,6.0,10.0,16.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,7.0,3.0,5.0,0.0,7.0,8.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,6.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,15.0,13.0,0.0,2.0,6.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,5.0,2.0,4.0,0.0,1.0,5.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,7.0,8.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0
