,0,1,2,3,4,5,6,7,8,9,10,11
0,-1.0,2440808418.0,2998347798.0,3180738950.0,322204783.0,322526123.0,7.27385453553406e+17,7.655789406351606e+17,8.84092131190612e+17,8.977020455448535e+17,9.130601713660232e+17,9.36532885821182e+17
1,2440808418.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2998347798.0,1.0,0.0,175.0,65.0,11.0,70.0,162.0,6.0,8.0,221.0,23.0
3,3180738950.0,1.0,175.0,0.0,49.0,15.0,36.0,119.0,8.0,7.0,98.0,17.0
4,322204783.0,1.0,65.0,49.0,0.0,7.0,41.0,59.0,10.0,7.0,50.0,35.0
5,322526123.0,1.0,11.0,15.0,7.0,0.0,7.0,4.0,4.0,3.0,8.0,4.0
6,7.27385453553406e+17,1.0,70.0,36.0,41.0,7.0,0.0,62.0,10.0,10.0,40.0,21.0
7,7.655789406351606e+17,1.0,162.0,119.0,59.0,4.0,62.0,0.0,6.0,9.0,115.0,26.0
8,8.84092131190612e+17,1.0,6.0,8.0,10.0,4.0,10.0,6.0,0.0,5.0,9.0,6.0
9,8.977020455448535e+17,1.0,8.0,7.0,7.0,3.0,10.0,9.0,5.0,0.0,6.0,5.0
10,9.130601713660232e+17,1.0,221.0,98.0,50.0,8.0,40.0,115.0,9.0,6.0,0.0,18.0
11,9.36532885821182e+17,1.0,23.0,17.0,35.0,4.0,21.0,26.0,6.0,5.0,18.0,0.0
