,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250
0,-1.0,1011332575.0,1015517756.0,1019810551.0,102999493.0,106051500.0,106054346.0,107276964.0,1076354754.0,1083215208.0,1106162540.0,1108876152.0,113878793.0,1149477019.0,115358600.0,115631340.0,1161023214.0,117057410.0,117725632.0,118187942.0,120449901.0,1239243829.0,1246099093.0,124848159.0,1298497970.0,131738772.0,131861489.0,132986131.0,133429220.0,133601790.0,1342680434.0,135082652.0,1354691610.0,137249507.0,137429487.0,1393732860.0,1412750708.0,142204001.0,142551003.0,146855562.0,146893362.0,14766924.0,147957889.0,1481655398.0,15223566.0,1547057516.0,1577505884.0,1582734432.0,159429262.0,1596254593.0,1612978722.0,1645076125.0,1655794226.0,168745742.0,171561276.0,17597797.0,17810115.0,187070993.0,187196080.0,19167916.0,193632133.0,201892141.0,210857902.0,212969941.0,2176306544.0,2185944167.0,2192210263.0,220177325.0,2212610394.0,223569986.0,2235986000.0,2245242091.0,2250350834.0,2256683376.0,226567475.0,228897722.0,2313546906.0,232061196.0,232599517.0,232905304.0,233463331.0,235153299.0,235778758.0,2387015546.0,2416000683.0,243409726.0,246776633.0,24725730.0,2480353320.0,2495858150.0,2509545043.0,253159265.0,253699805.0,253936336.0,25600670.0,2597985812.0,2601661086.0,26576069.0,2696592343.0,271279315.0,2750881445.0,279376388.0,279927811.0,2801089720.0,28384930.0,2852354175.0,28562728.0,286642746.0,288728635.0,2890182739.0,2897706852.0,2913576499.0,2963457078.0,2991740166.0,301308760.0,305159237.0,30900969.0,309110229.0,309528736.0,31102784.0,312656350.0,3131453599.0,3138754328.0,3143164783.0,3184398348.0,3186038551.0,319364084.0,320711350.0,3229346360.0,3320096600.0,33603973.0,336322646.0,33769236.0,33963081.0,340259778.0,348795722.0,3497932345.0,3499432283.0,356079162.0,35687587.0,35707945.0,357732055.0,358604218.0,35967393.0,3698087485.0,373855012.0,3740476822.0,380419492.0,383428939.0,38705872.0,3896042301.0,3918364094.0,394921413.0,394926862.0,3967194192.0,397814418.0,3999676762.0,403991850.0,40506057.0,4064656517.0,408675358.0,412138837.0,417764816.0,423542365.0,4258166179.0,427051856.0,429858261.0,430888221.0,433305159.0,464514550.0,468002992.0,46893833.0,4713447812.0,474033516.0,47605706.0,476593171.0,4911086101.0,491958813.0,49549359.0,507505230.0,508497887.0,509126547.0,50965682.0,514192576.0,515308588.0,522361428.0,531405580.0,532378422.0,536245136.0,54161723.0,542308590.0,54910298.0,564806892.0,57018406.0,585990392.0,587697488.0,605219768.0,612656776.0,61451035.0,616093290.0,619145563.0,630259518.0,64466696.0,66376361.0,66633416.0,68376297.0,69094405.0,70074591.0,7.06503154058154e+17,7.170464594602271e+17,71782074.0,7.21165035670614e+17,723709519.0,72814377.0,7.285751034920673e+17,729244448.0,7.335751936044605e+17,7.372988625623777e+17,73768621.0,75476655.0,7.560588081458381e+17,7.654859484193096e+17,7.701584438396232e+17,771906360.0,77264852.0,776087796.0,7.835361790272553e+17,7.839487477723013e+17,793116961.0,80015242.0,8.052305341125755e+17,806758861.0,8.071809457574543e+17,821499860.0,8.229100306136064e+17,829143884.0,845283318.0,8.455714472925184e+17,8.528569912948613e+17,8.529628633249096e+17,886111729.0,907145564.0,91197647.0,9.12656462870061e+17,9.241346059548262e+17,9.350273866298819e+17,93645412.0,9.364862353878999e+17,9.373265656665006e+17,9.546620247718625e+17,97862326.0
1,1011332575.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0,1.0,0.0,13.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,372.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2,1015517756.0,1.0,0.0,1.0,0.0,19.0,2.0,48.0,55.0,0.0,77.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,15.0,2.0,4.0,1.0,0.0,2.0,1.0,4.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,87.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,57.0,36.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,14.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,40.0,1.0,0.0,2.0,2.0,0.0,59.0,0.0,0.0,26.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,57.0,20.0,0.0,1.0,1.0,119.0,0.0,31.0,1.0,12.0,0.0,3.0,0.0,0.0,1.0,5.0,32.0,0.0,1.0,1.0,2.0,16.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,46.0,13.0,1.0,2.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,83.0,3.0,46.0,1.0,79.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,19.0,14.0,0.0,0.0,0.0,2.0,0.0,2.0,79.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,1.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,9.0,2.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0
3,1019810551.0,0.0,1.0,0.0,1.0,2.0,14.0,1.0,1.0,0.0,40.0,1.0,16.0,1.0,12.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,17.0,4.0,0.0,7.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,6.0,2.0,1137.0,6.0,2.0,3.0,0.0,19.0,1.0,3.0,1.0,0.0,0.0,1.0,8.0,2.0,1.0,1.0,0.0,1.0,3.0,16.0,1.0,0.0,0.0,16.0,9.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,7.0,0.0,1197.0,0.0,0.0,1.0,0.0,8.0,46.0,0.0,0.0,1.0,0.0,71.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,848.0,0.0,2.0,0.0,279.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,665.0,0.0,1.0,0.0,19.0,1.0,1.0,1.0,0.0,0.0,9.0,5.0,1.0,10.0,1.0,2.0,6.0,7.0,559.0,5.0,0.0,35.0,2.0,2.0,2.0,24.0,2.0,0.0,1.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,24.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,1.0,1.0,1.0,23.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,12.0,1.0,0.0,4.0,0.0,0.0,545.0,1.0,1.0,1.0,1.0,0.0,7.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,11.0,2.0,0.0,1.0,0.0,0.0,34.0,1.0,0.0,3.0,0.0,0.0,0.0,14.0,1.0,2.0,102.0,60.0,1.0,1.0,0.0,0.0,0.0,27.0,312.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,1.0
4,102999493.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,106051500.0,0.0,19.0,2.0,0.0,0.0,2.0,13.0,18.0,1.0,28.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,8.0,6.0,1.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,26.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0,4.0,2.0,9.0,2.0,12.0,11.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,4.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,9.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,7.0,4.0,0.0,0.0,4.0,0.0,12.0,0.0,0.0,6.0,1.0,2.0,0.0,1.0,0.0,7.0,0.0,6.0,15.0,10.0,0.0,1.0,4.0,39.0,0.0,9.0,1.0,4.0,1.0,16.0,0.0,0.0,1.0,6.0,12.0,0.0,2.0,3.0,0.0,6.0,3.0,4.0,2.0,0.0,0.0,1.0,2.0,6.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,5.0,20.0,0.0,29.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,4.0,6.0,0.0,2.0,2.0,2.0,0.0,3.0,31.0,1.0,0.0,0.0,0.0,10.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,6.0,1.0,1.0,0.0,1.0,2.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0
6,106054346.0,1.0,2.0,14.0,1.0,2.0,0.0,1.0,1.0,0.0,22.0,1.0,5.0,1.0,47.0,0.0,2.0,0.0,17.0,3.0,2.0,1.0,0.0,3.0,17.0,19.0,0.0,3.0,2.0,0.0,8.0,1.0,19.0,1.0,2.0,2.0,10.0,56.0,13.0,0.0,6.0,3.0,35.0,2.0,20.0,3.0,1.0,0.0,1.0,14.0,1.0,3.0,1.0,0.0,1.0,2.0,27.0,3.0,8.0,3.0,30.0,27.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,31.0,0.0,1.0,1.0,0.0,7.0,37.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,2.0,48.0,0.0,5.0,0.0,12.0,11.0,0.0,0.0,9.0,0.0,1.0,1.0,19.0,0.0,1.0,0.0,20.0,0.0,1.0,2.0,0.0,0.0,10.0,14.0,2.0,5.0,1.0,4.0,0.0,16.0,78.0,7.0,0.0,11.0,1.0,1.0,11.0,60.0,2.0,1.0,2.0,92.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,25.0,0.0,0.0,1.0,3.0,7.0,3.0,0.0,0.0,10.0,0.0,1.0,0.0,3.0,3.0,1.0,1.0,2.0,3.0,0.0,2.0,2.0,3.0,15.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,33.0,2.0,1.0,3.0,0.0,0.0,13.0,1.0,1.0,3.0,3.0,0.0,25.0,0.0,9.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,59.0,1.0,0.0,1.0,2.0,0.0,0.0,23.0,2.0,4.0,72.0,43.0,6.0,1.0,0.0,0.0,0.0,17.0,85.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,3.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,1.0
7,107276964.0,1.0,48.0,1.0,0.0,13.0,1.0,0.0,29.0,0.0,44.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,15.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,52.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,30.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,7.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,20.0,2.0,0.0,0.0,2.0,0.0,26.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,20.0,13.0,0.0,1.0,2.0,67.0,0.0,16.0,1.0,5.0,0.0,4.0,0.0,0.0,1.0,2.0,13.0,0.0,1.0,1.0,1.0,8.0,4.0,3.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,8.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,36.0,1.0,39.0,0.0,41.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,16.0,11.0,0.0,1.0,1.0,1.0,0.0,3.0,42.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0
8,1076354754.0,0.0,55.0,1.0,0.0,18.0,1.0,29.0,0.0,0.0,62.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,11.0,2.0,2.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,64.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,38.0,27.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,11.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,31.0,2.0,0.0,0.0,2.0,0.0,24.0,0.0,0.0,20.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,17.0,46.0,19.0,0.0,1.0,2.0,81.0,0.0,26.0,1.0,3.0,0.0,6.0,0.0,0.0,2.0,3.0,11.0,1.0,1.0,3.0,1.0,19.0,2.0,7.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,33.0,7.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,62.0,2.0,30.0,0.0,65.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,22.0,15.0,0.0,1.0,0.0,4.0,0.0,1.0,45.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0
9,1083215208.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
