,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
0,-1.0,132095682.0,1377881400.0,1402477585.0,1418245098.0,1489734068.0,1688282077.0,173383514.0,1832561611.0,1912264554.0,218748137.0,2319256634.0,2414198053.0,2428276874.0,253442776.0,2579735260.0,2599840188.0,2648738877.0,2671657419.0,2698231958.0,2834604770.0,286714614.0,2893417586.0,2917634087.0,2921587844.0,2925375086.0,2971981250.0,2972608258.0,3066448170.0,3078657603.0,3116435134.0,317728006.0,3292384208.0,3304362467.0,3437983929.0,3515382443.0,368201887.0,3935051780.0,4207660557.0,427819419.0,4335217032.0,438913403.0,458870075.0,469439419.0,4777301054.0,4793745138.0,492321808.0,52341168.0,531107304.0,532097660.0,535319305.0,55721464.0,570634211.0,618741046.0,7.027155671034511e+17,7.597347753807053e+17,7.768217966454088e+17,7.84276174054658e+17,7.852951984232817e+17,7.86241101896319e+17,793656888.0,7.99514940314964e+17,7.998170381558825e+17,8.02061874401579e+17,8.057043359129969e+17,8.206789392701194e+17,8.306720521557402e+17,8.38255186539864e+17,8.463379482871521e+17,848807995.0,8.855874844989481e+17,8.858209773885686e+17,8.865801846477783e+17,8.889612132745339e+17,8.909768091723366e+17,8.937812649474499e+17,8.944564447575286e+17,8.960571693379625e+17,9.030592373911306e+17,9.503127164591555e+17,9.51372431456813e+17,9.550834214029066e+17
1,132095682.0,0.0,0.0,6.0,12.0,12.0,7.0,3.0,20.0,1.0,0.0,4.0,0.0,11.0,19.0,12.0,19.0,6.0,7.0,1.0,2.0,0.0,17.0,6.0,14.0,12.0,3.0,0.0,0.0,9.0,10.0,7.0,9.0,11.0,20.0,0.0,23.0,0.0,18.0,1.0,16.0,24.0,9.0,21.0,5.0,15.0,2.0,0.0,5.0,6.0,4.0,0.0,36.0,69.0,8.0,0.0,0.0,0.0,14.0,4.0,6.0,2.0,4.0,13.0,17.0,0.0,15.0,13.0,9.0,5.0,2.0,8.0,2.0,12.0,1.0,16.0,7.0,13.0,3.0,7.0,1.0,1.0
2,1377881400.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,21.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0
3,1402477585.0,6.0,1.0,0.0,40.0,29.0,17.0,4.0,55.0,19.0,0.0,9.0,1.0,64.0,75.0,48.0,47.0,24.0,26.0,8.0,2.0,0.0,42.0,10.0,88.0,55.0,21.0,1.0,10.0,69.0,72.0,25.0,11.0,45.0,33.0,1.0,51.0,0.0,52.0,14.0,68.0,74.0,56.0,70.0,0.0,22.0,10.0,0.0,16.0,31.0,20.0,0.0,116.0,113.0,61.0,0.0,6.0,5.0,71.0,24.0,37.0,19.0,12.0,56.0,68.0,2.0,80.0,25.0,12.0,48.0,22.0,13.0,16.0,63.0,11.0,55.0,7.0,35.0,3.0,5.0,33.0,21.0
4,1418245098.0,12.0,0.0,40.0,0.0,29.0,13.0,3.0,46.0,14.0,0.0,5.0,2.0,32.0,63.0,37.0,39.0,32.0,31.0,9.0,2.0,0.0,31.0,14.0,54.0,46.0,23.0,1.0,3.0,43.0,46.0,30.0,12.0,29.0,30.0,2.0,32.0,0.0,56.0,7.0,58.0,51.0,38.0,63.0,1.0,23.0,7.0,0.0,10.0,20.0,25.0,0.0,77.0,56.0,50.0,0.0,6.0,2.0,54.0,18.0,30.0,17.0,11.0,54.0,51.0,1.0,62.0,24.0,17.0,35.0,9.0,28.0,17.0,59.0,8.0,45.0,4.0,32.0,2.0,9.0,20.0,13.0
5,1489734068.0,12.0,0.0,29.0,29.0,0.0,28.0,3.0,137.0,5.0,7.0,7.0,0.0,45.0,79.0,77.0,58.0,26.0,37.0,4.0,1.0,0.0,68.0,71.0,60.0,41.0,15.0,3.0,10.0,21.0,61.0,35.0,24.0,95.0,52.0,7.0,82.0,10.0,145.0,3.0,59.0,108.0,40.0,124.0,0.0,39.0,69.0,0.0,17.0,39.0,15.0,0.0,123.0,59.0,42.0,0.0,4.0,2.0,68.0,63.0,32.0,15.0,46.0,62.0,81.0,1.0,81.0,77.0,26.0,40.0,3.0,52.0,12.0,62.0,9.0,80.0,11.0,155.0,0.0,50.0,5.0,2.0
6,1688282077.0,7.0,0.0,17.0,13.0,28.0,0.0,4.0,57.0,3.0,0.0,38.0,0.0,22.0,37.0,67.0,24.0,10.0,10.0,3.0,1.0,0.0,141.0,11.0,32.0,17.0,7.0,0.0,2.0,8.0,35.0,11.0,15.0,32.0,105.0,3.0,188.0,1.0,48.0,4.0,21.0,108.0,23.0,48.0,0.0,145.0,4.0,0.0,14.0,96.0,17.0,0.0,67.0,31.0,21.0,0.0,0.0,3.0,18.0,23.0,18.0,10.0,12.0,22.0,70.0,1.0,37.0,16.0,16.0,18.0,7.0,15.0,8.0,31.0,7.0,81.0,92.0,39.0,0.0,4.0,2.0,1.0
7,173383514.0,3.0,0.0,4.0,3.0,3.0,4.0,0.0,5.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,13.0,0.0,4.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,4.0,3.0,30.0,5.0,4.0,0.0,5.0,0.0,3.0,2.0,2.0,7.0,3.0,2.0,0.0,3.0,1.0,0.0,1.0,4.0,2.0,0.0,9.0,9.0,4.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,4.0,3.0,0.0,2.0,1.0,32.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0
8,1832561611.0,20.0,1.0,55.0,46.0,137.0,57.0,5.0,0.0,11.0,5.0,20.0,0.0,57.0,107.0,98.0,83.0,26.0,30.0,14.0,2.0,0.0,106.0,103.0,98.0,61.0,26.0,3.0,11.0,38.0,93.0,44.0,29.0,200.0,74.0,6.0,120.0,7.0,191.0,10.0,70.0,158.0,63.0,118.0,1.0,68.0,87.0,0.0,33.0,67.0,23.0,0.0,192.0,159.0,73.0,0.0,5.0,5.0,74.0,82.0,46.0,34.0,68.0,73.0,118.0,1.0,97.0,153.0,23.0,55.0,29.0,58.0,16.0,101.0,15.0,113.0,28.0,155.0,6.0,102.0,8.0,3.0
9,1912264554.0,1.0,0.0,19.0,14.0,5.0,3.0,1.0,11.0,0.0,0.0,3.0,0.0,23.0,56.0,13.0,6.0,19.0,36.0,2.0,1.0,0.0,7.0,1.0,38.0,20.0,16.0,0.0,1.0,55.0,16.0,9.0,2.0,15.0,9.0,0.0,12.0,0.0,13.0,3.0,34.0,17.0,18.0,36.0,0.0,3.0,6.0,0.0,8.0,10.0,32.0,0.0,38.0,72.0,32.0,0.0,3.0,4.0,31.0,4.0,11.0,12.0,4.0,53.0,14.0,1.0,46.0,9.0,2.0,17.0,4.0,4.0,17.0,24.0,12.0,16.0,3.0,4.0,1.0,1.0,47.0,24.0
