,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146
0,-1.0,1003180843.0,100429276.0,1011916519.0,101258468.0,104794259.0,108520642.0,1110840294.0,111901848.0,1173501156.0,117648035.0,117683777.0,118593643.0,122322961.0,128547430.0,130027649.0,13013112.0,13203032.0,1354594075.0,136522872.0,1372440206.0,138278423.0,14223083.0,14311121.0,1434246793.0,14416772.0,14428536.0,144423696.0,144800132.0,144988686.0,145653437.0,14627953.0,146900193.0,14714136.0,148786408.0,149580057.0,152205174.0,155517993.0,16351147.0,16418528.0,164666306.0,16470319.0,16542463.0,169085447.0,169344983.0,16947322.0,173424834.0,173816060.0,1799044873.0,183437799.0,1883645040.0,188951688.0,19662889.0,19685758.0,217868517.0,218192899.0,2203756369.0,22256003.0,223721302.0,2261276785.0,2263781.0,22893133.0,23016462.0,231584136.0,237598493.0,239262644.0,23991729.0,2426665586.0,244051691.0,24728451.0,2473190790.0,251726691.0,252870274.0,256882565.0,257509172.0,2597367997.0,267381680.0,278527917.0,282916645.0,2856528830.0,2903653111.0,294634289.0,301586617.0,302282119.0,3129259739.0,317686278.0,321312701.0,3401741893.0,342169792.0,35116562.0,361704573.0,36453220.0,369849906.0,371088454.0,39024549.0,39182840.0,39807785.0,424447494.0,424869429.0,43681750.0,438485176.0,45339187.0,4677857995.0,4702623439.0,519278044.0,56760214.0,578770422.0,60822560.0,61211437.0,614694299.0,61673414.0,623305651.0,62558115.0,62972086.0,63069724.0,63789515.0,64558929.0,64655031.0,64694303.0,66632083.0,67003253.0,69801190.0,69839181.0,71574221.0,71834922.0,72161620.0,72302410.0,72315090.0,72772802.0,7.361332612487291e+17,73857971.0,75247808.0,76026916.0,772051465.0,77374206.0,77736938.0,78028120.0,79709053.0,80874374.0,81850109.0,82032959.0,84209996.0,85580306.0,86642928.0,86819813.0,89228602.0,92790454.0
1,1003180843.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,5.0,1.0,1.0,1.0,1.0,8.0,0.0,2.0,1.0,1.0,2.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2,100429276.0,1.0,0.0,0.0,1.0,8.0,2.0,1.0,0.0,11.0,0.0,0.0,6.0,0.0,2.0,0.0,4.0,12.0,16.0,4.0,1.0,0.0,6.0,6.0,5.0,10.0,17.0,0.0,1.0,5.0,4.0,4.0,1.0,5.0,0.0,0.0,11.0,9.0,2.0,2.0,3.0,1.0,4.0,0.0,3.0,0.0,2.0,5.0,3.0,3.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,11.0,7.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,19.0,3.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,12.0,2.0,0.0,9.0,0.0,7.0,6.0,1.0,13.0,1.0,0.0,2.0,1.0,2.0,17.0,0.0,1.0,0.0,5.0,1.0,5.0,6.0,15.0,16.0,5.0,0.0,10.0,1.0,7.0,11.0,5.0,0.0,6.0,1.0,4.0,6.0,1.0,2.0,15.0,6.0,5.0,12.0,14.0,6.0,3.0,0.0,1.0,3.0,11.0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,7.0,12.0,5.0,4.0,0.0
3,1011916519.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,5.0,0.0,1.0,1.0,13.0,5.0,23.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,2.0,0.0,22.0,0.0,0.0,0.0,5.0,0.0,15.0,1.0,0.0,0.0,0.0,9.0,1.0,13.0,0.0,10.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,0.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,36.0,0.0,1.0,1.0,1.0,0.0,12.0,0.0,2.0,0.0,1.0,5.0,0.0,11.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,74.0,10.0,0.0,1.0,3.0,1.0,29.0,6.0,11.0,4.0,46.0,2.0,2.0,3.0,7.0,4.0,0.0,1.0,5.0,0.0,1.0,7.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,24.0,0.0,0.0,2.0,1.0,4.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,0.0,1.0,1.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0
4,101258468.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,10.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,5.0,3.0,0.0,0.0,3.0,0.0,9.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,3.0,2.0,3.0,4.0,0.0,1.0,0.0,12.0,1.0,1.0,18.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
5,104794259.0,1.0,8.0,0.0,1.0,0.0,1.0,1.0,0.0,56.0,0.0,1.0,26.0,1.0,18.0,2.0,8.0,49.0,143.0,12.0,1.0,1.0,31.0,10.0,35.0,9.0,63.0,0.0,3.0,29.0,22.0,18.0,1.0,37.0,0.0,0.0,110.0,148.0,3.0,2.0,37.0,10.0,27.0,1.0,11.0,2.0,13.0,62.0,17.0,65.0,2.0,1.0,4.0,40.0,0.0,0.0,0.0,89.0,22.0,0.0,0.0,0.0,13.0,1.0,1.0,1.0,89.0,39.0,1.0,1.0,8.0,3.0,7.0,1.0,1.0,1.0,40.0,204.0,6.0,1.0,2.0,28.0,2.0,14.0,3.0,36.0,79.0,30.0,2.0,29.0,0.0,61.0,81.0,6.0,49.0,1.0,1.0,17.0,1.0,5.0,156.0,1.0,1.0,5.0,52.0,3.0,6.0,44.0,45.0,120.0,50.0,0.0,37.0,22.0,75.0,69.0,5.0,0.0,68.0,5.0,34.0,22.0,2.0,47.0,118.0,58.0,30.0,91.0,55.0,30.0,13.0,3.0,6.0,10.0,83.0,1.0,3.0,0.0,15.0,0.0,31.0,31.0,37.0,122.0,18.0,48.0,0.0
6,108520642.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,6.0,1.0,3.0,2.0,6.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,3.0,8.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,2.0,6.0,3.0,14.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,17.0,0.0,1.0,2.0,20.0,1.0,0.0,2.0,0.0,12.0,0.0,1.0,2.0,1.0,0.0,15.0,1.0,5.0,0.0,1.0,11.0,0.0,7.0,0.0,0.0,1.0,4.0,2.0,0.0,3.0,2.0,15.0,9.0,1.0,2.0,4.0,1.0,17.0,3.0,12.0,4.0,17.0,1.0,5.0,3.0,5.0,9.0,2.0,1.0,0.0,0.0,1.0,3.0,4.0,2.0,8.0,0.0,1.0,2.0,1.0,8.0,0.0,2.0,3.0,2.0,10.0,6.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,6.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
7,1110840294.0,1.0,1.0,8.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,12.0,2.0,8.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,5.0,0.0,5.0,1.0,0.0,21.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,21.0,2.0,1.0,0.0,2.0,1.0,6.0,4.0,3.0,6.0,24.0,1.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,17.0,0.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8,111901848.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
9,1173501156.0,1.0,11.0,4.0,1.0,56.0,4.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,18.0,2.0,8.0,38.0,61.0,5.0,1.0,0.0,29.0,11.0,9.0,15.0,109.0,1.0,18.0,28.0,11.0,20.0,1.0,25.0,0.0,1.0,47.0,58.0,3.0,22.0,15.0,7.0,9.0,0.0,5.0,4.0,4.0,29.0,11.0,15.0,3.0,1.0,16.0,32.0,3.0,0.0,0.0,42.0,11.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,69.0,35.0,1.0,1.0,9.0,33.0,2.0,1.0,1.0,2.0,11.0,93.0,7.0,3.0,1.0,29.0,1.0,11.0,1.0,6.0,44.0,15.0,4.0,37.0,0.0,17.0,27.0,36.0,73.0,2.0,0.0,20.0,1.0,27.0,92.0,5.0,4.0,18.0,12.0,4.0,9.0,46.0,65.0,69.0,30.0,1.0,25.0,14.0,53.0,33.0,13.0,1.0,24.0,3.0,16.0,14.0,1.0,9.0,48.0,31.0,24.0,74.0,64.0,15.0,7.0,0.0,4.0,13.0,47.0,1.0,7.0,1.0,3.0,0.0,22.0,17.0,39.0,59.0,21.0,26.0,0.0
