,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175
0,-1.0,102060476.0,102703360.0,104185680.0,104199233.0,1049646152.0,1055399094.0,107354463.0,108907087.0,1098639721.0,110726651.0,112108969.0,114228009.0,115018686.0,115752582.0,117093537.0,1227989845.0,123150564.0,125470201.0,125940125.0,1278306800.0,132960957.0,134347018.0,1361439403.0,136580707.0,13664262.0,1368029022.0,1386044742.0,139079512.0,1536013082.0,155808890.0,159264497.0,160315139.0,164243878.0,165022469.0,165589454.0,1664610132.0,1700951646.0,170571854.0,171867890.0,174495295.0,178340199.0,178786131.0,179528577.0,184726588.0,1871144048.0,1903715430.0,1910707693.0,213182377.0,215891477.0,215905895.0,220650257.0,2210333792.0,2244197305.0,2256322368.0,226890767.0,2303096750.0,2354600359.0,2358376159.0,2362025557.0,241540682.0,2415493560.0,24329260.0,243976363.0,2440076029.0,2452783622.0,252471450.0,2554275806.0,257066500.0,2587728956.0,2595205994.0,2596058376.0,260575757.0,2617276694.0,26229151.0,2642150373.0,264683743.0,26707040.0,2698642634.0,2729047747.0,274111160.0,27664191.0,279854362.0,2803550257.0,283210461.0,286625089.0,287004074.0,296857060.0,3051062461.0,3062430962.0,313394633.0,3144554924.0,3152314866.0,3154733167.0,3180373724.0,3186754770.0,3237159355.0,32376666.0,3238733526.0,3319327831.0,340370057.0,35707945.0,3573668774.0,360509494.0,361139312.0,3677651472.0,376033636.0,378774444.0,3791121015.0,3792199394.0,393904057.0,399851791.0,409044144.0,43117706.0,431783115.0,43517535.0,438142822.0,446390204.0,48366956.0,484098443.0,490040242.0,494167506.0,49599851.0,514092861.0,520144959.0,564509598.0,565329028.0,57262449.0,57667345.0,592023776.0,60936786.0,612272226.0,63337886.0,67691296.0,7.007118610381005e+17,7.155222124979118e+17,73910595.0,7.396782588919194e+17,744505350.0,74881847.0,756940009.0,77123870.0,7.813903916101796e+17,8.57266133489e+17,80988216.0,8.125573776312402e+17,8.23054236950872e+17,83560728.0,8.46465835870892e+17,8.54871081043329e+17,856034418.0,863150304.0,86367032.0,864114421.0,8.856535914946232e+17,8.859031713184481e+17,8.865518598963077e+17,8.878779592346173e+17,8.924039659371889e+17,899172157.0,90677649.0,9.097438048606863e+17,9.23042548830163e+17,9.238219893782528e+17,92688658.0,9.282685278485135e+17,9.292689813403156e+17,9.302528554113188e+17,9.304093897769492e+17,93617861.0,9.380696848842629e+17,9.491251981874463e+17,9.492531109914378e+17,9.522110848694927e+17,95415791.0,978044378.0
1,102060476.0,0.0,0.0,5.0,1.0,1.0,26.0,0.0,2.0,7.0,6.0,7.0,9.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,2.0,12.0,1.0,15.0,4.0,8.0,1.0,0.0,0.0,4.0,8.0,3.0,0.0,0.0,22.0,11.0,16.0,19.0,23.0,4.0,0.0,4.0,6.0,0.0,17.0,0.0,13.0,10.0,5.0,0.0,11.0,14.0,2.0,2.0,29.0,0.0,0.0,3.0,10.0,3.0,11.0,1.0,5.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,40.0,2.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,1.0,2.0,0.0,10.0,10.0,1.0,12.0,0.0,0.0,20.0,4.0,1.0,29.0,4.0,13.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,11.0,0.0,6.0,18.0,0.0,0.0,10.0,0.0,4.0,2.0,4.0,7.0,7.0,16.0,1.0,0.0,9.0,13.0,28.0,20.0,1.0,0.0,0.0,3.0,9.0,0.0,2.0,2.0,0.0,6.0,1.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,27.0,4.0,3.0,7.0,0.0,1.0,10.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,6.0,19.0,0.0
2,102703360.0,0.0,0.0,8.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0,3.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,35.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,23.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
3,104185680.0,5.0,8.0,0.0,1.0,0.0,11.0,0.0,0.0,10.0,1.0,7.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,2.0,1.0,5.0,0.0,5.0,4.0,2.0,1.0,1.0,0.0,3.0,0.0,5.0,1.0,0.0,7.0,2.0,9.0,1.0,11.0,2.0,1.0,13.0,1.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,9.0,11.0,3.0,2.0,3.0,0.0,0.0,3.0,3.0,4.0,28.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,3.0,2.0,0.0,9.0,1.0,1.0,12.0,1.0,19.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,11.0,0.0,0.0,4.0,1.0,4.0,1.0,3.0,1.0,0.0,8.0,0.0,0.0,1.0,2.0,3.0,7.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,12.0,0.0,5.0,8.0,0.0,1.0,8.0,1.0,2.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0
4,104199233.0,1.0,1.0,1.0,0.0,1.0,20.0,0.0,2.0,16.0,5.0,15.0,10.0,0.0,2.0,13.0,8.0,8.0,1.0,0.0,2.0,2.0,4.0,13.0,2.0,11.0,4.0,0.0,0.0,21.0,4.0,9.0,0.0,0.0,2.0,4.0,9.0,6.0,15.0,3.0,0.0,4.0,3.0,1.0,17.0,0.0,2.0,23.0,1.0,0.0,6.0,2.0,4.0,8.0,23.0,0.0,0.0,4.0,17.0,3.0,14.0,0.0,2.0,0.0,2.0,2.0,14.0,0.0,1.0,0.0,1.0,3.0,1.0,7.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,9.0,0.0,8.0,2.0,3.0,24.0,1.0,3.0,4.0,2.0,24.0,2.0,0.0,10.0,7.0,3.0,1.0,1.0,1.0,7.0,0.0,5.0,1.0,4.0,0.0,1.0,18.0,0.0,0.0,14.0,2.0,4.0,4.0,5.0,5.0,0.0,4.0,0.0,0.0,2.0,5.0,10.0,37.0,2.0,0.0,3.0,3.0,4.0,1.0,1.0,11.0,0.0,1.0,0.0,4.0,4.0,2.0,0.0,6.0,1.0,5.0,0.0,1.0,7.0,18.0,1.0,0.0,2.0,0.0,2.0,18.0,2.0,3.0,0.0,14.0,0.0,2.0,1.0,17.0,2.0,1.0,0.0,0.0,20.0,1.0,3.0,1.0,3.0,3.0,0.0
5,1049646152.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
6,1055399094.0,26.0,2.0,11.0,20.0,0.0,0.0,3.0,9.0,29.0,26.0,42.0,1.0,0.0,2.0,41.0,4.0,3.0,3.0,6.0,6.0,24.0,27.0,119.0,9.0,37.0,8.0,3.0,0.0,38.0,38.0,6.0,1.0,0.0,14.0,9.0,32.0,120.0,32.0,27.0,1.0,11.0,37.0,4.0,115.0,0.0,16.0,84.0,8.0,0.0,39.0,16.0,13.0,3.0,71.0,0.0,0.0,16.0,112.0,8.0,38.0,4.0,7.0,0.0,0.0,78.0,44.0,0.0,0.0,1.0,0.0,21.0,3.0,43.0,4.0,1.0,0.0,1.0,48.0,1.0,0.0,1.0,0.0,1.0,17.0,0.0,61.0,6.0,14.0,6.0,12.0,88.0,13.0,10.0,4.0,3.0,160.0,4.0,7.0,80.0,55.0,16.0,16.0,4.0,2.0,17.0,0.0,1.0,4.0,76.0,2.0,43.0,51.0,0.0,1.0,106.0,1.0,21.0,6.0,46.0,32.0,17.0,17.0,2.0,0.0,29.0,43.0,89.0,142.0,3.0,0.0,7.0,16.0,27.0,3.0,16.0,34.0,1.0,17.0,5.0,9.0,12.0,15.0,0.0,4.0,9.0,15.0,0.0,5.0,40.0,68.0,29.0,1.0,18.0,0.0,10.0,119.0,4.0,20.0,0.0,36.0,0.0,33.0,2.0,6.0,5.0,7.0,0.0,0.0,92.0,6.0,5.0,7.0,27.0,19.0,1.0
7,107354463.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
8,108907087.0,2.0,0.0,0.0,2.0,0.0,9.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,3.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,2.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,10.0,0.0,2.0,4.0,2.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,3.0,5.0,7.0,8.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,5.0,0.0,0.0
9,1098639721.0,7.0,1.0,10.0,16.0,2.0,29.0,0.0,0.0,0.0,5.0,21.0,1.0,0.0,5.0,5.0,4.0,4.0,1.0,8.0,2.0,6.0,3.0,9.0,22.0,7.0,4.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,15.0,12.0,19.0,13.0,41.0,2.0,1.0,11.0,2.0,4.0,4.0,0.0,17.0,8.0,7.0,0.0,24.0,23.0,8.0,6.0,11.0,0.0,0.0,13.0,5.0,7.0,39.0,0.0,6.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,3.0,4.0,0.0,19.0,5.0,0.0,0.0,0.0,16.0,1.0,0.0,7.0,0.0,2.0,0.0,1.0,1.0,0.0,6.0,1.0,13.0,10.0,2.0,15.0,2.0,0.0,17.0,7.0,2.0,28.0,1.0,17.0,1.0,1.0,1.0,9.0,0.0,1.0,3.0,0.0,1.0,9.0,19.0,1.0,1.0,12.0,1.0,10.0,5.0,6.0,3.0,1.0,20.0,1.0,0.0,1.0,4.0,8.0,15.0,2.0,0.0,1.0,7.0,2.0,1.0,0.0,5.0,0.0,14.0,6.0,12.0,5.0,0.0,0.0,6.0,0.0,3.0,0.0,2.0,11.0,46.0,0.0,0.0,20.0,0.0,4.0,23.0,3.0,4.0,0.0,6.0,0.0,2.0,3.0,9.0,3.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,3.0,24.0,0.0
