,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,-1.0,1057392066.0,105773564.0,111814332.0,132037287.0,137299902.0,137702613.0,1444754557.0,145535500.0,1482382711.0,149063448.0,1651092140.0,16710907.0,1673407916.0,194378787.0,199665525.0,22145361.0,2315414510.0,2462120142.0,2959174339.0,3013658100.0,3259105222.0,4176075374.0,428270598.0,4502320612.0,4777301054.0,550382928.0,57262449.0,616000350.0,63951077.0,70239251.0,75098117.0,8.578223124266066e+17,87639092.0,887124260.0
1,1057392066.0,0.0,19.0,16.0,6.0,9.0,4.0,52.0,3.0,0.0,19.0,21.0,27.0,3.0,17.0,11.0,0.0,23.0,2.0,5.0,27.0,16.0,0.0,25.0,0.0,0.0,0.0,16.0,13.0,5.0,35.0,5.0,0.0,11.0,1.0
2,105773564.0,19.0,0.0,35.0,20.0,15.0,2.0,88.0,4.0,1.0,52.0,59.0,93.0,12.0,8.0,44.0,0.0,55.0,2.0,18.0,82.0,37.0,2.0,57.0,0.0,0.0,1.0,48.0,24.0,7.0,66.0,14.0,0.0,48.0,2.0
3,111814332.0,16.0,35.0,0.0,5.0,11.0,0.0,76.0,3.0,3.0,29.0,31.0,66.0,9.0,17.0,20.0,1.0,25.0,10.0,8.0,49.0,31.0,1.0,35.0,0.0,2.0,4.0,28.0,23.0,5.0,42.0,15.0,0.0,15.0,6.0
4,132037287.0,6.0,20.0,5.0,0.0,11.0,0.0,44.0,2.0,2.0,12.0,11.0,100.0,2.0,4.0,10.0,1.0,33.0,0.0,5.0,15.0,11.0,16.0,19.0,0.0,22.0,1.0,30.0,50.0,2.0,14.0,14.0,0.0,20.0,0.0
5,137299902.0,9.0,15.0,11.0,11.0,0.0,0.0,33.0,2.0,3.0,13.0,12.0,47.0,9.0,10.0,4.0,0.0,13.0,12.0,10.0,23.0,10.0,0.0,23.0,1.0,7.0,0.0,13.0,10.0,3.0,16.0,3.0,0.0,19.0,3.0
6,137702613.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7,1444754557.0,52.0,88.0,76.0,44.0,33.0,6.0,0.0,15.0,10.0,78.0,75.0,262.0,19.0,32.0,57.0,3.0,95.0,19.0,25.0,157.0,70.0,4.0,113.0,0.0,18.0,4.0,67.0,85.0,17.0,129.0,31.0,0.0,68.0,7.0
8,145535500.0,3.0,4.0,3.0,2.0,2.0,2.0,15.0,0.0,1.0,7.0,4.0,15.0,1.0,5.0,2.0,0.0,2.0,0.0,3.0,6.0,7.0,0.0,10.0,0.0,0.0,1.0,6.0,3.0,1.0,4.0,2.0,0.0,7.0,2.0
9,1482382711.0,0.0,1.0,3.0,2.0,3.0,0.0,10.0,1.0,0.0,3.0,2.0,8.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
10,149063448.0,19.0,52.0,29.0,12.0,13.0,0.0,78.0,7.0,3.0,0.0,42.0,73.0,11.0,19.0,43.0,1.0,42.0,4.0,9.0,55.0,37.0,1.0,47.0,1.0,0.0,1.0,48.0,51.0,3.0,60.0,15.0,0.0,31.0,4.0
11,1651092140.0,21.0,59.0,31.0,11.0,12.0,0.0,75.0,4.0,2.0,42.0,0.0,74.0,13.0,10.0,45.0,0.0,65.0,1.0,13.0,77.0,55.0,1.0,56.0,0.0,1.0,1.0,50.0,24.0,6.0,74.0,8.0,0.0,35.0,2.0
12,16710907.0,27.0,93.0,66.0,100.0,47.0,7.0,262.0,15.0,8.0,73.0,74.0,0.0,20.0,38.0,50.0,3.0,78.0,32.0,37.0,137.0,54.0,4.0,96.0,0.0,25.0,8.0,73.0,56.0,12.0,145.0,30.0,0.0,66.0,10.0
13,1673407916.0,3.0,12.0,9.0,2.0,9.0,0.0,19.0,1.0,0.0,11.0,13.0,20.0,0.0,2.0,6.0,0.0,7.0,1.0,3.0,16.0,10.0,1.0,11.0,0.0,0.0,0.0,7.0,7.0,3.0,16.0,3.0,0.0,7.0,1.0
14,194378787.0,17.0,8.0,17.0,4.0,10.0,2.0,32.0,5.0,1.0,19.0,10.0,38.0,2.0,0.0,2.0,1.0,5.0,8.0,8.0,20.0,8.0,0.0,17.0,0.0,14.0,0.0,18.0,18.0,1.0,18.0,8.0,0.0,9.0,5.0
15,199665525.0,11.0,44.0,20.0,10.0,4.0,0.0,57.0,2.0,1.0,43.0,45.0,50.0,6.0,2.0,0.0,0.0,45.0,0.0,13.0,46.0,30.0,2.0,42.0,0.0,0.0,1.0,42.0,16.0,5.0,48.0,5.0,0.0,27.0,0.0
16,22145361.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
17,2315414510.0,23.0,55.0,25.0,33.0,13.0,0.0,95.0,2.0,1.0,42.0,65.0,78.0,7.0,5.0,45.0,0.0,0.0,2.0,15.0,64.0,56.0,3.0,49.0,4.0,0.0,0.0,49.0,38.0,3.0,76.0,10.0,0.0,47.0,2.0
18,2462120142.0,2.0,2.0,10.0,0.0,12.0,3.0,19.0,0.0,5.0,4.0,1.0,32.0,1.0,8.0,0.0,3.0,2.0,0.0,1.0,7.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,3.0,3.0,0.0,6.0,5.0
19,2959174339.0,5.0,18.0,8.0,5.0,10.0,0.0,25.0,3.0,0.0,9.0,13.0,37.0,3.0,8.0,13.0,0.0,15.0,1.0,0.0,19.0,14.0,3.0,17.0,0.0,13.0,0.0,62.0,12.0,2.0,19.0,3.0,0.0,29.0,0.0
20,3013658100.0,27.0,82.0,49.0,15.0,23.0,1.0,157.0,6.0,1.0,55.0,77.0,137.0,16.0,20.0,46.0,3.0,64.0,7.0,19.0,0.0,51.0,2.0,81.0,0.0,31.0,2.0,58.0,50.0,13.0,106.0,19.0,0.0,46.0,1.0
21,3259105222.0,16.0,37.0,31.0,11.0,10.0,0.0,70.0,7.0,4.0,37.0,55.0,54.0,10.0,8.0,30.0,0.0,56.0,3.0,14.0,51.0,0.0,1.0,41.0,65.0,0.0,0.0,42.0,16.0,2.0,53.0,6.0,0.0,33.0,3.0
22,4176075374.0,0.0,2.0,1.0,16.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,8.0,10.0,0.0,2.0,2.0,1.0,5.0,0.0
23,428270598.0,25.0,57.0,35.0,19.0,23.0,0.0,113.0,10.0,2.0,47.0,56.0,96.0,11.0,17.0,42.0,0.0,49.0,2.0,17.0,81.0,41.0,1.0,0.0,1.0,7.0,5.0,53.0,36.0,5.0,80.0,21.0,0.0,36.0,3.0
24,4502320612.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,65.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
25,4777301054.0,0.0,0.0,2.0,22.0,7.0,1.0,18.0,0.0,1.0,0.0,1.0,25.0,0.0,14.0,0.0,0.0,0.0,2.0,13.0,31.0,0.0,2.0,7.0,0.0,0.0,0.0,25.0,13.0,6.0,19.0,2.0,0.0,0.0,0.0
26,550382928.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
