,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
0,-1.0,101274242.0,101714446.0,102478857.0,105452353.0,108950604.0,109490750.0,111503188.0,112416205.0,1169713441.0,123471844.0,124205413.0,126575669.0,132336370.0,1435448460.0,1483726225.0,15379745.0,154113474.0,15719715.0,161073837.0,162507258.0,1640220374.0,170290373.0,17647281.0,17857427.0,18177920.0,183466614.0,187920956.0,190702011.0,191488285.0,19240962.0,19510901.0,197775435.0,20088606.0,204757427.0,21109466.0,212246121.0,215795742.0,216206181.0,22804260.0,22987203.0,233174284.0,23444563.0,2373363552.0,242341877.0,2593645240.0,2709200314.0,272295079.0,2723280013.0,27873849.0,27934573.0,28301925.0,28470296.0,28531872.0,289781808.0,292285721.0,297118386.0,3002845425.0,30210959.0,30486435.0,30591667.0,306729753.0,3102600800.0,3155484370.0,3218327082.0,33204999.0,332713490.0,346117908.0,348267990.0,358546924.0,37713751.0,377341937.0,3925244724.0,392628927.0,39707835.0,4099886599.0,41850450.0,4256951475.0,429357190.0,4518631756.0,4564475574.0,462846504.0,46317443.0,463810225.0,46643039.0,469391870.0,52225379.0,540158046.0,563618228.0,569284092.0,570086436.0,58812687.0,59507319.0,60094886.0,60925921.0,61500220.0,62726390.0,62929266.0,63184813.0,69045175.0,70063655.0,7.062552115143434e+17,71176568.0,7.516272502698762e+17,75359064.0,75495372.0,759256634.0,7.622865936253829e+17,8.103921454420419e+17,812938015.0,8.192183391761203e+17,82855474.0,84783906.0,85764911.0,859388982.0,864114421.0,890515868.0,90222516.0,905605520.0,916272523.0,9.187299620681769e+17,9.204870061400965e+17,92251040.0,92964808.0,93031355.0,941331380.0,95645017.0,962561856.0,978256268.0
1,101274242.0,0.0,87.0,2.0,4.0,4.0,7.0,27.0,9.0,2.0,2.0,2.0,10.0,0.0,0.0,22.0,17.0,1.0,4.0,15.0,0.0,0.0,6.0,5.0,0.0,13.0,3.0,1.0,1.0,1.0,4.0,21.0,3.0,7.0,9.0,4.0,4.0,9.0,4.0,7.0,105.0,0.0,15.0,0.0,6.0,4.0,3.0,3.0,0.0,8.0,6.0,9.0,4.0,1.0,33.0,17.0,19.0,19.0,0.0,6.0,34.0,1.0,1.0,0.0,0.0,4.0,1.0,25.0,11.0,0.0,15.0,56.0,2.0,5.0,3.0,0.0,5.0,12.0,0.0,1.0,1.0,5.0,3.0,12.0,13.0,3.0,3.0,5.0,3.0,0.0,0.0,28.0,11.0,0.0,0.0,7.0,9.0,2.0,30.0,0.0,4.0,0.0,1.0,0.0,11.0,10.0,9.0,1.0,2.0,0.0,0.0,2.0,2.0,15.0,5.0,4.0,1.0,9.0,2.0,0.0,0.0,24.0,12.0,14.0,11.0,3.0,3.0,2.0,6.0
2,101714446.0,87.0,0.0,1.0,21.0,5.0,2.0,9.0,2.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,6.0,1.0,2.0,9.0,0.0,0.0,1.0,2.0,0.0,6.0,3.0,1.0,1.0,1.0,2.0,11.0,2.0,6.0,7.0,2.0,3.0,1.0,2.0,1.0,83.0,2.0,11.0,0.0,6.0,6.0,2.0,1.0,0.0,4.0,2.0,4.0,1.0,2.0,15.0,2.0,11.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,7.0,0.0,8.0,64.0,1.0,2.0,6.0,0.0,3.0,4.0,0.0,0.0,0.0,9.0,1.0,15.0,3.0,1.0,0.0,2.0,5.0,1.0,1.0,8.0,19.0,0.0,0.0,11.0,1.0,4.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,5.0,1.0,10.0,1.0,0.0,0.0,30.0,2.0,11.0,14.0,2.0,3.0,1.0,5.0
3,102478857.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,105452353.0,4.0,21.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,5.0,0.0,1.0,4.0,2.0,1.0,1.0,6.0,0.0,0.0,2.0,1.0,0.0,6.0,2.0,1.0,0.0,1.0,3.0,10.0,3.0,1.0,2.0,1.0,2.0,3.0,0.0,2.0,54.0,0.0,8.0,0.0,2.0,2.0,1.0,3.0,0.0,8.0,2.0,6.0,1.0,3.0,5.0,1.0,10.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.0,0.0,3.0,1.0,1.0,1.0,5.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,4.0,6.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,10.0,5.0,2.0,1.0,3.0,1.0,1.0,12.0,2.0,3.0,0.0,2.0,0.0,3.0,8.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,5.0,2.0,11.0,1.0,6.0,1.0,1.0,0.0,15.0,4.0,8.0,0.0,0.0,2.0,1.0,1.0
5,108950604.0,4.0,5.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,15.0,4.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,12.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,2.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,14.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,17.0,19.0,3.0,0.0,1.0,0.0,22.0
6,109490750.0,7.0,2.0,2.0,0.0,5.0,0.0,5.0,11.0,3.0,3.0,1.0,15.0,0.0,0.0,130.0,5.0,0.0,0.0,11.0,0.0,4.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,22.0,5.0,4.0,4.0,0.0,2.0,15.0,1.0,1.0,20.0,2.0,1.0,0.0,10.0,1.0,11.0,0.0,0.0,8.0,5.0,27.0,0.0,0.0,16.0,0.0,22.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,5.0,2.0,2.0,17.0,5.0,0.0,12.0,0.0,21.0,1.0,17.0,0.0,1.0,41.0,0.0,6.0,29.0,3.0,13.0,12.0,5.0,0.0,1.0,3.0,4.0,0.0,2.0,33.0,1.0,0.0,0.0,1.0,2.0,2.0,27.0,3.0,6.0,1.0,1.0,0.0,6.0,3.0,3.0,1.0,13.0,0.0,0.0,2.0,0.0,15.0,2.0,5.0,0.0,16.0,1.0,15.0,2.0,12.0,15.0,74.0,31.0,5.0,1.0,1.0,7.0
7,111503188.0,27.0,9.0,1.0,3.0,2.0,5.0,0.0,6.0,0.0,2.0,2.0,11.0,0.0,0.0,1.0,3.0,1.0,2.0,10.0,0.0,0.0,13.0,2.0,0.0,7.0,0.0,1.0,0.0,1.0,7.0,12.0,2.0,4.0,7.0,3.0,4.0,3.0,6.0,6.0,51.0,2.0,5.0,0.0,5.0,3.0,0.0,3.0,0.0,4.0,7.0,8.0,5.0,1.0,24.0,4.0,16.0,4.0,0.0,2.0,16.0,2.0,1.0,0.0,0.0,4.0,2.0,19.0,9.0,1.0,14.0,6.0,1.0,1.0,7.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,4.0,12.0,6.0,3.0,4.0,2.0,0.0,1.0,0.0,26.0,2.0,2.0,0.0,4.0,10.0,1.0,19.0,1.0,3.0,0.0,2.0,0.0,7.0,2.0,7.0,1.0,1.0,1.0,0.0,1.0,0.0,12.0,5.0,11.0,1.0,4.0,2.0,0.0,0.0,15.0,13.0,8.0,1.0,1.0,7.0,2.0,2.0
8,112416205.0,9.0,2.0,0.0,1.0,0.0,11.0,6.0,0.0,2.0,0.0,0.0,8.0,1.0,0.0,14.0,8.0,1.0,5.0,8.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,10.0,1.0,3.0,5.0,0.0,4.0,5.0,2.0,0.0,21.0,3.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,6.0,4.0,8.0,2.0,0.0,10.0,0.0,9.0,1.0,0.0,5.0,9.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,1.0,9.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,14.0,1.0,3.0,0.0,4.0,2.0,2.0,10.0,0.0,2.0,2.0,0.0,0.0,2.0,5.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,9.0,1.0,5.0,5.0,4.0,1.0,7.0,0.0,6.0,6.0,13.0,6.0,2.0,2.0,0.0,9.0
9,1169713441.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,15.0,1.0,0.0,8.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,2.0,0.0,2.0,28.0,3.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,7.0,0.0,5.0,0.0,0.0,13.0,11.0,8.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,8.0,0.0,4.0,0.0,2.0,1.0,11.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,1.0,2.0,15.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,28.0,0.0,22.0,0.0,3.0,0.0,7.0,1.0,13.0,2.0,0.0,1.0,1.0,2.0
