,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142
0,-1.0,100207042.0,101215403.0,106444549.0,120022808.0,129414017.0,1341158436.0,1370886721.0,1405527966.0,1440496986.0,1454020356.0,1474415198.0,149084128.0,152369694.0,1533828294.0,1548436478.0,1559952074.0,1595267768.0,1617405097.0,1694093814.0,1914862758.0,196115894.0,2166119218.0,2214098064.0,2226350167.0,2232636931.0,2264566573.0,2283302251.0,2286105416.0,2320973737.0,2343323463.0,2392929474.0,2427139145.0,2541741648.0,2570575979.0,2690326160.0,2701419872.0,2754255487.0,2808610435.0,2821107367.0,2836621284.0,2853199524.0,2854449871.0,2859721346.0,2867361501.0,2885548309.0,2933310726.0,2940472412.0,294530306.0,2980804404.0,3002467251.0,3071041573.0,3073317074.0,3094817988.0,3126889155.0,3153251286.0,3161739402.0,3182566338.0,3228266521.0,3244035912.0,3302392762.0,3320642572.0,3367065609.0,373170962.0,3793616186.0,407052670.0,4365468440.0,4411459632.0,4512875004.0,46343846.0,4709715133.0,4737042973.0,4762711754.0,4830668070.0,4862939579.0,4872412393.0,576360862.0,584540431.0,614884368.0,7.184282798336369e+17,7.191101118184161e+17,7.205104316689121e+17,7.227855858159452e+17,7.310882999856742e+17,73635356.0,7.407800085710643e+17,7.460274795597128e+17,7.514659499167621e+17,7.540194460295946e+17,7.545709961123553e+17,7.622684267987845e+17,7.651540429977108e+17,7.687423369982239e+17,768941322.0,7.770714839106642e+17,7.791547124236984e+17,7.800215341527245e+17,7.851671390618583e+17,7.864763558736282e+17,7.90527118295851e+17,7.949274538567926e+17,7.959815584066478e+17,8.009716283394048e+17,8.166888718241178e+17,8.178080745136087e+17,8.232023329387397e+17,8.257042271879946e+17,8.354136741436703e+17,8.36461060962005e+17,8.369547053518275e+17,8.419927677902807e+17,8.437184918826435e+17,8.508882922540524e+17,850897572.0,8.56836808319144e+17,8.630480611987538e+17,8.634271422179983e+17,8.698017585533297e+17,8.716327682827469e+17,8.761370786222735e+17,8.763978442315899e+17,8.835201088946299e+17,8.949651948075377e+17,8.950038660932895e+17,8.952186531715031e+17,8.955192743530865e+17,8.972895727567667e+17,9.010974946495939e+17,9.02815144517845e+17,9.032578165042135e+17,9.037118656786842e+17,9.104560102838026e+17,9.165298516742472e+17,916937948.0,9.183563445408236e+17,9.332964311834337e+17,938521604.0,9.386103655579648e+17,9.419002258363515e+17,9.430128142637466e+17,9.458592492084019e+17,9.459450767393546e+17,9.512027674057114e+17
1,100207042.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,3.0,7.0,3.0,0.0,6.0,2.0,3.0,2.0,4.0,2.0,8.0,1.0,3.0,3.0,3.0,1.0,5.0,3.0,18.0,0.0,3.0,2.0,28.0,0.0,1.0,4.0,5.0,0.0,2.0,0.0,0.0,5.0,4.0,0.0,6.0,3.0,1.0,4.0,4.0,0.0,4.0,5.0,2.0,5.0,15.0,8.0,0.0,0.0,1.0,4.0,2.0,5.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,4.0,2.0,14.0,0.0,3.0,3.0,7.0,11.0,3.0,0.0,6.0,10.0,2.0,0.0,12.0,2.0,1.0,24.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,2.0,22.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,4.0,10.0
2,101215403.0,1.0,0.0,12.0,2.0,2.0,0.0,3.0,5.0,7.0,10.0,0.0,0.0,12.0,53.0,12.0,0.0,0.0,25.0,15.0,83.0,10.0,37.0,5.0,13.0,17.0,2.0,20.0,13.0,4.0,2.0,1.0,1.0,26.0,3.0,22.0,9.0,15.0,133.0,1.0,28.0,0.0,0.0,11.0,6.0,0.0,6.0,41.0,22.0,45.0,42.0,1.0,81.0,40.0,54.0,91.0,6.0,17.0,10.0,3.0,35.0,51.0,25.0,11.0,1.0,9.0,38.0,54.0,16.0,11.0,3.0,0.0,0.0,95.0,58.0,4.0,24.0,9.0,96.0,147.0,22.0,3.0,11.0,7.0,3.0,1.0,0.0,30.0,6.0,15.0,0.0,50.0,1.0,84.0,0.0,4.0,39.0,0.0,0.0,98.0,52.0,5.0,2.0,6.0,0.0,2.0,2.0,21.0,35.0,7.0,11.0,193.0,1.0,3.0,46.0,2.0,4.0,10.0,7.0,1.0,2.0,0.0,3.0,1.0,30.0,48.0,7.0,1.0,0.0,61.0,4.0,10.0,3.0,0.0,0.0,4.0,24.0,46.0,0.0,4.0,2.0,84.0,0.0
3,106444549.0,0.0,12.0,0.0,4.0,1.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,6.0,15.0,1.0,1.0,0.0,8.0,3.0,34.0,6.0,10.0,1.0,173.0,6.0,1.0,5.0,26.0,1.0,1.0,0.0,2.0,4.0,6.0,5.0,1.0,12.0,33.0,1.0,2.0,1.0,0.0,9.0,14.0,0.0,3.0,5.0,5.0,13.0,13.0,0.0,16.0,48.0,24.0,12.0,9.0,8.0,6.0,1.0,16.0,9.0,4.0,44.0,124.0,2.0,10.0,18.0,3.0,19.0,2.0,0.0,1.0,32.0,62.0,0.0,8.0,5.0,26.0,91.0,9.0,40.0,21.0,2.0,5.0,55.0,3.0,11.0,2.0,17.0,0.0,13.0,1.0,17.0,0.0,1.0,7.0,0.0,0.0,7.0,14.0,1.0,2.0,2.0,0.0,3.0,0.0,1.0,16.0,3.0,8.0,21.0,0.0,6.0,0.0,44.0,1.0,2.0,3.0,2.0,11.0,0.0,6.0,0.0,8.0,12.0,3.0,1.0,0.0,9.0,1.0,4.0,1.0,0.0,0.0,1.0,210.0,7.0,0.0,0.0,0.0,8.0,1.0
4,120022808.0,16.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,9.0,2.0,7.0,0.0,3.0,0.0,7.0,4.0,4.0,1.0,9.0,2.0,1.0,1.0,12.0,1.0,28.0,0.0,3.0,1.0,66.0,1.0,1.0,10.0,5.0,0.0,1.0,1.0,0.0,1.0,7.0,0.0,3.0,1.0,1.0,2.0,6.0,1.0,4.0,12.0,4.0,5.0,19.0,5.0,2.0,0.0,2.0,9.0,1.0,7.0,1.0,1.0,2.0,7.0,1.0,6.0,1.0,0.0,0.0,5.0,18.0,1.0,3.0,2.0,10.0,21.0,2.0,1.0,8.0,13.0,0.0,0.0,18.0,3.0,2.0,40.0,0.0,3.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,4.0,0.0,1.0,7.0,1.0,21.0,0.0,0.0,4.0,1.0,2.0,0.0,36.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,3.0,1.0,12.0,0.0,1.0,13.0,0.0,0.0,1.0,1.0,2.0,13.0
5,129414017.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0,7.0,0.0,0.0,1.0,0.0,9.0,0.0,17.0,4.0,0.0,1.0,8.0,36.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,37.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28.0,10.0,12.0,1.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,20.0,3.0,29.0,0.0,0.0,0.0,2.0,8.0,11.0,0.0,2.0,0.0,0.0,15.0,1.0,1.0,2.0,0.0,10.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,29.0,5.0,17.0,2.0,19.0,3.0,2.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,6.0,2.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,32.0,1.0,0.0,5.0,6.0,2.0,2.0,0.0,0.0,10.0,1.0,20.0,0.0,1.0,1.0,24.0,0.0
6,1341158436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1370886721.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,8.0,103.0,0.0,0.0,84.0,2.0,2.0,0.0,8.0,121.0,0.0,60.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,138.0,4.0,3.0,5.0,19.0,36.0,7.0,1.0,39.0,0.0,0.0,12.0,0.0,4.0,6.0,4.0,0.0,0.0,0.0,36.0,2.0,1.0,0.0,4.0,0.0,0.0,5.0,1.0,14.0,8.0,0.0,115.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,55.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,18.0,0.0,0.0,4.0,3.0,32.0,0.0,0.0,0.0,0.0,55.0,3.0,4.0,0.0,7.0,2.0,13.0,0.0,1.0,0.0,0.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,92.0,2.0,13.0,7.0,0.0,0.0,2.0,1.0,4.0,0.0,19.0,12.0,4.0,0.0
8,1405527966.0,3.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,43.0,9.0,0.0,0.0,1.0,4.0,2.0,9.0,2.0,10.0,1.0,6.0,5.0,2.0,1.0,11.0,4.0,4.0,0.0,1.0,4.0,1.0,6.0,0.0,6.0,9.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,3.0,2.0,1.0,5.0,7.0,0.0,11.0,16.0,6.0,4.0,5.0,31.0,2.0,0.0,6.0,8.0,3.0,10.0,1.0,3.0,2.0,7.0,2.0,6.0,0.0,0.0,1.0,8.0,19.0,0.0,4.0,29.0,12.0,19.0,8.0,0.0,5.0,2.0,2.0,0.0,1.0,6.0,0.0,12.0,0.0,4.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,5.0,6.0,1.0,1.0,1.0,0.0,4.0,1.0,2.0,12.0,0.0,2.0,10.0,0.0,1.0,1.0,1.0,27.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,7.0,2.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,1.0,5.0,1.0
9,1440496986.0,4.0,7.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,7.0,23.0,6.0,0.0,0.0,4.0,9.0,5.0,20.0,8.0,15.0,0.0,6.0,4.0,15.0,2.0,18.0,4.0,0.0,0.0,23.0,4.0,5.0,1.0,2.0,30.0,18.0,0.0,3.0,1.0,0.0,65.0,11.0,0.0,3.0,5.0,4.0,10.0,14.0,3.0,9.0,46.0,9.0,13.0,8.0,27.0,3.0,1.0,8.0,15.0,3.0,36.0,1.0,3.0,7.0,8.0,3.0,11.0,1.0,0.0,29.0,14.0,150.0,0.0,11.0,7.0,31.0,151.0,10.0,2.0,4.0,6.0,2.0,0.0,6.0,8.0,1.0,14.0,0.0,7.0,0.0,15.0,0.0,1.0,4.0,0.0,0.0,7.0,7.0,2.0,2.0,1.0,0.0,1.0,0.0,4.0,25.0,0.0,2.0,20.0,0.0,16.0,3.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,34.0,0.0,3.0,0.0,0.0,0.0,1.0,29.0,10.0,0.0,0.0,5.0,14.0,0.0
