,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155
0,-1.0,1011916519.0,103241046.0,104585120.0,104794259.0,108558573.0,1110840294.0,116503509.0,11658172.0,117648035.0,118593643.0,122322961.0,124044755.0,128547430.0,130027649.0,1309690194.0,1316763114.0,13203032.0,136522872.0,1372440206.0,138278423.0,14223083.0,14311121.0,1434246793.0,14428536.0,144491582.0,144988686.0,145928780.0,145995046.0,14714136.0,148786408.0,149580057.0,152205174.0,155517993.0,15657091.0,158976808.0,160221039.0,162304989.0,164666306.0,16470319.0,1649753642.0,16542463.0,1665589644.0,1682410728.0,169085447.0,169344983.0,16947322.0,17388797.0,17833909.0,1799044873.0,181615386.0,183437799.0,18607636.0,188951688.0,19662889.0,19685758.0,19908795.0,206315278.0,2171012108.0,217323941.0,218192899.0,21998539.0,220299126.0,22256003.0,223721302.0,2261276785.0,2271712621.0,231584136.0,232788367.0,2349527815.0,237598493.0,2391762186.0,23991729.0,2426665586.0,244051691.0,246871584.0,2473190790.0,2486839908.0,251726691.0,252870274.0,2547040466.0,256882565.0,264471883.0,267381680.0,278527917.0,2856528830.0,294634289.0,297927632.0,302282119.0,321312701.0,3299264534.0,3304874354.0,3347814747.0,3401741893.0,36453220.0,36911342.0,371088454.0,385329582.0,39024549.0,39182840.0,410763191.0,424869429.0,42778117.0,4677857995.0,519278044.0,521382536.0,52356199.0,578770422.0,597135391.0,60541562.0,60822560.0,60864604.0,614694299.0,622540432.0,623305651.0,62558115.0,62972086.0,63069724.0,64070520.0,64558929.0,64694303.0,65095945.0,65255980.0,65878362.0,65916370.0,66270410.0,68431771.0,68619268.0,69637046.0,70914180.0,72161620.0,7.23843107729494e+17,72480943.0,72772802.0,7.361332612487291e+17,73857971.0,73892931.0,742435256.0,75831901.0,77374206.0,77435960.0,78028120.0,79382630.0,79709053.0,80874374.0,81850109.0,82032959.0,82943260.0,84209996.0,85740885.0,87001050.0,90774844.0,95133471.0,95623358.0,98842160.0,99493299.0
1,1011916519.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,41.0,0.0,1.0,0.0,91.0,1.0,0.0,9.0,0.0,5.0,0.0,0.0,10.0,5.0,0.0,1.0,13.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,5.0,5.0,0.0,15.0,1.0,0.0,0.0,10.0,0.0,1.0,1.0,13.0,0.0,0.0,6.0,1.0,13.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,15.0,0.0,0.0,6.0,0.0,0.0,36.0,0.0,17.0,1.0,0.0,0.0,12.0,2.0,1.0,23.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,74.0,1.0,10.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,3.0,3.0,1.0,0.0,7.0,50.0,0.0,0.0,5.0,0.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,2.0,15.0,7.0,9.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,8.0,3.0,0.0,1.0,1.0,4.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0
2,103241046.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,104585120.0,0.0,0.0,0.0,56.0,8.0,1.0,11.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,8.0,11.0,4.0,1.0,0.0,9.0,4.0,5.0,8.0,1.0,7.0,16.0,22.0,8.0,0.0,0.0,21.0,41.0,8.0,3.0,3.0,0.0,9.0,5.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,17.0,3.0,1.0,1.0,6.0,0.0,1.0,0.0,22.0,0.0,9.0,2.0,21.0,4.0,0.0,4.0,1.0,2.0,7.0,1.0,0.0,15.0,6.0,0.0,0.0,0.0,15.0,1.0,1.0,0.0,1.0,0.0,16.0,33.0,0.0,4.0,1.0,2.0,11.0,0.0,2.0,0.0,6.0,26.0,2.0,1.0,1.0,7.0,1.0,0.0,1.0,14.0,0.0,7.0,2.0,13.0,1.0,0.0,2.0,6.0,1.0,20.0,30.0,0.0,8.0,3.0,11.0,7.0,1.0,15.0,4.0,10.0,2.0,3.0,24.0,2.0,23.0,5.0,10.0,15.0,0.0,37.0,5.0,8.0,4.0,0.0,0.0,14.0,20.0,6.0,1.0,0.0,0.0,4.0,0.0,6.0,1.0,12.0,0.0,0.0,0.0,4.0,0.0,3.0,8.0
4,104794259.0,0.0,1.0,56.0,0.0,38.0,1.0,32.0,3.0,0.0,26.0,1.0,20.0,18.0,2.0,0.0,38.0,49.0,12.0,1.0,1.0,31.0,10.0,35.0,63.0,12.0,29.0,42.0,94.0,37.0,0.0,0.0,110.0,148.0,47.0,11.0,15.0,0.0,37.0,10.0,2.0,27.0,3.0,2.0,1.0,11.0,2.0,16.0,0.0,17.0,4.0,65.0,10.0,1.0,4.0,40.0,0.0,2.0,0.0,78.0,0.0,40.0,6.0,89.0,22.0,0.0,16.0,1.0,20.0,17.0,1.0,0.0,89.0,39.0,1.0,0.0,8.0,50.0,3.0,7.0,0.0,1.0,8.0,40.0,204.0,1.0,28.0,3.0,14.0,79.0,1.0,4.0,0.0,30.0,61.0,8.0,6.0,2.0,49.0,1.0,0.0,1.0,52.0,1.0,52.0,17.0,51.0,6.0,0.0,8.0,44.0,6.0,120.0,133.0,0.0,37.0,22.0,75.0,46.0,5.0,68.0,38.0,26.0,17.0,24.0,53.0,21.0,62.0,18.0,75.0,58.0,1.0,157.0,55.0,30.0,13.0,2.0,0.0,62.0,83.0,51.0,3.0,1.0,0.0,15.0,0.0,31.0,2.0,31.0,0.0,6.0,2.0,31.0,0.0,8.0,49.0
5,108558573.0,0.0,0.0,8.0,38.0,0.0,1.0,15.0,4.0,0.0,15.0,2.0,7.0,7.0,0.0,0.0,16.0,23.0,6.0,2.0,1.0,14.0,6.0,3.0,29.0,3.0,17.0,11.0,29.0,20.0,0.0,0.0,33.0,48.0,7.0,0.0,8.0,0.0,11.0,3.0,1.0,16.0,3.0,2.0,1.0,4.0,1.0,6.0,0.0,4.0,3.0,18.0,3.0,1.0,3.0,17.0,0.0,4.0,0.0,30.0,0.0,19.0,5.0,34.0,7.0,0.0,5.0,3.0,6.0,20.0,1.0,0.0,69.0,13.0,1.0,0.0,3.0,15.0,6.0,2.0,0.0,1.0,3.0,4.0,68.0,0.0,23.0,5.0,10.0,14.0,0.0,4.0,0.0,7.0,14.0,2.0,4.0,2.0,23.0,2.0,0.0,1.0,12.0,1.0,13.0,9.0,18.0,4.0,0.0,4.0,6.0,4.0,47.0,72.0,1.0,12.0,9.0,30.0,17.0,4.0,19.0,10.0,13.0,5.0,6.0,26.0,8.0,13.0,8.0,21.0,32.0,1.0,76.0,27.0,12.0,10.0,1.0,1.0,28.0,50.0,13.0,3.0,0.0,0.0,6.0,0.0,16.0,2.0,10.0,0.0,1.0,2.0,20.0,0.0,5.0,15.0
6,1110840294.0,8.0,0.0,1.0,1.0,1.0,0.0,1.0,10.0,1.0,1.0,0.0,27.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,21.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,21.0,2.0,2.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,21.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
7,116503509.0,1.0,0.0,11.0,32.0,15.0,1.0,0.0,2.0,0.0,13.0,0.0,5.0,10.0,0.0,0.0,12.0,23.0,5.0,1.0,0.0,16.0,11.0,11.0,38.0,5.0,8.0,11.0,30.0,11.0,0.0,1.0,34.0,41.0,19.0,6.0,12.0,0.0,7.0,16.0,1.0,8.0,2.0,1.0,2.0,4.0,0.0,7.0,0.0,7.0,3.0,14.0,5.0,2.0,5.0,14.0,0.0,2.0,1.0,30.0,0.0,14.0,4.0,34.0,7.0,0.0,5.0,2.0,7.0,11.0,1.0,0.0,40.0,18.0,0.0,0.0,0.0,9.0,5.0,1.0,0.0,1.0,2.0,8.0,53.0,0.0,15.0,3.0,8.0,25.0,0.0,2.0,0.0,8.0,18.0,2.0,3.0,1.0,20.0,1.0,0.0,2.0,20.0,1.0,10.0,14.0,15.0,6.0,0.0,7.0,14.0,3.0,35.0,25.0,0.0,20.0,16.0,32.0,18.0,6.0,19.0,19.0,8.0,5.0,8.0,13.0,6.0,6.0,11.0,24.0,22.0,1.0,52.0,18.0,7.0,5.0,1.0,0.0,19.0,20.0,10.0,1.0,0.0,2.0,6.0,0.0,16.0,2.0,11.0,0.0,1.0,0.0,13.0,0.0,6.0,12.0
8,11658172.0,41.0,0.0,1.0,3.0,4.0,10.0,2.0,0.0,2.0,1.0,0.0,391.0,4.0,4.0,16.0,1.0,15.0,1.0,1.0,13.0,15.0,2.0,4.0,31.0,0.0,6.0,1.0,6.0,3.0,3.0,1.0,9.0,6.0,1.0,3.0,2.0,0.0,1.0,1.0,39.0,1.0,1.0,2.0,7.0,2.0,34.0,6.0,4.0,0.0,17.0,2.0,1.0,1.0,75.0,5.0,1.0,10.0,1.0,19.0,2.0,1.0,3.0,7.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,44.0,3.0,1.0,36.0,0.0,0.0,76.0,0.0,20.0,2.0,1.0,0.0,23.0,3.0,1.0,23.0,2.0,0.0,3.0,2.0,0.0,1.0,5.0,0.0,206.0,1.0,32.0,5.0,1.0,2.0,1.0,11.0,2.0,0.0,12.0,9.0,4.0,3.0,20.0,115.0,2.0,4.0,10.0,1.0,3.0,10.0,8.0,3.0,1.0,2.0,2.0,2.0,5.0,0.0,1.0,4.0,1.0,18.0,4.0,27.0,23.0,18.0,0.0,3.0,0.0,1.0,10.0,1.0,3.0,4.0,4.0,1.0,0.0,7.0,0.0,6.0,7.0,0.0,6.0,0.0,2.0,0.0,3.0,0.0
9,117648035.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,4.0,3.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
10,118593643.0,1.0,0.0,7.0,26.0,15.0,1.0,13.0,1.0,0.0,0.0,0.0,3.0,17.0,1.0,1.0,16.0,19.0,7.0,0.0,0.0,19.0,5.0,6.0,29.0,4.0,22.0,9.0,24.0,14.0,0.0,1.0,34.0,80.0,24.0,2.0,8.0,0.0,14.0,12.0,1.0,11.0,5.0,3.0,1.0,4.0,1.0,14.0,0.0,17.0,3.0,14.0,3.0,1.0,3.0,22.0,0.0,2.0,1.0,22.0,0.0,13.0,6.0,37.0,9.0,0.0,8.0,0.0,4.0,13.0,0.0,0.0,52.0,40.0,1.0,0.0,7.0,29.0,3.0,1.0,0.0,0.0,17.0,9.0,95.0,2.0,24.0,2.0,10.0,27.0,1.0,2.0,0.0,7.0,13.0,1.0,3.0,1.0,48.0,1.0,0.0,0.0,7.0,2.0,10.0,14.0,15.0,4.0,0.0,7.0,14.0,2.0,76.0,127.0,0.0,9.0,14.0,32.0,13.0,5.0,18.0,17.0,10.0,18.0,21.0,9.0,16.0,26.0,8.0,33.0,41.0,1.0,59.0,60.0,11.0,6.0,0.0,0.0,64.0,79.0,52.0,1.0,0.0,0.0,4.0,0.0,16.0,2.0,12.0,0.0,1.0,1.0,26.0,0.0,6.0,14.0
11,122322961.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
12,124044755.0,91.0,0.0,0.0,20.0,7.0,27.0,5.0,391.0,14.0,3.0,8.0,0.0,9.0,25.0,31.0,2.0,28.0,3.0,1.0,37.0,44.0,12.0,7.0,93.0,7.0,29.0,4.0,23.0,11.0,7.0,4.0,76.0,47.0,16.0,4.0,4.0,0.0,2.0,4.0,94.0,1.0,1.0,57.0,29.0,1.0,146.0,16.0,16.0,0.0,70.0,16.0,1.0,5.0,260.0,17.0,4.0,38.0,260.0,70.0,3.0,7.0,2.0,53.0,23.0,1.0,2.0,0.0,2.0,2.0,4.0,124.0,208.0,22.0,28.0,104.0,0.0,6.0,297.0,2.0,61.0,3.0,3.0,2.0,206.0,16.0,12.0,94.0,1.0,11.0,46.0,1.0,75.0,10.0,4.0,2.0,1388.0,18.0,96.0,18.0,8.0,4.0,3.0,37.0,34.0,3.0,45.0,20.0,17.0,4.0,56.0,341.0,11.0,8.0,27.0,7.0,22.0,29.0,27.0,3.0,10.0,12.0,2.0,5.0,10.0,0.0,1.0,7.0,0.0,61.0,17.0,126.0,49.0,60.0,10.0,5.0,0.0,10.0,56.0,4.0,12.0,43.0,8.0,0.0,3.0,8.0,4.0,69.0,12.0,6.0,23.0,0.0,14.0,0.0,2.0,19.0
