,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,-1.0,110965694.0,1111113331.0,122564147.0,123907301.0,128341492.0,132095476.0,132650074.0,141236249.0,1413683407.0,1434863922.0,1455926132.0,1659464958.0,168717139.0,1899217712.0,1969018100.0,2254592418.0,2286454225.0,2320221720.0,2444955261.0,2501382415.0,2516008195.0,2579138893.0,2581730947.0,268814279.0,2744149739.0,2762807425.0,2871615239.0,2920634503.0,2967051045.0,30860019.0,3095957227.0,3150818810.0,3176142486.0,325610106.0,3280590774.0,329592218.0,3342685413.0,3378253689.0,3735744193.0,4158551953.0,436061506.0,4512875004.0,4574311770.0,4603585872.0,4636518258.0,4777301054.0,630128133.0,7.1340266655522e+17,7.179707715831726e+17,7.387452768742932e+17,7.507053004418212e+17,768870271.0,7.828765772479242e+17,8.107889644330353e+17,8.126931654048031e+17,8.277377926167429e+17,842963089.0,8.447260933073961e+17,8.517454554406339e+17,8.780755206589194e+17,8.88280658480513e+17,8.92463130659373e+17,9.033357357925171e+17,915759114.0,9.26298215162323e+17,9.4089743745502e+17,9.435737761045381e+17,9.532227727669248e+17,9.537605663544934e+17,9.541326315071447e+17
1,110965694.0,0.0,196.0,27.0,10.0,136.0,1.0,14.0,49.0,67.0,49.0,15.0,106.0,80.0,93.0,19.0,19.0,5.0,96.0,19.0,40.0,32.0,60.0,49.0,3.0,1.0,61.0,10.0,78.0,8.0,32.0,25.0,54.0,91.0,27.0,8.0,62.0,15.0,52.0,31.0,50.0,36.0,10.0,74.0,12.0,44.0,4.0,61.0,9.0,10.0,36.0,4.0,17.0,90.0,4.0,9.0,45.0,30.0,115.0,0.0,22.0,6.0,96.0,40.0,48.0,110.0,12.0,27.0,5.0,37.0,0.0
2,1111113331.0,196.0,0.0,23.0,15.0,234.0,1.0,38.0,78.0,254.0,84.0,51.0,370.0,126.0,127.0,37.0,19.0,151.0,255.0,19.0,152.0,73.0,165.0,235.0,15.0,1.0,90.0,62.0,344.0,9.0,33.0,79.0,47.0,222.0,45.0,9.0,131.0,64.0,134.0,98.0,105.0,102.0,16.0,70.0,21.0,119.0,3.0,84.0,17.0,17.0,51.0,10.0,76.0,161.0,24.0,42.0,72.0,92.0,317.0,0.0,45.0,37.0,191.0,43.0,326.0,184.0,15.0,54.0,20.0,52.0,0.0
3,122564147.0,27.0,23.0,0.0,2.0,25.0,0.0,6.0,6.0,9.0,8.0,5.0,15.0,15.0,14.0,7.0,2.0,2.0,15.0,1.0,8.0,4.0,13.0,11.0,2.0,0.0,11.0,4.0,14.0,1.0,7.0,4.0,9.0,18.0,7.0,0.0,14.0,6.0,13.0,9.0,13.0,10.0,0.0,20.0,3.0,8.0,4.0,10.0,3.0,4.0,9.0,3.0,4.0,18.0,0.0,3.0,11.0,9.0,18.0,0.0,9.0,2.0,19.0,8.0,7.0,21.0,3.0,8.0,5.0,8.0,0.0
4,123907301.0,10.0,15.0,2.0,0.0,41.0,0.0,1.0,14.0,8.0,8.0,1.0,38.0,14.0,17.0,11.0,5.0,0.0,8.0,6.0,1.0,4.0,6.0,13.0,0.0,0.0,12.0,4.0,16.0,1.0,9.0,3.0,13.0,19.0,11.0,1.0,16.0,2.0,3.0,2.0,15.0,2.0,7.0,6.0,6.0,11.0,0.0,6.0,1.0,4.0,7.0,2.0,4.0,11.0,5.0,2.0,10.0,4.0,7.0,0.0,3.0,0.0,8.0,7.0,3.0,6.0,7.0,1.0,1.0,6.0,0.0
5,128341492.0,136.0,234.0,25.0,41.0,0.0,2.0,17.0,42.0,82.0,42.0,10.0,159.0,92.0,59.0,31.0,9.0,5.0,107.0,9.0,38.0,27.0,64.0,60.0,2.0,0.0,51.0,9.0,85.0,2.0,41.0,16.0,26.0,97.0,23.0,4.0,83.0,17.0,47.0,18.0,50.0,48.0,5.0,63.0,12.0,53.0,2.0,55.0,6.0,9.0,25.0,2.0,14.0,76.0,8.0,12.0,38.0,28.0,102.0,0.0,16.0,5.0,94.0,32.0,52.0,95.0,7.0,28.0,6.0,32.0,0.0
6,132095476.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,8.0,2.0,7.0,1.0,4.0,1.0,3.0,7.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,7.0,2.0,10.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,5.0,0.0,2.0,4.0,1.0,2.0,0.0,5.0,5.0,0.0,1.0,10.0,3.0,1.0,8.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0
7,132650074.0,14.0,38.0,6.0,1.0,17.0,1.0,0.0,2.0,20.0,9.0,4.0,42.0,16.0,7.0,6.0,0.0,18.0,20.0,0.0,26.0,3.0,16.0,22.0,1.0,0.0,9.0,7.0,38.0,0.0,2.0,6.0,3.0,17.0,5.0,0.0,13.0,10.0,12.0,5.0,9.0,14.0,0.0,10.0,1.0,12.0,0.0,10.0,5.0,0.0,6.0,2.0,14.0,12.0,2.0,10.0,7.0,15.0,19.0,0.0,5.0,5.0,16.0,5.0,32.0,15.0,1.0,13.0,7.0,6.0,0.0
8,141236249.0,49.0,78.0,6.0,14.0,42.0,8.0,2.0,0.0,27.0,145.0,7.0,59.0,24.0,110.0,65.0,79.0,2.0,39.0,82.0,16.0,22.0,43.0,26.0,0.0,17.0,136.0,6.0,33.0,57.0,24.0,11.0,79.0,58.0,141.0,76.0,27.0,11.0,19.0,16.0,43.0,11.0,46.0,24.0,60.0,24.0,5.0,15.0,4.0,66.0,124.0,2.0,8.0,210.0,82.0,4.0,161.0,10.0,106.0,0.0,9.0,0.0,35.0,72.0,18.0,41.0,37.0,6.0,2.0,69.0,0.0
9,1413683407.0,67.0,254.0,9.0,8.0,82.0,2.0,20.0,27.0,0.0,23.0,42.0,242.0,45.0,30.0,16.0,4.0,108.0,133.0,9.0,106.0,46.0,98.0,138.0,15.0,0.0,41.0,49.0,179.0,9.0,17.0,55.0,26.0,114.0,21.0,7.0,69.0,42.0,70.0,65.0,58.0,54.0,5.0,27.0,11.0,84.0,2.0,70.0,6.0,7.0,25.0,16.0,76.0,48.0,14.0,29.0,21.0,75.0,135.0,0.0,23.0,31.0,83.0,13.0,226.0,71.0,5.0,35.0,15.0,20.0,0.0
10,1434863922.0,49.0,84.0,8.0,8.0,42.0,7.0,9.0,145.0,23.0,0.0,6.0,56.0,27.0,93.0,54.0,29.0,5.0,39.0,36.0,20.0,20.0,56.0,38.0,1.0,4.0,123.0,6.0,34.0,16.0,13.0,18.0,48.0,60.0,112.0,24.0,27.0,11.0,27.0,19.0,44.0,17.0,39.0,24.0,34.0,13.0,3.0,20.0,5.0,42.0,66.0,2.0,8.0,184.0,31.0,6.0,120.0,13.0,122.0,0.0,10.0,1.0,49.0,29.0,18.0,54.0,25.0,14.0,2.0,62.0,0.0
11,1455926132.0,15.0,51.0,5.0,1.0,10.0,1.0,4.0,7.0,42.0,6.0,0.0,43.0,16.0,17.0,4.0,1.0,40.0,30.0,2.0,20.0,12.0,23.0,38.0,9.0,0.0,7.0,16.0,45.0,2.0,4.0,20.0,9.0,30.0,4.0,3.0,23.0,17.0,28.0,27.0,22.0,15.0,0.0,6.0,2.0,9.0,0.0,17.0,4.0,0.0,4.0,5.0,23.0,10.0,3.0,12.0,7.0,26.0,23.0,0.0,16.0,20.0,21.0,6.0,33.0,25.0,2.0,9.0,7.0,5.0,0.0
