,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283
0,-1.0,100029432.0,100545652.0,101709133.0,1038932108.0,104745921.0,1049646152.0,105382886.0,105458252.0,106029098.0,107324068.0,109793263.0,110108114.0,110183852.0,1105926630.0,111295504.0,11210752.0,112307231.0,113539303.0,114444486.0,1145837803.0,1203419419.0,12101822.0,122564147.0,122577006.0,123907301.0,130307355.0,133514843.0,134515472.0,135063471.0,135950053.0,136340991.0,137642660.0,137702613.0,14402896.0,1450879321.0,1451923620.0,145535500.0,14582260.0,14617810.0,147469640.0,147512161.0,147880009.0,148714050.0,148865337.0,150530108.0,151078227.0,1512277656.0,151656562.0,1519078123.0,153469658.0,1536843788.0,1543885500.0,15827475.0,15905323.0,159264497.0,1610054502.0,1651092140.0,165798073.0,1668340226.0,16704201.0,16864300.0,1693048794.0,170262005.0,171077993.0,173898921.0,179516252.0,18158637.0,182334445.0,185927401.0,1859676654.0,186715085.0,187008861.0,18711950.0,196506599.0,1967072317.0,197555442.0,202709346.0,20508216.0,205931698.0,21211840.0,21375278.0,21481348.0,2171993052.0,2210333792.0,22118839.0,2212610394.0,2213470975.0,22249258.0,2240933850.0,2246176475.0,2265873666.0,22791670.0,235881346.0,2379632180.0,2398183616.0,241058503.0,2439686498.0,2462120142.0,24718247.0,247198246.0,248627012.0,254959699.0,2568563694.0,2585049200.0,2593030610.0,259360754.0,259748643.0,259885385.0,261323160.0,261978976.0,2678010008.0,270039908.0,2702042636.0,271477047.0,275067155.0,276141188.0,279270170.0,28306935.0,2842283586.0,284413326.0,2855589413.0,289131068.0,290873939.0,2929572722.0,2952591962.0,2992259190.0,30182097.0,30712777.0,30860019.0,308976598.0,3102608366.0,3185178870.0,3195988429.0,322475457.0,3248027734.0,329876024.0,330887391.0,33181436.0,3367559422.0,33734835.0,3415131267.0,342471237.0,343893185.0,34758119.0,35435904.0,358177536.0,358783441.0,360509494.0,3625455013.0,36740477.0,369591502.0,379764582.0,387542681.0,390880003.0,391037166.0,395321652.0,395422545.0,397307300.0,399071224.0,39962454.0,3999676762.0,403550758.0,404754782.0,408613329.0,409576326.0,41044304.0,410730780.0,41492184.0,41601880.0,418878272.0,419640043.0,423521419.0,425941314.0,43337039.0,433793763.0,4356491190.0,43725438.0,447964259.0,45301212.0,45305556.0,462426288.0,468626500.0,4718617572.0,47201670.0,47249855.0,47320106.0,476564417.0,4827585019.0,4870169068.0,48836031.0,491958813.0,49300596.0,494095798.0,495912807.0,50059348.0,50235755.0,512221572.0,51278110.0,51384455.0,52341168.0,529567649.0,543271705.0,552468440.0,55904882.0,561457809.0,563297641.0,563645262.0,56373427.0,574614845.0,575250717.0,580709579.0,581709907.0,589081518.0,594660427.0,59806100.0,604512143.0,608833661.0,61444270.0,61782574.0,626437803.0,632432638.0,63372848.0,64201471.0,66308208.0,70069065.0,71073121.0,713905141.0,714586800.0,71471528.0,714781304.0,7.23079254271873e+17,75017708.0,75441932.0,75631333.0,759256634.0,764253474.0,764743650.0,765077208.0,7.691850067952312e+17,7.745236739945964e+17,7.771854729550316e+17,77827006.0,780028418.0,78585532.0,793278654.0,79575652.0,80292500.0,8.031702407377715e+17,8.08663034378027e+17,80908093.0,8.108844673509663e+17,8.139936023091978e+17,81778884.0,82066717.0,82821026.0,839199410.0,84282746.0,8.455242778646487e+17,8.501799283730268e+17,859729171.0,8.614901532227871e+17,878792628.0,8.839861759832228e+17,8.938434908948808e+17,894683942.0,9.05401261842772e+17,9.063845829241569e+17,9.077095455223235e+17,91071369.0,92688658.0,927385039.0,9.285285698186404e+17,9.319216748946883e+17,93617861.0,9.397365589991014e+17,9.437745580200346e+17,9.491051139849421e+17,953389021.0,9.540087844599153e+17,95599536.0,96724747.0,988412202.0,99283490.0
1,100029432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,100545652.0,0.0,0.0,7.0,7.0,31.0,0.0,7.0,14.0,0.0,0.0,23.0,1.0,0.0,3.0,0.0,12.0,14.0,6.0,9.0,3.0,39.0,12.0,15.0,11.0,5.0,18.0,3.0,0.0,2.0,0.0,19.0,2.0,0.0,2.0,1.0,75.0,3.0,2.0,6.0,1.0,30.0,14.0,61.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,4.0,3.0,28.0,25.0,11.0,32.0,26.0,16.0,7.0,27.0,1.0,0.0,26.0,0.0,0.0,19.0,20.0,0.0,52.0,0.0,3.0,50.0,2.0,7.0,34.0,4.0,45.0,2.0,3.0,6.0,3.0,0.0,4.0,5.0,9.0,0.0,13.0,1.0,15.0,2.0,0.0,14.0,25.0,1.0,18.0,2.0,1.0,15.0,0.0,21.0,1.0,30.0,18.0,1.0,10.0,0.0,0.0,4.0,12.0,0.0,5.0,3.0,3.0,26.0,17.0,2.0,51.0,12.0,3.0,0.0,4.0,0.0,7.0,9.0,13.0,0.0,10.0,25.0,0.0,2.0,1.0,9.0,39.0,3.0,10.0,8.0,0.0,4.0,12.0,3.0,11.0,11.0,9.0,2.0,0.0,3.0,2.0,1.0,35.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,20.0,13.0,1.0,0.0,31.0,1.0,1.0,9.0,2.0,0.0,23.0,3.0,15.0,68.0,1.0,0.0,1.0,10.0,17.0,4.0,31.0,3.0,5.0,5.0,3.0,35.0,36.0,1.0,0.0,2.0,2.0,2.0,0.0,54.0,0.0,0.0,7.0,0.0,54.0,15.0,0.0,22.0,24.0,0.0,0.0,7.0,29.0,25.0,14.0,19.0,23.0,27.0,5.0,3.0,2.0,4.0,5.0,8.0,34.0,1.0,0.0,23.0,11.0,1.0,2.0,0.0,3.0,3.0,19.0,2.0,0.0,13.0,0.0,29.0,0.0,7.0,37.0,5.0,0.0,1.0,3.0,36.0,1.0,0.0,21.0,0.0,6.0,31.0,0.0,10.0,3.0,20.0,1.0,25.0,1.0,6.0,2.0,23.0,14.0,14.0,0.0,1.0,0.0,0.0,2.0,56.0,1.0,2.0,29.0,81.0,9.0,8.0,2.0,21.0,0.0,6.0,2.0,5.0
3,101709133.0,0.0,7.0,0.0,5.0,8.0,0.0,7.0,4.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,7.0,5.0,0.0,4.0,4.0,12.0,7.0,6.0,3.0,1.0,8.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,7.0,0.0,13.0,7.0,11.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,6.0,4.0,11.0,9.0,6.0,4.0,17.0,0.0,0.0,11.0,0.0,0.0,5.0,9.0,0.0,15.0,0.0,1.0,11.0,0.0,0.0,15.0,0.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,7.0,1.0,0.0,9.0,7.0,0.0,6.0,2.0,0.0,7.0,0.0,4.0,0.0,6.0,11.0,0.0,6.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,3.0,7.0,3.0,0.0,15.0,5.0,2.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,7.0,7.0,0.0,0.0,1.0,3.0,9.0,6.0,2.0,0.0,0.0,0.0,6.0,0.0,8.0,5.0,3.0,2.0,0.0,4.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,8.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,7.0,2.0,6.0,18.0,1.0,0.0,0.0,4.0,3.0,0.0,8.0,0.0,2.0,2.0,2.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,12.0,6.0,0.0,7.0,6.0,0.0,0.0,2.0,10.0,8.0,6.0,9.0,6.0,7.0,1.0,1.0,1.0,0.0,2.0,2.0,9.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,9.0,0.0,5.0,9.0,1.0,0.0,1.0,0.0,13.0,3.0,0.0,11.0,0.0,1.0,10.0,0.0,6.0,2.0,12.0,1.0,9.0,1.0,3.0,0.0,9.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,1.0,6.0,14.0,1.0,3.0,0.0,5.0,0.0,2.0,2.0,3.0
4,1038932108.0,0.0,7.0,5.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,1.0,5.0,12.0,1.0,14.0,2.0,22.0,17.0,7.0,11.0,1.0,17.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,17.0,1.0,2.0,3.0,0.0,17.0,4.0,19.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,10.0,16.0,7.0,15.0,10.0,26.0,1.0,21.0,0.0,1.0,9.0,0.0,0.0,8.0,8.0,0.0,19.0,1.0,0.0,12.0,1.0,1.0,22.0,0.0,14.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,4.0,0.0,7.0,2.0,0.0,7.0,7.0,1.0,7.0,3.0,0.0,7.0,0.0,7.0,0.0,15.0,12.0,0.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,10.0,10.0,0.0,19.0,8.0,1.0,0.0,0.0,0.0,3.0,2.0,9.0,0.0,12.0,10.0,0.0,0.0,2.0,3.0,17.0,3.0,2.0,1.0,0.0,2.0,7.0,1.0,6.0,4.0,4.0,3.0,1.0,2.0,3.0,2.0,14.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,10.0,0.0,0.0,11.0,0.0,2.0,2.0,0.0,0.0,8.0,2.0,18.0,44.0,0.0,0.0,0.0,3.0,4.0,1.0,14.0,1.0,4.0,1.0,3.0,9.0,13.0,0.0,0.0,1.0,1.0,1.0,0.0,17.0,0.0,0.0,3.0,0.0,17.0,5.0,0.0,6.0,12.0,0.0,0.0,0.0,8.0,13.0,10.0,18.0,6.0,13.0,3.0,3.0,3.0,1.0,3.0,2.0,20.0,0.0,0.0,15.0,8.0,1.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,5.0,0.0,10.0,0.0,4.0,8.0,1.0,0.0,0.0,0.0,18.0,2.0,0.0,12.0,0.0,2.0,9.0,0.0,3.0,0.0,25.0,1.0,13.0,0.0,7.0,3.0,10.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,2.0,7.0,34.0,1.0,2.0,0.0,9.0,0.0,7.0,4.0,6.0
5,104745921.0,0.0,31.0,8.0,5.0,0.0,0.0,9.0,14.0,0.0,1.0,29.0,3.0,0.0,7.0,1.0,16.0,18.0,1.0,10.0,1.0,44.0,15.0,15.0,15.0,11.0,18.0,3.0,0.0,0.0,0.0,34.0,4.0,0.0,2.0,1.0,30.0,4.0,8.0,11.0,0.0,38.0,21.0,64.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,3.0,2.0,42.0,30.0,14.0,45.0,28.0,21.0,11.0,39.0,0.0,0.0,46.0,1.0,2.0,26.0,27.0,0.0,63.0,1.0,7.0,54.0,0.0,7.0,49.0,3.0,46.0,5.0,0.0,5.0,5.0,0.0,4.0,2.0,18.0,0.0,11.0,3.0,20.0,2.0,0.0,20.0,38.0,5.0,22.0,1.0,1.0,21.0,1.0,26.0,0.0,42.0,17.0,2.0,16.0,0.0,0.0,6.0,16.0,1.0,9.0,5.0,3.0,31.0,22.0,4.0,66.0,15.0,4.0,0.0,0.0,0.0,12.0,10.0,10.0,0.0,6.0,41.0,0.0,4.0,2.0,13.0,58.0,8.0,2.0,5.0,0.0,0.0,13.0,2.0,11.0,12.0,13.0,1.0,1.0,10.0,4.0,3.0,46.0,0.0,1.0,2.0,0.0,16.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,17.0,23.0,0.0,0.0,37.0,1.0,3.0,15.0,1.0,0.0,36.0,8.0,15.0,79.0,1.0,0.0,1.0,7.0,21.0,2.0,40.0,5.0,4.0,3.0,5.0,44.0,42.0,0.0,1.0,3.0,2.0,0.0,1.0,60.0,0.0,0.0,5.0,0.0,63.0,15.0,1.0,26.0,29.0,0.0,0.0,9.0,34.0,31.0,18.0,30.0,52.0,36.0,10.0,4.0,4.0,7.0,6.0,7.0,38.0,1.0,0.0,32.0,15.0,0.0,5.0,0.0,4.0,0.0,29.0,4.0,0.0,16.0,0.0,27.0,0.0,9.0,42.0,8.0,0.0,1.0,0.0,52.0,3.0,0.0,33.0,0.0,9.0,33.0,1.0,16.0,6.0,28.0,1.0,33.0,11.0,9.0,3.0,23.0,17.0,20.0,0.0,1.0,0.0,0.0,2.0,59.0,1.0,2.0,32.0,75.0,13.0,9.0,4.0,27.0,0.0,10.0,4.0,5.0
6,1049646152.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,105382886.0,0.0,7.0,7.0,8.0,9.0,1.0,0.0,1.0,1.0,2.0,10.0,3.0,0.0,3.0,1.0,16.0,15.0,0.0,12.0,6.0,39.0,17.0,4.0,11.0,7.0,28.0,2.0,2.0,0.0,0.0,19.0,0.0,0.0,1.0,1.0,26.0,1.0,5.0,5.0,0.0,37.0,9.0,32.0,0.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,1.0,4.0,13.0,11.0,9.0,23.0,10.0,35.0,2.0,36.0,0.0,3.0,27.0,0.0,1.0,8.0,14.0,0.0,51.0,1.0,2.0,17.0,1.0,2.0,37.0,0.0,24.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,14.0,0.0,8.0,3.0,7.0,0.0,0.0,23.0,11.0,1.0,10.0,4.0,1.0,8.0,0.0,9.0,0.0,26.0,15.0,0.0,12.0,0.0,1.0,5.0,2.0,2.0,3.0,10.0,2.0,14.0,11.0,2.0,46.0,17.0,6.0,1.0,3.0,0.0,14.0,1.0,14.0,0.0,16.0,14.0,1.0,0.0,8.0,6.0,19.0,7.0,5.0,2.0,0.0,6.0,6.0,3.0,24.0,2.0,7.0,4.0,0.0,8.0,15.0,3.0,25.0,0.0,0.0,3.0,0.0,9.0,1.0,0.0,0.0,5.0,2.0,1.0,0.0,3.0,15.0,1.0,2.0,15.0,0.0,1.0,2.0,0.0,0.0,11.0,3.0,22.0,63.0,2.0,0.0,0.0,10.0,4.0,2.0,19.0,2.0,3.0,1.0,6.0,11.0,34.0,0.0,0.0,8.0,5.0,0.0,1.0,27.0,1.0,0.0,6.0,0.0,24.0,11.0,0.0,12.0,24.0,0.0,1.0,2.0,12.0,21.0,15.0,27.0,8.0,22.0,10.0,1.0,4.0,4.0,4.0,5.0,30.0,0.0,0.0,29.0,24.0,2.0,1.0,1.0,5.0,0.0,17.0,3.0,0.0,6.0,0.0,15.0,0.0,3.0,9.0,4.0,1.0,2.0,1.0,31.0,5.0,0.0,16.0,2.0,6.0,19.0,0.0,11.0,4.0,51.0,0.0,23.0,7.0,17.0,2.0,15.0,6.0,2.0,0.0,1.0,0.0,0.0,3.0,33.0,0.0,5.0,5.0,72.0,4.0,7.0,2.0,9.0,0.0,4.0,12.0,14.0
8,105458252.0,0.0,14.0,4.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,13.0,3.0,7.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,8.0,2.0,1.0,4.0,0.0,6.0,6.0,23.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,4.0,15.0,13.0,3.0,9.0,10.0,0.0,0.0,11.0,0.0,0.0,9.0,10.0,0.0,21.0,0.0,2.0,18.0,2.0,1.0,14.0,1.0,24.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,0.0,4.0,13.0,0.0,14.0,0.0,0.0,9.0,0.0,12.0,0.0,10.0,8.0,2.0,2.0,0.0,0.0,1.0,7.0,0.0,1.0,1.0,0.0,18.0,9.0,0.0,21.0,5.0,3.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,17.0,3.0,2.0,0.0,0.0,0.0,8.0,0.0,7.0,5.0,5.0,0.0,0.0,4.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,15.0,0.0,0.0,11.0,0.0,0.0,11.0,1.0,3.0,24.0,1.0,0.0,0.0,0.0,11.0,1.0,13.0,0.0,1.0,2.0,1.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,25.0,6.0,0.0,7.0,5.0,0.0,0.0,7.0,14.0,10.0,9.0,4.0,12.0,12.0,0.0,0.0,2.0,0.0,1.0,3.0,12.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,7.0,0.0,12.0,0.0,3.0,17.0,2.0,0.0,1.0,0.0,14.0,0.0,0.0,8.0,0.0,2.0,17.0,0.0,4.0,1.0,6.0,2.0,11.0,1.0,0.0,0.0,9.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,17.0,21.0,4.0,5.0,0.0,11.0,0.0,3.0,0.0,0.0
9,106029098.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,3.0,1.0,4.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,282.0,1.0,1.0,0.0,5.0,31.0,2.0,1.0,24.0,0.0,5.0,69.0,0.0,0.0,0.0,2.0,0.0,35.0,3.0,11.0,1.0,2.0,0.0,9.0,2.0,11.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,6.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,111.0,1.0,0.0,0.0,4.0,1.0,6.0,1.0,34.0,0.0,8.0,2.0,9.0,0.0,4.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,2.0,0.0,199.0,2.0,2.0,0.0,8.0,1.0,0.0,0.0,2.0,0.0,10.0,0.0,14.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0,0.0,60.0,0.0,0.0,10.0,0.0,3.0,64.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,1.0,14.0,4.0,10.0,0.0,1.0,0.0,4.0,13.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,27.0,0.0,0.0,2.0,0.0,4.0,4.0,4.0,10.0,6.0,2.0,4.0,1.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,4.0,2.0,1.0,46.0,0.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,543.0,0.0,0.0,3.0,20.0,0.0,1.0,0.0,0.0,4.0,21.0,0.0,0.0
