,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,-1.0,4604990654.0,4631505318.0,4708796306.0,595130351.0,630170420.0,7.948742177831444e+17,83710103.0,8.555938571105157e+17,8.587446332531671e+17,8.976605321609667e+17,9.038943499263386e+17,9.36066045051224e+17,9.477747388682895e+17,9.501161657870131e+17,9.506353031983145e+17,9.521084003719332e+17,9.546959530505544e+17,9.594094671494308e+17
1,4604990654.0,0.0,25.0,14.0,13.0,31.0,3.0,36.0,5.0,4.0,5.0,8.0,9.0,12.0,12.0,9.0,0.0,15.0,11.0
2,4631505318.0,25.0,0.0,48.0,34.0,102.0,29.0,169.0,8.0,4.0,6.0,9.0,15.0,30.0,44.0,13.0,0.0,65.0,20.0
3,4708796306.0,14.0,48.0,0.0,13.0,39.0,8.0,82.0,8.0,4.0,7.0,7.0,20.0,10.0,28.0,11.0,0.0,14.0,19.0
4,595130351.0,13.0,34.0,13.0,0.0,32.0,6.0,31.0,5.0,4.0,5.0,6.0,7.0,14.0,14.0,6.0,0.0,19.0,10.0
5,630170420.0,31.0,102.0,39.0,32.0,0.0,10.0,181.0,10.0,3.0,6.0,8.0,10.0,30.0,45.0,7.0,0.0,82.0,13.0
6,7.948742177831444e+17,3.0,29.0,8.0,6.0,10.0,0.0,19.0,2.0,2.0,3.0,3.0,5.0,5.0,9.0,3.0,0.0,4.0,5.0
7,83710103.0,36.0,169.0,82.0,31.0,181.0,19.0,0.0,10.0,3.0,6.0,9.0,18.0,43.0,53.0,15.0,0.0,73.0,20.0
8,8.555938571105157e+17,5.0,8.0,8.0,5.0,10.0,2.0,10.0,0.0,3.0,4.0,4.0,5.0,7.0,5.0,4.0,0.0,6.0,6.0
9,8.587446332531671e+17,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,3.0,3.0
10,8.976605321609667e+17,5.0,6.0,7.0,5.0,6.0,3.0,6.0,4.0,3.0,0.0,5.0,5.0,5.0,5.0,4.0,0.0,5.0,5.0
11,9.038943499263386e+17,8.0,9.0,7.0,6.0,8.0,3.0,9.0,4.0,3.0,5.0,0.0,7.0,8.0,8.0,6.0,0.0,7.0,8.0
12,9.36066045051224e+17,9.0,15.0,20.0,7.0,10.0,5.0,18.0,5.0,3.0,5.0,7.0,0.0,8.0,14.0,6.0,0.0,7.0,10.0
13,9.477747388682895e+17,12.0,30.0,10.0,14.0,30.0,5.0,43.0,7.0,3.0,5.0,8.0,8.0,0.0,11.0,13.0,0.0,15.0,15.0
14,9.501161657870131e+17,12.0,44.0,28.0,14.0,45.0,9.0,53.0,5.0,3.0,5.0,8.0,14.0,11.0,0.0,7.0,0.0,18.0,12.0
15,9.506353031983145e+17,9.0,13.0,11.0,6.0,7.0,3.0,15.0,4.0,4.0,4.0,6.0,6.0,13.0,7.0,0.0,0.0,6.0,13.0
16,9.521084003719332e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,9.546959530505544e+17,15.0,65.0,14.0,19.0,82.0,4.0,73.0,6.0,3.0,5.0,7.0,7.0,15.0,18.0,6.0,0.0,0.0,8.0
18,9.594094671494308e+17,11.0,20.0,19.0,10.0,13.0,5.0,20.0,6.0,3.0,5.0,8.0,10.0,15.0,12.0,13.0,0.0,8.0,0.0
