,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,-1.0,105792146.0,1256936964.0,12935072.0,130307355.0,132095682.0,1367155940.0,143245156.0,1493151972.0,1543161900.0,1653216348.0,1728086898.0,177192126.0,2187050920.0,229804350.0,242684798.0,2482229306.0,271542060.0,2752498194.0,2864877319.0,2885263225.0,2914335086.0,2918770094.0,2963304293.0,3060000127.0,3141288945.0,3236152360.0,3251916308.0,3361379838.0,360550924.0,3866799620.0,3924153858.0,3959935572.0,421929408.0,45006428.0,4777301054.0,516021712.0,549104273.0,583411696.0,585696887.0,625643770.0,7.91643479915e+17,7.029031301999616e+17,7.286251239477289e+17,7.312013612037161e+17,751075776.0,753283147.0,7.570324295089234e+17,759256634.0,76007597.0,7.698731304960123e+17,777409789.0,7.817770928285409e+17,7.973449617421804e+17,7.985080907441275e+17,8.286148773464105e+17,835212421.0,8.362770598151496e+17,8.501980764928737e+17,8.538795521746862e+17,8.699298739213312e+17,9.005386877877453e+17,9.006108318423286e+17,915776413.0,9.335553864597012e+17,9.339859149545636e+17,9.365123150835794e+17,9.438973223536968e+17,9.45648692043776e+17,9.539247804234424e+17,9.554456365763748e+17,9.565519803772396e+17
1,105792146.0,0.0,35.0,62.0,78.0,15.0,65.0,31.0,100.0,176.0,161.0,2.0,4.0,20.0,14.0,34.0,19.0,15.0,24.0,34.0,26.0,69.0,162.0,58.0,72.0,6.0,37.0,46.0,27.0,2.0,54.0,135.0,113.0,4.0,41.0,3.0,45.0,59.0,10.0,23.0,36.0,0.0,41.0,37.0,32.0,4.0,0.0,73.0,4.0,23.0,41.0,27.0,45.0,18.0,139.0,102.0,5.0,70.0,178.0,6.0,75.0,25.0,67.0,3.0,3.0,15.0,10.0,83.0,23.0,3.0,2.0,59.0
2,1256936964.0,35.0,0.0,32.0,28.0,10.0,72.0,3.0,40.0,63.0,58.0,0.0,0.0,13.0,8.0,9.0,15.0,9.0,10.0,18.0,21.0,40.0,49.0,20.0,43.0,4.0,21.0,33.0,27.0,3.0,66.0,38.0,45.0,6.0,4.0,0.0,23.0,28.0,9.0,4.0,23.0,0.0,30.0,19.0,15.0,3.0,0.0,86.0,1.0,6.0,14.0,15.0,29.0,7.0,58.0,57.0,1.0,75.0,70.0,5.0,108.0,21.0,53.0,1.0,2.0,17.0,3.0,52.0,12.0,3.0,1.0,25.0
3,12935072.0,62.0,32.0,0.0,66.0,27.0,62.0,43.0,99.0,130.0,112.0,1.0,4.0,28.0,18.0,57.0,37.0,10.0,15.0,34.0,32.0,67.0,125.0,53.0,78.0,3.0,49.0,40.0,36.0,3.0,51.0,117.0,95.0,2.0,45.0,10.0,29.0,59.0,10.0,12.0,29.0,0.0,39.0,47.0,27.0,3.0,0.0,67.0,4.0,18.0,27.0,30.0,61.0,13.0,106.0,99.0,7.0,63.0,106.0,4.0,68.0,30.0,65.0,3.0,2.0,11.0,12.0,67.0,32.0,6.0,1.0,53.0
4,130307355.0,78.0,28.0,66.0,0.0,10.0,55.0,38.0,80.0,140.0,116.0,1.0,10.0,23.0,14.0,45.0,19.0,13.0,13.0,34.0,29.0,62.0,158.0,71.0,52.0,9.0,32.0,38.0,25.0,3.0,41.0,146.0,77.0,2.0,54.0,7.0,29.0,53.0,17.0,13.0,28.0,0.0,36.0,37.0,30.0,5.0,0.0,66.0,8.0,45.0,40.0,21.0,50.0,24.0,88.0,83.0,6.0,68.0,105.0,4.0,61.0,24.0,54.0,6.0,5.0,11.0,8.0,59.0,18.0,2.0,1.0,49.0
5,132095682.0,15.0,10.0,27.0,10.0,0.0,13.0,5.0,13.0,29.0,35.0,0.0,0.0,2.0,1.0,6.0,3.0,9.0,4.0,5.0,3.0,16.0,24.0,11.0,18.0,1.0,7.0,16.0,5.0,1.0,13.0,19.0,17.0,5.0,13.0,5.0,10.0,12.0,4.0,1.0,10.0,0.0,22.0,5.0,14.0,1.0,0.0,24.0,0.0,1.0,5.0,8.0,10.0,1.0,24.0,21.0,1.0,19.0,32.0,2.0,24.0,7.0,13.0,0.0,3.0,3.0,2.0,20.0,2.0,1.0,1.0,12.0
6,1367155940.0,65.0,72.0,62.0,55.0,13.0,0.0,14.0,93.0,153.0,133.0,1.0,2.0,41.0,23.0,18.0,31.0,14.0,19.0,40.0,43.0,80.0,145.0,38.0,93.0,8.0,32.0,62.0,41.0,4.0,91.0,110.0,103.0,2.0,17.0,0.0,38.0,67.0,12.0,12.0,48.0,0.0,51.0,46.0,31.0,8.0,0.0,135.0,3.0,16.0,27.0,34.0,62.0,15.0,129.0,124.0,2.0,119.0,172.0,10.0,150.0,38.0,96.0,3.0,4.0,22.0,4.0,98.0,30.0,10.0,1.0,57.0
7,143245156.0,31.0,3.0,43.0,38.0,5.0,14.0,0.0,25.0,54.0,29.0,0.0,8.0,15.0,4.0,66.0,15.0,1.0,8.0,6.0,9.0,14.0,194.0,62.0,15.0,4.0,12.0,8.0,9.0,0.0,10.0,143.0,44.0,1.0,51.0,10.0,2.0,52.0,5.0,6.0,3.0,0.0,4.0,25.0,2.0,1.0,0.0,32.0,4.0,7.0,7.0,7.0,22.0,12.0,34.0,26.0,7.0,18.0,41.0,0.0,13.0,8.0,13.0,3.0,1.0,0.0,6.0,20.0,19.0,4.0,0.0,8.0
8,1493151972.0,100.0,40.0,99.0,80.0,13.0,93.0,25.0,0.0,231.0,211.0,3.0,3.0,24.0,20.0,38.0,44.0,16.0,31.0,64.0,53.0,127.0,181.0,55.0,120.0,12.0,57.0,86.0,61.0,3.0,74.0,154.0,158.0,1.0,22.0,1.0,58.0,89.0,11.0,12.0,42.0,0.0,75.0,49.0,54.0,9.0,0.0,136.0,2.0,11.0,31.0,43.0,80.0,18.0,201.0,198.0,7.0,114.0,237.0,10.0,142.0,51.0,132.0,2.0,6.0,18.0,20.0,134.0,49.0,5.0,2.0,126.0
9,1543161900.0,176.0,63.0,130.0,140.0,29.0,153.0,54.0,231.0,0.0,368.0,5.0,3.0,60.0,27.0,63.0,73.0,32.0,37.0,86.0,71.0,189.0,574.0,111.0,360.0,34.0,78.0,163.0,92.0,5.0,125.0,285.0,367.0,4.0,47.0,5.0,89.0,137.0,23.0,30.0,85.0,0.0,276.0,100.0,75.0,10.0,0.0,207.0,8.0,25.0,62.0,68.0,130.0,31.0,442.0,433.0,11.0,174.0,482.0,43.0,194.0,73.0,186.0,5.0,9.0,21.0,20.0,253.0,76.0,12.0,3.0,152.0
