,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
0,-1.0,102955752.0,106316718.0,111858408.0,113878793.0,114444486.0,116499815.0,1169111376.0,119666620.0,123774249.0,132037287.0,136351196.0,138019927.0,1428381847.0,145535500.0,14600122.0,1490064805.0,149525251.0,151078227.0,153693557.0,16582906.0,17481929.0,17925604.0,17964981.0,19370767.0,210582632.0,2154013356.0,219944631.0,2233237208.0,227624351.0,2367174414.0,25656378.0,26198461.0,269290587.0,270353982.0,2719067106.0,27843220.0,279973577.0,284413326.0,2880617077.0,2900619032.0,3028697209.0,308563.0,308976598.0,3230100637.0,327878455.0,3285620905.0,3299791117.0,33623907.0,342601544.0,352613299.0,3550416313.0,3625455013.0,376087772.0,380182848.0,399071224.0,3999676762.0,42022523.0,4370740395.0,45137931.0,463235589.0,46343277.0,48288625.0,491303765.0,51010725.0,57602878.0,57938034.0,61340144.0,66643057.0,67593879.0,72599371.0,7.315054184893563e+17,75569962.0,759256634.0,7.912312077700588e+17,80015242.0,8.203374100976148e+17,8.245251575447593e+17,9.229122393124495e+17
1,102955752.0,0.0,3.0,4.0,0.0,3.0,3.0,2.0,1.0,5.0,3.0,4.0,0.0,5.0,0.0,1.0,8.0,4.0,0.0,3.0,5.0,0.0,10.0,3.0,2.0,4.0,0.0,3.0,3.0,1.0,1.0,2.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,3.0,0.0,4.0,12.0,3.0,4.0,0.0,1.0,0.0,5.0,0.0,4.0,3.0
2,106316718.0,3.0,0.0,20.0,6.0,10.0,20.0,17.0,5.0,59.0,15.0,38.0,0.0,27.0,2.0,12.0,28.0,19.0,1.0,28.0,31.0,0.0,0.0,26.0,14.0,30.0,9.0,10.0,46.0,11.0,5.0,3.0,0.0,1.0,8.0,23.0,5.0,1.0,1.0,0.0,51.0,16.0,3.0,0.0,17.0,16.0,30.0,18.0,0.0,2.0,0.0,3.0,0.0,2.0,9.0,0.0,0.0,53.0,35.0,2.0,0.0,17.0,8.0,12.0,2.0,5.0,24.0,2.0,30.0,42.0,18.0,21.0,7.0,1.0,0.0,21.0,0.0,33.0,15.0
3,111858408.0,4.0,20.0,0.0,13.0,19.0,17.0,32.0,7.0,51.0,18.0,39.0,0.0,32.0,2.0,11.0,8.0,13.0,1.0,63.0,22.0,0.0,1.0,27.0,17.0,31.0,9.0,14.0,29.0,12.0,20.0,5.0,1.0,0.0,8.0,39.0,14.0,3.0,1.0,0.0,73.0,3.0,3.0,2.0,14.0,13.0,16.0,12.0,0.0,1.0,1.0,8.0,0.0,3.0,5.0,1.0,0.0,43.0,31.0,2.0,0.0,20.0,11.0,22.0,6.0,5.0,18.0,3.0,47.0,18.0,12.0,28.0,2.0,2.0,0.0,13.0,0.0,58.0,15.0
4,113878793.0,0.0,6.0,13.0,0.0,10.0,8.0,12.0,4.0,25.0,6.0,15.0,0.0,8.0,5.0,9.0,4.0,8.0,3.0,9.0,15.0,0.0,3.0,15.0,11.0,7.0,8.0,10.0,15.0,11.0,6.0,5.0,8.0,0.0,6.0,14.0,4.0,2.0,4.0,0.0,17.0,6.0,4.0,1.0,5.0,14.0,5.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,24.0,11.0,1.0,0.0,15.0,12.0,11.0,3.0,5.0,14.0,2.0,9.0,13.0,7.0,8.0,1.0,5.0,0.0,8.0,0.0,20.0,3.0
5,114444486.0,3.0,10.0,19.0,10.0,0.0,12.0,16.0,3.0,31.0,3.0,21.0,0.0,19.0,3.0,12.0,5.0,10.0,1.0,27.0,8.0,0.0,2.0,10.0,7.0,8.0,12.0,11.0,15.0,11.0,6.0,6.0,0.0,0.0,6.0,28.0,6.0,1.0,0.0,0.0,31.0,4.0,1.0,0.0,11.0,8.0,11.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,27.0,17.0,1.0,0.0,7.0,10.0,11.0,4.0,0.0,18.0,8.0,13.0,16.0,7.0,15.0,1.0,0.0,0.0,6.0,0.0,30.0,5.0
6,116499815.0,3.0,20.0,17.0,8.0,12.0,0.0,17.0,3.0,62.0,9.0,35.0,2.0,31.0,3.0,12.0,21.0,20.0,0.0,28.0,29.0,0.0,1.0,35.0,7.0,16.0,5.0,7.0,50.0,9.0,6.0,4.0,0.0,1.0,8.0,31.0,2.0,1.0,2.0,0.0,33.0,9.0,2.0,0.0,16.0,16.0,30.0,17.0,0.0,0.0,0.0,3.0,0.0,5.0,10.0,1.0,0.0,64.0,33.0,1.0,1.0,14.0,10.0,11.0,4.0,5.0,24.0,3.0,25.0,47.0,14.0,13.0,2.0,1.0,0.0,13.0,0.0,32.0,10.0
7,1169111376.0,2.0,17.0,32.0,12.0,16.0,17.0,0.0,1.0,53.0,7.0,36.0,0.0,17.0,6.0,16.0,15.0,18.0,3.0,32.0,24.0,0.0,0.0,21.0,46.0,7.0,16.0,9.0,26.0,6.0,19.0,4.0,19.0,0.0,11.0,37.0,2.0,1.0,3.0,0.0,69.0,10.0,3.0,7.0,18.0,13.0,26.0,11.0,0.0,0.0,0.0,8.0,0.0,4.0,7.0,0.0,0.0,41.0,43.0,1.0,0.0,16.0,8.0,18.0,3.0,0.0,18.0,1.0,15.0,24.0,13.0,24.0,0.0,2.0,0.0,10.0,0.0,40.0,18.0
8,119666620.0,1.0,5.0,7.0,4.0,3.0,3.0,1.0,0.0,6.0,1.0,4.0,0.0,3.0,1.0,4.0,2.0,1.0,0.0,3.0,4.0,0.0,2.0,4.0,2.0,5.0,1.0,2.0,5.0,6.0,5.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,7.0,0.0,3.0,0.0,1.0,6.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,3.0,0.0,0.0,4.0,5.0,2.0,2.0,3.0,2.0,2.0,5.0,5.0,1.0,4.0,1.0,1.0,0.0,9.0,0.0,3.0,2.0
9,123774249.0,5.0,59.0,51.0,25.0,31.0,62.0,53.0,6.0,0.0,36.0,138.0,2.0,83.0,18.0,26.0,55.0,51.0,15.0,102.0,91.0,0.0,7.0,129.0,65.0,58.0,66.0,32.0,143.0,57.0,41.0,13.0,54.0,1.0,20.0,100.0,17.0,4.0,12.0,1.0,167.0,43.0,22.0,5.0,52.0,61.0,81.0,33.0,5.0,3.0,11.0,11.0,2.0,8.0,20.0,3.0,0.0,229.0,110.0,5.0,1.0,60.0,33.0,43.0,21.0,25.0,72.0,14.0,45.0,175.0,56.0,75.0,13.0,12.0,1.0,41.0,0.0,128.0,29.0
