,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158
0,-1.0,10243382.0,102703360.0,102955752.0,1052201041.0,105853751.0,106457332.0,110312878.0,112555383.0,117129434.0,118992888.0,120012327.0,1209017774.0,124396174.0,126145829.0,126297089.0,126832007.0,128555879.0,134168504.0,134574318.0,136682526.0,138019927.0,1418726910.0,144849086.0,148865337.0,149844984.0,1536843788.0,15835269.0,16225093.0,1651237279.0,165798073.0,171077993.0,1727744906.0,173911839.0,182406617.0,1898057402.0,190702011.0,19587261.0,196506599.0,21131225.0,214795480.0,214805362.0,21645098.0,2165335285.0,218559571.0,219007177.0,2210333792.0,22371818.0,22521729.0,23483075.0,23542495.0,236583492.0,2380425654.0,23921562.0,240345565.0,24064661.0,240931908.0,2457619080.0,24863193.0,272897387.0,275477467.0,279325818.0,28297342.0,28302524.0,284413326.0,284946993.0,287738539.0,289256965.0,289982863.0,293612978.0,294114036.0,2971298278.0,29798993.0,2992259190.0,306812393.0,307715926.0,308283542.0,30840707.0,3103423114.0,311907789.0,3167783986.0,3185007463.0,322688247.0,325488932.0,330262973.0,330832464.0,332327802.0,3340995334.0,3389726902.0,34215799.0,360628853.0,382442980.0,382527275.0,39962454.0,401673483.0,40701166.0,4087119072.0,41064325.0,42338584.0,4264146618.0,44120577.0,44577968.0,45227758.0,453603539.0,47467821.0,476564417.0,494095798.0,494706479.0,51420264.0,522090729.0,54925203.0,562408887.0,563314824.0,568273335.0,59146843.0,60472299.0,60721444.0,623083561.0,65042593.0,65578391.0,66122844.0,66644442.0,66718258.0,67061959.0,70069065.0,711714993.0,714586800.0,71471528.0,7.23079254271873e+17,7.622865936253829e+17,76318958.0,76347839.0,7.72766208374571e+17,78585532.0,79345413.0,79717686.0,79786505.0,8.103921454420419e+17,812697114.0,81286448.0,8.192183391761203e+17,8.249896218808115e+17,82855474.0,83035988.0,8.430692839996334e+17,845645718.0,85308876.0,857679565.0,86017185.0,868453837.0,9.01815800604e+17,93031355.0,93617861.0,941331380.0,9.432159181921239e+17,9.437235439210168e+17,949495591.0,969923838.0,975536256.0
1,10243382.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,1.0,0.0,8.0,1.0,13.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,3.0,2.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
2,102703360.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,14.0,0.0,11.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,11.0,1.0,1.0,1.0,0.0,2.0,44.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,46.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0
3,102955752.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,7.0,0.0,3.0,0.0
4,1052201041.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0
5,105853751.0,7.0,2.0,17.0,1.0,0.0,28.0,3.0,0.0,2.0,9.0,26.0,0.0,0.0,3.0,1.0,0.0,1.0,23.0,3.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,15.0,15.0,57.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,1.0,0.0,2.0,6.0,3.0,0.0,2.0,1.0,12.0,3.0,4.0,1.0,0.0,9.0,2.0,11.0,1.0,3.0,3.0,5.0,1.0,0.0,0.0,9.0,0.0,4.0,0.0,2.0,2.0,0.0,3.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,25.0,6.0,6.0,6.0,26.0,10.0,19.0,6.0,7.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,2.0,12.0,25.0,0.0,0.0,4.0,4.0,7.0,2.0,0.0,2.0,17.0,0.0,5.0,1.0,1.0,2.0,31.0,6.0,5.0,9.0,1.0,0.0,2.0,6.0,0.0,5.0,5.0,6.0,11.0,1.0,1.0,0.0,13.0,1.0,13.0,0.0,7.0,53.0,39.0,5.0,1.0,51.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,3.0,24.0,2.0,6.0,48.0,0.0,0.0,1.0
6,106457332.0,4.0,2.0,4.0,1.0,28.0,0.0,4.0,4.0,1.0,11.0,35.0,0.0,0.0,3.0,2.0,0.0,4.0,97.0,46.0,0.0,0.0,2.0,4.0,1.0,2.0,0.0,7.0,1.0,23.0,51.0,89.0,2.0,1.0,1.0,0.0,1.0,3.0,5.0,7.0,1.0,2.0,9.0,6.0,11.0,0.0,5.0,12.0,40.0,8.0,17.0,1.0,5.0,16.0,1.0,42.0,1.0,26.0,13.0,5.0,0.0,1.0,0.0,13.0,8.0,9.0,0.0,4.0,10.0,0.0,11.0,7.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,13.0,7.0,6.0,7.0,28.0,27.0,31.0,9.0,10.0,1.0,67.0,0.0,0.0,0.0,1.0,14.0,6.0,30.0,25.0,8.0,50.0,0.0,0.0,4.0,7.0,28.0,10.0,0.0,3.0,20.0,0.0,7.0,1.0,9.0,4.0,109.0,26.0,4.0,5.0,4.0,0.0,15.0,23.0,1.0,21.0,3.0,22.0,30.0,1.0,0.0,1.0,41.0,1.0,6.0,1.0,9.0,127.0,114.0,2.0,0.0,58.0,0.0,0.0,4.0,19.0,0.0,1.0,1.0,0.0,2.0,21.0,0.0,2.0,86.0,10.0,4.0,74.0,1.0,0.0,1.0
7,110312878.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,8.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,6.0,1.0,110.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,0.0,12.0,2.0,24.0,5.0,4.0,0.0,0.0,1.0,5.0,5.0,6.0,0.0,1.0,2.0,0.0,29.0,6.0,1.0,0.0,10.0,2.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,22.0,3.0,0.0,1.0,0.0,6.0,0.0,6.0,3.0,0.0,3.0,0.0,1.0,2.0,0.0,6.0,0.0,9.0,19.0,0.0,2.0,5.0,0.0,57.0,1.0,1.0,7.0,24.0,2.0,0.0,0.0,0.0,3.0,1.0,178.0,1.0,1.0,5.0,9.0,6.0,0.0,0.0,4.0,0.0,1.0,25.0,17.0,0.0,5.0,1.0,0.0,0.0,11.0,0.0,2.0,4.0,1.0,2.0,8.0,0.0,1.0,1.0
8,112555383.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,18.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,28.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,13.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
9,117129434.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,5.0,0.0,2.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0
