,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171
0,-1.0,101258468.0,104585120.0,104794259.0,108558573.0,1110840294.0,111901848.0,1152629341.0,116503509.0,117683777.0,118593643.0,120436168.0,12156672.0,122322961.0,122947803.0,125475972.0,128547430.0,130027649.0,13008262.0,1309690194.0,136522872.0,138278423.0,14195753.0,14311121.0,1434246793.0,144423696.0,144491582.0,14451153.0,144988686.0,145104282.0,145467956.0,14627953.0,146900193.0,14714136.0,149580057.0,152205174.0,152584516.0,155268863.0,155517993.0,15657091.0,160221039.0,162304989.0,16431203.0,164666306.0,16470319.0,16542463.0,1665589644.0,16888802.0,169085447.0,169344983.0,16947322.0,173424834.0,17563718.0,1799044873.0,181615386.0,187752663.0,188951688.0,19662889.0,19685758.0,217323941.0,218192899.0,2195669972.0,2203756369.0,22243745.0,22256003.0,2261276785.0,2271712621.0,228433927.0,22893133.0,23016462.0,231584136.0,232090596.0,232788367.0,233627103.0,2349527815.0,2357032981.0,237598493.0,23991729.0,242266975.0,242651056.0,2426665586.0,244051691.0,246871584.0,2473190790.0,251726691.0,2547040466.0,254971426.0,2556186108.0,2559794709.0,256882565.0,267381680.0,278527917.0,284664490.0,2856528830.0,294634289.0,302282119.0,3194758304.0,321312701.0,3299264534.0,3304874354.0,342169792.0,363494868.0,36911342.0,371088454.0,37598805.0,38392737.0,39182840.0,396453724.0,396751119.0,410763191.0,41541739.0,42778117.0,42950646.0,4487840539.0,4523161587.0,463600705.0,4677857995.0,47003842.0,519278044.0,521382536.0,52356199.0,54381941.0,578770422.0,597135391.0,60541562.0,60864604.0,608866235.0,61673414.0,622540432.0,62558115.0,62972086.0,63069724.0,64070520.0,64558929.0,64655031.0,64694303.0,65095945.0,65255980.0,65916370.0,66270410.0,66632083.0,68431771.0,68619268.0,69226214.0,69637046.0,71834922.0,72161620.0,72458998.0,72480943.0,73339146.0,7.361332612487291e+17,73857971.0,73892931.0,742435256.0,74926573.0,76026916.0,772051465.0,77435960.0,79709053.0,82015783.0,82943260.0,84209996.0,85580306.0,85740885.0,86642928.0,87001050.0,91307415.0,93598752.0,95133471.0,95623358.0,96386232.0,9770742.0
1,101258468.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,5.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,2.0,2.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,37.0,2.0,0.0,3.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
2,104585120.0,1.0,0.0,56.0,8.0,1.0,0.0,10.0,11.0,0.0,7.0,0.0,14.0,0.0,0.0,9.0,2.0,0.0,5.0,0.0,4.0,0.0,1.0,4.0,5.0,0.0,1.0,0.0,7.0,15.0,12.0,2.0,0.0,8.0,0.0,21.0,0.0,0.0,41.0,8.0,3.0,0.0,2.0,9.0,5.0,5.0,1.0,6.0,0.0,3.0,0.0,1.0,4.0,4.0,0.0,5.0,1.0,1.0,6.0,22.0,0.0,1.0,0.0,4.0,21.0,0.0,4.0,5.0,0.0,2.0,1.0,0.0,2.0,9.0,7.0,0.0,1.0,15.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,16.0,33.0,21.0,0.0,4.0,2.0,0.0,11.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,11.0,14.0,3.0,0.0,0.0,11.0,0.0,9.0,7.0,2.0,13.0,0.0,1.0,0.0,2.0,1.0,0.0,14.0,30.0,8.0,3.0,11.0,7.0,1.0,0.0,15.0,4.0,10.0,3.0,24.0,2.0,2.0,23.0,22.0,5.0,19.0,15.0,16.0,37.0,1.0,8.0,4.0,0.0,0.0,6.0,1.0,0.0,6.0,0.0,16.0,1.0,12.0,5.0,0.0,23.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0
3,104794259.0,1.0,56.0,0.0,38.0,1.0,0.0,58.0,32.0,1.0,26.0,0.0,77.0,1.0,2.0,58.0,18.0,2.0,52.0,0.0,12.0,1.0,6.0,10.0,35.0,0.0,12.0,2.0,29.0,47.0,80.0,18.0,1.0,37.0,0.0,110.0,0.0,0.0,148.0,47.0,15.0,0.0,4.0,37.0,10.0,27.0,3.0,46.0,1.0,11.0,2.0,13.0,20.0,17.0,4.0,32.0,1.0,4.0,40.0,78.0,0.0,17.0,0.0,11.0,89.0,0.0,16.0,11.0,0.0,13.0,1.0,0.0,20.0,47.0,17.0,4.0,1.0,89.0,0.0,0.0,39.0,1.0,0.0,8.0,3.0,0.0,2.0,15.0,14.0,1.0,40.0,204.0,53.0,1.0,28.0,14.0,0.0,79.0,1.0,4.0,2.0,1.0,8.0,6.0,1.0,46.0,1.0,0.0,0.0,0.0,42.0,52.0,35.0,0.0,0.0,84.0,1.0,51.0,52.0,17.0,51.0,0.0,6.0,0.0,8.0,6.0,0.0,50.0,133.0,37.0,22.0,75.0,46.0,5.0,0.0,68.0,38.0,26.0,24.0,53.0,5.0,21.0,62.0,90.0,18.0,118.0,58.0,71.0,157.0,16.0,30.0,13.0,2.0,0.0,10.0,6.0,10.0,51.0,0.0,46.0,2.0,31.0,37.0,0.0,122.0,6.0,23.0,1.0,31.0,0.0,0.0,0.0
4,108558573.0,1.0,8.0,38.0,0.0,1.0,0.0,13.0,15.0,0.0,15.0,0.0,52.0,2.0,2.0,15.0,7.0,0.0,22.0,0.0,6.0,1.0,6.0,6.0,3.0,1.0,3.0,1.0,17.0,18.0,35.0,11.0,1.0,20.0,0.0,33.0,0.0,0.0,48.0,7.0,8.0,0.0,2.0,11.0,3.0,16.0,3.0,16.0,1.0,4.0,1.0,7.0,7.0,4.0,3.0,13.0,1.0,3.0,17.0,30.0,0.0,5.0,0.0,1.0,34.0,0.0,5.0,4.0,0.0,14.0,3.0,0.0,6.0,17.0,20.0,4.0,1.0,69.0,0.0,0.0,13.0,1.0,0.0,3.0,6.0,0.0,2.0,7.0,3.0,1.0,4.0,68.0,10.0,0.0,23.0,10.0,0.0,14.0,0.0,4.0,3.0,1.0,2.0,4.0,0.0,18.0,2.0,0.0,1.0,0.0,18.0,12.0,21.0,0.0,0.0,28.0,1.0,18.0,13.0,9.0,18.0,1.0,4.0,0.0,4.0,4.0,0.0,17.0,72.0,12.0,9.0,30.0,17.0,4.0,0.0,19.0,10.0,13.0,6.0,26.0,5.0,8.0,13.0,31.0,8.0,32.0,32.0,78.0,76.0,4.0,12.0,10.0,1.0,1.0,4.0,3.0,5.0,13.0,0.0,19.0,2.0,10.0,13.0,0.0,33.0,1.0,10.0,1.0,20.0,0.0,0.0,0.0
5,1110840294.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,4.0,0.0,3.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,8.0,0.0,3.0,0.0,27.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,4.0,0.0,5.0,0.0,0.0,21.0,4.0,1.0,1.0,19.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,21.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,21.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
6,111901848.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7,1152629341.0,1.0,10.0,58.0,13.0,3.0,0.0,0.0,32.0,0.0,18.0,0.0,92.0,2.0,6.0,54.0,12.0,5.0,91.0,1.0,5.0,2.0,3.0,20.0,37.0,3.0,12.0,8.0,19.0,25.0,80.0,10.0,0.0,42.0,1.0,65.0,0.0,0.0,97.0,48.0,29.0,0.0,11.0,13.0,22.0,15.0,2.0,66.0,0.0,2.0,8.0,16.0,24.0,10.0,5.0,24.0,2.0,16.0,43.0,46.0,0.0,27.0,0.0,9.0,107.0,0.0,9.0,6.0,0.0,18.0,2.0,2.0,12.0,37.0,9.0,4.0,1.0,75.0,0.0,3.0,38.0,3.0,4.0,1.0,18.0,0.0,1.0,12.0,15.0,1.0,7.0,172.0,21.0,5.0,21.0,23.0,0.0,75.0,2.0,4.0,9.0,5.0,5.0,18.0,1.0,38.0,2.0,1.0,5.0,1.0,30.0,35.0,25.0,0.0,0.0,40.0,10.0,32.0,38.0,13.0,32.0,4.0,12.0,2.0,6.0,17.0,2.0,28.0,51.0,54.0,43.0,55.0,42.0,10.0,1.0,35.0,59.0,9.0,23.0,19.0,9.0,16.0,10.0,74.0,27.0,76.0,37.0,32.0,110.0,5.0,19.0,6.0,1.0,1.0,8.0,3.0,4.0,26.0,1.0,34.0,9.0,27.0,28.0,0.0,103.0,1.0,24.0,3.0,26.0,0.0,0.0,0.0
8,116503509.0,1.0,11.0,32.0,15.0,1.0,1.0,32.0,0.0,0.0,13.0,0.0,30.0,0.0,2.0,14.0,10.0,0.0,31.0,0.0,5.0,0.0,4.0,11.0,11.0,0.0,5.0,1.0,8.0,12.0,35.0,6.0,1.0,11.0,1.0,34.0,0.0,0.0,41.0,19.0,12.0,0.0,5.0,7.0,16.0,8.0,2.0,16.0,2.0,4.0,0.0,6.0,10.0,7.0,3.0,10.0,2.0,5.0,14.0,30.0,0.0,7.0,0.0,3.0,34.0,0.0,5.0,2.0,0.0,7.0,2.0,0.0,7.0,15.0,11.0,1.0,1.0,40.0,0.0,0.0,18.0,0.0,0.0,0.0,5.0,0.0,2.0,7.0,2.0,1.0,8.0,53.0,10.0,0.0,15.0,8.0,0.0,25.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,13.0,1.0,0.0,0.0,0.0,12.0,20.0,11.0,0.0,0.0,29.0,1.0,16.0,10.0,14.0,15.0,0.0,6.0,0.0,7.0,3.0,0.0,17.0,25.0,20.0,16.0,32.0,18.0,6.0,0.0,19.0,19.0,8.0,8.0,13.0,4.0,6.0,6.0,24.0,11.0,30.0,22.0,27.0,52.0,2.0,7.0,5.0,1.0,0.0,5.0,4.0,0.0,10.0,2.0,17.0,2.0,11.0,14.0,0.0,43.0,1.0,9.0,1.0,13.0,0.0,0.0,0.0
9,117683777.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
