,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,-1.0,1168806410.0,132095476.0,1454020356.0,159210564.0,1711019947.0,202921347.0,2419028840.0,2690326160.0,2724631214.0,2752498194.0,2786928739.0,2950301492.0,30860019.0,3220374884.0,325610106.0,409241975.0,425649742.0,4574311770.0,500665182.0,7.184282798336369e+17,7.89343365515051e+17,7.985419742108918e+17,8.206789392701194e+17,8.664708942347756e+17,9.056782487967662e+17,9.537605663544934e+17,9.571327361619681e+17
1,1168806410.0,0.0,4.0,9.0,15.0,2.0,5.0,17.0,6.0,34.0,22.0,1.0,7.0,31.0,1.0,39.0,17.0,24.0,62.0,19.0,363.0,48.0,14.0,0.0,20.0,0.0,30.0,3.0
2,132095476.0,4.0,0.0,4.0,0.0,5.0,0.0,4.0,0.0,2.0,4.0,1.0,6.0,0.0,0.0,10.0,0.0,4.0,0.0,3.0,15.0,4.0,1.0,0.0,4.0,0.0,2.0,0.0
3,1454020356.0,9.0,4.0,0.0,1.0,10.0,1.0,42.0,8.0,3.0,9.0,12.0,9.0,6.0,15.0,27.0,0.0,21.0,3.0,4.0,41.0,31.0,4.0,1.0,29.0,0.0,11.0,5.0
4,159210564.0,15.0,0.0,1.0,0.0,1.0,3.0,6.0,0.0,7.0,2.0,1.0,0.0,6.0,2.0,7.0,1.0,10.0,15.0,4.0,33.0,4.0,2.0,0.0,7.0,0.0,4.0,2.0
5,1711019947.0,2.0,5.0,10.0,1.0,0.0,0.0,25.0,7.0,2.0,9.0,2.0,14.0,1.0,4.0,43.0,0.0,18.0,1.0,13.0,51.0,15.0,31.0,2.0,16.0,0.0,11.0,5.0
6,202921347.0,5.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,2.0,3.0,2.0,13.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0
7,2419028840.0,17.0,4.0,42.0,6.0,25.0,1.0,0.0,49.0,6.0,27.0,108.0,34.0,10.0,64.0,78.0,1.0,45.0,6.0,24.0,103.0,122.0,22.0,4.0,110.0,1.0,30.0,16.0
8,2690326160.0,6.0,0.0,8.0,0.0,7.0,1.0,49.0,0.0,2.0,12.0,31.0,18.0,5.0,14.0,38.0,1.0,39.0,8.0,10.0,54.0,37.0,21.0,3.0,82.0,0.0,27.0,13.0
9,2724631214.0,34.0,2.0,3.0,7.0,2.0,1.0,6.0,2.0,0.0,6.0,1.0,0.0,4.0,1.0,14.0,14.0,9.0,10.0,3.0,74.0,13.0,4.0,0.0,9.0,0.0,6.0,0.0
10,2752498194.0,22.0,4.0,9.0,2.0,9.0,0.0,27.0,12.0,6.0,0.0,4.0,83.0,7.0,5.0,78.0,0.0,23.0,9.0,37.0,84.0,32.0,17.0,2.0,34.0,0.0,25.0,9.0
11,2786928739.0,1.0,1.0,12.0,1.0,2.0,0.0,108.0,31.0,1.0,4.0,0.0,3.0,2.0,69.0,11.0,0.0,13.0,3.0,3.0,17.0,89.0,2.0,3.0,73.0,0.0,8.0,6.0
12,2950301492.0,7.0,6.0,9.0,0.0,14.0,0.0,34.0,18.0,0.0,83.0,3.0,0.0,4.0,6.0,174.0,0.0,35.0,1.0,68.0,95.0,37.0,20.0,4.0,48.0,0.0,28.0,10.0
13,30860019.0,31.0,0.0,6.0,6.0,1.0,1.0,10.0,5.0,4.0,7.0,2.0,4.0,0.0,0.0,22.0,7.0,14.0,17.0,8.0,80.0,14.0,10.0,2.0,9.0,1.0,15.0,3.0
14,3220374884.0,1.0,0.0,15.0,2.0,4.0,0.0,64.0,14.0,1.0,5.0,69.0,6.0,0.0,0.0,12.0,0.0,17.0,1.0,3.0,17.0,56.0,5.0,3.0,51.0,0.0,9.0,8.0
15,325610106.0,39.0,10.0,27.0,7.0,43.0,5.0,78.0,38.0,14.0,78.0,11.0,174.0,22.0,12.0,0.0,5.0,80.0,11.0,89.0,291.0,90.0,43.0,6.0,99.0,0.0,70.0,21.0
16,409241975.0,17.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,14.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,4.0,0.0,41.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
