,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
0,-1.0,100012790.0,100545652.0,101714446.0,103791628.0,1081213921.0,1084925311.0,114444486.0,117839377.0,11907542.0,132037287.0,139795953.0,145535500.0,1572975829.0,1623238100.0,1664041106.0,1688754036.0,1693000988.0,17481929.0,183970675.0,18864666.0,19245814.0,1956886015.0,20306005.0,2181707419.0,218748137.0,2279028352.0,2288101506.0,233590866.0,24321756.0,2534372124.0,2695353296.0,272367319.0,2736229391.0,2785808918.0,2787559124.0,283060898.0,2864877319.0,2917634087.0,29388282.0,2987014292.0,3060993466.0,3102697892.0,3106953674.0,3165067362.0,3199880931.0,3224841817.0,3286260847.0,3289026890.0,3292442355.0,3299791117.0,33111520.0,354921752.0,35511546.0,36388063.0,366098196.0,3726466940.0,380162721.0,3847769958.0,395403887.0,3999676762.0,40673542.0,4165172593.0,418419130.0,4207660557.0,4366085354.0,43702409.0,4518693252.0,4552531032.0,4630068306.0,4743950912.0,492321808.0,492790630.0,504720596.0,510442496.0,550382928.0,55518713.0,56765016.0,57283072.0,59399169.0,62766520.0,63513043.0,65885323.0,67593879.0,7.016366061474734e+17,7.056856698306314e+17,740770292.0,7.417371369787269e+17,75245154.0,7.58275652621525e+17,81800868.0,8.231487699193324e+17,8.304443215183176e+17,842560730.0,848821279.0,86055919.0,8.69509840514687e+17,8.960571693379625e+17,9.224278839638917e+17,9.288970096662938e+17,9.333614006671852e+17,943230524.0,9.453778214377308e+17,9.46409253610197e+17
1,100012790.0,0.0,44.0,25.0,96.0,2.0,27.0,10.0,15.0,0.0,17.0,60.0,4.0,21.0,1.0,11.0,24.0,5.0,0.0,42.0,18.0,3.0,1.0,72.0,1.0,2.0,4.0,10.0,16.0,0.0,10.0,16.0,0.0,3.0,1.0,5.0,11.0,7.0,1.0,12.0,29.0,1.0,7.0,28.0,9.0,1.0,4.0,4.0,25.0,10.0,18.0,12.0,41.0,0.0,0.0,6.0,7.0,4.0,28.0,7.0,0.0,38.0,43.0,41.0,17.0,1.0,2.0,1.0,9.0,61.0,22.0,2.0,6.0,0.0,19.0,2.0,14.0,36.0,9.0,55.0,4.0,5.0,15.0,90.0,2.0,7.0,6.0,22.0,6.0,16.0,4.0,5.0,4.0,8.0,0.0,14.0,5.0,7.0,4.0,0.0,1.0,86.0,4.0,5.0
2,100545652.0,44.0,0.0,19.0,47.0,2.0,13.0,9.0,9.0,0.0,16.0,41.0,3.0,21.0,0.0,6.0,22.0,3.0,0.0,24.0,19.0,1.0,1.0,56.0,0.0,0.0,2.0,6.0,21.0,0.0,7.0,6.0,0.0,1.0,0.0,8.0,12.0,4.0,1.0,5.0,23.0,0.0,7.0,17.0,4.0,0.0,1.0,3.0,24.0,22.0,13.0,15.0,38.0,0.0,1.0,3.0,1.0,1.0,25.0,7.0,0.0,21.0,25.0,34.0,7.0,0.0,0.0,0.0,3.0,44.0,13.0,2.0,3.0,0.0,13.0,2.0,11.0,21.0,13.0,36.0,4.0,6.0,8.0,58.0,0.0,1.0,5.0,10.0,3.0,7.0,4.0,3.0,3.0,8.0,1.0,13.0,5.0,1.0,0.0,0.0,0.0,61.0,2.0,2.0
3,101714446.0,25.0,19.0,0.0,35.0,0.0,20.0,16.0,17.0,1.0,14.0,53.0,24.0,28.0,0.0,10.0,30.0,6.0,0.0,38.0,28.0,3.0,1.0,65.0,0.0,1.0,2.0,9.0,28.0,0.0,14.0,11.0,0.0,5.0,1.0,13.0,18.0,5.0,1.0,7.0,24.0,3.0,11.0,7.0,3.0,0.0,2.0,1.0,22.0,19.0,12.0,20.0,36.0,0.0,0.0,5.0,4.0,6.0,21.0,14.0,0.0,29.0,30.0,43.0,9.0,0.0,4.0,0.0,3.0,44.0,11.0,2.0,4.0,2.0,19.0,2.0,24.0,25.0,23.0,47.0,13.0,100.0,10.0,51.0,5.0,4.0,8.0,11.0,10.0,12.0,5.0,4.0,6.0,9.0,3.0,23.0,6.0,7.0,1.0,0.0,0.0,57.0,3.0,6.0
4,103791628.0,96.0,47.0,35.0,0.0,28.0,26.0,13.0,27.0,2.0,98.0,86.0,5.0,52.0,1.0,13.0,43.0,7.0,0.0,50.0,64.0,4.0,2.0,102.0,2.0,1.0,6.0,10.0,35.0,0.0,12.0,23.0,0.0,5.0,1.0,23.0,20.0,9.0,2.0,17.0,34.0,2.0,6.0,35.0,10.0,1.0,4.0,5.0,36.0,47.0,28.0,35.0,94.0,0.0,3.0,6.0,8.0,17.0,38.0,16.0,1.0,42.0,50.0,60.0,19.0,1.0,5.0,1.0,11.0,85.0,32.0,3.0,6.0,2.0,19.0,3.0,18.0,49.0,42.0,82.0,24.0,15.0,21.0,119.0,2.0,10.0,8.0,26.0,15.0,15.0,6.0,6.0,5.0,13.0,3.0,22.0,15.0,8.0,5.0,0.0,1.0,198.0,3.0,7.0
5,1081213921.0,2.0,2.0,0.0,28.0,0.0,0.0,1.0,0.0,0.0,18.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
6,1084925311.0,27.0,13.0,20.0,26.0,0.0,0.0,6.0,4.0,0.0,7.0,25.0,2.0,12.0,57.0,135.0,144.0,46.0,0.0,33.0,20.0,43.0,54.0,25.0,18.0,4.0,31.0,4.0,13.0,0.0,84.0,9.0,0.0,74.0,23.0,24.0,7.0,89.0,67.0,1.0,202.0,45.0,95.0,50.0,6.0,3.0,24.0,64.0,12.0,8.0,8.0,5.0,25.0,0.0,0.0,113.0,2.0,1.0,175.0,5.0,0.0,18.0,191.0,38.0,148.0,11.0,0.0,34.0,96.0,250.0,137.0,58.0,63.0,0.0,113.0,1.0,26.0,15.0,11.0,26.0,11.0,10.0,6.0,38.0,32.0,5.0,80.0,11.0,2.0,134.0,18.0,66.0,64.0,4.0,0.0,12.0,4.0,122.0,59.0,0.0,6.0,48.0,10.0,63.0
7,114444486.0,10.0,9.0,16.0,13.0,1.0,6.0,0.0,7.0,1.0,3.0,18.0,3.0,20.0,0.0,7.0,13.0,4.0,0.0,18.0,22.0,4.0,0.0,16.0,0.0,1.0,2.0,5.0,21.0,0.0,9.0,4.0,0.0,1.0,3.0,11.0,21.0,1.0,0.0,0.0,12.0,1.0,6.0,4.0,1.0,0.0,1.0,1.0,15.0,21.0,6.0,7.0,22.0,0.0,0.0,2.0,3.0,0.0,9.0,5.0,0.0,14.0,13.0,10.0,6.0,0.0,0.0,0.0,1.0,19.0,7.0,2.0,3.0,1.0,8.0,2.0,7.0,9.0,21.0,17.0,7.0,8.0,1.0,16.0,3.0,1.0,3.0,3.0,5.0,7.0,2.0,2.0,3.0,4.0,0.0,11.0,7.0,3.0,0.0,0.0,0.0,26.0,1.0,4.0
8,117839377.0,15.0,9.0,17.0,27.0,0.0,4.0,7.0,0.0,1.0,22.0,22.0,1.0,44.0,0.0,2.0,14.0,1.0,0.0,9.0,22.0,2.0,0.0,18.0,0.0,0.0,0.0,1.0,13.0,0.0,4.0,4.0,0.0,1.0,0.0,9.0,9.0,1.0,0.0,7.0,6.0,0.0,2.0,4.0,1.0,0.0,1.0,1.0,15.0,11.0,5.0,6.0,20.0,0.0,0.0,2.0,1.0,3.0,4.0,5.0,0.0,12.0,6.0,10.0,3.0,0.0,4.0,0.0,0.0,16.0,1.0,1.0,1.0,0.0,6.0,1.0,8.0,7.0,11.0,26.0,42.0,7.0,4.0,19.0,0.0,2.0,1.0,1.0,7.0,3.0,2.0,0.0,0.0,9.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,42.0,1.0,1.0
9,11907542.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,5.0,0.0,0.0,3.0,0.0,0.0,1.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
