,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161
0,-1.0,1002225042.0,102186058.0,1087176728.0,1118577432.0,1167863016.0,1223174155.0,1261759800.0,1272453266.0,136604986.0,1507413750.0,1594760894.0,1668298164.0,1676697302.0,170143736.0,1731081126.0,18762637.0,201995037.0,218032656.0,2264868652.0,2289999739.0,2391473427.0,2493213433.0,2614574379.0,2629306048.0,2656704750.0,2728688695.0,2770551727.0,2802126473.0,2928562202.0,2988073705.0,3050608426.0,3187093457.0,3228462052.0,3235593308.0,3238578372.0,325109433.0,3298016058.0,3304834814.0,3309288841.0,3331600311.0,3402669803.0,3454610413.0,3663874516.0,3702241994.0,3948024891.0,40826310.0,4169333177.0,429311284.0,4678586833.0,4806395114.0,4872175065.0,562227281.0,56325848.0,617432148.0,65929816.0,66035277.0,67775967.0,6.962848462100972e+17,712655029.0,7.149492253736387e+17,7.219685845371658e+17,7.242852191849759e+17,7.329379326513029e+17,7.330086175913452e+17,742273441.0,7.473559465574195e+17,7.487687397477294e+17,7.539618062304543e+17,7.653591673977774e+17,7.740804349887857e+17,7.771301558692823e+17,7.869291733862318e+17,7.890589525835203e+17,7.965473808458752e+17,8.0173327952316e+17,8.071736962677473e+17,8.149139155785236e+17,8.171914452577976e+17,8.184588261060157e+17,8.20486478446805e+17,8.29794443712725e+17,83040951.0,8.31171594169045e+17,8.333435583336571e+17,8.3756187471138e+17,8.463212558632755e+17,8.483609870779146e+17,8.552235269236572e+17,8.553241357060792e+17,8.593898415402394e+17,8.597006258602107e+17,8.600312234224763e+17,8.604748955238728e+17,8.610263923975537e+17,8.620978432253788e+17,8.662976258420326e+17,8.664342911981855e+17,8.693701391745925e+17,8.717134482324849e+17,8.722633632580485e+17,8.844108285307003e+17,8.865620746415186e+17,888213542.0,8.89080716117631e+17,8.902369923902218e+17,8.949014632892867e+17,9.005794521191547e+17,9.02843975366783e+17,9.066404329430794e+17,9.096649516142223e+17,9.101789088086385e+17,9.127079801430876e+17,9.13166887718187e+17,9.156357094567404e+17,9.17036796676137e+17,9.175085148887818e+17,9.188543187191071e+17,919238756.0,9.20093293601366e+17,9.210142606285701e+17,9.210417238448046e+17,9.211660764817572e+17,9.23273657304019e+17,9.241174826878157e+17,9.242112583746765e+17,9.257381049877586e+17,9.269035645128049e+17,9.327348006576087e+17,9.328439497896264e+17,9.357506122134856e+17,9.365222912774758e+17,9.37565587953406e+17,9.383248382503526e+17,9.385361767130726e+17,9.428362198592553e+17,9.498389350306857e+17,9.498559716517478e+17,950232811.0,9.504433209998991e+17,9.516424603751465e+17,9.532608563384074e+17,9.542270780139766e+17,9.547177768447672e+17,9.547485171715154e+17,9.56869467094401e+17,9.589856586677371e+17,9.593518758279905e+17,9.59749039737598e+17,9.601163947412193e+17,9.603164330403963e+17,9.605226700005417e+17,9.608920751841812e+17,9.611410233082061e+17,9.615635627947336e+17,9.619072198884475e+17,9.62692820380287e+17,9.633316442026353e+17,9.63597230530859e+17,9.667282049363476e+17,9.677647597214024e+17,9.677830807390536e+17
1,1002225042.0,0.0,16.0,11.0,11.0,16.0,21.0,10.0,21.0,12.0,11.0,16.0,17.0,7.0,21.0,3.0,17.0,8.0,13.0,8.0,15.0,23.0,17.0,4.0,23.0,16.0,12.0,4.0,12.0,4.0,14.0,15.0,6.0,12.0,14.0,10.0,21.0,33.0,11.0,9.0,18.0,40.0,14.0,13.0,5.0,11.0,5.0,17.0,7.0,12.0,11.0,13.0,0.0,21.0,4.0,13.0,9.0,13.0,8.0,17.0,17.0,19.0,24.0,25.0,12.0,12.0,4.0,9.0,7.0,17.0,24.0,17.0,13.0,9.0,7.0,28.0,13.0,21.0,19.0,10.0,4.0,14.0,17.0,5.0,18.0,9.0,18.0,6.0,9.0,14.0,22.0,9.0,9.0,0.0,18.0,10.0,13.0,15.0,12.0,3.0,4.0,6.0,4.0,8.0,19.0,16.0,10.0,26.0,0.0,10.0,0.0,19.0,7.0,11.0,16.0,24.0,17.0,23.0,11.0,10.0,5.0,7.0,3.0,9.0,5.0,6.0,26.0,13.0,11.0,7.0,20.0,7.0,26.0,20.0,3.0,11.0,5.0,7.0,16.0,0.0,12.0,7.0,10.0,7.0,1.0,3.0,22.0,4.0,3.0,7.0,4.0,4.0,7.0,13.0,2.0,10.0,2.0,20.0,18.0,4.0,0.0,2.0
2,102186058.0,16.0,0.0,10.0,12.0,21.0,61.0,10.0,31.0,22.0,15.0,36.0,29.0,8.0,65.0,1.0,23.0,10.0,24.0,12.0,19.0,38.0,27.0,11.0,48.0,33.0,12.0,5.0,20.0,8.0,14.0,15.0,3.0,15.0,22.0,17.0,72.0,39.0,10.0,10.0,34.0,52.0,10.0,18.0,6.0,23.0,6.0,25.0,16.0,14.0,16.0,33.0,0.0,59.0,4.0,25.0,9.0,18.0,9.0,24.0,35.0,25.0,25.0,48.0,21.0,20.0,4.0,13.0,12.0,31.0,88.0,22.0,25.0,17.0,10.0,34.0,18.0,24.0,12.0,14.0,6.0,15.0,25.0,6.0,24.0,11.0,25.0,8.0,6.0,14.0,20.0,10.0,25.0,0.0,29.0,15.0,16.0,16.0,16.0,6.0,4.0,12.0,9.0,12.0,24.0,34.0,11.0,38.0,0.0,13.0,0.0,35.0,8.0,18.0,22.0,56.0,28.0,92.0,15.0,21.0,5.0,7.0,3.0,14.0,7.0,6.0,76.0,27.0,37.0,10.0,24.0,7.0,84.0,68.0,4.0,19.0,6.0,5.0,32.0,0.0,16.0,15.0,13.0,11.0,1.0,5.0,33.0,5.0,5.0,7.0,3.0,6.0,8.0,19.0,5.0,12.0,2.0,65.0,27.0,15.0,0.0,5.0
3,1087176728.0,11.0,10.0,0.0,8.0,27.0,61.0,5.0,40.0,27.0,14.0,99.0,17.0,12.0,38.0,4.0,23.0,12.0,7.0,10.0,11.0,31.0,11.0,10.0,48.0,25.0,24.0,3.0,14.0,8.0,10.0,33.0,7.0,55.0,16.0,30.0,46.0,70.0,19.0,9.0,21.0,115.0,9.0,8.0,10.0,18.0,5.0,18.0,10.0,19.0,20.0,27.0,2.0,32.0,4.0,11.0,10.0,38.0,6.0,25.0,21.0,14.0,59.0,42.0,16.0,21.0,6.0,11.0,13.0,17.0,52.0,10.0,22.0,24.0,4.0,78.0,12.0,52.0,12.0,10.0,7.0,14.0,26.0,3.0,57.0,10.0,23.0,7.0,5.0,30.0,20.0,24.0,16.0,0.0,43.0,11.0,19.0,18.0,12.0,11.0,10.0,8.0,7.0,38.0,51.0,24.0,19.0,27.0,1.0,13.0,0.0,28.0,11.0,9.0,23.0,38.0,17.0,38.0,20.0,24.0,7.0,4.0,3.0,16.0,5.0,3.0,39.0,13.0,7.0,4.0,33.0,3.0,34.0,34.0,5.0,17.0,3.0,9.0,41.0,0.0,9.0,11.0,21.0,8.0,1.0,5.0,33.0,7.0,5.0,6.0,6.0,3.0,9.0,11.0,2.0,11.0,3.0,57.0,23.0,16.0,0.0,3.0
4,1118577432.0,11.0,12.0,8.0,0.0,14.0,24.0,6.0,16.0,13.0,15.0,19.0,11.0,7.0,12.0,4.0,11.0,6.0,10.0,9.0,13.0,17.0,13.0,3.0,19.0,15.0,12.0,3.0,14.0,4.0,8.0,13.0,3.0,14.0,12.0,11.0,12.0,21.0,8.0,7.0,13.0,22.0,7.0,9.0,6.0,9.0,4.0,14.0,5.0,12.0,10.0,18.0,0.0,16.0,4.0,10.0,10.0,14.0,10.0,16.0,14.0,12.0,12.0,18.0,13.0,12.0,4.0,9.0,8.0,14.0,17.0,10.0,10.0,9.0,9.0,17.0,13.0,13.0,11.0,9.0,7.0,7.0,12.0,4.0,14.0,11.0,9.0,6.0,6.0,9.0,12.0,9.0,10.0,0.0,20.0,8.0,14.0,11.0,10.0,3.0,4.0,6.0,5.0,8.0,12.0,14.0,9.0,18.0,1.0,11.0,0.0,16.0,8.0,9.0,13.0,15.0,14.0,18.0,8.0,8.0,5.0,6.0,3.0,8.0,5.0,5.0,14.0,17.0,7.0,11.0,9.0,6.0,19.0,17.0,2.0,10.0,5.0,6.0,14.0,0.0,11.0,8.0,11.0,5.0,1.0,2.0,16.0,5.0,3.0,8.0,2.0,4.0,7.0,9.0,2.0,8.0,2.0,17.0,15.0,6.0,0.0,2.0
5,1167863016.0,16.0,21.0,27.0,14.0,0.0,90.0,12.0,39.0,36.0,22.0,59.0,20.0,15.0,38.0,15.0,25.0,14.0,15.0,17.0,30.0,31.0,22.0,6.0,79.0,62.0,25.0,4.0,31.0,6.0,19.0,32.0,4.0,15.0,27.0,10.0,63.0,87.0,10.0,18.0,31.0,118.0,15.0,13.0,7.0,27.0,5.0,29.0,8.0,29.0,22.0,33.0,0.0,43.0,3.0,26.0,14.0,30.0,9.0,18.0,34.0,26.0,67.0,65.0,32.0,43.0,13.0,15.0,24.0,19.0,60.0,14.0,36.0,14.0,7.0,69.0,14.0,61.0,27.0,15.0,15.0,13.0,45.0,4.0,48.0,21.0,35.0,8.0,7.0,22.0,29.0,14.0,14.0,0.0,44.0,12.0,24.0,15.0,25.0,4.0,9.0,11.0,8.0,11.0,58.0,27.0,16.0,58.0,0.0,32.0,0.0,43.0,6.0,21.0,30.0,54.0,49.0,63.0,25.0,31.0,5.0,9.0,3.0,30.0,17.0,6.0,59.0,35.0,21.0,7.0,48.0,7.0,70.0,56.0,4.0,11.0,5.0,7.0,50.0,0.0,35.0,12.0,15.0,10.0,1.0,7.0,55.0,12.0,7.0,14.0,7.0,5.0,7.0,16.0,2.0,15.0,2.0,63.0,39.0,10.0,0.0,3.0
6,1223174155.0,21.0,61.0,61.0,24.0,90.0,0.0,16.0,107.0,89.0,22.0,158.0,59.0,27.0,162.0,18.0,73.0,66.0,33.0,51.0,48.0,122.0,62.0,13.0,281.0,182.0,64.0,9.0,131.0,13.0,31.0,110.0,5.0,63.0,176.0,49.0,300.0,302.0,25.0,38.0,109.0,535.0,19.0,30.0,18.0,69.0,14.0,87.0,18.0,41.0,66.0,86.0,0.0,125.0,7.0,81.0,21.0,103.0,12.0,43.0,89.0,64.0,171.0,144.0,115.0,164.0,9.0,30.0,42.0,63.0,250.0,41.0,161.0,55.0,11.0,282.0,58.0,216.0,39.0,70.0,24.0,22.0,78.0,9.0,138.0,102.0,100.0,15.0,11.0,68.0,51.0,74.0,47.0,0.0,117.0,43.0,71.0,39.0,99.0,31.0,34.0,30.0,11.0,56.0,183.0,89.0,42.0,148.0,0.0,51.0,0.0,113.0,28.0,41.0,107.0,185.0,86.0,227.0,120.0,101.0,11.0,15.0,3.0,84.0,28.0,6.0,223.0,68.0,31.0,19.0,128.0,13.0,384.0,173.0,8.0,43.0,9.0,8.0,121.0,0.0,29.0,60.0,69.0,24.0,1.0,24.0,140.0,21.0,21.0,10.0,22.0,6.0,16.0,41.0,7.0,58.0,3.0,234.0,100.0,83.0,0.0,5.0
7,1261759800.0,10.0,10.0,5.0,6.0,12.0,16.0,0.0,7.0,13.0,8.0,19.0,10.0,7.0,10.0,6.0,8.0,7.0,4.0,7.0,13.0,14.0,7.0,5.0,24.0,14.0,6.0,4.0,9.0,5.0,7.0,8.0,3.0,7.0,8.0,5.0,20.0,16.0,4.0,5.0,11.0,21.0,9.0,7.0,4.0,9.0,4.0,7.0,4.0,11.0,7.0,7.0,0.0,11.0,4.0,9.0,6.0,7.0,6.0,6.0,11.0,7.0,12.0,23.0,7.0,9.0,4.0,8.0,7.0,13.0,14.0,8.0,8.0,8.0,5.0,11.0,8.0,10.0,14.0,6.0,11.0,7.0,13.0,3.0,12.0,7.0,9.0,8.0,5.0,6.0,15.0,6.0,7.0,0.0,13.0,6.0,9.0,6.0,7.0,3.0,4.0,5.0,5.0,3.0,14.0,9.0,7.0,43.0,0.0,13.0,0.0,10.0,5.0,9.0,9.0,14.0,14.0,18.0,7.0,7.0,4.0,6.0,3.0,8.0,6.0,5.0,13.0,14.0,9.0,5.0,7.0,6.0,12.0,16.0,3.0,7.0,4.0,4.0,11.0,0.0,14.0,8.0,7.0,7.0,1.0,3.0,14.0,5.0,5.0,8.0,5.0,3.0,6.0,9.0,3.0,8.0,2.0,18.0,14.0,4.0,0.0,3.0
8,1272453266.0,21.0,31.0,40.0,16.0,39.0,107.0,7.0,0.0,45.0,34.0,167.0,21.0,24.0,71.0,10.0,35.0,11.0,21.0,13.0,41.0,56.0,34.0,6.0,113.0,52.0,49.0,4.0,33.0,9.0,24.0,48.0,10.0,33.0,43.0,36.0,94.0,157.0,24.0,18.0,32.0,183.0,19.0,17.0,9.0,23.0,7.0,46.0,17.0,22.0,44.0,53.0,3.0,66.0,7.0,35.0,17.0,55.0,9.0,32.0,57.0,31.0,71.0,91.0,40.0,41.0,7.0,14.0,20.0,34.0,92.0,23.0,41.0,27.0,10.0,103.0,20.0,68.0,20.0,20.0,10.0,15.0,40.0,7.0,91.0,27.0,30.0,6.0,9.0,30.0,51.0,33.0,35.0,0.0,99.0,20.0,34.0,32.0,26.0,12.0,7.0,15.0,4.0,30.0,104.0,43.0,20.0,74.0,3.0,40.0,0.0,59.0,16.0,33.0,35.0,82.0,57.0,99.0,25.0,51.0,6.0,7.0,3.0,24.0,7.0,7.0,87.0,30.0,16.0,14.0,68.0,7.0,91.0,62.0,5.0,28.0,6.0,21.0,53.0,0.0,25.0,13.0,23.0,12.0,1.0,5.0,92.0,18.0,6.0,10.0,5.0,4.0,10.0,18.0,3.0,10.0,2.0,101.0,45.0,18.0,0.0,3.0
9,136604986.0,12.0,22.0,27.0,13.0,36.0,89.0,13.0,45.0,0.0,16.0,61.0,20.0,17.0,23.0,15.0,20.0,9.0,17.0,13.0,29.0,39.0,18.0,5.0,54.0,35.0,25.0,5.0,35.0,5.0,11.0,21.0,4.0,44.0,33.0,29.0,39.0,75.0,14.0,15.0,21.0,113.0,11.0,18.0,12.0,15.0,11.0,25.0,13.0,26.0,14.0,33.0,3.0,49.0,5.0,18.0,10.0,55.0,8.0,31.0,22.0,19.0,53.0,43.0,16.0,31.0,7.0,9.0,6.0,23.0,44.0,21.0,37.0,27.0,10.0,68.0,22.0,33.0,21.0,12.0,17.0,11.0,22.0,7.0,35.0,18.0,19.0,12.0,6.0,16.0,17.0,28.0,16.0,0.0,30.0,17.0,43.0,14.0,24.0,11.0,4.0,13.0,5.0,28.0,28.0,33.0,12.0,46.0,2.0,24.0,0.0,33.0,15.0,16.0,26.0,35.0,26.0,46.0,26.0,23.0,4.0,8.0,3.0,18.0,9.0,5.0,26.0,30.0,13.0,12.0,16.0,11.0,39.0,41.0,2.0,28.0,6.0,5.0,39.0,0.0,16.0,16.0,28.0,10.0,1.0,2.0,40.0,6.0,5.0,9.0,6.0,5.0,19.0,13.0,3.0,8.0,2.0,66.0,24.0,15.0,0.0,3.0
