,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,-1.0,1400995633.0,1581877201.0,1585220868.0,173782076.0,1884113215.0,2315500970.0,2563913784.0,2874359759.0,2949500547.0,3022699841.0,3298000397.0,3437964905.0,4604990654.0,560795644.0,7.338199632411566e+17,7.815160554790175e+17,7.913134495318917e+17,7.920723463540244e+17,8.59714128277e+17,8.267279133785743e+17,8.329633189314028e+17,8.356490747327898e+17,8.417560166309437e+17,8.43924502568362e+17,8.485447938441667e+17,8.500442048228024e+17,8.518070971507794e+17,8.613401902453105e+17,864157705.0,8.68505830173356e+17,9.15538766151979e+17,9.192714014750024e+17,9.216766457312051e+17,9.216821936839639e+17,9.233801245101425e+17,9.259004471851008e+17,9.323942673555497e+17,9.34107527767298e+17,9.506353031983145e+17,9.59533511085568e+17
1,1400995633.0,0.0,6.0,8.0,8.0,5.0,8.0,8.0,10.0,8.0,9.0,8.0,7.0,7.0,6.0,7.0,4.0,10.0,8.0,0.0,4.0,9.0,11.0,6.0,7.0,7.0,5.0,7.0,5.0,7.0,7.0,12.0,9.0,4.0,1.0,6.0,4.0,5.0,4.0,8.0,4.0
2,1581877201.0,6.0,0.0,41.0,11.0,10.0,39.0,9.0,24.0,19.0,16.0,6.0,16.0,12.0,16.0,27.0,38.0,21.0,13.0,0.0,15.0,18.0,20.0,10.0,44.0,18.0,15.0,23.0,23.0,11.0,16.0,13.0,15.0,4.0,1.0,10.0,10.0,24.0,32.0,5.0,7.0
3,1585220868.0,8.0,41.0,0.0,33.0,9.0,61.0,16.0,57.0,39.0,26.0,14.0,40.0,23.0,31.0,39.0,15.0,34.0,27.0,0.0,25.0,31.0,42.0,21.0,52.0,35.0,28.0,34.0,29.0,20.0,23.0,27.0,21.0,6.0,2.0,24.0,10.0,33.0,40.0,14.0,7.0
4,173782076.0,8.0,11.0,33.0,0.0,6.0,35.0,16.0,40.0,16.0,16.0,18.0,24.0,70.0,27.0,18.0,11.0,30.0,20.0,0.0,14.0,19.0,49.0,20.0,32.0,19.0,17.0,29.0,18.0,17.0,14.0,30.0,16.0,5.0,2.0,15.0,8.0,26.0,11.0,10.0,6.0
5,1884113215.0,5.0,10.0,9.0,6.0,0.0,15.0,7.0,11.0,13.0,8.0,6.0,11.0,11.0,7.0,13.0,6.0,9.0,8.0,0.0,8.0,9.0,9.0,9.0,10.0,11.0,8.0,13.0,8.0,6.0,14.0,8.0,8.0,4.0,1.0,6.0,4.0,8.0,9.0,5.0,6.0
6,2315500970.0,8.0,39.0,61.0,35.0,15.0,0.0,15.0,52.0,39.0,55.0,9.0,34.0,25.0,42.0,38.0,26.0,25.0,29.0,0.0,30.0,46.0,38.0,17.0,64.0,63.0,37.0,57.0,42.0,25.0,22.0,37.0,32.0,6.0,4.0,27.0,13.0,61.0,67.0,8.0,9.0
7,2563913784.0,8.0,9.0,16.0,16.0,7.0,15.0,0.0,12.0,12.0,12.0,4.0,12.0,10.0,8.0,10.0,5.0,13.0,10.0,0.0,7.0,14.0,20.0,12.0,16.0,11.0,9.0,13.0,11.0,7.0,9.0,10.0,11.0,5.0,2.0,10.0,6.0,8.0,7.0,5.0,5.0
8,2874359759.0,10.0,24.0,57.0,40.0,11.0,52.0,12.0,0.0,40.0,27.0,30.0,31.0,27.0,40.0,28.0,12.0,50.0,25.0,0.0,39.0,24.0,58.0,27.0,60.0,32.0,24.0,32.0,33.0,69.0,37.0,25.0,29.0,4.0,2.0,18.0,7.0,25.0,16.0,17.0,8.0
9,2949500547.0,8.0,19.0,39.0,16.0,13.0,39.0,12.0,40.0,0.0,12.0,13.0,26.0,24.0,19.0,29.0,11.0,24.0,17.0,0.0,13.0,23.0,25.0,18.0,34.0,22.0,17.0,26.0,20.0,19.0,19.0,19.0,21.0,5.0,2.0,16.0,9.0,16.0,11.0,12.0,8.0
10,3022699841.0,9.0,16.0,26.0,16.0,8.0,55.0,12.0,27.0,12.0,0.0,6.0,14.0,14.0,26.0,10.0,8.0,9.0,24.0,0.0,36.0,24.0,21.0,14.0,31.0,29.0,13.0,36.0,25.0,13.0,12.0,27.0,17.0,5.0,2.0,17.0,10.0,21.0,22.0,6.0,6.0
11,3298000397.0,8.0,6.0,14.0,18.0,6.0,9.0,4.0,30.0,13.0,6.0,0.0,16.0,10.0,4.0,7.0,5.0,16.0,12.0,0.0,7.0,5.0,27.0,10.0,12.0,8.0,7.0,14.0,13.0,8.0,14.0,18.0,11.0,3.0,1.0,5.0,4.0,10.0,6.0,9.0,4.0
12,3437964905.0,7.0,16.0,40.0,24.0,11.0,34.0,12.0,31.0,26.0,14.0,16.0,0.0,19.0,15.0,22.0,15.0,17.0,17.0,0.0,14.0,25.0,40.0,18.0,30.0,22.0,17.0,30.0,18.0,13.0,19.0,20.0,22.0,7.0,3.0,16.0,11.0,21.0,23.0,12.0,7.0
13,4604990654.0,7.0,12.0,23.0,70.0,11.0,25.0,10.0,27.0,24.0,14.0,10.0,19.0,0.0,15.0,15.0,8.0,14.0,12.0,0.0,8.0,17.0,17.0,16.0,20.0,16.0,12.0,21.0,13.0,14.0,17.0,15.0,18.0,4.0,1.0,11.0,10.0,16.0,8.0,9.0,7.0
14,560795644.0,6.0,16.0,31.0,27.0,7.0,42.0,8.0,40.0,19.0,26.0,4.0,15.0,15.0,0.0,15.0,13.0,11.0,13.0,0.0,20.0,27.0,10.0,16.0,34.0,21.0,16.0,18.0,15.0,17.0,14.0,16.0,18.0,4.0,1.0,18.0,9.0,21.0,15.0,6.0,6.0
15,7.338199632411566e+17,7.0,27.0,39.0,18.0,13.0,38.0,10.0,28.0,29.0,10.0,7.0,22.0,15.0,15.0,0.0,10.0,24.0,13.0,0.0,13.0,20.0,19.0,12.0,25.0,19.0,17.0,13.0,13.0,16.0,14.0,13.0,15.0,4.0,1.0,12.0,6.0,26.0,21.0,6.0,6.0
16,7.815160554790175e+17,4.0,38.0,15.0,11.0,6.0,26.0,5.0,12.0,11.0,8.0,5.0,15.0,8.0,13.0,10.0,0.0,6.0,7.0,0.0,24.0,10.0,21.0,4.0,18.0,10.0,15.0,30.0,17.0,6.0,9.0,5.0,11.0,5.0,3.0,6.0,10.0,14.0,15.0,5.0,5.0
17,7.913134495318917e+17,10.0,21.0,34.0,30.0,9.0,25.0,13.0,50.0,24.0,9.0,16.0,17.0,14.0,11.0,24.0,6.0,0.0,13.0,0.0,13.0,14.0,33.0,19.0,24.0,17.0,20.0,13.0,23.0,18.0,21.0,19.0,16.0,4.0,1.0,12.0,8.0,19.0,12.0,11.0,5.0
18,7.920723463540244e+17,8.0,13.0,27.0,20.0,8.0,29.0,10.0,25.0,17.0,24.0,12.0,17.0,12.0,13.0,13.0,7.0,13.0,0.0,0.0,14.0,19.0,33.0,13.0,26.0,21.0,12.0,24.0,25.0,9.0,12.0,20.0,23.0,6.0,2.0,19.0,9.0,17.0,13.0,11.0,6.0
19,8.59714128277e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8.267279133785743e+17,4.0,15.0,25.0,14.0,8.0,30.0,7.0,39.0,13.0,36.0,7.0,14.0,8.0,20.0,13.0,24.0,13.0,14.0,0.0,0.0,17.0,26.0,9.0,33.0,19.0,16.0,37.0,21.0,7.0,14.0,13.0,17.0,5.0,2.0,14.0,7.0,16.0,17.0,5.0,6.0
21,8.329633189314028e+17,9.0,18.0,31.0,19.0,9.0,46.0,14.0,24.0,23.0,24.0,5.0,25.0,17.0,27.0,20.0,10.0,14.0,19.0,0.0,17.0,0.0,26.0,14.0,37.0,31.0,21.0,29.0,25.0,19.0,17.0,16.0,20.0,6.0,2.0,20.0,9.0,15.0,20.0,7.0,6.0
22,8.356490747327898e+17,11.0,20.0,42.0,49.0,9.0,38.0,20.0,58.0,25.0,21.0,27.0,40.0,17.0,10.0,19.0,21.0,33.0,33.0,0.0,26.0,26.0,0.0,26.0,41.0,20.0,21.0,56.0,46.0,19.0,33.0,38.0,36.0,5.0,2.0,17.0,9.0,21.0,12.0,18.0,7.0
23,8.417560166309437e+17,6.0,10.0,21.0,20.0,9.0,17.0,12.0,27.0,18.0,14.0,10.0,18.0,16.0,16.0,12.0,4.0,19.0,13.0,0.0,9.0,14.0,26.0,0.0,20.0,13.0,10.0,18.0,13.0,11.0,15.0,17.0,15.0,4.0,1.0,12.0,6.0,12.0,6.0,11.0,8.0
24,8.43924502568362e+17,7.0,44.0,52.0,32.0,10.0,64.0,16.0,60.0,34.0,31.0,12.0,30.0,20.0,34.0,25.0,18.0,24.0,26.0,0.0,33.0,37.0,41.0,20.0,0.0,35.0,29.0,49.0,35.0,18.0,25.0,37.0,25.0,6.0,2.0,28.0,11.0,36.0,30.0,12.0,6.0
25,8.485447938441667e+17,7.0,18.0,35.0,19.0,11.0,63.0,11.0,32.0,22.0,29.0,8.0,22.0,16.0,21.0,19.0,10.0,17.0,21.0,0.0,19.0,31.0,20.0,13.0,35.0,0.0,19.0,26.0,24.0,21.0,13.0,17.0,18.0,5.0,2.0,20.0,7.0,30.0,28.0,7.0,7.0
26,8.500442048228024e+17,5.0,15.0,28.0,17.0,8.0,37.0,9.0,24.0,17.0,13.0,7.0,17.0,12.0,16.0,17.0,15.0,20.0,12.0,0.0,16.0,21.0,21.0,10.0,29.0,19.0,0.0,21.0,17.0,14.0,17.0,13.0,17.0,4.0,2.0,12.0,10.0,21.0,19.0,6.0,5.0
27,8.518070971507794e+17,7.0,23.0,34.0,29.0,13.0,57.0,13.0,32.0,26.0,36.0,14.0,30.0,21.0,18.0,13.0,30.0,13.0,24.0,0.0,37.0,29.0,56.0,18.0,49.0,26.0,21.0,0.0,41.0,12.0,17.0,27.0,43.0,5.0,2.0,22.0,9.0,29.0,23.0,12.0,8.0
28,8.613401902453105e+17,5.0,23.0,29.0,18.0,8.0,42.0,11.0,33.0,20.0,25.0,13.0,18.0,13.0,15.0,13.0,17.0,23.0,25.0,0.0,21.0,25.0,46.0,13.0,35.0,24.0,17.0,41.0,0.0,18.0,19.0,17.0,23.0,7.0,3.0,18.0,10.0,23.0,14.0,7.0,7.0
29,864157705.0,7.0,11.0,20.0,17.0,6.0,25.0,7.0,69.0,19.0,13.0,8.0,13.0,14.0,17.0,16.0,6.0,18.0,9.0,0.0,7.0,19.0,19.0,11.0,18.0,21.0,14.0,12.0,18.0,0.0,16.0,11.0,11.0,4.0,1.0,11.0,6.0,14.0,7.0,6.0,5.0
30,8.68505830173356e+17,7.0,16.0,23.0,14.0,14.0,22.0,9.0,37.0,19.0,12.0,14.0,19.0,17.0,14.0,14.0,9.0,21.0,12.0,0.0,14.0,17.0,33.0,15.0,25.0,13.0,17.0,17.0,19.0,16.0,0.0,20.0,17.0,5.0,2.0,9.0,7.0,16.0,14.0,14.0,6.0
31,9.15538766151979e+17,12.0,13.0,27.0,30.0,8.0,37.0,10.0,25.0,19.0,27.0,18.0,20.0,15.0,16.0,13.0,5.0,19.0,20.0,0.0,13.0,16.0,38.0,17.0,37.0,17.0,13.0,27.0,17.0,11.0,20.0,0.0,20.0,4.0,1.0,10.0,9.0,24.0,16.0,15.0,5.0
32,9.192714014750024e+17,9.0,15.0,21.0,16.0,8.0,32.0,11.0,29.0,21.0,17.0,11.0,22.0,18.0,18.0,15.0,11.0,16.0,23.0,0.0,17.0,20.0,36.0,15.0,25.0,18.0,17.0,43.0,23.0,11.0,17.0,20.0,0.0,5.0,2.0,15.0,10.0,18.0,9.0,8.0,7.0
33,9.216766457312051e+17,4.0,4.0,6.0,5.0,4.0,6.0,5.0,4.0,5.0,5.0,3.0,7.0,4.0,4.0,4.0,5.0,4.0,6.0,0.0,5.0,6.0,5.0,4.0,6.0,5.0,4.0,5.0,7.0,4.0,5.0,4.0,5.0,0.0,60.0,5.0,5.0,5.0,5.0,5.0,3.0
34,9.216821936839639e+17,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,60.0,0.0,2.0,3.0,2.0,3.0,2.0,1.0
35,9.233801245101425e+17,6.0,10.0,24.0,15.0,6.0,27.0,10.0,18.0,16.0,17.0,5.0,16.0,11.0,18.0,12.0,6.0,12.0,19.0,0.0,14.0,20.0,17.0,12.0,28.0,20.0,12.0,22.0,18.0,11.0,9.0,10.0,15.0,5.0,2.0,0.0,8.0,18.0,11.0,7.0,6.0
