,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186
0,-1.0,101258468.0,104585120.0,104794259.0,108558573.0,1110840294.0,111901848.0,116503509.0,118593643.0,124044755.0,128547430.0,130027649.0,1309690194.0,13203032.0,136522872.0,1372440206.0,14195753.0,142153149.0,14223083.0,14309415.0,14311121.0,1434246793.0,143686313.0,14428536.0,144468687.0,144491582.0,14451153.0,144800132.0,144988686.0,14627953.0,146900193.0,14714136.0,1481274564.0,148786408.0,149580057.0,152205174.0,155517993.0,15657091.0,158976808.0,164666306.0,164700268.0,16470319.0,1649753642.0,1665589644.0,16888802.0,169085447.0,169442205.0,16947322.0,17018645.0,173424834.0,173816060.0,175331154.0,17563718.0,176493834.0,17676091.0,181615386.0,183437799.0,188951688.0,19662889.0,206315278.0,217323941.0,218192899.0,2195669972.0,21998539.0,220299126.0,22243745.0,223721302.0,2261276785.0,2263781.0,2271712621.0,228433927.0,232037722.0,232090596.0,232788367.0,233627103.0,2349527815.0,23698329.0,237598493.0,23991729.0,2426665586.0,24728451.0,2473190790.0,25026233.0,251726691.0,2547040466.0,256882565.0,259277264.0,26199621.0,26945692.0,27177833.0,29376103.0,296053038.0,302282119.0,305455074.0,3066305700.0,3194758304.0,3297013507.0,3299264534.0,3304874354.0,342169792.0,354086889.0,361704573.0,36275643.0,363494868.0,36453220.0,371088454.0,37598805.0,377158991.0,381511998.0,38392737.0,39182840.0,396751119.0,39807785.0,399840700.0,40457158.0,41541739.0,424869429.0,42778117.0,42950646.0,43681750.0,438485176.0,4523161587.0,4677857995.0,499475087.0,519278044.0,521382536.0,52356199.0,56379334.0,578770422.0,58343094.0,58741487.0,59407094.0,59749552.0,59816517.0,60541562.0,60864604.0,614694299.0,622540432.0,62558115.0,62845902.0,62972086.0,63069724.0,63487410.0,63789515.0,63954745.0,64070520.0,64558929.0,64646984.0,64694303.0,65095945.0,65255980.0,65804084.0,66632083.0,66901823.0,68431771.0,69637046.0,70914180.0,71834922.0,72161620.0,72302410.0,72315090.0,7.23843107729494e+17,72458998.0,72480943.0,73339146.0,7.361332612487291e+17,73857971.0,75179519.0,75831901.0,77374206.0,77932548.0,79709053.0,803977189.0,80874374.0,82032959.0,82455730.0,82943260.0,84209996.0,85277860.0,85992844.0,86642928.0,86819813.0,87001050.0,89228602.0,95133471.0,95623358.0,96796467.0
1,101258468.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,8.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,3.0,2.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,4.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,8.0,7.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,7.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,37.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,104585120.0,1.0,0.0,56.0,8.0,1.0,0.0,11.0,7.0,0.0,2.0,0.0,0.0,11.0,4.0,1.0,1.0,5.0,9.0,1.0,4.0,5.0,10.0,8.0,1.0,1.0,0.0,0.0,7.0,2.0,0.0,8.0,10.0,0.0,0.0,21.0,41.0,8.0,3.0,9.0,17.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,6.0,1.0,13.0,14.0,4.0,2.0,0.0,0.0,17.0,1.0,1.0,1.0,22.0,0.0,1.0,9.0,2.0,4.0,4.0,0.0,0.0,4.0,5.0,1.0,0.0,2.0,9.0,7.0,1.0,1.0,15.0,6.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,13.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,26.0,1.0,0.0,18.0,0.0,12.0,1.0,0.0,0.0,23.0,1.0,11.0,1.0,14.0,3.0,1.0,35.0,0.0,0.0,8.0,7.0,2.0,13.0,15.0,1.0,0.0,0.0,1.0,1.0,9.0,2.0,1.0,20.0,30.0,8.0,21.0,3.0,11.0,0.0,16.0,16.0,7.0,1.0,13.0,15.0,4.0,10.0,14.0,2.0,0.0,2.0,5.0,10.0,19.0,15.0,4.0,15.0,0.0,16.0,37.0,1.0,8.0,4.0,3.0,14.0,20.0,0.0,0.0,0.0,4.0,6.0,2.0,1.0,12.0,26.0,1.0,23.0,2.0,0.0,17.0,4.0,0.0,11.0
3,104794259.0,1.0,56.0,0.0,38.0,1.0,0.0,32.0,26.0,20.0,18.0,2.0,0.0,49.0,12.0,1.0,6.0,48.0,31.0,1.0,10.0,35.0,50.0,63.0,4.0,12.0,2.0,3.0,29.0,18.0,1.0,37.0,34.0,0.0,0.0,110.0,148.0,47.0,11.0,37.0,73.0,10.0,2.0,3.0,46.0,1.0,2.0,2.0,28.0,13.0,62.0,65.0,20.0,4.0,1.0,4.0,65.0,1.0,4.0,2.0,78.0,0.0,17.0,40.0,6.0,11.0,22.0,0.0,0.0,16.0,11.0,1.0,0.0,20.0,47.0,17.0,1.0,1.0,89.0,39.0,1.0,8.0,0.0,3.0,0.0,1.0,2.0,9.0,2.0,14.0,81.0,18.0,14.0,18.0,1.0,0.0,2.0,1.0,4.0,2.0,16.0,0.0,3.0,1.0,61.0,6.0,1.0,85.0,0.0,46.0,1.0,0.0,1.0,69.0,1.0,42.0,1.0,52.0,35.0,5.0,156.0,0.0,1.0,42.0,52.0,17.0,51.0,105.0,6.0,1.0,0.0,3.0,1.0,53.0,8.0,6.0,120.0,133.0,37.0,103.0,22.0,75.0,0.0,69.0,47.0,46.0,5.0,75.0,68.0,38.0,26.0,33.0,5.0,20.0,21.0,18.0,75.0,118.0,58.0,30.0,91.0,1.0,71.0,157.0,16.0,30.0,13.0,10.0,62.0,83.0,0.0,0.0,1.0,15.0,31.0,4.0,2.0,31.0,108.0,1.0,122.0,18.0,6.0,48.0,31.0,0.0,73.0
4,108558573.0,1.0,8.0,38.0,0.0,1.0,0.0,15.0,15.0,7.0,7.0,0.0,0.0,23.0,6.0,2.0,6.0,5.0,14.0,1.0,6.0,3.0,30.0,29.0,3.0,3.0,1.0,0.0,17.0,11.0,1.0,20.0,13.0,0.0,0.0,33.0,48.0,7.0,0.0,11.0,30.0,3.0,1.0,3.0,16.0,1.0,0.0,1.0,3.0,7.0,37.0,20.0,7.0,11.0,2.0,3.0,18.0,1.0,3.0,4.0,30.0,0.0,5.0,19.0,5.0,1.0,7.0,0.0,0.0,5.0,4.0,1.0,0.0,6.0,17.0,20.0,1.0,1.0,69.0,13.0,1.0,3.0,0.0,6.0,0.0,1.0,1.0,3.0,1.0,10.0,24.0,3.0,10.0,8.0,0.0,0.0,1.0,0.0,4.0,3.0,5.0,0.0,3.0,1.0,14.0,4.0,0.0,50.0,0.0,18.0,2.0,1.0,0.0,12.0,2.0,18.0,1.0,12.0,21.0,7.0,66.0,0.0,1.0,22.0,13.0,9.0,18.0,47.0,4.0,0.0,0.0,4.0,1.0,20.0,4.0,4.0,47.0,72.0,12.0,40.0,9.0,30.0,0.0,50.0,25.0,17.0,4.0,64.0,19.0,10.0,13.0,7.0,5.0,9.0,8.0,8.0,21.0,32.0,32.0,16.0,29.0,1.0,78.0,76.0,4.0,12.0,10.0,8.0,28.0,50.0,0.0,0.0,1.0,6.0,16.0,3.0,2.0,10.0,31.0,2.0,33.0,14.0,1.0,21.0,20.0,0.0,13.0
5,1110840294.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,27.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,5.0,1.0,27.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,10.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,7.0,1.0,0.0,2.0,8.0,2.0,3.0,0.0,27.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,21.0,4.0,1.0,0.0,4.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,21.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,6.0,4.0,0.0,6.0,1.0,1.0,0.0,1.0,3.0,4.0,0.0,1.0,9.0,4.0,1.0,1.0,21.0,1.0,1.0,0.0,3.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,5.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6,111901848.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,116503509.0,1.0,11.0,32.0,15.0,1.0,1.0,0.0,13.0,5.0,10.0,0.0,0.0,23.0,5.0,1.0,4.0,8.0,16.0,2.0,11.0,11.0,16.0,38.0,3.0,5.0,1.0,3.0,8.0,6.0,1.0,11.0,15.0,0.0,1.0,34.0,41.0,19.0,6.0,7.0,21.0,16.0,1.0,2.0,16.0,2.0,2.0,0.0,8.0,6.0,22.0,21.0,10.0,0.0,3.0,3.0,14.0,2.0,5.0,2.0,30.0,0.0,7.0,14.0,4.0,3.0,7.0,0.0,0.0,5.0,2.0,1.0,0.0,7.0,15.0,11.0,2.0,1.0,40.0,18.0,2.0,0.0,1.0,5.0,0.0,1.0,0.0,5.0,1.0,5.0,26.0,6.0,8.0,9.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,0.0,4.0,0.0,18.0,3.0,0.0,23.0,0.0,13.0,1.0,0.0,2.0,9.0,3.0,12.0,2.0,20.0,11.0,3.0,43.0,0.0,1.0,9.0,10.0,14.0,15.0,44.0,6.0,0.0,1.0,1.0,1.0,15.0,7.0,3.0,35.0,25.0,20.0,37.0,16.0,32.0,1.0,28.0,21.0,18.0,6.0,21.0,19.0,19.0,8.0,8.0,4.0,9.0,6.0,11.0,24.0,30.0,22.0,10.0,36.0,1.0,27.0,52.0,2.0,7.0,5.0,8.0,19.0,20.0,0.0,2.0,1.0,6.0,16.0,3.0,2.0,11.0,41.0,1.0,43.0,8.0,1.0,13.0,13.0,0.0,17.0
8,118593643.0,0.0,7.0,26.0,15.0,1.0,0.0,13.0,0.0,3.0,17.0,1.0,1.0,19.0,7.0,0.0,1.0,17.0,19.0,1.0,5.0,6.0,35.0,29.0,3.0,4.0,2.0,1.0,22.0,18.0,1.0,14.0,14.0,0.0,1.0,34.0,80.0,24.0,2.0,14.0,29.0,12.0,1.0,5.0,21.0,1.0,0.0,1.0,13.0,7.0,32.0,25.0,12.0,0.0,1.0,3.0,14.0,1.0,3.0,2.0,22.0,0.0,3.0,13.0,6.0,1.0,9.0,0.0,0.0,8.0,2.0,1.0,0.0,4.0,41.0,13.0,0.0,0.0,52.0,40.0,0.0,7.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,9.0,32.0,1.0,10.0,15.0,0.0,0.0,3.0,1.0,2.0,1.0,14.0,0.0,3.0,1.0,13.0,3.0,1.0,38.0,0.0,17.0,1.0,1.0,0.0,13.0,1.0,11.0,0.0,7.0,49.0,3.0,95.0,0.0,2.0,14.0,10.0,14.0,15.0,94.0,4.0,0.0,1.0,0.0,0.0,21.0,7.0,2.0,76.0,127.0,9.0,49.0,14.0,32.0,0.0,28.0,11.0,13.0,5.0,77.0,18.0,17.0,10.0,12.0,1.0,34.0,16.0,8.0,33.0,49.0,41.0,24.0,67.0,1.0,32.0,59.0,2.0,11.0,6.0,9.0,64.0,79.0,0.0,0.0,1.0,4.0,16.0,2.0,2.0,12.0,36.0,0.0,35.0,20.0,1.0,12.0,26.0,0.0,35.0
9,124044755.0,8.0,0.0,20.0,7.0,27.0,2.0,5.0,3.0,0.0,9.0,25.0,31.0,28.0,3.0,1.0,46.0,29.0,44.0,25.0,12.0,7.0,40.0,93.0,497.0,7.0,44.0,221.0,29.0,9.0,1.0,11.0,11.0,7.0,4.0,76.0,47.0,16.0,4.0,2.0,24.0,4.0,94.0,1.0,44.0,29.0,0.0,146.0,4.0,5.0,0.0,19.0,398.0,0.0,135.0,70.0,16.0,5.0,260.0,38.0,70.0,3.0,1401.0,7.0,2.0,0.0,23.0,1.0,0.0,2.0,4.0,16.0,27.0,2.0,42.0,2.0,13.0,4.0,208.0,22.0,2.0,0.0,1.0,297.0,61.0,3.0,24.0,439.0,106.0,21.0,201.0,6.0,1.0,6.0,3.0,0.0,173.0,46.0,1.0,50.0,15.0,4.0,133.0,50.0,4.0,1388.0,29.0,34.0,2.0,9.0,18.0,9.0,72.0,5.0,32.0,16.0,4.0,3.0,21.0,244.0,51.0,7.0,37.0,7.0,34.0,3.0,45.0,135.0,20.0,11.0,13.0,346.0,15.0,49.0,4.0,341.0,11.0,8.0,7.0,98.0,22.0,29.0,134.0,15.0,11.0,27.0,3.0,19.0,10.0,12.0,2.0,3.0,3.0,4.0,1.0,0.0,61.0,25.0,17.0,7.0,54.0,126.0,26.0,49.0,3.0,10.0,5.0,2.0,56.0,4.0,0.0,0.0,16.0,3.0,4.0,29.0,69.0,12.0,3.0,17.0,22.0,0.0,23.0,5.0,14.0,0.0,12.0
