,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,-1.0,2998347798.0,322204783.0,322526123.0,7.27385453553406e+17,7.655789406351606e+17,8.84092131190612e+17,8.923646005529395e+17,8.935062087406428e+17,8.951663498818232e+17,8.977020455448535e+17,9.130601713660232e+17,9.217741390561239e+17,9.36532885821182e+17,956762293.0
1,2998347798.0,0.0,65.0,11.0,70.0,162.0,6.0,1.0,1.0,0.0,8.0,221.0,0.0,23.0,6.0
2,322204783.0,65.0,0.0,7.0,41.0,59.0,10.0,6.0,7.0,6.0,7.0,50.0,3.0,35.0,7.0
3,322526123.0,11.0,7.0,0.0,7.0,4.0,4.0,0.0,0.0,0.0,3.0,8.0,1.0,4.0,3.0
4,7.27385453553406e+17,70.0,41.0,7.0,0.0,62.0,10.0,0.0,0.0,0.0,10.0,40.0,0.0,21.0,3.0
5,7.655789406351606e+17,162.0,59.0,4.0,62.0,0.0,6.0,0.0,0.0,0.0,9.0,115.0,0.0,26.0,1.0
6,8.84092131190612e+17,6.0,10.0,4.0,10.0,6.0,0.0,0.0,0.0,1.0,5.0,9.0,0.0,6.0,1.0
7,8.923646005529395e+17,1.0,6.0,0.0,0.0,0.0,0.0,0.0,40.0,19.0,0.0,1.0,8.0,0.0,15.0
8,8.935062087406428e+17,1.0,7.0,0.0,0.0,0.0,0.0,40.0,0.0,12.0,0.0,0.0,4.0,0.0,9.0
9,8.951663498818232e+17,0.0,6.0,0.0,0.0,0.0,1.0,19.0,12.0,0.0,0.0,0.0,8.0,0.0,48.0
10,8.977020455448535e+17,8.0,7.0,3.0,10.0,9.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0
11,9.130601713660232e+17,221.0,50.0,8.0,40.0,115.0,9.0,1.0,0.0,0.0,6.0,0.0,0.0,18.0,3.0
12,9.217741390561239e+17,0.0,3.0,1.0,0.0,0.0,0.0,8.0,4.0,8.0,0.0,0.0,0.0,0.0,9.0
13,9.36532885821182e+17,23.0,35.0,4.0,21.0,26.0,6.0,0.0,0.0,0.0,5.0,18.0,0.0,0.0,1.0
14,956762293.0,6.0,7.0,3.0,3.0,1.0,1.0,15.0,9.0,48.0,1.0,3.0,9.0,1.0,0.0
