,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
0,-1.0,101466512.0,103791628.0,111244993.0,111848053.0,115335011.0,117839377.0,129735218.0,132037287.0,138741179.0,145535500.0,162267352.0,169260355.0,172396492.0,17481929.0,183970675.0,189102208.0,195235963.0,20306005.0,216998316.0,221602925.0,229878754.0,2490117170.0,264293738.0,270353982.0,272367319.0,28353370.0,284413326.0,2913598002.0,2935759928.0,2999121835.0,314994938.0,316103932.0,3197388260.0,328933166.0,3299791117.0,33111520.0,336601923.0,34350628.0,38889458.0,3960588613.0,3999676762.0,41066705.0,45802905.0,45807858.0,4773088932.0,47874958.0,48836031.0,51056635.0,54830065.0,550382928.0,56311033.0,576967108.0,613799144.0,615482866.0,64230489.0,64261339.0,69245248.0,8.419741091269673e+17,8.511235845629379e+17,8.554552439828398e+17,864167137.0,8.898085738191135e+17,9.156370794087629e+17,9.163045431383613e+17,9.16892376466989e+17,9.265203293919396e+17,93617861.0,9.391067889761116e+17,9.449726877845053e+17,9.493544808095539e+17,9.495776518569452e+17,9.547043029912781e+17,9.547257159072645e+17
1,101466512.0,0.0,4.0,3.0,0.0,2.0,1.0,4.0,0.0,3.0,0.0,7.0,0.0,11.0,0.0,1.0,1.0,7.0,9.0,8.0,0.0,5.0,0.0,4.0,3.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,3.0,3.0,3.0,0.0,0.0,5.0,0.0,2.0,5.0,0.0,6.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,2.0,3.0,5.0,7.0,6.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0
2,103791628.0,4.0,0.0,15.0,11.0,4.0,27.0,69.0,98.0,24.0,5.0,78.0,1.0,253.0,0.0,50.0,4.0,47.0,102.0,156.0,1.0,23.0,1.0,47.0,12.0,0.0,18.0,3.0,3.0,6.0,22.0,2.0,20.0,20.0,6.0,28.0,35.0,15.0,0.0,0.0,137.0,1.0,16.0,41.0,1.0,47.0,1.0,5.0,62.0,183.0,3.0,15.0,45.0,212.0,5.0,151.0,77.0,20.0,14.0,7.0,99.0,29.0,45.0,0.0,2.0,0.0,48.0,84.0,16.0,4.0,1.0,3.0,0.0,1.0
3,111244993.0,3.0,15.0,0.0,0.0,1.0,5.0,16.0,5.0,6.0,4.0,12.0,0.0,31.0,0.0,6.0,13.0,23.0,38.0,22.0,0.0,13.0,0.0,7.0,7.0,0.0,26.0,2.0,0.0,2.0,6.0,4.0,1.0,4.0,15.0,5.0,13.0,13.0,0.0,0.0,21.0,0.0,3.0,13.0,0.0,5.0,4.0,2.0,51.0,18.0,0.0,2.0,16.0,29.0,1.0,5.0,11.0,14.0,6.0,4.0,9.0,9.0,6.0,0.0,1.0,0.0,6.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
4,111848053.0,0.0,11.0,0.0,0.0,1.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,10.0,0.0,4.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,7.0,12.0,0.0,11.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,115335011.0,2.0,4.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,3.0,5.0,0.0,6.0,0.0,3.0,0.0,2.0,7.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,5.0,0.0,1.0,2.0,6.0,2.0,1.0,3.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0
6,117839377.0,1.0,27.0,5.0,1.0,0.0,0.0,13.0,22.0,5.0,1.0,14.0,1.0,45.0,0.0,9.0,2.0,17.0,18.0,28.0,2.0,7.0,0.0,11.0,3.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,4.0,3.0,4.0,5.0,6.0,5.0,0.0,0.0,30.0,0.0,16.0,15.0,0.0,12.0,0.0,2.0,22.0,25.0,1.0,2.0,14.0,38.0,1.0,13.0,11.0,14.0,2.0,2.0,18.0,13.0,9.0,0.0,2.0,0.0,9.0,17.0,4.0,2.0,1.0,1.0,0.0,0.0
7,129735218.0,4.0,69.0,16.0,6.0,3.0,13.0,0.0,17.0,15.0,5.0,34.0,1.0,80.0,0.0,24.0,6.0,39.0,56.0,56.0,3.0,10.0,0.0,20.0,9.0,0.0,29.0,6.0,0.0,4.0,16.0,2.0,17.0,10.0,12.0,12.0,29.0,16.0,0.0,0.0,43.0,0.0,16.0,35.0,1.0,18.0,0.0,4.0,25.0,49.0,2.0,7.0,18.0,65.0,5.0,20.0,30.0,18.0,6.0,9.0,27.0,31.0,9.0,0.0,2.0,0.0,21.0,23.0,6.0,4.0,1.0,3.0,0.0,1.0
8,132037287.0,0.0,98.0,5.0,5.0,3.0,22.0,17.0,0.0,0.0,2.0,11.0,1.0,103.0,0.0,9.0,1.0,5.0,26.0,30.0,11.0,3.0,0.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,6.0,6.0,0.0,4.0,8.0,2.0,0.0,0.0,29.0,0.0,3.0,8.0,0.0,7.0,0.0,2.0,60.0,42.0,1.0,6.0,29.0,79.0,0.0,17.0,46.0,6.0,1.0,0.0,27.0,6.0,9.0,0.0,0.0,0.0,7.0,18.0,2.0,2.0,0.0,1.0,0.0,0.0
9,138741179.0,3.0,24.0,6.0,0.0,1.0,5.0,15.0,0.0,0.0,3.0,19.0,0.0,28.0,0.0,19.0,3.0,17.0,25.0,25.0,0.0,11.0,7.0,12.0,7.0,0.0,5.0,1.0,0.0,13.0,9.0,0.0,4.0,8.0,1.0,10.0,11.0,4.0,0.0,0.0,43.0,0.0,2.0,14.0,0.0,39.0,0.0,4.0,6.0,25.0,1.0,4.0,2.0,27.0,1.0,12.0,4.0,7.0,2.0,6.0,25.0,11.0,2.0,0.0,15.0,27.0,30.0,18.0,25.0,23.0,10.0,3.0,0.0,8.0
