,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0,-1.0,1007899225.0,1050034830.0,1165674854.0,1370886721.0,1489734068.0,1548436478.0,1626385760.0,1645658815.0,1677513822.0,1702481090.0,1741878566.0,179479666.0,179635048.0,1832561611.0,1896903314.0,1974766458.0,201767669.0,2214098064.0,2226327295.0,225245449.0,2267254248.0,2315414510.0,235115427.0,2373350106.0,2424935923.0,2507816448.0,2530426376.0,2534000946.0,2541022164.0,2554509992.0,2567411066.0,2730683010.0,2787471493.0,281120711.0,2819412588.0,283930382.0,2862632186.0,2883507270.0,2917634087.0,2930685397.0,2942039370.0,2956869974.0,3007904947.0,3060993466.0,3071041573.0,3073317074.0,3076248691.0,3141969218.0,3146085837.0,3168709232.0,3196102788.0,3220374884.0,3283658570.0,3286260847.0,3287729820.0,3296008817.0,3361379838.0,3390682153.0,3484383739.0,3606265279.0,361792637.0,3704610254.0,3859123997.0,3869495476.0,404935528.0,4163608948.0,425649742.0,4486372344.0,4496833520.0,4535448255.0,4539486972.0,4586659513.0,459144186.0,4697085992.0,470812688.0,4718740534.0,4743950912.0,4762711754.0,4811104171.0,4919820010.0,492321808.0,563945225.0,58732125.0,614884368.0,701092531.0,7.025642189653565e+17,7.070797870895391e+17,7.130816140085084e+17,7.160908580182139e+17,7.289837046897418e+17,7.332923539606979e+17,7.527010093366313e+17,7.626780067708314e+17,7.647486216443863e+17,7.652000627376865e+17,7.724539724352307e+17,7.765178840172749e+17,7.769904328614461e+17,7.800215341527245e+17,7.873817722416128e+17,7.897515385456763e+17,7.995077091460997e+17,8.017397571895624e+17,8.020954944575324e+17,8.10524126884438e+17,8.206789392701194e+17,8.383820989604823e+17,8.387993800019804e+17,8.391255718083133e+17,8.463957881419735e+17,8.503531430661038e+17,850949341.0,8.589733735730176e+17,8.594322830020731e+17,8.716327682827469e+17,872400434.0,8.884079469121782e+17,8.960571693379625e+17,9.010085568449618e+17,9.026015076687626e+17,9.032578165042135e+17,9.046950888314839e+17,9.06876440162984e+17,9.069099315923968e+17,9.085834941874954e+17,9.090499182365696e+17,9.159464568249467e+17,9.19636626954793e+17,9.20163804666667e+17,9.201679062094438e+17,9.224278839638917e+17,9.228850171134771e+17,9.31103983698985e+17,9.314280999750287e+17,9.332028526542029e+17,9.347662656960594e+17,9.36697109599871e+17,9.430128142637466e+17,9.444101687075758e+17,9.46409253610197e+17,9.470762102064538e+17,9.547733989444936e+17,9.565224153993871e+17,9.60166678117036e+17,9.616763204835901e+17,9.619428128486318e+17,9.620098377804186e+17,9.630754507203379e+17,9.630842887227965e+17
1,1007899225.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
2,1050034830.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,24.0,8.0,26.0,22.0,17.0,22.0,11.0,1.0,6.0,0.0,1.0,14.0,25.0,33.0,5.0,1.0,42.0,18.0,41.0,6.0,0.0,1.0,2.0,24.0,0.0,13.0,9.0,45.0,30.0,1.0,10.0,1.0,0.0,18.0,4.0,82.0,2.0,3.0,30.0,47.0,5.0,37.0,0.0,0.0,7.0,0.0,0.0,42.0,3.0,6.0,2.0,3.0,0.0,22.0,5.0,0.0,0.0,51.0,0.0,22.0,74.0,3.0,0.0,36.0,3.0,2.0,0.0,4.0,21.0,11.0,0.0,0.0,0.0,6.0,22.0,39.0,45.0,7.0,2.0,0.0,1.0,11.0,0.0,3.0,52.0,2.0,0.0,0.0,28.0,0.0,31.0,14.0,33.0,13.0,0.0,31.0,22.0,0.0,0.0,1.0,0.0,45.0,0.0,4.0,7.0,11.0,9.0,4.0,15.0,55.0,9.0,46.0,0.0,19.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,4.0,6.0,5.0,0.0,1.0,0.0,13.0,7.0,0.0,0.0,30.0,9.0,0.0,18.0,0.0,0.0,28.0,9.0,3.0,0.0,1.0
3,1165674854.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,2.0,3.0,8.0,6.0,2.0,3.0,1.0,325.0,1.0,13.0,1.0,1.0,6.0,1043.0,1.0,0.0,1.0,20.0,17.0,2.0,0.0,8.0,1.0,12.0,9.0,2.0,1.0,77.0,8.0,0.0,0.0,0.0,533.0,7.0,0.0,0.0,2.0,14.0,4.0,4.0,14.0,0.0,0.0,921.0,4.0,3.0,0.0,1.0,0.0,0.0,3.0,5.0,1.0,6.0,14.0,2.0,42.0,2.0,7.0,2.0,0.0,4.0,1.0,0.0,0.0,8.0,0.0,2.0,1.0,180.0,47.0,0.0,0.0,5.0,11.0,0.0,74.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,5.0,195.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,27.0,0.0,60.0,21.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,3.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
4,1370886721.0,0.0,1.0,0.0,0.0,2.0,103.0,0.0,1.0,0.0,1.0,34.0,0.0,51.0,0.0,24.0,1.0,0.0,121.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,19.0,36.0,96.0,8.0,87.0,0.0,0.0,68.0,0.0,0.0,3.0,6.0,0.0,0.0,49.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,10.0,8.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,115.0,9.0,0.0,0.0,0.0,69.0,0.0,0.0,5.0,0.0,0.0,7.0,2.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,29.0,0.0,1.0,0.0,12.0,1.0,9.0,0.0,2.0,0.0,92.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,2.0,0.0,19.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1489734068.0,0.0,3.0,1.0,2.0,0.0,6.0,1.0,74.0,0.0,10.0,16.0,7.0,19.0,139.0,7.0,0.0,0.0,1.0,8.0,1.0,7.0,5.0,1.0,7.0,1.0,3.0,3.0,0.0,2.0,28.0,144.0,0.0,25.0,6.0,13.0,7.0,1.0,3.0,72.0,0.0,7.0,2.0,53.0,44.0,1.0,35.0,65.0,1.0,20.0,0.0,1.0,3.0,0.0,59.0,11.0,1.0,60.0,0.0,2.0,0.0,102.0,11.0,0.0,0.0,5.0,2.0,19.0,65.0,3.0,0.0,29.0,0.0,0.0,0.0,3.0,3.0,92.0,0.0,0.0,0.0,69.0,1.0,8.0,55.0,6.0,1.0,0.0,2.0,4.0,0.0,25.0,8.0,3.0,2.0,0.0,14.0,0.0,6.0,22.0,11.0,0.0,0.0,2.0,10.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,2.0,10.0,155.0,14.0,5.0,29.0,0.0,0.0,0.0,11.0,0.0,0.0,7.0,0.0,0.0,62.0,0.0,0.0,17.0,7.0,2.0,0.0,0.0,19.0,57.0,0.0,22.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0
6,1548436478.0,0.0,7.0,0.0,103.0,6.0,0.0,0.0,7.0,0.0,5.0,59.0,3.0,79.0,2.0,30.0,3.0,1.0,164.0,5.0,7.0,6.0,3.0,0.0,6.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,12.0,10.0,0.0,1.0,0.0,0.0,3.0,1.0,32.0,0.0,19.0,64.0,153.0,11.0,115.0,0.0,0.0,75.0,0.0,0.0,17.0,12.0,0.0,0.0,79.0,0.0,12.0,0.0,0.0,0.0,11.0,0.0,26.0,38.0,0.0,0.0,7.0,0.0,0.0,16.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,6.0,142.0,21.0,0.0,0.0,0.0,132.0,0.0,4.0,18.0,0.0,0.0,14.0,5.0,0.0,12.0,34.0,3.0,2.0,0.0,2.0,13.0,0.0,2.0,0.0,0.0,6.0,0.0,47.0,1.0,2.0,0.0,19.0,5.0,13.0,3.0,5.0,0.0,153.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,178.0,4.0,0.0,24.0,25.0,1.0,0.0,8.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
7,1626385760.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1645658815.0,1.0,24.0,11.0,1.0,74.0,7.0,1.0,0.0,5.0,29.0,61.0,76.0,71.0,114.0,29.0,8.0,4.0,5.0,47.0,11.0,16.0,46.0,2.0,34.0,9.0,17.0,29.0,0.0,25.0,31.0,301.0,3.0,191.0,45.0,68.0,16.0,7.0,52.0,27.0,0.0,20.0,20.0,236.0,17.0,3.0,104.0,168.0,13.0,70.0,1.0,1.0,14.0,2.0,36.0,22.0,4.0,38.0,1.0,6.0,1.0,219.0,11.0,0.0,0.0,29.0,17.0,74.0,149.0,16.0,2.0,86.0,8.0,4.0,2.0,33.0,6.0,146.0,5.0,0.0,0.0,28.0,10.0,39.0,142.0,7.0,13.0,2.0,5.0,14.0,0.0,30.0,28.0,9.0,10.0,2.0,60.0,0.0,7.0,40.0,59.0,3.0,0.0,7.0,39.0,0.0,2.0,5.0,0.0,17.0,0.0,10.0,2.0,11.0,1.0,12.0,17.0,30.0,100.0,57.0,4.0,88.0,0.0,0.0,1.0,22.0,0.0,8.0,6.0,4.0,12.0,51.0,0.0,2.0,5.0,19.0,14.0,1.0,4.0,76.0,66.0,0.0,74.0,3.0,0.0,3.0,12.0,1.0,0.0,1.0
9,1677513822.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,13.0,2.0,4.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,10.0,6.0,7.0,2.0,0.0,1.0,1.0,6.0,0.0,3.0,1.0,9.0,5.0,0.0,3.0,0.0,0.0,6.0,1.0,35.0,0.0,0.0,2.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,3.0,17.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,8.0,17.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,8.0,0.0,9.0,0.0,6.0,2.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,4.0,3.0,1.0,2.0,9.0,1.0,18.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,4.0,0.0,0.0,5.0,2.0,2.0,0.0,1.0
10,1702481090.0,1.0,26.0,2.0,1.0,10.0,5.0,0.0,29.0,13.0,0.0,30.0,16.0,19.0,9.0,3.0,4.0,0.0,1.0,18.0,17.0,22.0,5.0,0.0,26.0,13.0,17.0,6.0,0.0,2.0,5.0,31.0,2.0,20.0,5.0,41.0,11.0,0.0,10.0,3.0,0.0,17.0,1.0,86.0,3.0,2.0,51.0,52.0,1.0,28.0,0.0,0.0,6.0,0.0,2.0,14.0,3.0,2.0,1.0,1.0,0.0,36.0,2.0,0.0,0.0,29.0,2.0,39.0,72.0,2.0,0.0,44.0,2.0,1.0,0.0,5.0,7.0,13.0,2.0,0.0,0.0,5.0,7.0,28.0,55.0,6.0,2.0,1.0,1.0,14.0,0.0,4.0,34.0,2.0,2.0,0.0,28.0,0.0,13.0,27.0,32.0,5.0,0.0,8.0,18.0,0.0,1.0,1.0,0.0,19.0,0.0,3.0,5.0,4.0,2.0,5.0,11.0,29.0,17.0,40.0,0.0,43.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,1.0,0.0,11.0,7.0,1.0,1.0,38.0,9.0,0.0,29.0,0.0,0.0,6.0,6.0,2.0,0.0,1.0
11,1741878566.0,1.0,22.0,3.0,34.0,16.0,59.0,1.0,61.0,2.0,30.0,0.0,31.0,58.0,31.0,26.0,9.0,1.0,54.0,27.0,14.0,17.0,19.0,0.0,26.0,7.0,20.0,6.0,0.0,10.0,11.0,55.0,1.0,35.0,17.0,42.0,15.0,1.0,15.0,5.0,0.0,18.0,7.0,92.0,9.0,12.0,95.0,113.0,16.0,92.0,0.0,1.0,42.0,0.0,5.0,14.0,12.0,8.0,1.0,38.0,0.0,56.0,2.0,0.0,0.0,25.0,7.0,60.0,100.0,8.0,2.0,59.0,4.0,3.0,8.0,13.0,6.0,31.0,1.0,0.0,0.0,11.0,5.0,25.0,116.0,14.0,6.0,0.0,3.0,61.0,0.0,15.0,30.0,2.0,4.0,9.0,39.0,0.0,6.0,40.0,37.0,3.0,0.0,4.0,33.0,0.0,6.0,4.0,0.0,12.0,0.0,23.0,3.0,6.0,1.0,18.0,11.0,31.0,22.0,43.0,1.0,106.0,0.0,0.0,0.0,17.0,0.0,4.0,3.0,1.0,4.0,19.0,0.0,1.0,1.0,94.0,12.0,1.0,15.0,63.0,21.0,0.0,37.0,1.0,0.0,4.0,12.0,1.0,0.0,1.0
12,179479666.0,1.0,17.0,8.0,0.0,7.0,3.0,0.0,76.0,4.0,16.0,31.0,0.0,48.0,41.0,18.0,5.0,6.0,1.0,52.0,4.0,9.0,78.0,3.0,26.0,5.0,10.0,41.0,0.0,34.0,6.0,95.0,4.0,115.0,70.0,35.0,20.0,6.0,84.0,3.0,0.0,12.0,21.0,119.0,5.0,2.0,51.0,91.0,9.0,41.0,1.0,0.0,5.0,2.0,4.0,14.0,1.0,11.0,1.0,5.0,1.0,54.0,5.0,1.0,0.0,13.0,12.0,37.0,74.0,23.0,10.0,42.0,23.0,3.0,0.0,43.0,3.0,29.0,9.0,1.0,0.0,7.0,8.0,30.0,89.0,3.0,11.0,2.0,17.0,4.0,0.0,15.0,10.0,23.0,25.0,0.0,38.0,1.0,2.0,18.0,38.0,1.0,0.0,5.0,30.0,0.0,2.0,5.0,0.0,10.0,0.0,6.0,1.0,7.0,1.0,3.0,3.0,9.0,23.0,35.0,1.0,42.0,0.0,0.0,2.0,10.0,1.0,10.0,2.0,8.0,14.0,7.0,0.0,1.0,0.0,11.0,2.0,1.0,1.0,41.0,16.0,0.0,40.0,0.0,0.0,2.0,13.0,1.0,0.0,1.0
