,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,-1.0,10572732.0,26718847.0,32926948.0,47950082.0,48495906.0,50645038.0,56122662.0,76938755.0,89179715.0,91419075.0,99779252.0,147700927.0,203533542.0,204811301.0,205649678.0,228183223.0,228305424.0,236197495.0,239154848.0,242476422.0,254766784.0,268445390.0,279263583.0,282765775.0,289975846.0,294523668.0,294613911.0,297027788.0,299566836.0,299888411.0,305570199.0,320685425.0,328041551.0,331556368.0,334490866.0,355893787.0
1,10572732.0,0.0,69.0,39.0,22.0,38.0,78.0,38.0,2.0,58.0,41.0,0.0,1.0,149.0,35.0,70.0,2.0,3.0,121.0,52.0,56.0,1.0,33.0,1.0,218.0,8.0,0.0,1.0,30.0,25.0,1.0,19.0,2.0,17.0,205.0,3.0,27.0
2,26718847.0,69.0,0.0,7.0,146.0,240.0,288.0,51.0,18.0,163.0,487.0,1.0,6.0,439.0,87.0,128.0,4.0,12.0,261.0,103.0,99.0,11.0,124.0,17.0,146.0,22.0,0.0,19.0,71.0,266.0,11.0,96.0,11.0,140.0,126.0,9.0,83.0
3,32926948.0,39.0,7.0,0.0,0.0,5.0,16.0,19.0,0.0,17.0,10.0,0.0,0.0,86.0,1.0,10.0,0.0,0.0,37.0,3.0,18.0,0.0,7.0,0.0,95.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,167.0,1.0,3.0
4,47950082.0,22.0,146.0,0.0,0.0,163.0,201.0,21.0,18.0,71.0,132.0,1.0,2.0,187.0,32.0,52.0,0.0,6.0,152.0,51.0,50.0,3.0,48.0,6.0,76.0,8.0,0.0,34.0,15.0,60.0,6.0,109.0,5.0,24.0,32.0,3.0,11.0
5,48495906.0,38.0,240.0,5.0,163.0,0.0,307.0,34.0,10.0,131.0,258.0,1.0,3.0,350.0,96.0,96.0,1.0,12.0,233.0,208.0,207.0,11.0,182.0,4.0,86.0,37.0,0.0,10.0,66.0,78.0,19.0,130.0,24.0,100.0,64.0,1.0,14.0
6,50645038.0,78.0,288.0,16.0,201.0,307.0,0.0,91.0,55.0,193.0,224.0,1.0,2.0,418.0,81.0,126.0,2.0,8.0,285.0,119.0,126.0,3.0,65.0,26.0,176.0,13.0,0.0,34.0,21.0,77.0,5.0,171.0,4.0,55.0,195.0,9.0,56.0
7,56122662.0,38.0,51.0,19.0,21.0,34.0,91.0,0.0,4.0,52.0,35.0,0.0,2.0,105.0,15.0,36.0,1.0,1.0,59.0,28.0,49.0,2.0,14.0,5.0,113.0,3.0,0.0,1.0,16.0,10.0,1.0,19.0,3.0,8.0,94.0,1.0,27.0
8,76938755.0,2.0,18.0,0.0,18.0,10.0,55.0,4.0,0.0,12.0,10.0,0.0,0.0,11.0,7.0,8.0,0.0,1.0,39.0,4.0,4.0,0.0,3.0,54.0,26.0,0.0,0.0,77.0,2.0,2.0,0.0,24.0,0.0,1.0,17.0,5.0,4.0
9,89179715.0,58.0,163.0,17.0,71.0,131.0,193.0,52.0,12.0,0.0,316.0,1.0,1.0,372.0,54.0,322.0,2.0,2.0,148.0,50.0,115.0,1.0,122.0,16.0,193.0,2.0,0.0,34.0,47.0,44.0,8.0,29.0,6.0,25.0,207.0,6.0,41.0
