,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
0,-1.0,778057.0,9378802.0,14749971.0,15529147.0,16131860.0,20097381.0,20439936.0,27355545.0,34699794.0,42198823.0,45192838.0,47379354.0,47655781.0,49323761.0,49817093.0,50645038.0,55837229.0,60568628.0,63831819.0,64149875.0,67964859.0,69179772.0,71294722.0,73025086.0,78985632.0,80791048.0,87250666.0,96894552.0,97101016.0,108590056.0,114775132.0,117802966.0,130810427.0,133483236.0,135643063.0,145401113.0,148653311.0,159167229.0,180261346.0,182197793.0,191990026.0,209651406.0,210824047.0,235718672.0,244896607.0,247012412.0,247494866.0,253451653.0,255040592.0,258047934.0,261885661.0,262821567.0,263515257.0,266562398.0,267088381.0,268184418.0,269680826.0,271201613.0,272259832.0,272323854.0,274052325.0,275670270.0,279573378.0,280461953.0,284059062.0,287425961.0,287709447.0,287755830.0,287848520.0,288479798.0,289104235.0,289974673.0,294523668.0,302144631.0,309930491.0,312304468.0,316654348.0,318368471.0,328794414.0,329409390.0,335432912.0,336574898.0,348020077.0,349839280.0,361870458.0,365232621.0,369028288.0,381696542.0,383602088.0,384822746.0,385160961.0,388466657.0,388505530.0,393409059.0,394285779.0,402037439.0,405793312.0,407433127.0,408971802.0,409763432.0,415931947.0
1,778057.0,0.0,149.0,309.0,20.0,196.0,23.0,115.0,58.0,99.0,23.0,81.0,372.0,343.0,226.0,476.0,226.0,22.0,132.0,12.0,23.0,17.0,3.0,11.0,122.0,7.0,67.0,24.0,0.0,0.0,6.0,247.0,9.0,207.0,83.0,27.0,8.0,176.0,0.0,49.0,15.0,55.0,22.0,17.0,486.0,118.0,263.0,18.0,121.0,207.0,51.0,348.0,155.0,21.0,4.0,96.0,8.0,0.0,36.0,3.0,13.0,7.0,156.0,24.0,35.0,13.0,59.0,78.0,158.0,16.0,45.0,30.0,28.0,0.0,10.0,65.0,20.0,47.0,10.0,15.0,23.0,30.0,0.0,5.0,1.0,9.0,0.0,83.0,24.0,68.0,84.0,0.0,62.0,7.0,0.0,116.0,155.0,0.0,28.0,96.0,1.0,56.0
2,9378802.0,149.0,0.0,82.0,8.0,43.0,11.0,29.0,11.0,34.0,0.0,52.0,108.0,97.0,74.0,97.0,59.0,1.0,40.0,0.0,6.0,9.0,0.0,2.0,23.0,0.0,29.0,5.0,0.0,0.0,0.0,50.0,1.0,83.0,31.0,4.0,0.0,55.0,0.0,8.0,2.0,16.0,2.0,1.0,138.0,32.0,104.0,7.0,30.0,62.0,10.0,95.0,19.0,21.0,0.0,19.0,0.0,0.0,3.0,1.0,3.0,0.0,35.0,4.0,4.0,2.0,3.0,20.0,17.0,4.0,6.0,1.0,1.0,0.0,5.0,22.0,7.0,6.0,0.0,2.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,15.0,48.0,0.0,5.0,0.0,0.0,21.0,41.0,0.0,3.0,29.0,1.0,12.0
3,14749971.0,309.0,82.0,0.0,181.0,452.0,55.0,194.0,83.0,75.0,48.0,313.0,316.0,274.0,293.0,486.0,274.0,54.0,253.0,28.0,105.0,31.0,6.0,32.0,446.0,17.0,95.0,25.0,0.0,0.0,37.0,670.0,67.0,304.0,575.0,69.0,51.0,331.0,0.0,66.0,40.0,125.0,60.0,30.0,408.0,116.0,350.0,35.0,195.0,359.0,157.0,412.0,246.0,82.0,6.0,120.0,27.0,0.0,62.0,21.0,30.0,13.0,198.0,24.0,56.0,10.0,123.0,166.0,162.0,24.0,187.0,39.0,41.0,0.0,36.0,76.0,28.0,159.0,46.0,37.0,13.0,82.0,19.0,41.0,5.0,30.0,10.0,170.0,89.0,120.0,78.0,3.0,144.0,10.0,0.0,124.0,217.0,0.0,120.0,152.0,2.0,53.0
4,15529147.0,20.0,8.0,181.0,0.0,64.0,4.0,51.0,2.0,8.0,3.0,126.0,13.0,27.0,15.0,49.0,12.0,26.0,59.0,2.0,56.0,9.0,3.0,1.0,102.0,2.0,5.0,3.0,0.0,0.0,3.0,102.0,1.0,43.0,153.0,6.0,6.0,36.0,0.0,6.0,5.0,31.0,11.0,17.0,16.0,13.0,45.0,2.0,18.0,18.0,20.0,30.0,46.0,6.0,8.0,27.0,17.0,0.0,14.0,0.0,0.0,3.0,19.0,7.0,15.0,3.0,28.0,46.0,17.0,1.0,54.0,17.0,18.0,0.0,2.0,8.0,3.0,53.0,1.0,1.0,1.0,26.0,9.0,3.0,2.0,2.0,3.0,8.0,18.0,5.0,3.0,1.0,34.0,1.0,0.0,26.0,20.0,0.0,48.0,9.0,0.0,6.0
5,16131860.0,196.0,43.0,452.0,64.0,0.0,19.0,116.0,91.0,47.0,23.0,114.0,250.0,169.0,167.0,580.0,243.0,87.0,257.0,21.0,94.0,40.0,5.0,22.0,290.0,13.0,66.0,24.0,0.0,0.0,15.0,462.0,34.0,183.0,262.0,34.0,42.0,223.0,0.0,30.0,25.0,80.0,64.0,53.0,327.0,126.0,332.0,31.0,144.0,240.0,110.0,364.0,256.0,22.0,10.0,142.0,32.0,0.0,108.0,15.0,9.0,26.0,198.0,38.0,75.0,15.0,163.0,197.0,189.0,3.0,200.0,72.0,62.0,0.0,9.0,94.0,29.0,157.0,22.0,20.0,9.0,129.0,17.0,25.0,8.0,29.0,14.0,76.0,39.0,105.0,43.0,3.0,159.0,22.0,0.0,126.0,247.0,0.0,128.0,125.0,3.0,49.0
6,20097381.0,23.0,11.0,55.0,4.0,19.0,0.0,13.0,24.0,40.0,0.0,19.0,30.0,33.0,16.0,48.0,117.0,8.0,26.0,0.0,26.0,11.0,3.0,4.0,13.0,0.0,56.0,35.0,0.0,0.0,1.0,37.0,0.0,25.0,28.0,2.0,2.0,14.0,0.0,14.0,0.0,1.0,5.0,5.0,65.0,29.0,27.0,70.0,37.0,41.0,3.0,35.0,13.0,106.0,0.0,7.0,2.0,0.0,9.0,1.0,10.0,2.0,24.0,3.0,2.0,4.0,10.0,9.0,39.0,5.0,6.0,3.0,3.0,0.0,3.0,15.0,0.0,1.0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,1.0,51.0,7.0,11.0,21.0,0.0,10.0,2.0,0.0,7.0,23.0,0.0,7.0,8.0,0.0,9.0
7,20439936.0,115.0,29.0,194.0,51.0,116.0,13.0,0.0,33.0,37.0,13.0,127.0,86.0,96.0,67.0,140.0,86.0,20.0,91.0,9.0,38.0,17.0,6.0,5.0,152.0,4.0,32.0,7.0,0.0,0.0,5.0,224.0,11.0,87.0,159.0,14.0,12.0,82.0,0.0,22.0,12.0,45.0,29.0,18.0,118.0,61.0,113.0,13.0,68.0,87.0,70.0,109.0,102.0,13.0,7.0,58.0,13.0,0.0,36.0,1.0,10.0,7.0,63.0,15.0,38.0,8.0,42.0,81.0,71.0,3.0,59.0,29.0,25.0,0.0,5.0,29.0,11.0,66.0,7.0,6.0,7.0,36.0,5.0,28.0,3.0,9.0,8.0,26.0,42.0,39.0,31.0,2.0,40.0,3.0,0.0,71.0,76.0,0.0,56.0,37.0,1.0,30.0
8,27355545.0,58.0,11.0,83.0,2.0,91.0,24.0,33.0,0.0,9.0,2.0,1.0,70.0,17.0,34.0,93.0,95.0,0.0,29.0,5.0,24.0,3.0,1.0,7.0,27.0,2.0,53.0,12.0,0.0,0.0,2.0,92.0,12.0,45.0,36.0,8.0,8.0,29.0,0.0,18.0,3.0,11.0,10.0,1.0,137.0,9.0,46.0,20.0,29.0,69.0,16.0,97.0,38.0,104.0,0.0,4.0,1.0,0.0,14.0,3.0,25.0,1.0,28.0,2.0,11.0,0.0,14.0,19.0,29.0,2.0,11.0,3.0,8.0,0.0,11.0,9.0,7.0,14.0,3.0,9.0,5.0,8.0,0.0,0.0,0.0,4.0,0.0,72.0,7.0,34.0,33.0,0.0,23.0,5.0,0.0,16.0,27.0,0.0,4.0,16.0,0.0,9.0
9,34699794.0,99.0,34.0,75.0,8.0,47.0,40.0,37.0,9.0,0.0,14.0,24.0,62.0,135.0,67.0,111.0,76.0,23.0,48.0,3.0,16.0,15.0,2.0,7.0,43.0,1.0,45.0,17.0,0.0,0.0,3.0,68.0,4.0,70.0,30.0,11.0,4.0,43.0,0.0,33.0,7.0,21.0,16.0,13.0,87.0,51.0,60.0,25.0,48.0,52.0,17.0,118.0,55.0,28.0,3.0,35.0,5.0,0.0,22.0,0.0,8.0,4.0,65.0,15.0,22.0,9.0,25.0,31.0,72.0,7.0,12.0,13.0,16.0,0.0,5.0,31.0,13.0,24.0,3.0,5.0,7.0,20.0,2.0,2.0,0.0,5.0,1.0,39.0,7.0,27.0,21.0,0.0,28.0,6.0,0.0,42.0,48.0,0.0,19.0,19.0,2.0,32.0
