,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
0,-1.0,16094831.0,17018969.0,17588396.0,18021621.0,18200615.0,19088781.0,19659624.0,25161342.0,26105783.0,39592755.0,47847315.0,48315317.0,49367709.0,49666447.0,51792690.0,52729838.0,52821663.0,57246038.0,58225107.0,59394443.0,60568628.0,60850541.0,61854202.0,66680811.0,68492468.0,68584698.0,81493028.0,81706823.0,81973106.0,84300444.0,87768927.0,91116935.0,95670177.0,98310966.0,109963887.0,110440287.0,114157308.0,115302731.0,116496187.0,122928586.0,150121038.0,152641640.0,153026901.0,153964022.0,159558009.0,175109934.0,178213885.0,178779512.0,187551831.0,188916872.0,191002896.0,206427456.0,210824047.0,211993075.0,220836472.0,228637188.0,236891946.0,237229160.0,239888213.0,241204597.0,241314646.0,243997708.0,245846037.0,247390322.0,247668347.0,251106916.0,251307686.0,252096845.0,252631263.0,253434712.0,254147837.0,254600767.0,254978611.0,255056286.0,255159838.0,257592414.0,259162548.0,260152231.0,261905897.0,262325178.0,263022323.0,263225101.0,264786944.0,265284076.0,268201473.0,268225276.0,269535015.0,271397016.0,271623881.0,271791007.0,272100932.0,274052325.0,275295716.0,277143002.0,278431499.0,279874013.0,281553266.0,281649637.0,283217424.0,285808644.0,286558215.0,289235686.0,289680934.0,292029158.0,293580185.0,294017046.0,295366074.0,295483749.0,298110296.0,302843734.0,304008017.0,304238385.0,305787501.0,306615611.0,309041796.0,309987680.0,310340959.0,310790644.0,311167307.0,313983586.0,314427139.0,316449522.0,320274657.0,320987299.0,323340387.0,330185697.0,331304811.0,332416925.0,337644733.0,338940817.0,357330663.0,360807903.0,361947583.0,373114611.0,376499390.0,379241039.0,379379068.0,382632135.0,383162046.0,385068798.0,385090839.0,387115028.0,387150138.0,387346317.0,387850747.0,391021685.0,391919802.0,396170868.0,405848230.0,406311459.0,411999037.0,413741163.0,419538130.0,427111253.0,429747849.0,431973854.0,432662974.0,432868990.0,436879314.0
1,16094831.0,0.0,61.0,3.0,82.0,129.0,0.0,13.0,77.0,3.0,0.0,38.0,6.0,2.0,24.0,15.0,0.0,78.0,6.0,0.0,20.0,77.0,0.0,3.0,30.0,10.0,17.0,5.0,10.0,7.0,27.0,6.0,0.0,6.0,12.0,42.0,15.0,8.0,14.0,16.0,139.0,5.0,3.0,16.0,4.0,2.0,22.0,5.0,21.0,1.0,5.0,19.0,1.0,3.0,6.0,2.0,3.0,30.0,41.0,127.0,14.0,58.0,72.0,1.0,3.0,3.0,6.0,0.0,0.0,28.0,6.0,24.0,4.0,18.0,83.0,7.0,75.0,64.0,25.0,10.0,4.0,53.0,2.0,18.0,12.0,6.0,5.0,5.0,2.0,8.0,12.0,4.0,2.0,14.0,5.0,0.0,1.0,3.0,7.0,22.0,37.0,2.0,0.0,4.0,6.0,42.0,3.0,76.0,14.0,18.0,7.0,17.0,10.0,0.0,1.0,15.0,5.0,5.0,14.0,9.0,11.0,0.0,0.0,109.0,0.0,7.0,35.0,0.0,0.0,2.0,26.0,0.0,0.0,0.0,1.0,12.0,1.0,2.0,0.0,0.0,16.0,0.0,68.0,0.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,4.0,24.0,0.0,33.0,1.0,10.0
2,17018969.0,61.0,0.0,9.0,224.0,215.0,0.0,31.0,148.0,9.0,0.0,88.0,13.0,8.0,50.0,22.0,3.0,180.0,5.0,0.0,14.0,174.0,0.0,12.0,53.0,36.0,36.0,9.0,23.0,8.0,70.0,9.0,2.0,10.0,18.0,18.0,35.0,22.0,21.0,28.0,168.0,7.0,4.0,16.0,7.0,2.0,52.0,21.0,21.0,1.0,11.0,22.0,2.0,12.0,22.0,14.0,5.0,116.0,69.0,88.0,17.0,98.0,148.0,8.0,9.0,2.0,10.0,0.0,1.0,28.0,8.0,50.0,1.0,13.0,123.0,5.0,137.0,110.0,31.0,15.0,8.0,114.0,23.0,12.0,9.0,12.0,9.0,10.0,14.0,13.0,28.0,4.0,12.0,13.0,8.0,0.0,4.0,5.0,10.0,35.0,63.0,4.0,0.0,11.0,9.0,65.0,1.0,75.0,11.0,25.0,11.0,38.0,6.0,0.0,0.0,42.0,7.0,10.0,47.0,7.0,25.0,1.0,0.0,110.0,2.0,11.0,57.0,2.0,0.0,2.0,54.0,0.0,0.0,3.0,10.0,14.0,1.0,1.0,0.0,1.0,16.0,0.0,25.0,1.0,37.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,6.0,6.0,31.0,1.0,8.0,0.0,7.0
3,17588396.0,3.0,9.0,0.0,8.0,4.0,0.0,4.0,1.0,27.0,4.0,9.0,0.0,0.0,1.0,15.0,0.0,16.0,2.0,0.0,0.0,3.0,0.0,16.0,4.0,2.0,2.0,27.0,1.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,2.0,17.0,2.0,10.0,12.0,0.0,1.0,0.0,8.0,2.0,0.0,41.0,0.0,5.0,4.0,2.0,10.0,3.0,1.0,1.0,6.0,0.0,7.0,14.0,17.0,12.0,2.0,2.0,4.0,14.0,2.0,4.0,25.0,17.0,0.0,5.0,15.0,3.0,26.0,2.0,9.0,23.0,10.0,0.0,3.0,3.0,5.0,8.0,27.0,2.0,0.0,3.0,10.0,8.0,1.0,4.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,14.0,0.0,0.0,0.0,2.0,7.0,11.0,9.0,4.0,11.0,30.0,12.0,5.0,0.0,3.0,0.0,3.0,1.0,2.0,29.0,0.0,3.0,0.0,2.0,0.0,1.0,2.0,6.0,2.0,2.0,4.0,2.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,4.0,6.0,0.0,1.0,0.0
4,18021621.0,82.0,224.0,8.0,0.0,358.0,0.0,47.0,206.0,9.0,0.0,298.0,13.0,11.0,85.0,15.0,3.0,241.0,15.0,0.0,47.0,144.0,0.0,10.0,135.0,40.0,56.0,5.0,62.0,1.0,85.0,19.0,0.0,29.0,13.0,15.0,45.0,23.0,34.0,13.0,217.0,11.0,6.0,47.0,5.0,4.0,94.0,9.0,38.0,0.0,21.0,30.0,4.0,17.0,22.0,21.0,0.0,155.0,94.0,149.0,8.0,134.0,107.0,2.0,5.0,1.0,11.0,1.0,0.0,35.0,16.0,80.0,1.0,7.0,105.0,9.0,318.0,216.0,19.0,28.0,8.0,209.0,1.0,11.0,14.0,9.0,13.0,9.0,4.0,10.0,26.0,8.0,6.0,4.0,21.0,2.0,2.0,6.0,7.0,39.0,83.0,5.0,0.0,8.0,8.0,160.0,2.0,92.0,23.0,25.0,1.0,23.0,0.0,0.0,2.0,39.0,11.0,13.0,55.0,11.0,27.0,3.0,0.0,132.0,1.0,13.0,130.0,0.0,2.0,7.0,51.0,0.0,3.0,3.0,0.0,56.0,2.0,3.0,2.0,0.0,13.0,0.0,26.0,3.0,51.0,6.0,5.0,0.0,0.0,0.0,0.0,33.0,2.0,1.0,5.0,67.0,1.0,7.0,0.0,34.0
5,18200615.0,129.0,215.0,4.0,358.0,0.0,0.0,75.0,571.0,12.0,0.0,305.0,71.0,13.0,169.0,22.0,2.0,368.0,17.0,0.0,91.0,277.0,0.0,7.0,153.0,41.0,89.0,9.0,69.0,9.0,192.0,23.0,1.0,49.0,21.0,18.0,55.0,32.0,41.0,9.0,329.0,27.0,7.0,88.0,6.0,4.0,147.0,15.0,60.0,2.0,30.0,42.0,3.0,21.0,42.0,15.0,0.0,173.0,105.0,268.0,7.0,175.0,268.0,9.0,7.0,3.0,51.0,2.0,1.0,57.0,28.0,142.0,3.0,9.0,136.0,12.0,426.0,309.0,34.0,33.0,10.0,315.0,6.0,24.0,14.0,16.0,35.0,17.0,8.0,20.0,40.0,17.0,19.0,7.0,19.0,2.0,7.0,19.0,19.0,75.0,118.0,19.0,0.0,15.0,8.0,221.0,6.0,236.0,41.0,55.0,1.0,32.0,3.0,0.0,2.0,123.0,21.0,7.0,143.0,10.0,72.0,2.0,0.0,182.0,2.0,30.0,160.0,0.0,2.0,15.0,125.0,0.0,4.0,5.0,3.0,38.0,3.0,14.0,3.0,0.0,31.0,0.0,34.0,3.0,63.0,6.0,2.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,3.0,117.0,1.0,9.0,1.0,40.0
6,19088781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,19659624.0,13.0,31.0,4.0,47.0,75.0,0.0,0.0,32.0,12.0,0.0,93.0,0.0,11.0,24.0,5.0,2.0,44.0,9.0,0.0,36.0,29.0,0.0,3.0,35.0,5.0,15.0,7.0,22.0,0.0,36.0,7.0,0.0,32.0,3.0,2.0,11.0,4.0,16.0,2.0,48.0,6.0,4.0,19.0,2.0,2.0,2.0,6.0,19.0,1.0,14.0,11.0,0.0,2.0,7.0,20.0,0.0,13.0,36.0,20.0,1.0,31.0,21.0,0.0,0.0,2.0,10.0,0.0,0.0,10.0,2.0,21.0,0.0,1.0,16.0,1.0,51.0,54.0,6.0,9.0,6.0,42.0,0.0,2.0,10.0,1.0,4.0,1.0,0.0,5.0,28.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,17.0,18.0,2.0,0.0,1.0,3.0,85.0,0.0,24.0,8.0,12.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,1.0,11.0,4.0,0.0,0.0,0.0,45.0,0.0,5.0,39.0,0.0,0.0,1.0,12.0,0.0,1.0,2.0,1.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,15.0,0.0,1.0,1.0,11.0
8,25161342.0,77.0,148.0,1.0,206.0,571.0,0.0,32.0,0.0,3.0,0.0,134.0,45.0,16.0,184.0,19.0,2.0,248.0,12.0,0.0,35.0,246.0,1.0,3.0,96.0,24.0,64.0,2.0,29.0,0.0,108.0,11.0,3.0,17.0,16.0,7.0,25.0,11.0,21.0,7.0,208.0,10.0,6.0,62.0,1.0,1.0,118.0,11.0,34.0,0.0,6.0,21.0,1.0,26.0,19.0,8.0,0.0,126.0,64.0,178.0,7.0,115.0,150.0,5.0,4.0,1.0,50.0,0.0,0.0,28.0,12.0,77.0,0.0,6.0,111.0,4.0,280.0,122.0,8.0,29.0,4.0,292.0,8.0,4.0,6.0,18.0,17.0,4.0,15.0,6.0,27.0,3.0,17.0,2.0,10.0,1.0,4.0,4.0,3.0,46.0,75.0,3.0,0.0,14.0,7.0,132.0,1.0,134.0,19.0,21.0,2.0,34.0,0.0,0.0,0.0,135.0,12.0,6.0,124.0,3.0,56.0,1.0,0.0,123.0,0.0,12.0,107.0,0.0,0.0,6.0,59.0,0.0,2.0,3.0,1.0,24.0,1.0,2.0,0.0,0.0,8.0,1.0,19.0,0.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,2.0,65.0,2.0,2.0,0.0,24.0
9,26105783.0,3.0,9.0,27.0,9.0,12.0,0.0,12.0,3.0,0.0,3.0,17.0,0.0,1.0,1.0,9.0,1.0,15.0,4.0,0.0,3.0,7.0,0.0,11.0,3.0,5.0,3.0,57.0,2.0,5.0,5.0,9.0,1.0,4.0,6.0,2.0,0.0,6.0,7.0,6.0,18.0,1.0,2.0,1.0,2.0,1.0,1.0,59.0,4.0,5.0,6.0,5.0,6.0,1.0,1.0,1.0,4.0,2.0,6.0,10.0,8.0,10.0,11.0,2.0,1.0,14.0,2.0,6.0,27.0,8.0,1.0,4.0,25.0,7.0,22.0,1.0,8.0,42.0,3.0,0.0,3.0,10.0,3.0,7.0,45.0,0.0,1.0,2.0,8.0,5.0,2.0,0.0,0.0,8.0,4.0,0.0,0.0,1.0,1.0,4.0,9.0,0.0,0.0,0.0,1.0,15.0,6.0,17.0,2.0,13.0,49.0,7.0,6.0,0.0,2.0,0.0,1.0,0.0,5.0,71.0,0.0,3.0,0.0,6.0,1.0,0.0,11.0,8.0,0.0,1.0,4.0,0.0,2.0,3.0,38.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,9.0,0.0,2.0,0.0,3.0
