,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
0,-1.0,11277572.0,14894671.0,15439100.0,16542687.0,17650854.0,18454892.0,19042030.0,19512791.0,19938782.0,20263645.0,22391773.0,23023443.0,23934422.0,25406279.0,27414505.0,28135772.0,29662823.0,42910193.0,47107118.0,47625088.0,47628437.0,47962856.0,47987652.0,48307172.0,48376323.0,48825712.0,48959778.0,49174862.0,49472202.0,50645038.0,52696957.0,53223847.0,56726017.0,64209306.0,66647830.0,72761871.0,73916481.0,74481416.0,85738930.0,86976234.0,95169094.0,98724873.0,103144765.0,106039297.0,109315857.0,111950228.0,117967849.0,124578114.0,144065119.0,146815718.0,165318041.0,180261346.0,183138723.0,192211801.0,192477353.0,194008664.0,217078361.0,235614474.0,242303675.0,243694087.0,244673951.0,244896607.0,245901604.0,247182392.0,250722768.0,251766570.0,255056286.0,255164348.0,257471968.0,260377929.0,260706920.0,261537291.0,263022323.0,264796466.0,265530743.0,266133951.0,272259832.0,272323854.0,272521025.0,272866147.0,273005601.0,274018215.0,275402193.0,277483604.0,278440078.0,285140553.0,285181021.0,287425961.0,288479798.0,288599704.0,290530096.0,303073117.0,304035334.0,305882242.0,306425055.0,308047805.0,312896307.0,314472089.0,315212695.0,318358387.0,319313480.0,322751229.0,322844100.0,323559063.0,325509780.0,325774787.0,330994588.0,331103789.0,333904942.0,334472942.0,338676684.0,343800608.0,343827613.0,345875168.0,352699452.0,358982116.0,359509980.0,361337650.0,361525299.0,361947583.0,362678880.0,364481118.0,365021388.0,366250095.0,367279583.0,369028288.0,369820320.0,374202786.0,380572608.0,390924797.0,394709673.0,396170119.0,396995779.0,399232274.0,402294835.0,412663554.0,420653865.0,430530678.0,432687183.0
1,11277572.0,0.0,4.0,39.0,3.0,8.0,1.0,17.0,6.0,3.0,17.0,3.0,6.0,10.0,1.0,7.0,8.0,32.0,1.0,9.0,2.0,0.0,92.0,4.0,0.0,2.0,1.0,10.0,2.0,3.0,20.0,15.0,8.0,16.0,0.0,2.0,5.0,0.0,3.0,55.0,4.0,1.0,0.0,13.0,4.0,3.0,6.0,11.0,12.0,26.0,0.0,0.0,39.0,32.0,0.0,34.0,7.0,30.0,5.0,0.0,5.0,4.0,1.0,8.0,5.0,4.0,0.0,2.0,3.0,37.0,11.0,18.0,9.0,18.0,0.0,2.0,0.0,14.0,78.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,6.0,0.0,4.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,26.0,5.0,25.0,0.0,4.0,1.0,11.0,0.0,0.0,0.0,8.0,0.0,58.0,3.0,78.0,0.0,14.0,75.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0
2,14894671.0,4.0,0.0,25.0,3.0,2.0,4.0,11.0,0.0,18.0,1.0,1.0,3.0,7.0,1.0,2.0,10.0,0.0,1.0,30.0,0.0,0.0,7.0,11.0,0.0,2.0,0.0,7.0,1.0,2.0,13.0,5.0,0.0,5.0,0.0,2.0,4.0,1.0,2.0,21.0,5.0,1.0,1.0,18.0,13.0,28.0,3.0,11.0,12.0,5.0,0.0,1.0,2.0,2.0,0.0,18.0,4.0,15.0,13.0,0.0,7.0,2.0,1.0,3.0,7.0,2.0,1.0,3.0,3.0,4.0,15.0,9.0,16.0,5.0,1.0,17.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,2.0,1.0,5.0,6.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,1.0,7.0,1.0,1.0,17.0,3.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,17.0,16.0,14.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,5.0,1.0,0.0,6.0,0.0
3,15439100.0,39.0,25.0,0.0,22.0,30.0,24.0,70.0,34.0,44.0,24.0,21.0,35.0,54.0,1.0,37.0,123.0,44.0,4.0,75.0,4.0,2.0,193.0,34.0,0.0,8.0,0.0,30.0,8.0,18.0,88.0,39.0,12.0,51.0,0.0,9.0,25.0,0.0,11.0,270.0,26.0,0.0,1.0,340.0,31.0,117.0,17.0,62.0,56.0,55.0,0.0,1.0,57.0,18.0,0.0,229.0,24.0,65.0,92.0,1.0,27.0,18.0,14.0,38.0,21.0,13.0,4.0,11.0,20.0,90.0,109.0,61.0,44.0,60.0,0.0,140.0,0.0,6.0,45.0,0.0,1.0,0.0,0.0,2.0,0.0,49.0,23.0,1.0,12.0,7.0,0.0,13.0,4.0,0.0,8.0,1.0,0.0,18.0,7.0,0.0,153.0,18.0,40.0,0.0,5.0,6.0,4.0,0.0,0.0,0.0,55.0,2.0,90.0,44.0,118.0,1.0,49.0,22.0,0.0,1.0,2.0,0.0,64.0,0.0,0.0,0.0,181.0,2.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,61.0,2.0,0.0,8.0,0.0
4,16542687.0,3.0,3.0,22.0,0.0,40.0,3.0,161.0,13.0,14.0,2.0,13.0,48.0,142.0,4.0,18.0,101.0,23.0,1.0,84.0,55.0,10.0,30.0,8.0,0.0,34.0,14.0,30.0,106.0,54.0,131.0,35.0,116.0,26.0,1.0,8.0,22.0,3.0,15.0,60.0,111.0,3.0,0.0,5.0,9.0,4.0,44.0,39.0,37.0,19.0,0.0,0.0,17.0,0.0,0.0,256.0,20.0,91.0,18.0,3.0,4.0,8.0,12.0,46.0,45.0,9.0,1.0,19.0,23.0,27.0,60.0,63.0,3.0,69.0,0.0,10.0,0.0,1.0,10.0,3.0,2.0,0.0,0.0,3.0,2.0,18.0,29.0,5.0,7.0,12.0,0.0,17.0,2.0,1.0,11.0,2.0,0.0,10.0,8.0,2.0,15.0,5.0,5.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,56.0,0.0,20.0,3.0,25.0,0.0,34.0,12.0,0.0,0.0,1.0,1.0,30.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,2.0,3.0,1.0,12.0,0.0
5,17650854.0,8.0,2.0,30.0,40.0,0.0,11.0,80.0,14.0,12.0,4.0,25.0,40.0,35.0,1.0,47.0,47.0,9.0,1.0,56.0,11.0,5.0,20.0,16.0,0.0,6.0,0.0,24.0,1.0,9.0,149.0,72.0,12.0,40.0,0.0,11.0,11.0,0.0,13.0,72.0,36.0,0.0,0.0,5.0,4.0,3.0,37.0,92.0,58.0,22.0,0.0,1.0,43.0,3.0,1.0,325.0,30.0,66.0,18.0,0.0,5.0,19.0,18.0,56.0,48.0,9.0,0.0,14.0,24.0,24.0,55.0,118.0,2.0,135.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,28.0,30.0,0.0,11.0,4.0,0.0,13.0,2.0,0.0,6.0,0.0,1.0,28.0,7.0,0.0,32.0,2.0,17.0,0.0,3.0,5.0,10.0,0.0,0.0,0.0,36.0,1.0,25.0,2.0,22.0,0.0,77.0,34.0,0.0,1.0,2.0,0.0,262.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,20.0,0.0
6,18454892.0,1.0,4.0,24.0,3.0,11.0,0.0,48.0,13.0,23.0,2.0,18.0,18.0,25.0,1.0,17.0,41.0,1.0,9.0,55.0,4.0,6.0,3.0,31.0,0.0,3.0,0.0,37.0,2.0,14.0,59.0,79.0,1.0,29.0,0.0,17.0,16.0,2.0,20.0,45.0,20.0,0.0,1.0,0.0,16.0,3.0,12.0,70.0,53.0,26.0,0.0,1.0,10.0,0.0,0.0,60.0,25.0,69.0,17.0,1.0,9.0,20.0,12.0,24.0,25.0,17.0,7.0,14.0,15.0,15.0,26.0,67.0,2.0,20.0,0.0,13.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,6.0,2.0,18.0,24.0,5.0,13.0,8.0,0.0,7.0,5.0,0.0,3.0,1.0,0.0,5.0,10.0,1.0,29.0,12.0,5.0,0.0,17.0,4.0,4.0,0.0,1.0,0.0,17.0,0.0,29.0,13.0,7.0,0.0,41.0,7.0,0.0,0.0,2.0,0.0,45.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0
7,19042030.0,17.0,11.0,70.0,161.0,80.0,48.0,0.0,46.0,68.0,6.0,35.0,105.0,250.0,1.0,42.0,263.0,22.0,18.0,204.0,64.0,12.0,37.0,58.0,0.0,39.0,17.0,86.0,103.0,84.0,317.0,153.0,112.0,84.0,0.0,32.0,40.0,6.0,41.0,224.0,348.0,4.0,0.0,11.0,30.0,8.0,75.0,237.0,188.0,66.0,0.0,2.0,57.0,7.0,1.0,471.0,76.0,233.0,61.0,3.0,25.0,57.0,44.0,111.0,135.0,31.0,7.0,43.0,48.0,51.0,106.0,197.0,7.0,154.0,2.0,11.0,0.0,5.0,13.0,2.0,2.0,0.0,1.0,13.0,3.0,59.0,77.0,17.0,47.0,28.0,0.0,24.0,7.0,1.0,18.0,2.0,1.0,28.0,21.0,2.0,102.0,30.0,24.0,0.0,8.0,10.0,21.0,0.0,1.0,0.0,169.0,6.0,76.0,25.0,47.0,0.0,139.0,28.0,0.0,1.0,2.0,0.0,194.0,0.0,0.0,0.0,72.0,4.0,0.0,0.0,11.0,0.0,12.0,0.0,0.0,5.0,5.0,1.0,61.0,0.0
8,19512791.0,6.0,0.0,34.0,13.0,14.0,13.0,46.0,0.0,13.0,9.0,18.0,11.0,21.0,1.0,23.0,83.0,15.0,9.0,84.0,6.0,9.0,37.0,11.0,0.0,8.0,1.0,43.0,4.0,11.0,86.0,67.0,10.0,45.0,0.0,10.0,18.0,1.0,20.0,76.0,16.0,2.0,1.0,14.0,16.0,13.0,14.0,66.0,67.0,25.0,0.0,1.0,9.0,5.0,0.0,127.0,37.0,89.0,25.0,3.0,6.0,15.0,17.0,107.0,45.0,13.0,8.0,12.0,16.0,59.0,31.0,353.0,3.0,54.0,0.0,47.0,0.0,4.0,13.0,0.0,1.0,0.0,0.0,2.0,1.0,17.0,19.0,7.0,15.0,9.0,0.0,14.0,7.0,1.0,5.0,2.0,0.0,15.0,14.0,1.0,47.0,21.0,7.0,0.0,8.0,1.0,21.0,0.0,0.0,0.0,45.0,1.0,42.0,8.0,28.0,1.0,92.0,11.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,6.0,2.0,0.0,10.0,0.0
9,19938782.0,3.0,18.0,44.0,14.0,12.0,23.0,68.0,13.0,0.0,1.0,9.0,22.0,37.0,1.0,15.0,68.0,3.0,8.0,44.0,7.0,3.0,3.0,43.0,1.0,3.0,4.0,21.0,8.0,12.0,54.0,34.0,7.0,27.0,1.0,7.0,10.0,2.0,16.0,69.0,29.0,1.0,0.0,1.0,9.0,3.0,16.0,71.0,57.0,15.0,0.0,2.0,16.0,2.0,0.0,86.0,24.0,41.0,18.0,1.0,5.0,24.0,17.0,33.0,42.0,12.0,9.0,10.0,12.0,14.0,40.0,59.0,5.0,41.0,1.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,20.0,23.0,6.0,14.0,7.0,0.0,4.0,4.0,0.0,5.0,0.0,0.0,9.0,6.0,1.0,29.0,8.0,11.0,0.0,4.0,1.0,7.0,0.0,1.0,0.0,19.0,1.0,27.0,14.0,7.0,0.0,41.0,6.0,0.0,0.0,2.0,0.0,69.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0
