,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212
0,-1.0,11277572.0,14272685.0,16014100.0,16094831.0,18614189.0,20530938.0,24356051.0,26105783.0,30709612.0,39006021.0,39082174.0,40569347.0,42739073.0,48959778.0,49923648.0,55740248.0,56655188.0,60585863.0,69583235.0,72234959.0,73916481.0,75055396.0,89177607.0,90498713.0,93278929.0,96894552.0,99361036.0,100664808.0,108295368.0,109980164.0,110440287.0,112994408.0,113855131.0,115773894.0,117802966.0,119773949.0,127605015.0,132158439.0,136668589.0,144105935.0,147928901.0,149535231.0,150881077.0,153949977.0,162505712.0,170071502.0,172511268.0,182163463.0,183351597.0,185954746.0,191702026.0,192001756.0,192477353.0,197635196.0,209651406.0,210824047.0,218597918.0,219659125.0,222536374.0,222579087.0,224682566.0,231223129.0,234441021.0,235047393.0,235372141.0,237519969.0,238569259.0,240729286.0,241645436.0,243701486.0,244101797.0,244688337.0,244896607.0,245358628.0,250073523.0,250650627.0,251189759.0,251988819.0,252266246.0,252379338.0,252966801.0,254758878.0,255194515.0,256469367.0,256499594.0,256694119.0,257917968.0,261905897.0,263022323.0,263047153.0,264244760.0,265426200.0,265530743.0,265546802.0,266705977.0,268184418.0,268287640.0,269373693.0,269804955.0,270762885.0,271428783.0,271964683.0,272308325.0,273889354.0,274018215.0,274801038.0,275950820.0,276891481.0,277399791.0,277483882.0,278440078.0,279210280.0,279573378.0,281669464.0,282259323.0,286094270.0,286124895.0,287049366.0,287235288.0,288104925.0,288148735.0,288599704.0,290436372.0,290475147.0,291612746.0,295342500.0,296380542.0,297989890.0,298112519.0,301514075.0,301570099.0,302144631.0,302448097.0,303023467.0,304068502.0,305655386.0,306461651.0,306859222.0,306965856.0,307482801.0,308399691.0,309614442.0,310815355.0,311649351.0,312114250.0,317262357.0,317678508.0,319763766.0,320982449.0,324695696.0,326341109.0,327600729.0,328161023.0,329921417.0,330061277.0,330229987.0,330994588.0,331210417.0,332731784.0,333502347.0,335432912.0,337057465.0,337273196.0,338936677.0,339034131.0,339620058.0,340083765.0,342062276.0,342615871.0,346768427.0,348842066.0,349217591.0,349771140.0,350202078.0,350545056.0,353216460.0,354708537.0,356510378.0,359179176.0,361525299.0,363553160.0,364514081.0,367132807.0,368229348.0,369028288.0,369489416.0,376306383.0,378148257.0,385090839.0,386633221.0,389994375.0,390677644.0,393925685.0,394035897.0,396170868.0,397179336.0,399002639.0,405438023.0,408554407.0,411614267.0,412179886.0,412663554.0,414772326.0,424560925.0,427111253.0,427228606.0,427889159.0,433293420.0,433935305.0,436029388.0,439248154.0,439526266.0
1,11277572.0,0.0,10.0,10.0,1.0,0.0,5.0,27.0,2.0,6.0,3.0,11.0,24.0,1.0,10.0,7.0,19.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,4.0,14.0,5.0,0.0,33.0,15.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,65.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,34.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,3.0,1.0,0.0,0.0,18.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,37.0,0.0,0.0,0.0,2.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,46.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2,14272685.0,10.0,0.0,3.0,34.0,6.0,43.0,222.0,31.0,2.0,23.0,101.0,165.0,37.0,63.0,112.0,69.0,6.0,0.0,20.0,31.0,55.0,16.0,16.0,5.0,16.0,0.0,9.0,6.0,33.0,23.0,24.0,38.0,9.0,41.0,24.0,0.0,11.0,28.0,7.0,20.0,75.0,0.0,49.0,7.0,22.0,10.0,7.0,24.0,3.0,33.0,50.0,0.0,178.0,3.0,27.0,6.0,15.0,6.0,35.0,8.0,60.0,18.0,7.0,10.0,0.0,25.0,9.0,8.0,15.0,113.0,7.0,7.0,34.0,13.0,11.0,2.0,20.0,41.0,6.0,24.0,14.0,9.0,5.0,41.0,61.0,32.0,8.0,9.0,61.0,0.0,14.0,10.0,10.0,13.0,12.0,11.0,7.0,23.0,52.0,46.0,58.0,17.0,13.0,5.0,10.0,0.0,2.0,55.0,5.0,0.0,45.0,125.0,5.0,24.0,0.0,12.0,7.0,37.0,18.0,22.0,5.0,0.0,15.0,1.0,36.0,14.0,2.0,8.0,5.0,23.0,9.0,3.0,0.0,1.0,6.0,19.0,30.0,10.0,20.0,13.0,0.0,2.0,10.0,3.0,7.0,1.0,9.0,32.0,17.0,26.0,1.0,11.0,4.0,11.0,43.0,14.0,0.0,10.0,31.0,64.0,29.0,11.0,4.0,2.0,27.0,93.0,0.0,8.0,10.0,13.0,54.0,0.0,8.0,26.0,0.0,156.0,29.0,0.0,19.0,1.0,6.0,6.0,35.0,16.0,62.0,5.0,37.0,25.0,0.0,24.0,0.0,23.0,0.0,28.0,0.0,6.0,18.0,61.0,23.0,1.0,4.0,6.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0
3,16014100.0,10.0,3.0,0.0,0.0,67.0,9.0,4.0,0.0,72.0,3.0,15.0,34.0,0.0,11.0,3.0,20.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,121.0,3.0,0.0,0.0,0.0,9.0,29.0,8.0,4.0,0.0,35.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,63.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,537.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,1.0,0.0,8.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,10.0,2.0,0.0,26.0,0.0,49.0,0.0,1.0,0.0,61.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,17.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,55.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,158.0,1.0,0.0,0.0,1.0,5.0,3.0,818.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,9.0,243.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,86.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
4,16094831.0,1.0,34.0,0.0,0.0,0.0,112.0,86.0,3.0,1.0,27.0,89.0,53.0,16.0,27.0,49.0,12.0,3.0,0.0,18.0,24.0,17.0,6.0,13.0,0.0,24.0,0.0,9.0,3.0,17.0,11.0,15.0,27.0,7.0,5.0,5.0,0.0,4.0,4.0,6.0,14.0,1.0,0.0,23.0,0.0,16.0,2.0,0.0,16.0,1.0,1.0,46.0,0.0,72.0,1.0,15.0,3.0,9.0,0.0,11.0,6.0,28.0,3.0,0.0,7.0,0.0,74.0,7.0,8.0,0.0,33.0,3.0,3.0,21.0,8.0,16.0,2.0,18.0,8.0,5.0,21.0,11.0,1.0,9.0,54.0,29.0,3.0,0.0,10.0,53.0,0.0,2.0,7.0,1.0,8.0,2.0,10.0,0.0,1.0,6.0,25.0,30.0,9.0,13.0,4.0,0.0,0.0,0.0,15.0,2.0,0.0,35.0,2.0,5.0,8.0,0.0,7.0,7.0,6.0,12.0,8.0,5.0,0.0,5.0,1.0,21.0,0.0,0.0,10.0,1.0,16.0,0.0,1.0,0.0,0.0,2.0,10.0,22.0,4.0,8.0,2.0,0.0,1.0,0.0,3.0,4.0,1.0,0.0,19.0,9.0,1.0,2.0,1.0,1.0,6.0,32.0,8.0,0.0,3.0,7.0,17.0,35.0,6.0,3.0,2.0,7.0,54.0,0.0,1.0,3.0,2.0,7.0,0.0,5.0,3.0,0.0,53.0,1.0,0.0,8.0,0.0,3.0,1.0,6.0,5.0,17.0,2.0,19.0,20.0,0.0,12.0,0.0,5.0,0.0,18.0,0.0,1.0,3.0,96.0,15.0,4.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
5,18614189.0,0.0,6.0,67.0,0.0,0.0,3.0,49.0,1.0,255.0,1.0,10.0,15.0,2.0,9.0,7.0,65.0,0.0,7.0,3.0,3.0,1.0,1.0,0.0,1220.0,1.0,0.0,0.0,1.0,11.0,6.0,3.0,1.0,0.0,39.0,1.0,0.0,0.0,53.0,0.0,2.0,0.0,1.0,17.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,247.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,21.0,0.0,8.0,0.0,0.0,0.0,656.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,3.0,1.0,77.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
6,20530938.0,5.0,43.0,9.0,112.0,3.0,0.0,90.0,8.0,3.0,35.0,104.0,80.0,13.0,31.0,39.0,24.0,3.0,1.0,29.0,22.0,19.0,8.0,21.0,9.0,25.0,0.0,3.0,1.0,35.0,25.0,19.0,36.0,5.0,12.0,11.0,0.0,1.0,13.0,2.0,7.0,0.0,2.0,23.0,1.0,16.0,5.0,0.0,38.0,1.0,5.0,67.0,0.0,123.0,2.0,16.0,11.0,15.0,7.0,5.0,9.0,37.0,6.0,0.0,5.0,0.0,115.0,49.0,20.0,1.0,52.0,6.0,2.0,29.0,17.0,16.0,1.0,23.0,9.0,3.0,23.0,13.0,5.0,4.0,55.0,26.0,2.0,1.0,15.0,92.0,0.0,2.0,4.0,6.0,9.0,2.0,3.0,2.0,0.0,4.0,23.0,17.0,14.0,9.0,3.0,3.0,0.0,2.0,12.0,0.0,0.0,42.0,5.0,8.0,11.0,0.0,5.0,5.0,5.0,8.0,13.0,4.0,0.0,7.0,1.0,21.0,0.0,0.0,12.0,2.0,14.0,0.0,4.0,0.0,1.0,2.0,11.0,24.0,1.0,8.0,3.0,0.0,1.0,0.0,2.0,5.0,1.0,0.0,26.0,9.0,2.0,3.0,4.0,0.0,3.0,28.0,10.0,0.0,1.0,3.0,36.0,22.0,3.0,3.0,1.0,3.0,40.0,5.0,0.0,3.0,1.0,12.0,0.0,5.0,0.0,0.0,47.0,19.0,0.0,8.0,1.0,1.0,1.0,5.0,2.0,25.0,1.0,24.0,15.0,0.0,11.0,0.0,5.0,0.0,13.0,0.0,0.0,3.0,152.0,13.0,3.0,1.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0
7,24356051.0,27.0,222.0,4.0,86.0,49.0,90.0,0.0,50.0,8.0,70.0,251.0,277.0,159.0,140.0,248.0,140.0,56.0,1.0,55.0,69.0,83.0,18.0,67.0,32.0,75.0,0.0,31.0,33.0,58.0,28.0,49.0,91.0,66.0,88.0,66.0,0.0,33.0,118.0,16.0,106.0,17.0,5.0,140.0,82.0,63.0,15.0,18.0,67.0,8.0,16.0,68.0,0.0,337.0,40.0,138.0,97.0,45.0,4.0,69.0,40.0,152.0,54.0,4.0,32.0,0.0,55.0,13.0,19.0,10.0,256.0,22.0,63.0,127.0,31.0,133.0,5.0,38.0,58.0,12.0,56.0,27.0,18.0,65.0,132.0,296.0,30.0,12.0,28.0,164.0,0.0,13.0,15.0,49.0,19.0,18.0,87.0,15.0,11.0,73.0,231.0,380.0,30.0,115.0,20.0,14.0,0.0,3.0,82.0,5.0,0.0,91.0,32.0,48.0,153.0,0.0,32.0,15.0,47.0,42.0,33.0,143.0,0.0,112.0,3.0,65.0,2.0,3.0,94.0,77.0,77.0,4.0,17.0,0.0,2.0,6.0,38.0,50.0,12.0,142.0,29.0,3.0,7.0,28.0,11.0,10.0,1.0,5.0,128.0,49.0,111.0,2.0,15.0,2.0,55.0,65.0,152.0,3.0,14.0,80.0,91.0,244.0,16.0,5.0,9.0,61.0,151.0,3.0,9.0,6.0,9.0,35.0,0.0,12.0,63.0,0.0,358.0,44.0,0.0,62.0,1.0,10.0,2.0,71.0,48.0,170.0,6.0,333.0,129.0,0.0,58.0,2.0,67.0,0.0,44.0,0.0,31.0,43.0,121.0,249.0,28.0,10.0,18.0,15.0,0.0,18.0,0.0,0.0,0.0,0.0,97.0,2.0,0.0
8,26105783.0,2.0,31.0,0.0,3.0,1.0,8.0,50.0,0.0,0.0,4.0,13.0,17.0,21.0,3.0,59.0,10.0,19.0,1.0,5.0,9.0,56.0,3.0,10.0,2.0,7.0,0.0,1.0,3.0,7.0,3.0,0.0,4.0,2.0,5.0,7.0,0.0,5.0,4.0,2.0,13.0,2.0,0.0,5.0,4.0,15.0,6.0,11.0,5.0,0.0,0.0,10.0,0.0,20.0,2.0,10.0,1.0,29.0,3.0,14.0,3.0,7.0,72.0,0.0,4.0,0.0,3.0,18.0,1.0,2.0,85.0,1.0,20.0,2.0,2.0,5.0,1.0,1.0,14.0,1.0,5.0,0.0,2.0,8.0,13.0,7.0,3.0,1.0,0.0,10.0,0.0,2.0,1.0,2.0,2.0,3.0,4.0,25.0,3.0,15.0,10.0,7.0,2.0,3.0,0.0,1.0,0.0,0.0,20.0,2.0,0.0,8.0,3.0,0.0,5.0,0.0,2.0,0.0,5.0,5.0,5.0,2.0,0.0,5.0,4.0,6.0,0.0,0.0,4.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,7.0,5.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,4.0,4.0,20.0,0.0,10.0,5.0,9.0,4.0,0.0,0.0,2.0,24.0,8.0,7.0,1.0,0.0,0.0,10.0,10.0,0.0,8.0,0.0,0.0,6.0,0.0,1.0,2.0,0.0,33.0,21.0,0.0,1.0,0.0,1.0,1.0,1.0,15.0,10.0,2.0,4.0,6.0,0.0,9.0,0.0,7.0,0.0,3.0,0.0,1.0,26.0,1.0,5.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
9,30709612.0,6.0,2.0,72.0,1.0,255.0,3.0,8.0,0.0,0.0,3.0,7.0,10.0,0.0,11.0,3.0,6.0,0.0,0.0,8.0,2.0,1.0,1.0,2.0,540.0,1.0,0.0,0.0,0.0,3.0,9.0,2.0,1.0,1.0,12.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,9.0,12.0,0.0,1.0,0.0,284.0,0.0,3.0,2.0,0.0,0.0,4.0,3.0,5.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,33.0,0.0,27.0,0.0,1.0,0.0,212.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,4.0,3.0,0.0,9.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,37.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,1.0,1.0,2.0,0.0,1.0,21.0,0.0,0.0,2.0,0.0,0.0,8.0,38.0,3.0,0.0,0.0,0.0,36.0,4.0,79.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,9.0,321.0,0.0,3.0,0.0,0.0,1.0,1.0,9.0,47.0,0.0,2.0,1.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0
