,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
0,-1.0,8182262.0,14799078.0,16218776.0,16281428.0,18874964.0,20097381.0,22391773.0,23227841.0,30268171.0,30368137.0,39953073.0,49928644.0,52094731.0,52725453.0,55312746.0,56655188.0,59089780.0,61501388.0,62073342.0,73865568.0,73941777.0,75055396.0,84600122.0,86828262.0,93796425.0,104110348.0,104771512.0,112231053.0,112493816.0,116888570.0,122928586.0,134591353.0,135184399.0,140166985.0,150603823.0,156784756.0,165318041.0,176123374.0,178557358.0,179197815.0,207026848.0,210824047.0,217078361.0,239154848.0,241899180.0,243601314.0,244629589.0,245756822.0,246910512.0,251063595.0,252665775.0,254151122.0,254271915.0,254447025.0,256469367.0,257190136.0,257675249.0,257818606.0,257954909.0,258441624.0,258862057.0,259105109.0,261015924.0,264868558.0,264993227.0,266141540.0,266705977.0,269680826.0,270762885.0,271428783.0,271787365.0,277665230.0,278440078.0,279573378.0,285140553.0,287522691.0,289470327.0,289680934.0,290530096.0,296358688.0,297918960.0,299609107.0,302144631.0,304995526.0,307251688.0,308047805.0,308351999.0,317262357.0,319884979.0,320929194.0,326341109.0,330061277.0,334472942.0,338124660.0,341358223.0,342996698.0,343034025.0,352898157.0,354708537.0,367279583.0,378550330.0,381217446.0,386633221.0,392011965.0,398280277.0,400463050.0,408554407.0,412179886.0,415463353.0,420351613.0,420384227.0,420653865.0,427111253.0
1,8182262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,14799078.0,0.0,0.0,64.0,101.0,12.0,60.0,34.0,46.0,2.0,36.0,0.0,10.0,0.0,2.0,4.0,0.0,1.0,3.0,6.0,7.0,12.0,4.0,4.0,11.0,2.0,0.0,43.0,3.0,0.0,5.0,63.0,1.0,18.0,8.0,2.0,0.0,0.0,1.0,29.0,1.0,0.0,8.0,84.0,77.0,0.0,16.0,2.0,1.0,0.0,8.0,21.0,0.0,0.0,0.0,14.0,14.0,0.0,1.0,61.0,9.0,27.0,11.0,29.0,22.0,6.0,14.0,0.0,0.0,12.0,24.0,14.0,0.0,25.0,6.0,30.0,0.0,1.0,3.0,23.0,68.0,0.0,1.0,1.0,0.0,3.0,0.0,4.0,0.0,10.0,0.0,1.0,17.0,33.0,1.0,1.0,0.0,1.0,2.0,25.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,4.0,0.0,13.0,68.0,0.0,1.0,1.0
3,16218776.0,0.0,64.0,0.0,129.0,162.0,169.0,94.0,290.0,10.0,142.0,14.0,49.0,0.0,17.0,53.0,2.0,10.0,20.0,24.0,15.0,108.0,15.0,12.0,48.0,12.0,6.0,519.0,10.0,3.0,13.0,174.0,4.0,105.0,49.0,13.0,4.0,3.0,10.0,179.0,13.0,2.0,13.0,158.0,57.0,0.0,51.0,48.0,12.0,0.0,161.0,55.0,0.0,0.0,2.0,210.0,126.0,14.0,4.0,23.0,74.0,133.0,13.0,119.0,82.0,38.0,64.0,2.0,0.0,32.0,48.0,349.0,2.0,166.0,15.0,96.0,22.0,2.0,23.0,40.0,100.0,5.0,27.0,28.0,0.0,4.0,0.0,12.0,1.0,122.0,1.0,3.0,66.0,247.0,6.0,7.0,0.0,10.0,8.0,172.0,0.0,7.0,0.0,19.0,57.0,0.0,0.0,15.0,3.0,73.0,94.0,1.0,2.0,4.0
4,16281428.0,0.0,101.0,129.0,0.0,19.0,33.0,46.0,184.0,6.0,38.0,6.0,27.0,2.0,9.0,2.0,9.0,5.0,41.0,16.0,16.0,41.0,9.0,7.0,24.0,13.0,3.0,161.0,4.0,1.0,27.0,159.0,1.0,55.0,33.0,3.0,3.0,1.0,4.0,56.0,5.0,0.0,35.0,192.0,163.0,0.0,74.0,14.0,1.0,0.0,42.0,36.0,1.0,0.0,3.0,65.0,56.0,0.0,2.0,50.0,33.0,82.0,49.0,4.0,109.0,25.0,54.0,1.0,0.0,65.0,136.0,49.0,0.0,70.0,38.0,72.0,12.0,3.0,11.0,67.0,114.0,2.0,15.0,7.0,0.0,10.0,0.0,10.0,2.0,4.0,0.0,4.0,72.0,38.0,3.0,3.0,0.0,1.0,6.0,10.0,0.0,0.0,0.0,19.0,69.0,0.0,0.0,26.0,0.0,58.0,46.0,0.0,4.0,1.0
5,18874964.0,0.0,12.0,162.0,19.0,0.0,21.0,45.0,74.0,7.0,54.0,2.0,4.0,0.0,5.0,0.0,0.0,1.0,3.0,5.0,11.0,29.0,6.0,2.0,13.0,17.0,1.0,117.0,1.0,2.0,2.0,49.0,3.0,20.0,2.0,3.0,1.0,2.0,2.0,43.0,3.0,0.0,2.0,35.0,8.0,0.0,9.0,11.0,0.0,0.0,49.0,31.0,0.0,0.0,1.0,42.0,41.0,5.0,2.0,4.0,11.0,40.0,2.0,11.0,20.0,9.0,14.0,0.0,0.0,7.0,9.0,142.0,0.0,49.0,0.0,22.0,8.0,3.0,5.0,10.0,13.0,0.0,3.0,6.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,16.0,11.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,5.0,15.0,0.0,0.0,3.0,1.0,9.0,28.0,0.0,0.0,3.0
6,20097381.0,0.0,60.0,169.0,33.0,21.0,0.0,28.0,25.0,2.0,21.0,2.0,7.0,0.0,2.0,17.0,1.0,0.0,2.0,2.0,3.0,13.0,2.0,2.0,4.0,1.0,0.0,89.0,0.0,0.0,0.0,27.0,0.0,15.0,3.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,5.0,91.0,39.0,0.0,15.0,4.0,3.0,0.0,15.0,5.0,0.0,0.0,0.0,22.0,29.0,0.0,0.0,10.0,6.0,12.0,2.0,65.0,6.0,2.0,10.0,0.0,0.0,2.0,9.0,50.0,0.0,26.0,3.0,15.0,3.0,1.0,16.0,15.0,12.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,73.0,1.0,0.0,8.0,138.0,0.0,0.0,0.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,5.0,28.0,0.0,0.0,0.0
7,22391773.0,0.0,34.0,94.0,46.0,45.0,28.0,0.0,59.0,3.0,25.0,1.0,5.0,0.0,1.0,28.0,0.0,1.0,8.0,1.0,5.0,19.0,8.0,2.0,13.0,10.0,2.0,82.0,1.0,2.0,5.0,44.0,3.0,22.0,9.0,2.0,0.0,0.0,1.0,49.0,3.0,4.0,3.0,49.0,10.0,0.0,18.0,8.0,2.0,1.0,27.0,18.0,0.0,0.0,0.0,25.0,32.0,7.0,1.0,7.0,14.0,34.0,6.0,34.0,22.0,8.0,20.0,0.0,0.0,16.0,24.0,43.0,0.0,35.0,2.0,18.0,5.0,0.0,10.0,12.0,32.0,1.0,7.0,3.0,0.0,7.0,0.0,6.0,1.0,10.0,0.0,1.0,26.0,30.0,1.0,3.0,0.0,0.0,2.0,103.0,0.0,1.0,0.0,6.0,12.0,0.0,0.0,5.0,0.0,7.0,33.0,0.0,0.0,1.0
8,23227841.0,0.0,46.0,290.0,184.0,74.0,25.0,59.0,0.0,13.0,84.0,12.0,19.0,1.0,21.0,2.0,2.0,9.0,24.0,20.0,20.0,84.0,17.0,13.0,31.0,19.0,7.0,265.0,4.0,6.0,13.0,224.0,2.0,83.0,55.0,8.0,4.0,3.0,5.0,131.0,7.0,1.0,8.0,160.0,60.0,0.0,49.0,34.0,6.0,0.0,118.0,45.0,0.0,0.0,3.0,125.0,123.0,9.0,1.0,29.0,60.0,140.0,19.0,17.0,132.0,40.0,60.0,1.0,0.0,33.0,47.0,170.0,1.0,130.0,14.0,93.0,17.0,0.0,11.0,56.0,155.0,5.0,22.0,7.0,0.0,7.0,0.0,14.0,1.0,5.0,1.0,2.0,121.0,61.0,2.0,13.0,1.0,3.0,5.0,4.0,0.0,1.0,0.0,31.0,38.0,0.0,0.0,13.0,3.0,78.0,49.0,1.0,3.0,4.0
9,30268171.0,0.0,2.0,10.0,6.0,7.0,2.0,3.0,13.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0,2.0,3.0,1.0,0.0,12.0,0.0,1.0,2.0,11.0,0.0,6.0,2.0,2.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,1.0,2.0,8.0,2.0,1.0,5.0,1.0,3.0,0.0,0.0,1.0,2.0,10.0,0.0,6.0,1.0,3.0,3.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0
