,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
0,-1.0,5242.0,17179713.0,17644601.0,17710543.0,18594520.0,19712559.0,24422517.0,25291435.0,34624451.0,42493231.0,48270795.0,48495906.0,48959778.0,49666447.0,50364803.0,50645038.0,55070643.0,55312746.0,57040904.0,57811254.0,59587240.0,70649453.0,71442697.0,72761871.0,73052821.0,74481416.0,75055396.0,78344217.0,79942437.0,81320146.0,86976234.0,88098920.0,92102359.0,97640203.0,98361818.0,107685083.0,107736469.0,108295368.0,109982213.0,111087583.0,111119473.0,111950228.0,120411091.0,124672129.0,135468327.0,140751938.0,148068979.0,150881077.0,152641640.0,154338358.0,163413842.0,178779512.0,184170800.0,186309587.0,190563107.0,194008664.0,218657077.0,224682566.0,226164684.0,227274347.0,238169051.0,240391988.0,240401589.0,244623022.0,244843426.0,244966270.0,246875675.0,247390322.0,250334613.0,254171405.0,256996506.0,257588134.0,257954909.0,258047934.0,260314188.0,261905897.0,262761577.0,263022323.0,265922988.0,266263003.0,267777284.0,270934983.0,271428783.0,273454593.0,273887602.0,273889354.0,274937626.0,274982664.0,278764397.0,278914984.0,280881691.0,282256180.0,282895945.0,283022885.0,287755830.0,288599704.0,289508193.0,290039931.0,293580185.0,294523668.0,295366074.0,298770934.0,299566836.0,300291893.0,301514075.0,302144631.0,313799444.0,313983586.0,318358387.0,318368471.0,344766248.0,345112635.0,351576574.0,362115130.0,362128744.0,362143000.0,363753388.0,369028288.0,379901102.0,386431037.0,388466657.0,396092219.0,402037439.0,405827508.0
1,5242.0,0.0,124.0,147.0,38.0,18.0,0.0,11.0,9.0,2.0,61.0,39.0,101.0,17.0,56.0,121.0,65.0,9.0,1.0,20.0,67.0,10.0,7.0,35.0,7.0,131.0,70.0,0.0,7.0,38.0,30.0,21.0,11.0,0.0,9.0,14.0,0.0,20.0,10.0,68.0,103.0,1.0,39.0,5.0,3.0,99.0,99.0,43.0,25.0,4.0,14.0,9.0,4.0,11.0,1.0,5.0,49.0,92.0,62.0,0.0,22.0,54.0,1.0,7.0,144.0,18.0,153.0,47.0,5.0,18.0,27.0,29.0,26.0,16.0,30.0,63.0,13.0,20.0,81.0,3.0,2.0,5.0,0.0,39.0,13.0,6.0,6.0,18.0,50.0,1.0,5.0,6.0,0.0,2.0,69.0,73.0,0.0,32.0,120.0,23.0,0.0,71.0,63.0,63.0,17.0,7.0,0.0,0.0,40.0,5.0,2.0,0.0,0.0,54.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,28.0,3.0,76.0,27.0
2,17179713.0,124.0,0.0,264.0,131.0,37.0,2.0,40.0,33.0,16.0,113.0,43.0,278.0,100.0,254.0,329.0,237.0,12.0,4.0,16.0,155.0,82.0,35.0,114.0,25.0,341.0,91.0,8.0,13.0,53.0,15.0,79.0,67.0,2.0,11.0,66.0,3.0,95.0,36.0,217.0,144.0,3.0,127.0,5.0,7.0,285.0,16.0,58.0,105.0,7.0,70.0,55.0,45.0,22.0,0.0,15.0,113.0,533.0,163.0,14.0,41.0,219.0,14.0,38.0,472.0,60.0,241.0,89.0,7.0,59.0,112.0,37.0,63.0,106.0,69.0,280.0,26.0,100.0,276.0,4.0,41.0,10.0,0.0,93.0,32.0,6.0,16.0,61.0,121.0,0.0,24.0,15.0,0.0,4.0,108.0,180.0,0.0,119.0,272.0,122.0,0.0,155.0,175.0,80.0,51.0,35.0,11.0,5.0,60.0,65.0,8.0,2.0,13.0,167.0,1.0,1.0,1.0,24.0,102.0,0.0,1.0,85.0,10.0,174.0,66.0
3,17644601.0,147.0,264.0,0.0,74.0,29.0,1.0,32.0,26.0,14.0,113.0,45.0,237.0,65.0,120.0,245.0,166.0,14.0,2.0,13.0,135.0,38.0,34.0,74.0,19.0,240.0,124.0,4.0,10.0,65.0,8.0,48.0,17.0,2.0,8.0,47.0,0.0,58.0,39.0,189.0,133.0,1.0,110.0,8.0,4.0,300.0,10.0,68.0,61.0,6.0,61.0,35.0,27.0,26.0,0.0,19.0,108.0,166.0,137.0,11.0,62.0,127.0,10.0,18.0,358.0,32.0,287.0,94.0,3.0,52.0,66.0,27.0,40.0,40.0,76.0,165.0,23.0,38.0,167.0,17.0,19.0,3.0,0.0,87.0,21.0,31.0,19.0,66.0,119.0,0.0,11.0,7.0,0.0,1.0,108.0,172.0,0.0,94.0,262.0,86.0,0.0,124.0,142.0,89.0,44.0,29.0,9.0,5.0,56.0,32.0,4.0,2.0,5.0,108.0,1.0,1.0,1.0,21.0,67.0,0.0,1.0,71.0,4.0,179.0,75.0
4,17710543.0,38.0,131.0,74.0,0.0,12.0,1.0,54.0,14.0,2.0,43.0,9.0,121.0,63.0,131.0,89.0,156.0,185.0,121.0,4.0,42.0,219.0,9.0,63.0,153.0,97.0,21.0,6.0,18.0,9.0,5.0,63.0,60.0,1.0,9.0,23.0,17.0,24.0,18.0,244.0,59.0,2.0,69.0,3.0,22.0,96.0,1.0,9.0,112.0,2.0,32.0,14.0,3.0,6.0,0.0,3.0,44.0,118.0,63.0,2.0,11.0,143.0,2.0,38.0,179.0,19.0,69.0,31.0,1.0,29.0,42.0,6.0,37.0,43.0,17.0,77.0,11.0,37.0,214.0,15.0,17.0,1.0,0.0,22.0,12.0,1.0,8.0,64.0,130.0,0.0,316.0,4.0,0.0,1.0,46.0,71.0,0.0,49.0,120.0,54.0,0.0,44.0,41.0,17.0,68.0,7.0,15.0,142.0,23.0,172.0,1.0,7.0,46.0,53.0,0.0,0.0,0.0,24.0,198.0,0.0,0.0,35.0,61.0,62.0,10.0
5,18594520.0,18.0,37.0,29.0,12.0,0.0,2.0,8.0,12.0,0.0,8.0,8.0,16.0,17.0,11.0,36.0,28.0,1.0,1.0,3.0,13.0,14.0,2.0,23.0,2.0,36.0,12.0,2.0,2.0,7.0,6.0,8.0,28.0,0.0,0.0,11.0,4.0,7.0,4.0,52.0,28.0,0.0,14.0,0.0,0.0,33.0,14.0,8.0,33.0,1.0,5.0,9.0,7.0,6.0,0.0,2.0,13.0,31.0,25.0,1.0,6.0,8.0,2.0,11.0,43.0,9.0,34.0,6.0,1.0,12.0,6.0,11.0,4.0,5.0,6.0,16.0,4.0,8.0,15.0,0.0,11.0,0.0,0.0,26.0,5.0,0.0,1.0,6.0,12.0,0.0,2.0,7.0,0.0,1.0,7.0,13.0,0.0,8.0,23.0,23.0,0.0,19.0,24.0,20.0,18.0,5.0,5.0,0.0,4.0,17.0,7.0,0.0,11.0,31.0,0.0,0.0,0.0,8.0,38.0,0.0,0.0,17.0,10.0,16.0,9.0
6,19712559.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,29.0,0.0,0.0,0.0,13.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,29.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,27.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,2.0,9.0,0.0,28.0,0.0,2.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,5.0,1.0,1.0
7,24422517.0,11.0,40.0,32.0,54.0,8.0,3.0,0.0,22.0,5.0,19.0,7.0,70.0,63.0,29.0,91.0,78.0,19.0,5.0,8.0,25.0,27.0,8.0,76.0,20.0,39.0,21.0,4.0,5.0,8.0,2.0,21.0,25.0,1.0,1.0,15.0,11.0,11.0,10.0,66.0,25.0,1.0,18.0,3.0,2.0,48.0,2.0,9.0,43.0,1.0,19.0,18.0,13.0,13.0,0.0,2.0,36.0,40.0,28.0,7.0,12.0,24.0,5.0,10.0,72.0,19.0,46.0,27.0,2.0,10.0,15.0,10.0,15.0,10.0,12.0,53.0,5.0,24.0,49.0,0.0,15.0,3.0,0.0,20.0,1.0,0.0,5.0,24.0,46.0,0.0,20.0,0.0,0.0,0.0,19.0,35.0,0.0,28.0,69.0,58.0,0.0,20.0,28.0,24.0,44.0,9.0,5.0,5.0,7.0,40.0,3.0,1.0,12.0,50.0,0.0,0.0,0.0,11.0,58.0,0.0,1.0,20.0,8.0,54.0,15.0
8,25291435.0,9.0,33.0,26.0,14.0,12.0,1.0,22.0,0.0,15.0,16.0,8.0,27.0,38.0,16.0,79.0,100.0,5.0,3.0,16.0,14.0,10.0,32.0,42.0,7.0,44.0,26.0,7.0,0.0,27.0,6.0,20.0,11.0,2.0,18.0,14.0,5.0,19.0,24.0,43.0,33.0,2.0,15.0,1.0,3.0,60.0,2.0,29.0,52.0,4.0,10.0,19.0,24.0,14.0,0.0,0.0,27.0,39.0,23.0,7.0,20.0,18.0,11.0,16.0,70.0,50.0,47.0,14.0,0.0,8.0,7.0,24.0,3.0,96.0,34.0,12.0,12.0,21.0,23.0,0.0,30.0,2.0,0.0,21.0,7.0,0.0,4.0,12.0,53.0,0.0,4.0,0.0,0.0,0.0,11.0,23.0,0.0,13.0,30.0,92.0,0.0,26.0,33.0,30.0,83.0,12.0,1.0,0.0,4.0,47.0,8.0,2.0,9.0,35.0,0.0,0.0,0.0,13.0,48.0,0.0,0.0,25.0,5.0,20.0,34.0
9,34624451.0,2.0,16.0,14.0,2.0,0.0,0.0,5.0,15.0,0.0,9.0,0.0,14.0,17.0,13.0,20.0,31.0,5.0,4.0,3.0,7.0,2.0,8.0,28.0,5.0,23.0,10.0,8.0,0.0,14.0,5.0,19.0,1.0,5.0,3.0,3.0,0.0,16.0,9.0,16.0,8.0,1.0,3.0,0.0,2.0,25.0,2.0,14.0,13.0,3.0,5.0,13.0,14.0,3.0,0.0,0.0,9.0,23.0,5.0,0.0,5.0,0.0,9.0,3.0,50.0,35.0,14.0,7.0,0.0,3.0,3.0,4.0,0.0,3.0,10.0,2.0,3.0,4.0,5.0,1.0,14.0,1.0,0.0,7.0,2.0,0.0,1.0,4.0,27.0,0.0,1.0,0.0,0.0,0.0,1.0,24.0,0.0,6.0,11.0,32.0,0.0,9.0,26.0,11.0,13.0,5.0,0.0,0.0,0.0,21.0,4.0,2.0,1.0,10.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,12.0,4.0,8.0,24.0
