,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
0,-1.0,4148811.0,4970411.0,13478282.0,15985890.0,17179713.0,18086309.0,18525043.0,18787073.0,19042030.0,19712559.0,20404217.0,21501550.0,23053980.0,25161342.0,28091521.0,29560262.0,30393191.0,30641827.0,33988809.0,37593470.0,38183837.0,43282075.0,43849103.0,47625088.0,47833174.0,48959778.0,49120591.0,49416159.0,50440593.0,50645038.0,51478771.0,53224595.0,62228561.0,62575025.0,71006319.0,73082356.0,75330367.0,80293889.0,90474926.0,95644299.0,97534492.0,97921442.0,100118234.0,100994133.0,106788885.0,109392688.0,111950228.0,113855131.0,114955534.0,124407978.0,126568637.0,130052572.0,134141151.0,174147910.0,180437986.0,194008664.0,205649678.0,219225568.0,232084857.0,247494866.0,249165090.0,258730076.0,259907058.0,261905897.0,263022323.0,268445390.0,268890324.0,270934983.0,276676924.0,282256180.0,283718439.0,289594302.0,290840403.0,290895650.0,294523668.0,296358688.0,296526287.0,296532899.0,300449911.0,302039432.0,302144631.0,306977093.0,313176788.0,315491431.0,317262357.0,317401345.0,319884979.0,320685425.0,330229987.0,339559581.0,352464479.0,355553804.0,355956600.0,362973396.0,363763442.0,369123691.0,376797204.0,389239423.0,402037439.0,405438023.0,409731314.0,409763432.0,427635368.0,430459707.0,434606180.0,439459727.0
1,4148811.0,0.0,10.0,48.0,5.0,34.0,88.0,28.0,12.0,40.0,1.0,4.0,13.0,33.0,30.0,49.0,23.0,27.0,36.0,7.0,24.0,51.0,16.0,12.0,8.0,24.0,16.0,40.0,11.0,15.0,162.0,78.0,11.0,20.0,7.0,13.0,17.0,1.0,2.0,21.0,5.0,37.0,17.0,15.0,11.0,26.0,19.0,16.0,1.0,11.0,2.0,6.0,21.0,51.0,10.0,2.0,19.0,29.0,21.0,0.0,6.0,3.0,41.0,5.0,8.0,45.0,5.0,3.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,0.0,49.0,7.0,0.0,24.0,81.0,4.0,4.0,1.0,3.0,0.0,51.0,0.0,0.0,1.0,2.0,18.0,35.0,22.0,35.0,8.0,12.0,42.0,1.0,12.0,48.0,0.0,0.0,0.0,84.0,65.0,5.0
2,4970411.0,10.0,0.0,4.0,0.0,38.0,13.0,15.0,1.0,10.0,0.0,0.0,0.0,9.0,14.0,16.0,5.0,3.0,12.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,6.0,5.0,4.0,14.0,13.0,8.0,6.0,3.0,3.0,5.0,0.0,0.0,2.0,1.0,6.0,2.0,2.0,0.0,5.0,6.0,3.0,2.0,2.0,6.0,0.0,1.0,1.0,5.0,12.0,4.0,7.0,10.0,0.0,1.0,1.0,9.0,3.0,2.0,16.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,17.0,1.0,0.0,7.0,20.0,1.0,3.0,0.0,2.0,0.0,15.0,0.0,0.0,6.0,0.0,1.0,5.0,9.0,8.0,1.0,3.0,3.0,0.0,6.0,24.0,0.0,0.0,3.0,3.0,21.0,0.0
3,13478282.0,48.0,4.0,0.0,2.0,124.0,349.0,108.0,42.0,209.0,0.0,24.0,1.0,62.0,127.0,132.0,60.0,114.0,63.0,98.0,269.0,56.0,49.0,16.0,15.0,58.0,80.0,143.0,40.0,47.0,255.0,243.0,28.0,38.0,76.0,23.0,27.0,0.0,11.0,86.0,44.0,81.0,28.0,103.0,33.0,47.0,54.0,44.0,7.0,42.0,3.0,15.0,24.0,193.0,30.0,6.0,68.0,117.0,101.0,0.0,63.0,0.0,193.0,10.0,10.0,161.0,54.0,3.0,0.0,34.0,0.0,2.0,1.0,32.0,6.0,0.0,92.0,19.0,3.0,132.0,167.0,4.0,10.0,71.0,4.0,1.0,124.0,63.0,1.0,11.0,11.0,74.0,145.0,197.0,151.0,29.0,74.0,60.0,2.0,50.0,115.0,0.0,0.0,17.0,285.0,222.0,10.0
4,15985890.0,5.0,0.0,2.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,1.0,0.0,56.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,7.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,5.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,143.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
5,17179713.0,34.0,38.0,124.0,3.0,0.0,228.0,262.0,26.0,154.0,2.0,10.0,1.0,91.0,333.0,209.0,75.0,23.0,244.0,13.0,107.0,75.0,155.0,7.0,15.0,22.0,100.0,71.0,93.0,18.0,237.0,218.0,98.0,62.0,141.0,12.0,56.0,0.0,8.0,99.0,24.0,192.0,33.0,82.0,19.0,157.0,128.0,127.0,24.0,31.0,51.0,9.0,28.0,31.0,17.0,14.0,113.0,132.0,309.0,0.0,36.0,0.0,412.0,12.0,26.0,276.0,76.0,0.0,0.0,135.0,0.0,0.0,4.0,100.0,5.0,0.0,242.0,40.0,24.0,96.0,293.0,11.0,24.0,8.0,37.0,1.0,212.0,8.0,6.0,69.0,9.0,39.0,77.0,189.0,199.0,38.0,54.0,36.0,9.0,174.0,357.0,2.0,1.0,25.0,107.0,283.0,5.0
6,18086309.0,88.0,13.0,349.0,5.0,228.0,0.0,182.0,42.0,252.0,3.0,10.0,10.0,171.0,235.0,259.0,62.0,93.0,143.0,18.0,565.0,61.0,80.0,12.0,22.0,69.0,107.0,302.0,54.0,112.0,389.0,791.0,27.0,42.0,79.0,19.0,76.0,2.0,4.0,163.0,30.0,137.0,22.0,73.0,19.0,218.0,89.0,90.0,8.0,65.0,16.0,15.0,39.0,453.0,32.0,11.0,87.0,109.0,146.0,0.0,47.0,1.0,287.0,14.0,21.0,249.0,77.0,3.0,0.0,87.0,0.0,3.0,3.0,49.0,8.0,0.0,192.0,21.0,13.0,79.0,464.0,7.0,17.0,32.0,9.0,1.0,302.0,33.0,4.0,23.0,11.0,55.0,99.0,165.0,233.0,32.0,64.0,254.0,1.0,119.0,285.0,0.0,0.0,11.0,1434.0,240.0,7.0
7,18525043.0,28.0,15.0,108.0,1.0,262.0,182.0,0.0,28.0,103.0,2.0,9.0,4.0,66.0,297.0,215.0,44.0,19.0,115.0,13.0,119.0,34.0,272.0,6.0,11.0,32.0,105.0,72.0,120.0,14.0,133.0,151.0,35.0,59.0,50.0,25.0,47.0,0.0,10.0,93.0,20.0,250.0,25.0,97.0,19.0,88.0,159.0,86.0,47.0,33.0,159.0,10.0,20.0,37.0,16.0,5.0,94.0,110.0,149.0,0.0,39.0,0.0,307.0,11.0,18.0,181.0,151.0,3.0,0.0,253.0,0.0,3.0,6.0,196.0,7.0,0.0,140.0,75.0,29.0,59.0,166.0,8.0,28.0,0.0,78.0,1.0,295.0,0.0,16.0,115.0,6.0,18.0,66.0,193.0,151.0,32.0,51.0,40.0,15.0,330.0,218.0,7.0,4.0,13.0,104.0,256.0,5.0
8,18787073.0,12.0,1.0,42.0,0.0,26.0,42.0,28.0,0.0,42.0,0.0,8.0,1.0,10.0,28.0,35.0,20.0,15.0,18.0,8.0,8.0,16.0,13.0,10.0,3.0,26.0,17.0,58.0,9.0,14.0,55.0,34.0,11.0,15.0,13.0,12.0,9.0,0.0,4.0,12.0,20.0,40.0,11.0,19.0,18.0,7.0,8.0,17.0,3.0,3.0,1.0,12.0,22.0,24.0,10.0,1.0,18.0,26.0,27.0,0.0,6.0,0.0,29.0,2.0,10.0,36.0,5.0,3.0,0.0,2.0,0.0,2.0,1.0,6.0,3.0,0.0,28.0,10.0,2.0,43.0,32.0,0.0,3.0,1.0,0.0,1.0,29.0,1.0,0.0,4.0,4.0,14.0,24.0,36.0,50.0,8.0,9.0,13.0,0.0,10.0,27.0,0.0,0.0,7.0,54.0,36.0,6.0
9,19042030.0,40.0,10.0,209.0,0.0,154.0,252.0,103.0,42.0,0.0,0.0,30.0,2.0,53.0,161.0,142.0,55.0,68.0,82.0,34.0,92.0,55.0,54.0,21.0,64.0,52.0,86.0,171.0,48.0,40.0,317.0,191.0,39.0,59.0,60.0,26.0,40.0,0.0,12.0,41.0,40.0,84.0,37.0,91.0,38.0,50.0,54.0,75.0,7.0,17.0,9.0,18.0,31.0,131.0,42.0,6.0,76.0,81.0,123.0,0.0,27.0,2.0,150.0,12.0,16.0,154.0,31.0,3.0,0.0,32.0,0.0,4.0,1.0,31.0,7.0,0.0,108.0,21.0,4.0,168.0,168.0,3.0,11.0,41.0,3.0,1.0,146.0,50.0,0.0,20.0,9.0,51.0,85.0,177.0,167.0,37.0,37.0,48.0,1.0,53.0,120.0,0.0,0.0,17.0,231.0,193.0,12.0
