,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,-1.0,9076542.0,11277572.0,11723252.0,16067592.0,16838600.0,17408916.0,20791292.0,21288289.0,22240612.0,22332114.0,24422517.0,29920702.0,33994488.0,35713571.0,42493231.0,44351286.0,45510215.0,47074160.0,48959778.0,50645038.0,52696957.0,60598920.0,69240868.0,71442697.0,97790346.0,100664808.0,102091185.0,103238551.0,105092771.0,110174745.0,117482917.0,134043722.0,136121300.0,144065119.0,150121038.0,153321487.0,180261346.0,190932580.0,210824047.0,211993075.0,217207174.0,218198233.0,236891946.0,238369902.0,238422999.0,243296547.0,246331772.0,248421425.0,248575787.0,249313196.0,253542253.0,253654275.0,254688158.0,255007697.0,255545373.0,257471968.0,258047934.0,258124716.0,260046126.0,260706920.0,262067630.0,263022323.0,268358493.0,268444797.0,269938982.0,270934983.0,274246546.0,280492439.0,281553266.0,282256180.0,284600487.0,287755830.0,295125390.0,295733868.0,296759187.0,297866945.0,298112519.0,302144631.0,304677043.0,305078782.0,319244422.0,329111377.0,336076027.0,340083765.0,353142132.0,362973396.0,363763442.0,369028288.0,381408005.0,383602088.0,388466657.0,388549895.0,402037439.0,412282117.0,412663554.0
1,9076542.0,0.0,18.0,34.0,143.0,93.0,7.0,51.0,22.0,1.0,3.0,22.0,36.0,151.0,191.0,44.0,6.0,125.0,20.0,65.0,164.0,86.0,0.0,9.0,70.0,14.0,7.0,22.0,20.0,32.0,56.0,34.0,40.0,119.0,40.0,83.0,10.0,66.0,70.0,7.0,170.0,60.0,2.0,34.0,27.0,65.0,24.0,17.0,1.0,5.0,3.0,11.0,44.0,30.0,68.0,74.0,38.0,42.0,9.0,21.0,121.0,107.0,92.0,74.0,84.0,102.0,0.0,37.0,172.0,111.0,0.0,3.0,82.0,37.0,40.0,58.0,89.0,7.0,8.0,0.0,66.0,159.0,50.0,34.0,6.0,22.0,111.0,30.0,65.0,0.0,80.0,53.0,0.0,34.0,6.0,8.0
2,11277572.0,18.0,0.0,7.0,18.0,7.0,1.0,7.0,1.0,0.0,2.0,12.0,28.0,57.0,20.0,4.0,0.0,29.0,5.0,10.0,20.0,15.0,0.0,3.0,12.0,0.0,0.0,7.0,2.0,2.0,5.0,14.0,0.0,10.0,26.0,1.0,2.0,39.0,18.0,0.0,8.0,5.0,0.0,1.0,23.0,6.0,2.0,0.0,1.0,0.0,8.0,0.0,7.0,1.0,22.0,1.0,37.0,2.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,8.0,3.0,3.0,6.0,1.0,0.0,37.0,0.0,0.0,0.0,3.0,65.0,10.0,3.0,20.0,11.0,145.0,1.0,31.0,6.0,0.0,3.0,2.0,1.0
3,11723252.0,34.0,7.0,0.0,68.0,16.0,4.0,37.0,9.0,0.0,6.0,10.0,23.0,91.0,100.0,27.0,1.0,171.0,30.0,26.0,83.0,26.0,0.0,3.0,26.0,0.0,3.0,10.0,6.0,5.0,17.0,11.0,2.0,29.0,12.0,8.0,1.0,21.0,16.0,5.0,7.0,8.0,3.0,46.0,20.0,45.0,10.0,0.0,2.0,0.0,1.0,0.0,52.0,2.0,50.0,1.0,23.0,8.0,16.0,6.0,75.0,1.0,89.0,2.0,1.0,0.0,0.0,3.0,10.0,0.0,0.0,1.0,22.0,4.0,2.0,12.0,8.0,2.0,4.0,0.0,1.0,2.0,3.0,9.0,1.0,12.0,35.0,6.0,29.0,3.0,11.0,19.0,0.0,23.0,12.0,0.0
4,16067592.0,143.0,18.0,68.0,0.0,171.0,12.0,226.0,42.0,0.0,18.0,52.0,47.0,344.0,194.0,140.0,4.0,438.0,112.0,124.0,272.0,197.0,1.0,7.0,162.0,4.0,2.0,38.0,24.0,40.0,59.0,120.0,22.0,124.0,64.0,28.0,13.0,70.0,99.0,20.0,87.0,48.0,22.0,113.0,54.0,302.0,65.0,8.0,0.0,1.0,3.0,2.0,30.0,91.0,197.0,21.0,46.0,56.0,38.0,52.0,315.0,34.0,258.0,24.0,24.0,28.0,0.0,43.0,73.0,30.0,0.0,4.0,193.0,57.0,15.0,101.0,49.0,9.0,26.0,2.0,17.0,35.0,22.0,52.0,8.0,33.0,234.0,47.0,118.0,6.0,93.0,83.0,0.0,259.0,11.0,12.0
5,16838600.0,93.0,7.0,16.0,171.0,0.0,9.0,61.0,15.0,7.0,8.0,33.0,19.0,193.0,120.0,64.0,5.0,127.0,30.0,59.0,153.0,95.0,4.0,8.0,179.0,7.0,4.0,17.0,11.0,27.0,53.0,37.0,29.0,105.0,51.0,8.0,9.0,28.0,56.0,11.0,10.0,49.0,10.0,18.0,12.0,146.0,27.0,6.0,0.0,0.0,5.0,6.0,35.0,35.0,48.0,8.0,27.0,46.0,17.0,22.0,214.0,13.0,86.0,2.0,4.0,4.0,0.0,26.0,16.0,7.0,0.0,5.0,73.0,35.0,10.0,45.0,11.0,5.0,9.0,0.0,6.0,13.0,40.0,17.0,2.0,24.0,79.0,30.0,54.0,2.0,70.0,62.0,0.0,74.0,2.0,8.0
6,17408916.0,7.0,1.0,4.0,12.0,9.0,0.0,8.0,2.0,0.0,0.0,10.0,53.0,12.0,5.0,4.0,2.0,11.0,6.0,8.0,32.0,36.0,0.0,0.0,24.0,0.0,2.0,5.0,2.0,3.0,7.0,2.0,3.0,87.0,13.0,0.0,199.0,2.0,78.0,1.0,1.0,7.0,6.0,5.0,13.0,6.0,2.0,0.0,22.0,0.0,1.0,1.0,4.0,3.0,10.0,0.0,166.0,1.0,3.0,1.0,14.0,0.0,38.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,9.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,142.0,14.0,28.0,1.0,25.0,0.0,9.0,2.0,0.0,1.0,0.0,1.0
7,20791292.0,51.0,7.0,37.0,226.0,61.0,8.0,0.0,18.0,0.0,17.0,12.0,28.0,139.0,70.0,66.0,1.0,206.0,47.0,31.0,117.0,114.0,1.0,6.0,48.0,0.0,0.0,17.0,12.0,22.0,39.0,80.0,6.0,51.0,26.0,10.0,5.0,58.0,36.0,5.0,13.0,23.0,11.0,63.0,31.0,127.0,29.0,2.0,6.0,0.0,1.0,0.0,15.0,11.0,64.0,5.0,20.0,19.0,14.0,5.0,178.0,5.0,136.0,3.0,4.0,1.0,0.0,7.0,21.0,4.0,0.0,3.0,58.0,22.0,7.0,28.0,11.0,3.0,4.0,0.0,4.0,7.0,7.0,12.0,8.0,16.0,95.0,14.0,35.0,5.0,26.0,23.0,0.0,45.0,1.0,5.0
8,21288289.0,22.0,1.0,9.0,42.0,15.0,2.0,18.0,0.0,0.0,3.0,6.0,10.0,45.0,55.0,21.0,3.0,73.0,17.0,20.0,49.0,27.0,0.0,4.0,16.0,0.0,1.0,6.0,1.0,7.0,14.0,9.0,1.0,31.0,17.0,2.0,4.0,7.0,15.0,0.0,4.0,11.0,2.0,17.0,9.0,34.0,12.0,1.0,5.0,0.0,3.0,0.0,12.0,7.0,66.0,1.0,8.0,12.0,34.0,11.0,29.0,1.0,57.0,0.0,0.0,2.0,0.0,4.0,9.0,0.0,0.0,0.0,22.0,6.0,2.0,33.0,4.0,2.0,2.0,0.0,1.0,2.0,6.0,5.0,2.0,8.0,48.0,8.0,19.0,2.0,15.0,9.0,0.0,21.0,1.0,1.0
9,22240612.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0
