,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,-1.0,13344262.0,20039889.0,28340579.0,34699794.0,48403412.0,48959778.0,49817093.0,49923648.0,67964859.0,104947263.0,138047159.0,140198531.0,145401113.0,148653311.0,180261346.0,209651406.0,210824047.0,219402988.0,238169051.0,244896607.0,272738468.0,275519557.0,280461953.0,281014187.0,283669610.0,284059062.0,288479798.0,294523668.0,296358688.0,302144631.0,318368471.0,325774787.0,329932082.0,348223934.0,349839280.0,369028288.0,378148257.0,383968671.0,388466657.0,409731314.0,409763432.0
1,13344262.0,0.0,5.0,1.0,2.0,3.0,3.0,9.0,4.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,1.0,0.0,5.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,1.0,4.0,0.0,0.0
2,20039889.0,5.0,0.0,41.0,114.0,92.0,87.0,466.0,84.0,22.0,18.0,67.0,167.0,12.0,250.0,75.0,26.0,12.0,36.0,229.0,112.0,5.0,27.0,41.0,13.0,28.0,13.0,62.0,0.0,152.0,16.0,9.0,105.0,10.0,35.0,3.0,121.0,75.0,11.0,71.0,1.0,1.0
3,28340579.0,1.0,41.0,0.0,9.0,4.0,17.0,29.0,22.0,1.0,13.0,13.0,16.0,4.0,7.0,15.0,11.0,3.0,10.0,20.0,10.0,0.0,2.0,9.0,0.0,3.0,0.0,3.0,0.0,20.0,2.0,2.0,5.0,1.0,6.0,0.0,12.0,4.0,1.0,6.0,0.0,0.0
4,34699794.0,2.0,114.0,9.0,0.0,17.0,61.0,111.0,23.0,15.0,5.0,15.0,43.0,4.0,43.0,33.0,16.0,13.0,12.0,100.0,51.0,1.0,11.0,22.0,6.0,14.0,9.0,12.0,0.0,37.0,5.0,3.0,18.0,2.0,18.0,0.0,39.0,27.0,7.0,28.0,3.0,2.0
5,48403412.0,3.0,92.0,4.0,17.0,0.0,44.0,104.0,35.0,10.0,8.0,28.0,38.0,7.0,64.0,16.0,15.0,9.0,24.0,29.0,36.0,2.0,15.0,14.0,6.0,6.0,2.0,35.0,0.0,19.0,3.0,7.0,35.0,8.0,14.0,3.0,27.0,27.0,5.0,41.0,0.0,1.0
6,48959778.0,3.0,87.0,17.0,61.0,44.0,0.0,187.0,57.0,12.0,16.0,25.0,54.0,11.0,58.0,36.0,28.0,21.0,46.0,63.0,76.0,2.0,16.0,21.0,10.0,12.0,2.0,29.0,0.0,52.0,2.0,10.0,49.0,1.0,23.0,2.0,58.0,43.0,6.0,63.0,2.0,1.0
7,49817093.0,9.0,466.0,29.0,111.0,104.0,187.0,0.0,241.0,72.0,36.0,112.0,132.0,40.0,276.0,52.0,78.0,89.0,46.0,155.0,264.0,33.0,77.0,122.0,75.0,91.0,42.0,252.0,0.0,253.0,18.0,18.0,155.0,12.0,86.0,9.0,140.0,193.0,28.0,179.0,8.0,7.0
8,49923648.0,4.0,84.0,22.0,23.0,35.0,57.0,241.0,0.0,16.0,36.0,123.0,37.0,50.0,95.0,19.0,35.0,21.0,41.0,29.0,56.0,8.0,23.0,47.0,6.0,27.0,8.0,86.0,0.0,104.0,1.0,8.0,22.0,14.0,32.0,5.0,51.0,51.0,12.0,78.0,2.0,1.0
9,67964859.0,1.0,22.0,1.0,15.0,10.0,12.0,72.0,16.0,0.0,2.0,12.0,9.0,3.0,25.0,0.0,5.0,9.0,3.0,19.0,33.0,1.0,5.0,8.0,7.0,8.0,0.0,18.0,0.0,6.0,2.0,2.0,14.0,1.0,6.0,0.0,9.0,23.0,3.0,15.0,1.0,1.0
