,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
0,-1.0,16588842.0,19712559.0,22208724.0,25406279.0,49597004.0,51056700.0,51578139.0,52094731.0,63579041.0,71104209.0,79825512.0,85878730.0,97752537.0,105625903.0,113855131.0,115302731.0,147485988.0,150881077.0,156277913.0,162505712.0,173204585.0,176015466.0,180261346.0,191002896.0,209651406.0,210824047.0,232823702.0,235683308.0,236058390.0,240401589.0,241314646.0,241439878.0,243368411.0,245650642.0,250073523.0,251975467.0,252182042.0,254828321.0,257047087.0,263062927.0,263871572.0,266048586.0,269927326.0,270592241.0,270762885.0,272259832.0,272402946.0,284056559.0,285094191.0,287235288.0,289513787.0,292655292.0,292699932.0,292700867.0,292701683.0,292702777.0,292703780.0,293550520.0,293804564.0,298770934.0,300445767.0,302144631.0,303073117.0,317262357.0,324370116.0,330298961.0,352800057.0,353312460.0,362118201.0,369028288.0,372847415.0,375451125.0,388082574.0,394694673.0,403960117.0,418992848.0,425209257.0,429721604.0
1,16588842.0,0.0,17.0,19.0,1.0,8.0,7.0,13.0,0.0,0.0,3.0,1.0,1.0,9.0,4.0,1.0,9.0,0.0,148.0,15.0,8.0,0.0,22.0,64.0,15.0,4.0,1.0,0.0,3.0,4.0,35.0,33.0,4.0,0.0,111.0,7.0,0.0,2.0,4.0,0.0,1.0,1.0,2.0,4.0,2.0,8.0,10.0,16.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,26.0,0.0,51.0,2.0,0.0,0.0,10.0,2.0,9.0,2.0,199.0,0.0,54.0,12.0,1.0,0.0,1.0,4.0,29.0
2,19712559.0,17.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,29.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,4.0,6.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,28.0,0.0,22.0,3.0,0.0,1.0,0.0,0.0,2.0
3,22208724.0,19.0,4.0,0.0,17.0,15.0,53.0,56.0,4.0,12.0,5.0,10.0,9.0,29.0,2.0,12.0,21.0,0.0,51.0,45.0,22.0,5.0,55.0,24.0,22.0,19.0,14.0,0.0,0.0,2.0,7.0,52.0,34.0,2.0,81.0,15.0,4.0,17.0,22.0,2.0,6.0,8.0,6.0,13.0,3.0,38.0,6.0,54.0,5.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,106.0,0.0,7.0,6.0,2.0,2.0,34.0,3.0,18.0,1.0,31.0,0.0,9.0,1.0,4.0,8.0,3.0,0.0,16.0
4,25406279.0,1.0,0.0,17.0,0.0,1.0,18.0,9.0,9.0,28.0,17.0,10.0,16.0,13.0,10.0,20.0,6.0,0.0,5.0,44.0,9.0,5.0,27.0,3.0,8.0,35.0,12.0,0.0,0.0,0.0,1.0,23.0,29.0,0.0,21.0,31.0,7.0,21.0,38.0,0.0,1.0,19.0,2.0,4.0,0.0,22.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,61.0,0.0,0.0,11.0,0.0,2.0,19.0,0.0,6.0,2.0,3.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0
5,49597004.0,8.0,0.0,15.0,1.0,0.0,9.0,13.0,0.0,1.0,3.0,1.0,2.0,8.0,0.0,1.0,5.0,0.0,29.0,1.0,3.0,1.0,13.0,6.0,7.0,6.0,3.0,0.0,1.0,0.0,4.0,14.0,4.0,0.0,27.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,1.0,8.0,1.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0,3.0,0.0,0.0,6.0,0.0,5.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0
6,51056700.0,7.0,0.0,53.0,18.0,9.0,0.0,38.0,7.0,16.0,26.0,15.0,11.0,31.0,1.0,20.0,16.0,0.0,26.0,52.0,26.0,6.0,50.0,7.0,24.0,31.0,18.0,0.0,0.0,1.0,4.0,44.0,38.0,2.0,44.0,42.0,5.0,18.0,41.0,3.0,4.0,11.0,7.0,15.0,3.0,52.0,4.0,43.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,97.0,0.0,3.0,9.0,1.0,2.0,43.0,3.0,12.0,3.0,23.0,0.0,4.0,0.0,2.0,15.0,2.0,1.0,8.0
7,51578139.0,13.0,0.0,56.0,9.0,13.0,38.0,0.0,3.0,17.0,14.0,9.0,11.0,21.0,2.0,17.0,14.0,0.0,29.0,36.0,12.0,7.0,42.0,22.0,19.0,26.0,16.0,0.0,0.0,0.0,9.0,36.0,16.0,2.0,56.0,18.0,5.0,9.0,25.0,2.0,4.0,3.0,6.0,5.0,3.0,33.0,5.0,46.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,80.0,0.0,0.0,10.0,1.0,2.0,27.0,2.0,16.0,1.0,19.0,0.0,3.0,1.0,2.0,6.0,5.0,0.0,13.0
8,52094731.0,0.0,0.0,4.0,9.0,0.0,7.0,3.0,0.0,9.0,3.0,6.0,2.0,6.0,1.0,2.0,0.0,0.0,1.0,4.0,9.0,3.0,4.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,11.0,1.0,4.0,10.0,7.0,2.0,1.0,6.0,2.0,0.0,0.0,5.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,2.0,0.0,2.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0
9,63579041.0,0.0,0.0,12.0,28.0,1.0,16.0,17.0,9.0,0.0,16.0,6.0,10.0,17.0,10.0,12.0,6.0,0.0,3.0,21.0,15.0,10.0,25.0,3.0,9.0,20.0,10.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,15.0,18.0,15.0,19.0,30.0,3.0,4.0,3.0,4.0,4.0,2.0,22.0,0.0,25.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,45.0,0.0,2.0,8.0,1.0,2.0,22.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,1.0,3.0
