,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
0,-1.0,29283.0,9624742.0,15156219.0,15270176.0,16542687.0,16661776.0,17125133.0,18086309.0,19110628.0,20801977.0,27660598.0,28343595.0,36414339.0,39066856.0,41079136.0,41197792.0,48495906.0,48983320.0,50645038.0,53223847.0,59587240.0,69445657.0,73938917.0,86976234.0,98730352.0,101824385.0,103144765.0,111950228.0,132158439.0,145594058.0,145746533.0,150881077.0,150900080.0,151919653.0,161980094.0,173591614.0,192477353.0,193964230.0,207320806.0,212825417.0,219225568.0,227653209.0,232823702.0,235017564.0,235023116.0,235035889.0,235038511.0,235239044.0,235252116.0,235327570.0,235381655.0,235396430.0,235426208.0,235431252.0,235571847.0,235572234.0,235573221.0,235573919.0,235576757.0,235589107.0,235590945.0,235593353.0,235600112.0,235600534.0,235604645.0,235605735.0,235622077.0,235629053.0,235629274.0,235630503.0,235636649.0,235642668.0,235646348.0,235653830.0,235657683.0,235659706.0,235660698.0,235663710.0,235674459.0,235675462.0,235679167.0,235685482.0,235691456.0,235693981.0,235698786.0,235699108.0,235700121.0,235701489.0,235704188.0,237519969.0,246698340.0,247494866.0,249319247.0,249677516.0,251975467.0,253890776.0,254518795.0,260724365.0,268184418.0,268229867.0,269680826.0,270373602.0,279358548.0,280596525.0,282552711.0,285981083.0,288824828.0,293024657.0,296558502.0,300644196.0,301387285.0,304181609.0,307216925.0,311310026.0,311340378.0,315377722.0,323559063.0,323991512.0,329409390.0,335432912.0,344172926.0,351120282.0,357834420.0,375451125.0,376797204.0,377067103.0,394285779.0,402037439.0,402892880.0,410993099.0,417758486.0,418992848.0,420885864.0,425580734.0,430530678.0,432225857.0
1,29283.0,0.0,28.0,70.0,146.0,122.0,376.0,170.0,1262.0,195.0,488.0,219.0,350.0,51.0,67.0,0.0,4.0,332.0,6.0,455.0,62.0,148.0,19.0,443.0,135.0,55.0,2.0,17.0,128.0,67.0,4.0,92.0,166.0,47.0,516.0,73.0,437.0,1079.0,33.0,178.0,53.0,165.0,201.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,89.0,37.0,807.0,176.0,2.0,121.0,8.0,295.0,7.0,7.0,0.0,6.0,520.0,29.0,3.0,1.0,0.0,5.0,90.0,62.0,0.0,36.0,6.0,2.0,90.0,113.0,9.0,0.0,78.0,28.0,2.0,496.0,8.0,20.0,295.0,156.0,93.0,138.0,0.0,0.0,6.0,4.0,0.0,501.0,52.0,0.0
2,9624742.0,28.0,0.0,15.0,22.0,3.0,3.0,14.0,10.0,13.0,30.0,2.0,10.0,0.0,2.0,0.0,1.0,2.0,0.0,39.0,0.0,3.0,1.0,60.0,5.0,21.0,0.0,0.0,2.0,16.0,0.0,22.0,2.0,12.0,49.0,8.0,55.0,61.0,0.0,72.0,0.0,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,317.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,9.0,6.0,1.0,1.0,0.0,0.0,15.0,18.0,1.0,0.0,0.0,4.0,0.0,60.0,0.0,1.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,0.0
3,15156219.0,70.0,15.0,0.0,20.0,37.0,23.0,22.0,47.0,39.0,66.0,8.0,62.0,4.0,3.0,0.0,0.0,54.0,0.0,91.0,12.0,123.0,14.0,34.0,24.0,23.0,0.0,1.0,39.0,17.0,1.0,202.0,18.0,18.0,57.0,22.0,29.0,206.0,2.0,53.0,2.0,70.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,51.0,14.0,23.0,153.0,0.0,34.0,8.0,12.0,0.0,6.0,0.0,7.0,21.0,41.0,3.0,0.0,0.0,4.0,13.0,6.0,0.0,18.0,2.0,2.0,5.0,11.0,4.0,0.0,2.0,8.0,0.0,100.0,8.0,3.0,5.0,61.0,16.0,22.0,0.0,0.0,1.0,3.0,0.0,48.0,15.0,0.0
4,15270176.0,146.0,22.0,20.0,0.0,21.0,41.0,84.0,119.0,52.0,85.0,25.0,54.0,3.0,18.0,0.0,0.0,38.0,0.0,111.0,7.0,32.0,1.0,98.0,51.0,41.0,0.0,3.0,22.0,33.0,1.0,20.0,17.0,28.0,102.0,45.0,131.0,157.0,11.0,58.0,8.0,37.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,6.0,103.0,81.0,0.0,53.0,2.0,36.0,2.0,0.0,0.0,0.0,66.0,19.0,0.0,1.0,0.0,0.0,55.0,12.0,0.0,14.0,6.0,1.0,47.0,56.0,11.0,0.0,4.0,18.0,0.0,174.0,4.0,1.0,22.0,33.0,19.0,16.0,0.0,0.0,1.0,1.0,0.0,79.0,34.0,0.0
5,16542687.0,122.0,3.0,37.0,21.0,0.0,13.0,16.0,72.0,55.0,137.0,7.0,34.0,13.0,7.0,0.0,0.0,128.0,19.0,130.0,116.0,165.0,19.0,52.0,111.0,23.0,1.0,5.0,44.0,15.0,1.0,32.0,32.0,6.0,36.0,13.0,25.0,256.0,5.0,19.0,44.0,45.0,30.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,9.0,27.0,31.0,22.0,2.0,16.0,2.0,35.0,4.0,2.0,0.0,2.0,38.0,6.0,1.0,0.0,0.0,1.0,6.0,4.0,0.0,10.0,0.0,1.0,16.0,7.0,1.0,0.0,2.0,8.0,0.0,53.0,1.0,1.0,9.0,23.0,7.0,12.0,0.0,0.0,1.0,0.0,0.0,106.0,12.0,0.0
6,16661776.0,376.0,3.0,23.0,41.0,13.0,0.0,28.0,465.0,95.0,165.0,112.0,126.0,14.0,30.0,0.0,1.0,140.0,0.0,133.0,23.0,36.0,8.0,103.0,37.0,15.0,2.0,13.0,66.0,15.0,2.0,26.0,43.0,22.0,132.0,35.0,166.0,294.0,11.0,41.0,22.0,90.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,22.0,14.0,250.0,35.0,1.0,38.0,3.0,73.0,4.0,1.0,0.0,2.0,258.0,16.0,1.0,0.0,0.0,0.0,31.0,35.0,0.0,16.0,4.0,1.0,7.0,43.0,5.0,0.0,26.0,18.0,1.0,129.0,7.0,4.0,99.0,56.0,62.0,82.0,0.0,1.0,2.0,2.0,0.0,183.0,18.0,0.0
7,17125133.0,170.0,14.0,22.0,84.0,16.0,28.0,0.0,106.0,45.0,101.0,14.0,47.0,3.0,9.0,0.0,4.0,68.0,0.0,106.0,3.0,19.0,2.0,49.0,30.0,88.0,0.0,25.0,18.0,121.0,0.0,34.0,32.0,19.0,161.0,21.0,62.0,135.0,23.0,67.0,15.0,37.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,10.0,71.0,61.0,0.0,32.0,0.0,19.0,2.0,0.0,0.0,0.0,41.0,10.0,0.0,0.0,0.0,0.0,26.0,16.0,0.0,3.0,0.0,0.0,549.0,14.0,12.0,0.0,2.0,4.0,0.0,607.0,0.0,4.0,11.0,58.0,20.0,41.0,0.0,0.0,0.0,0.0,0.0,68.0,8.0,0.0
8,18086309.0,1262.0,10.0,47.0,119.0,72.0,465.0,106.0,0.0,125.0,346.0,526.0,195.0,43.0,44.0,0.0,0.0,237.0,1.0,389.0,50.0,159.0,19.0,578.0,77.0,40.0,2.0,17.0,90.0,38.0,3.0,91.0,113.0,33.0,379.0,64.0,674.0,2282.0,48.0,109.0,1839.0,146.0,142.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,67.0,47.0,866.0,95.0,0.0,62.0,6.0,624.0,4.0,7.0,0.0,3.0,1615.0,26.0,3.0,1.0,0.0,2.0,52.0,60.0,0.0,22.0,3.0,2.0,69.0,68.0,8.0,0.0,31.0,19.0,2.0,302.0,12.0,12.0,254.0,109.0,57.0,119.0,0.0,1.0,1.0,4.0,0.0,871.0,34.0,0.0
9,19110628.0,195.0,13.0,39.0,52.0,55.0,95.0,45.0,125.0,0.0,197.0,36.0,123.0,22.0,12.0,0.0,1.0,147.0,4.0,196.0,44.0,137.0,22.0,93.0,64.0,29.0,2.0,19.0,80.0,29.0,0.0,40.0,49.0,23.0,100.0,44.0,72.0,244.0,5.0,43.0,21.0,126.0,86.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,21.0,18.0,74.0,63.0,1.0,55.0,13.0,58.0,4.0,14.0,0.0,10.0,64.0,26.0,6.0,0.0,0.0,5.0,37.0,20.0,1.0,37.0,4.0,5.0,29.0,29.0,36.0,0.0,15.0,19.0,0.0,122.0,2.0,11.0,38.0,54.0,61.0,71.0,0.0,0.0,3.0,2.0,0.0,122.0,32.0,0.0
10,20801977.0,488.0,30.0,66.0,85.0,137.0,165.0,101.0,346.0,197.0,0.0,73.0,277.0,25.0,18.0,0.0,3.0,436.0,12.0,386.0,102.0,238.0,23.0,148.0,148.0,128.0,0.0,15.0,161.0,63.0,1.0,87.0,91.0,24.0,337.0,103.0,173.0,585.0,7.0,88.0,44.0,273.0,152.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,160.0,70.0,116.0,204.0,112.0,4.0,86.0,11.0,111.0,14.0,5.0,0.0,6.0,153.0,24.0,4.0,1.0,0.0,3.0,62.0,73.0,2.0,39.0,6.0,4.0,31.0,38.0,11.0,0.0,22.0,49.0,0.0,268.0,2.0,6.0,51.0,126.0,130.0,312.0,0.0,2.0,3.0,12.0,0.0,242.0,30.0,0.0
11,27660598.0,219.0,2.0,8.0,25.0,7.0,112.0,14.0,526.0,36.0,73.0,0.0,38.0,16.0,13.0,0.0,1.0,43.0,0.0,85.0,5.0,24.0,5.0,131.0,13.0,7.0,0.0,12.0,16.0,5.0,1.0,7.0,20.0,8.0,70.0,15.0,148.0,328.0,12.0,24.0,149.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0,6.0,164.0,16.0,0.0,18.0,2.0,115.0,0.0,0.0,0.0,0.0,259.0,6.0,0.0,0.0,0.0,0.0,12.0,14.0,0.0,5.0,2.0,0.0,11.0,27.0,0.0,0.0,10.0,1.0,1.0,59.0,2.0,1.0,67.0,22.0,14.0,15.0,0.0,0.0,0.0,2.0,0.0,230.0,7.0,0.0
