,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
0,-1.0,8182262.0,26596698.0,30709612.0,37593470.0,40569347.0,45583665.0,48959778.0,53223847.0,58717791.0,58757509.0,64149875.0,69128991.0,72286165.0,75055396.0,95042301.0,95299739.0,97790346.0,100664808.0,103219958.0,108295368.0,109980164.0,110065142.0,115000873.0,120888929.0,130104044.0,134043722.0,141198564.0,162505712.0,181290298.0,184478628.0,192477353.0,210824047.0,215854997.0,218198233.0,231223129.0,232286506.0,232963754.0,235372141.0,244679902.0,245325535.0,245717053.0,247950652.0,250650627.0,251071086.0,252379338.0,252702702.0,255630029.0,256097262.0,257006261.0,263022323.0,264429719.0,268982538.0,269680826.0,271428783.0,274246546.0,275122708.0,278440078.0,281669464.0,283022885.0,283196543.0,287755830.0,290749156.0,293414124.0,295342500.0,295692380.0,301514075.0,301570099.0,304035334.0,304068502.0,304650925.0,305549322.0,307768573.0,309246352.0,316052729.0,316449522.0,317262357.0,317678508.0,326336700.0,326341109.0,330994588.0,331149957.0,332790210.0,339034131.0,346049074.0,346760056.0,358918731.0,359179176.0,361466174.0,363763442.0,368229348.0,369028288.0,370131282.0,375142412.0,386082293.0,386609235.0,393729229.0,393925685.0,394271408.0,400192644.0,401497583.0,402094758.0,408360266.0,412663554.0,414772326.0,415748993.0,426619718.0,427111253.0,428843595.0,429845195.0,433293420.0,433935305.0,434096108.0,436220016.0,439554319.0,440363653.0,441349382.0,441374654.0,442573140.0,442746264.0
1,8182262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,26596698.0,0.0,0.0,14.0,24.0,33.0,27.0,20.0,6.0,3.0,4.0,28.0,10.0,4.0,6.0,6.0,1.0,0.0,2.0,18.0,17.0,8.0,3.0,23.0,4.0,2.0,11.0,0.0,11.0,3.0,4.0,61.0,6.0,17.0,1.0,2.0,1.0,2.0,0.0,5.0,16.0,11.0,0.0,2.0,5.0,18.0,4.0,1.0,1.0,9.0,26.0,0.0,1.0,0.0,13.0,11.0,4.0,23.0,15.0,10.0,1.0,30.0,0.0,2.0,0.0,17.0,10.0,1.0,0.0,2.0,3.0,1.0,15.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,6.0,0.0,13.0,4.0,1.0,6.0,12.0,2.0,12.0,9.0,19.0,1.0,1.0,27.0,1.0,2.0,0.0,0.0,0.0,1.0,14.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
3,30709612.0,0.0,14.0,0.0,229.0,10.0,22.0,11.0,13.0,0.0,3.0,71.0,1.0,11.0,1.0,5.0,0.0,3.0,0.0,3.0,3.0,9.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,284.0,2.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,4.0,5.0,0.0,4.0,9.0,0.0,1.0,10.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,36.0,5.0,0.0,1.0,3.0,0.0,0.0,9.0,47.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,37593470.0,0.0,24.0,229.0,0.0,145.0,408.0,79.0,18.0,1.0,2.0,56.0,3.0,19.0,5.0,5.0,0.0,0.0,1.0,4.0,14.0,17.0,8.0,21.0,4.0,1.0,8.0,0.0,6.0,3.0,2.0,437.0,11.0,45.0,87.0,1.0,0.0,3.0,0.0,0.0,13.0,6.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,6.0,100.0,0.0,0.0,0.0,38.0,22.0,0.0,29.0,47.0,58.0,0.0,76.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,6.0,2.0,1.0,1.0,11.0,0.0,21.0,1.0,128.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,0.0,7.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0
5,40569347.0,0.0,33.0,10.0,145.0,0.0,193.0,89.0,31.0,10.0,6.0,23.0,11.0,52.0,14.0,5.0,9.0,0.0,6.0,24.0,53.0,41.0,15.0,32.0,12.0,3.0,16.0,1.0,18.0,13.0,9.0,320.0,15.0,98.0,10.0,5.0,1.0,14.0,0.0,9.0,23.0,25.0,0.0,2.0,30.0,21.0,6.0,1.0,0.0,15.0,152.0,1.0,0.0,0.0,104.0,43.0,6.0,104.0,44.0,63.0,3.0,115.0,0.0,5.0,0.0,15.0,27.0,0.0,2.0,1.0,4.0,0.0,69.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,5.0,4.0,7.0,4.0,2.0,4.0,21.0,4.0,51.0,0.0,165.0,2.0,3.0,57.0,0.0,1.0,0.0,0.0,1.0,1.0,114.0,0.0,5.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,2.0,0.0
6,45583665.0,0.0,27.0,22.0,408.0,193.0,0.0,84.0,7.0,6.0,3.0,8.0,13.0,17.0,20.0,1.0,6.0,0.0,3.0,8.0,42.0,27.0,14.0,7.0,9.0,0.0,7.0,0.0,13.0,8.0,5.0,264.0,3.0,68.0,66.0,3.0,1.0,9.0,0.0,7.0,12.0,9.0,0.0,1.0,27.0,14.0,6.0,2.0,0.0,1.0,101.0,0.0,0.0,0.0,46.0,34.0,1.0,60.0,33.0,40.0,3.0,92.0,0.0,2.0,0.0,10.0,21.0,0.0,1.0,1.0,1.0,0.0,63.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,7.0,5.0,3.0,1.0,2.0,15.0,1.0,37.0,0.0,137.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0
7,48959778.0,0.0,20.0,11.0,79.0,89.0,84.0,0.0,27.0,1.0,6.0,14.0,5.0,11.0,14.0,0.0,5.0,0.0,3.0,14.0,25.0,22.0,7.0,28.0,7.0,1.0,10.0,0.0,10.0,2.0,9.0,178.0,21.0,23.0,2.0,2.0,0.0,5.0,0.0,4.0,16.0,6.0,0.0,2.0,8.0,10.0,1.0,2.0,0.0,2.0,109.0,1.0,1.0,0.0,49.0,50.0,2.0,43.0,73.0,51.0,1.0,102.0,0.0,3.0,1.0,10.0,22.0,1.0,0.0,3.0,3.0,0.0,35.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,8.0,4.0,4.0,5.0,23.0,1.0,33.0,0.0,58.0,1.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
8,53223847.0,0.0,6.0,13.0,18.0,31.0,7.0,27.0,0.0,1.0,0.0,9.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,18.0,2.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,150.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,70.0,0.0,0.0,0.0,5.0,7.0,0.0,25.0,14.0,16.0,0.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,40.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
9,58717791.0,0.0,3.0,0.0,1.0,10.0,6.0,1.0,1.0,0.0,0.0,10.0,6.0,2.0,2.0,5.0,1.0,2.0,1.0,1.0,12.0,4.0,0.0,11.0,6.0,3.0,10.0,1.0,6.0,5.0,6.0,25.0,1.0,22.0,0.0,9.0,5.0,1.0,0.0,0.0,22.0,1.0,2.0,1.0,5.0,2.0,4.0,0.0,1.0,8.0,5.0,4.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,1.0,8.0,4.0,0.0,1.0,1.0,6.0,1.0,1.0,10.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,13.0,15.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,1.0,5.0,13.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,12.0,0.0
10,58757509.0,0.0,4.0,3.0,2.0,6.0,3.0,6.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,3.0,1.0,4.0,0.0,216.0,3.0,2.0,1.0,5.0,0.0,0.0,3.0,0.0,25.0,3.0,40.0,27.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,46.0,3.0,0.0,0.0,57.0,0.0,102.0,2.0,0.0,10.0,2.0,9.0,4.0,70.0,0.0,3.0,3.0,176.0,72.0,2.0,1.0,0.0,4.0,0.0,107.0,1.0,243.0,3.0,1.0,1.0,79.0,97.0,5.0,9.0,25.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,119.0,0.0,5.0,5.0,0.0,125.0,2.0,108.0,3.0,2.0,6.0,117.0,4.0,6.0,45.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,9.0,0.0,0.0,0.0,1.0
11,64149875.0,0.0,28.0,71.0,56.0,23.0,8.0,14.0,9.0,10.0,4.0,0.0,7.0,0.0,0.0,24.0,0.0,7.0,18.0,10.0,13.0,17.0,2.0,98.0,3.0,19.0,91.0,5.0,15.0,60.0,14.0,125.0,49.0,54.0,0.0,10.0,13.0,2.0,0.0,4.0,65.0,3.0,0.0,0.0,10.0,14.0,23.0,0.0,0.0,22.0,33.0,5.0,0.0,0.0,110.0,23.0,4.0,19.0,52.0,33.0,5.0,55.0,1.0,0.0,1.0,28.0,20.0,6.0,27.0,1.0,1.0,7.0,11.0,0.0,0.0,0.0,8.0,268.0,0.0,0.0,2.0,10.0,2.0,162.0,34.0,3.0,3.0,16.0,4.0,4.0,56.0,11.0,1.0,15.0,93.0,0.0,17.0,0.0,0.0,5.0,18.0,3.0,7.0,10.0,7.0,0.0,38.0,5.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,18.0,0.0,1.0,5.0,3.0
12,69128991.0,0.0,10.0,1.0,3.0,11.0,13.0,5.0,2.0,6.0,1.0,7.0,0.0,0.0,2.0,12.0,0.0,5.0,1.0,11.0,7.0,4.0,1.0,8.0,3.0,2.0,18.0,1.0,13.0,8.0,7.0,18.0,1.0,10.0,0.0,10.0,14.0,2.0,0.0,5.0,44.0,0.0,0.0,1.0,5.0,11.0,7.0,0.0,0.0,36.0,11.0,3.0,1.0,0.0,15.0,7.0,9.0,8.0,12.0,1.0,1.0,9.0,0.0,0.0,0.0,25.0,10.0,0.0,1.0,2.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,24.0,0.0,3.0,4.0,8.0,5.0,7.0,3.0,1.0,3.0,22.0,0.0,6.0,0.0,0.0,2.0,4.0,3.0,0.0,2.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,6.0,3.0
13,72286165.0,0.0,4.0,11.0,19.0,52.0,17.0,11.0,10.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,10.0,14.0,5.0,7.0,1.0,0.0,1.0,0.0,6.0,0.0,3.0,57.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,17.0,0.0,1.0,0.0,3.0,10.0,2.0,33.0,0.0,5.0,0.0,9.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,4.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,8.0,0.0,99.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
14,75055396.0,0.0,6.0,1.0,5.0,14.0,20.0,14.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,9.0,5.0,0.0,2.0,3.0,0.0,3.0,0.0,4.0,1.0,1.0,23.0,0.0,5.0,2.0,1.0,0.0,3.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,4.0,0.0,8.0,8.0,2.0,1.0,10.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15,95042301.0,0.0,6.0,5.0,5.0,5.0,1.0,0.0,0.0,5.0,3.0,24.0,12.0,0.0,0.0,0.0,1.0,10.0,5.0,9.0,9.0,6.0,0.0,30.0,1.0,1.0,32.0,2.0,4.0,9.0,3.0,4.0,7.0,15.0,0.0,11.0,24.0,2.0,0.0,0.0,158.0,1.0,0.0,0.0,1.0,11.0,3.0,3.0,2.0,40.0,3.0,14.0,0.0,0.0,28.0,6.0,2.0,6.0,18.0,3.0,1.0,8.0,0.0,0.0,0.0,13.0,7.0,6.0,12.0,0.0,1.0,14.0,30.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,2.0,0.0,132.0,15.0,0.0,3.0,5.0,1.0,1.0,10.0,1.0,0.0,40.0,23.0,1.0,10.0,0.0,0.0,11.0,5.0,1.0,1.0,3.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,6.0,1.0
16,95299739.0,0.0,1.0,0.0,0.0,9.0,6.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,6.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17,97790346.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,5.0,0.0,0.0,10.0,0.0,0.0,1.0,11.0,1.0,1.0,1.0,5.0,2.0,1.0,24.0,0.0,11.0,5.0,4.0,3.0,3.0,13.0,0.0,14.0,17.0,7.0,0.0,4.0,24.0,0.0,1.0,1.0,4.0,9.0,2.0,0.0,0.0,9.0,0.0,26.0,0.0,0.0,11.0,2.0,7.0,4.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,28.0,5.0,13.0,2.0,0.0,0.0,11.0,21.0,1.0,0.0,0.0,0.0,37.0,0.0,0.0,1.0,3.0,0.0,121.0,19.0,0.0,9.0,1.0,5.0,0.0,11.0,0.0,2.0,42.0,13.0,1.0,3.0,0.0,0.0,28.0,6.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,4.0
18,100664808.0,0.0,2.0,0.0,1.0,6.0,3.0,3.0,0.0,1.0,0.0,18.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,3.0,2.0,1.0,2.0,30.0,1.0,0.0,10.0,0.0,2.0,5.0,0.0,6.0,14.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,21.0,7.0,0.0,4.0,7.0,3.0,0.0,12.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,2.0,1.0,6.0,0.0,0.0,3.0,5.0,0.0,2.0,24.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,103219958.0,0.0,18.0,3.0,4.0,24.0,8.0,14.0,4.0,1.0,216.0,10.0,11.0,5.0,3.0,9.0,1.0,11.0,3.0,0.0,5.0,6.0,3.0,16.0,2.0,1.0,22.0,1.0,45.0,5.0,37.0,38.0,2.0,6.0,0.0,5.0,4.0,2.0,0.0,58.0,17.0,4.0,0.0,88.0,4.0,173.0,2.0,1.0,13.0,13.0,31.0,4.0,74.0,0.0,14.0,12.0,208.0,108.0,7.0,9.0,0.0,16.0,1.0,115.0,0.0,271.0,7.0,1.0,2.0,81.0,101.0,2.0,11.0,21.0,27.0,0.0,1.0,2.0,0.0,2.0,0.0,172.0,0.0,9.0,8.0,2.0,184.0,6.0,120.0,4.0,2.0,10.0,101.0,11.0,24.0,50.0,8.0,0.0,0.0,1.0,5.0,4.0,0.0,4.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,17.0,0.0,0.0,1.0,4.0
20,108295368.0,0.0,17.0,3.0,14.0,53.0,42.0,25.0,6.0,12.0,3.0,13.0,7.0,10.0,9.0,9.0,2.0,1.0,2.0,5.0,0.0,26.0,4.0,18.0,15.0,2.0,10.0,0.0,11.0,3.0,3.0,74.0,0.0,58.0,0.0,5.0,2.0,3.0,0.0,4.0,20.0,6.0,0.0,0.0,14.0,9.0,2.0,1.0,3.0,10.0,26.0,9.0,0.0,0.0,10.0,15.0,3.0,34.0,10.0,8.0,0.0,28.0,0.0,1.0,0.0,10.0,7.0,0.0,0.0,0.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0,4.0,0.0,4.0,12.0,1.0,13.0,1.0,29.0,1.0,1.0,17.0,0.0,3.0,0.0,0.0,1.0,1.0,21.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
21,109980164.0,0.0,8.0,9.0,17.0,41.0,27.0,22.0,18.0,4.0,2.0,17.0,4.0,14.0,5.0,6.0,0.0,1.0,1.0,6.0,26.0,0.0,7.0,10.0,1.0,0.0,6.0,0.0,4.0,2.0,3.0,150.0,6.0,11.0,1.0,6.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,4.0,59.0,0.0,0.0,0.0,22.0,7.0,3.0,27.0,9.0,9.0,1.0,18.0,0.0,2.0,1.0,8.0,4.0,0.0,2.0,1.0,3.0,0.0,17.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,6.0,5.0,1.0,2.0,3.0,2.0,2.0,1.0,40.0,2.0,0.0,12.0,0.0,5.0,0.0,0.0,0.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
22,110065142.0,0.0,3.0,1.0,8.0,15.0,14.0,7.0,2.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,4.0,1.0,2.0,3.0,4.0,7.0,0.0,8.0,0.0,1.0,5.0,0.0,4.0,2.0,0.0,17.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,11.0,5.0,0.0,14.0,4.0,3.0,1.0,8.0,0.0,1.0,0.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,4.0,1.0,15.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
23,115000873.0,0.0,23.0,6.0,21.0,32.0,7.0,28.0,9.0,11.0,5.0,98.0,8.0,7.0,2.0,30.0,1.0,5.0,30.0,16.0,18.0,10.0,8.0,0.0,7.0,5.0,73.0,0.0,11.0,18.0,12.0,27.0,74.0,30.0,0.0,6.0,8.0,2.0,0.0,6.0,54.0,5.0,0.0,0.0,7.0,9.0,44.0,1.0,4.0,19.0,47.0,13.0,3.0,0.0,112.0,49.0,7.0,24.0,40.0,25.0,2.0,143.0,1.0,4.0,0.0,20.0,45.0,3.0,33.0,2.0,3.0,5.0,13.0,0.0,1.0,0.0,1.0,4.0,0.0,2.0,1.0,5.0,2.0,34.0,19.0,6.0,4.0,46.0,3.0,13.0,24.0,12.0,2.0,18.0,225.0,1.0,14.0,0.0,0.0,9.0,14.0,4.0,0.0,14.0,7.0,0.0,81.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,1.0,4.0
