,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311
0,-1.0,9201822.0,20468737.0,38833957.0,39051261.0,42511663.0,46072963.0,57704154.0,58757509.0,58906137.0,60770565.0,69128991.0,81257432.0,91922499.0,95042301.0,97752537.0,97790346.0,101824385.0,110947442.0,124671425.0,130104044.0,132158439.0,134043722.0,158065289.0,161358392.0,162018682.0,162197434.0,162505712.0,183572928.0,184478628.0,186398196.0,197635196.0,207026848.0,210585182.0,210824047.0,218158653.0,223249146.0,228027288.0,228624990.0,232286506.0,234694346.0,235017564.0,235023116.0,235031383.0,235049190.0,235144644.0,235202088.0,235252116.0,235327570.0,235327869.0,235361998.0,235371205.0,235372141.0,235396430.0,235412941.0,235427055.0,235571847.0,235574567.0,235576189.0,235579309.0,235582604.0,235589107.0,235600534.0,235604645.0,235605735.0,235621009.0,235628211.0,235628521.0,235629053.0,235632067.0,235635319.0,235636944.0,235637445.0,235644513.0,235646348.0,235656055.0,235660166.0,235674459.0,235675462.0,235677956.0,235682468.0,235683160.0,235689519.0,235693981.0,235698786.0,235698838.0,236101700.0,236571939.0,238241716.0,239416249.0,241314646.0,241572783.0,242680426.0,244679902.0,245017318.0,245717053.0,245774541.0,245901604.0,246340444.0,246701967.0,249171669.0,250252795.0,250650627.0,250702100.0,251071086.0,252379338.0,252702702.0,252984402.0,253775718.0,254510174.0,254902811.0,255346086.0,256097262.0,257516549.0,259363048.0,260674631.0,261753083.0,262632206.0,262706826.0,262901913.0,263058928.0,263871572.0,264277290.0,265232851.0,265885504.0,265942542.0,266732737.0,267847695.0,268870600.0,268982538.0,269355227.0,269445201.0,269683593.0,269951391.0,271015790.0,271105943.0,271428783.0,271582995.0,273568314.0,273892783.0,274119514.0,274801038.0,275122708.0,276579513.0,276877221.0,276990981.0,277080294.0,277428389.0,279081642.0,279793333.0,280185619.0,280492439.0,280868115.0,280978003.0,282343134.0,282636043.0,282837606.0,283196543.0,283535949.0,285072437.0,285530748.0,285831156.0,286062587.0,286198366.0,286264342.0,287319301.0,288168641.0,289484551.0,291149720.0,291510924.0,293414124.0,293827800.0,294181092.0,294717412.0,294794004.0,295342500.0,296730201.0,297640674.0,297911010.0,297942894.0,298070991.0,298435470.0,298492855.0,301514075.0,301570099.0,301690783.0,302448097.0,302576894.0,302771501.0,302923747.0,304295092.0,304650925.0,305905043.0,306219093.0,309229420.0,309246352.0,310894120.0,312583267.0,316052729.0,316449522.0,317262357.0,317678508.0,318416496.0,318577646.0,318741135.0,319078448.0,319261014.0,319495445.0,322235705.0,322252370.0,322862103.0,323383773.0,326336700.0,326395793.0,327720797.0,328161023.0,328436009.0,330994588.0,331614789.0,332790210.0,333067522.0,335022271.0,337307991.0,339537305.0,345891208.0,348632309.0,349217591.0,350306990.0,351001474.0,353440011.0,353989176.0,355036306.0,356786614.0,358067499.0,358918731.0,358971923.0,359179176.0,360331071.0,361466174.0,361835589.0,362118201.0,365932691.0,366781555.0,367060786.0,368229348.0,370103470.0,370131282.0,370375533.0,370728558.0,370737618.0,370797277.0,371620501.0,372026171.0,372593918.0,375142412.0,377548335.0,378126547.0,378419883.0,378567883.0,379124574.0,379180251.0,379241039.0,379763849.0,380946222.0,382569293.0,384671106.0,385615651.0,386082293.0,386609235.0,387883412.0,392487420.0,392613799.0,393925685.0,394271408.0,394559570.0,395445890.0,399002639.0,399250295.0,400192644.0,401497583.0,402066619.0,408360266.0,408883794.0,409061237.0,409228836.0,409292491.0,410868154.0,412291455.0,412663554.0,414772326.0,415349354.0,417235825.0,419731324.0,419847368.0,421225954.0,421879378.0,425423239.0,425882569.0,426619718.0,427111253.0,428843595.0,429962139.0,431300337.0,433293420.0,434096108.0,436220016.0,439896774.0,440363653.0,442573140.0,442746264.0,443057650.0,443325401.0
1,9201822.0,0.0,22.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,5.0,0.0,0.0,9.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,1.0,0.0,0.0,0.0,9.0,0.0,15.0,12.0,38.0,0.0,0.0,0.0,12.0,6.0,4.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,7.0,15.0,4.0,1.0,0.0,1.0,1.0,0.0,18.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0
2,20468737.0,22.0,0.0,36.0,29.0,0.0,0.0,1.0,6.0,13.0,0.0,16.0,7.0,5.0,5.0,44.0,10.0,0.0,10.0,0.0,14.0,2.0,26.0,14.0,3.0,11.0,0.0,28.0,11.0,27.0,18.0,9.0,3.0,34.0,9.0,15.0,4.0,19.0,10.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,1.0,46.0,14.0,1.0,8.0,7.0,10.0,0.0,48.0,47.0,97.0,0.0,5.0,0.0,60.0,17.0,19.0,6.0,12.0,8.0,4.0,6.0,12.0,5.0,0.0,21.0,11.0,10.0,5.0,10.0,3.0,0.0,7.0,14.0,0.0,4.0,0.0,23.0,0.0,1.0,1.0,13.0,6.0,22.0,11.0,1.0,12.0,28.0,2.0,0.0,12.0,26.0,0.0,8.0,3.0,8.0,2.0,15.0,18.0,10.0,0.0,10.0,15.0,46.0,6.0,0.0,1.0,1.0,3.0,119.0,14.0,15.0,26.0,4.0,0.0,0.0,12.0,1.0,6.0,5.0,1.0,1.0,6.0,2.0,44.0,10.0,0.0,0.0,5.0,2.0,3.0,19.0,10.0,1.0,15.0,0.0,3.0,0.0,4.0,17.0,10.0,11.0,3.0,2.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,12.0,31.0,2.0,0.0,0.0,67.0,0.0,1.0,0.0,1.0,16.0,0.0,46.0,4.0,30.0,16.0,6.0,8.0,2.0,29.0,0.0,1.0,16.0,49.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,0.0,7.0,0.0,1.0,0.0,16.0,1.0,8.0,1.0,2.0,8.0,1.0,19.0,5.0,4.0,0.0,3.0,3.0,2.0,4.0,0.0,9.0,13.0,5.0,0.0,0.0,9.0,0.0,58.0,0.0,31.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,11.0,0.0,1.0,13.0,4.0,0.0,0.0,0.0,11.0,0.0,7.0,7.0,3.0,1.0,0.0,1.0,80.0,0.0,23.0,10.0,1.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,0.0,4.0,0.0,0.0
3,38833957.0,9.0,36.0,0.0,60.0,1.0,1.0,5.0,5.0,8.0,1.0,26.0,22.0,7.0,29.0,40.0,9.0,3.0,304.0,0.0,4.0,18.0,42.0,10.0,1.0,6.0,2.0,30.0,7.0,13.0,22.0,8.0,34.0,45.0,16.0,16.0,4.0,21.0,16.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,1.0,89.0,6.0,4.0,8.0,2.0,10.0,1.0,80.0,46.0,139.0,0.0,7.0,1.0,97.0,20.0,27.0,9.0,45.0,7.0,8.0,20.0,19.0,3.0,1.0,13.0,24.0,13.0,23.0,32.0,9.0,0.0,18.0,17.0,0.0,5.0,0.0,29.0,0.0,1.0,3.0,14.0,4.0,6.0,14.0,1.0,7.0,43.0,10.0,1.0,14.0,51.0,0.0,8.0,3.0,23.0,8.0,13.0,16.0,6.0,0.0,29.0,26.0,72.0,8.0,0.0,6.0,3.0,5.0,33.0,35.0,12.0,13.0,1.0,0.0,0.0,14.0,1.0,10.0,10.0,2.0,6.0,3.0,6.0,12.0,17.0,0.0,0.0,7.0,8.0,3.0,10.0,7.0,12.0,25.0,4.0,13.0,0.0,2.0,35.0,6.0,26.0,4.0,3.0,1.0,10.0,1.0,0.0,20.0,0.0,0.0,2.0,5.0,1.0,3.0,0.0,1.0,33.0,85.0,1.0,0.0,0.0,61.0,0.0,1.0,0.0,3.0,16.0,0.0,63.0,2.0,16.0,7.0,2.0,17.0,3.0,62.0,0.0,2.0,29.0,68.0,8.0,0.0,6.0,2.0,10.0,2.0,14.0,1.0,7.0,0.0,4.0,4.0,9.0,1.0,15.0,7.0,2.0,18.0,7.0,11.0,20.0,5.0,4.0,9.0,20.0,5.0,6.0,1.0,14.0,7.0,12.0,2.0,0.0,10.0,2.0,36.0,0.0,57.0,1.0,0.0,14.0,3.0,0.0,0.0,0.0,6.0,21.0,1.0,12.0,8.0,13.0,0.0,0.0,0.0,21.0,0.0,9.0,11.0,6.0,3.0,0.0,5.0,49.0,0.0,28.0,14.0,4.0,0.0,8.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,15.0,5.0,4.0,0.0,0.0
4,39051261.0,9.0,29.0,60.0,0.0,3.0,0.0,50.0,102.0,6.0,0.0,17.0,25.0,3.0,7.0,184.0,9.0,0.0,7.0,0.0,6.0,11.0,20.0,6.0,1.0,8.0,0.0,61.0,16.0,27.0,15.0,8.0,0.0,21.0,8.0,14.0,2.0,21.0,11.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,256.0,8.0,1.0,37.0,1.0,6.0,0.0,73.0,53.0,136.0,0.0,2.0,40.0,92.0,21.0,117.0,12.0,31.0,46.0,2.0,18.0,142.0,17.0,1.0,4.0,13.0,98.0,2.0,12.0,11.0,0.0,111.0,12.0,0.0,2.0,0.0,27.0,1.0,18.0,38.0,11.0,0.0,37.0,6.0,0.0,12.0,37.0,64.0,1.0,10.0,38.0,0.0,114.0,4.0,18.0,81.0,12.0,12.0,8.0,0.0,23.0,138.0,71.0,23.0,0.0,24.0,2.0,5.0,29.0,30.0,12.0,10.0,2.0,0.0,1.0,109.0,0.0,6.0,107.0,0.0,66.0,20.0,4.0,31.0,8.0,0.0,0.0,2.0,1.0,80.0,3.0,6.0,9.0,18.0,1.0,11.0,0.0,0.0,30.0,7.0,13.0,66.0,3.0,19.0,76.0,10.0,1.0,8.0,12.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,19.0,43.0,3.0,0.0,0.0,53.0,0.0,0.0,0.0,1.0,16.0,0.0,46.0,5.0,13.0,5.0,15.0,84.0,3.0,33.0,4.0,1.0,27.0,103.0,1.0,0.0,47.0,1.0,92.0,0.0,15.0,0.0,67.0,0.0,5.0,61.0,6.0,12.0,3.0,0.0,44.0,19.0,33.0,6.0,9.0,5.0,2.0,5.0,5.0,0.0,29.0,1.0,6.0,5.0,73.0,3.0,1.0,5.0,0.0,35.0,0.0,37.0,19.0,0.0,8.0,38.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,3.0,4.0,0.0,0.0,0.0,33.0,0.0,6.0,7.0,4.0,1.0,0.0,1.0,60.0,0.0,24.0,5.0,1.0,0.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0,9.0,98.0,18.0,4.0,2.0,0.0,0.0
5,42511663.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
6,46072963.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,57704154.0,0.0,1.0,5.0,50.0,0.0,0.0,0.0,43.0,0.0,0.0,1.0,3.0,0.0,1.0,48.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,10.0,4.0,10.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,20.0,0.0,0.0,0.0,7.0,1.0,13.0,0.0,0.0,24.0,8.0,0.0,51.0,0.0,1.0,23.0,0.0,0.0,56.0,1.0,0.0,0.0,2.0,50.0,1.0,2.0,0.0,0.0,44.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,1.0,0.0,18.0,0.0,0.0,4.0,2.0,38.0,0.0,1.0,2.0,0.0,49.0,0.0,1.0,37.0,0.0,1.0,1.0,0.0,2.0,38.0,8.0,12.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,47.0,0.0,0.0,45.0,0.0,35.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,28.0,1.0,16.0,29.0,9.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,40.0,0.0,5.0,4.0,0.0,13.0,38.0,0.0,0.0,27.0,0.0,45.0,0.0,0.0,0.0,40.0,0.0,1.0,37.0,0.0,8.0,0.0,0.0,30.0,1.0,21.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,13.0,0.0,0.0,0.0,31.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,9.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,4.0,0.0,0.0,0.0,0.0
8,58757509.0,0.0,6.0,5.0,102.0,0.0,0.0,43.0,0.0,0.0,0.0,1.0,7.0,1.0,3.0,152.0,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,25.0,7.0,40.0,5.0,1.0,0.0,9.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,216.0,1.0,0.0,46.0,0.0,0.0,0.0,2.0,4.0,39.0,0.0,2.0,57.0,12.0,0.0,102.0,2.0,8.0,88.0,2.0,5.0,261.0,10.0,0.0,0.0,5.0,169.0,0.0,4.0,1.0,0.0,127.0,2.0,0.0,1.0,0.0,3.0,0.0,6.0,70.0,2.0,1.0,74.0,0.0,0.0,7.0,3.0,112.0,0.0,3.0,12.0,0.0,176.0,0.0,7.0,115.0,2.0,5.0,1.0,0.0,2.0,191.0,17.0,25.0,0.0,12.0,1.0,0.0,2.0,3.0,11.0,0.0,0.0,0.0,1.0,131.0,0.0,3.0,196.0,0.0,107.0,20.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,111.0,2.0,2.0,4.0,3.0,1.0,6.0,0.0,0.0,4.0,1.0,8.0,97.0,2.0,44.0,67.0,25.0,0.0,3.0,30.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,6.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,4.0,2.0,2.0,144.0,1.0,10.0,31.0,0.0,18.0,75.0,0.0,0.0,57.0,0.0,125.0,0.0,2.0,0.0,108.0,0.0,1.0,91.0,1.0,20.0,2.0,1.0,117.0,2.0,46.0,6.0,2.0,0.0,0.0,0.0,4.0,2.0,152.0,1.0,3.0,1.0,130.0,2.0,0.0,2.0,0.0,6.0,0.0,6.0,45.0,0.0,6.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,19.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,21.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,23.0,63.0,9.0,0.0,1.0,0.0,0.0
9,58906137.0,0.0,13.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,7.0,7.0,12.0,0.0,2.0,0.0,2.0,0.0,17.0,2.0,7.0,35.0,1.0,11.0,9.0,6.0,7.0,2.0,1.0,22.0,1.0,14.0,12.0,10.0,1.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,7.0,8.0,2.0,4.0,2.0,3.0,0.0,0.0,10.0,9.0,24.0,0.0,21.0,1.0,32.0,23.0,2.0,7.0,17.0,1.0,9.0,1.0,3.0,1.0,3.0,23.0,6.0,1.0,2.0,17.0,8.0,0.0,0.0,9.0,0.0,9.0,0.0,25.0,2.0,1.0,0.0,13.0,9.0,7.0,38.0,1.0,5.0,12.0,1.0,5.0,16.0,13.0,0.0,0.0,2.0,8.0,1.0,8.0,19.0,29.0,0.0,2.0,0.0,20.0,0.0,3.0,1.0,1.0,2.0,10.0,4.0,9.0,2.0,4.0,0.0,0.0,1.0,0.0,9.0,1.0,3.0,0.0,7.0,1.0,3.0,6.0,0.0,0.0,6.0,4.0,0.0,10.0,13.0,5.0,4.0,1.0,2.0,0.0,10.0,26.0,1.0,11.0,1.0,6.0,0.0,2.0,0.0,1.0,12.0,0.0,0.0,0.0,6.0,2.0,6.0,1.0,0.0,16.0,48.0,2.0,0.0,0.0,28.0,0.0,3.0,0.0,12.0,36.0,1.0,47.0,0.0,26.0,21.0,2.0,3.0,3.0,17.0,0.0,10.0,10.0,24.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,2.0,5.0,0.0,1.0,0.0,21.0,0.0,31.0,1.0,0.0,38.0,1.0,17.0,1.0,10.0,4.0,6.0,4.0,2.0,2.0,0.0,24.0,28.0,1.0,0.0,0.0,26.0,0.0,23.0,0.0,9.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,12.0,4.0,2.0,0.0,0.0,9.0,0.0,13.0,5.0,1.0,8.0,0.0,2.0,45.0,0.0,12.0,2.0,7.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0
