,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,-1.0,15008659.0,16131860.0,25937737.0,34699794.0,42176166.0,43669003.0,48357731.0,48959778.0,49923648.0,51858867.0,97534492.0,108590056.0,108913225.0,115000873.0,120718857.0,161268794.0,210585182.0,210824047.0,239065881.0,244152633.0,244529400.0,250334613.0,255056286.0,255689417.0,258536563.0,260314188.0,262821567.0,263555244.0,266562398.0,269266951.0,275519557.0,283718439.0,290039931.0,294523668.0,296526287.0,302144631.0,304993789.0,330185697.0,330229987.0,353463122.0,369028288.0,373482595.0,378247069.0,385160961.0,402037439.0,418834841.0,425840443.0
1,15008659.0,0.0,65.0,15.0,38.0,76.0,1.0,39.0,45.0,50.0,1.0,70.0,9.0,43.0,19.0,20.0,17.0,7.0,8.0,51.0,39.0,30.0,20.0,26.0,33.0,68.0,32.0,69.0,12.0,1.0,31.0,8.0,6.0,80.0,0.0,17.0,16.0,6.0,41.0,16.0,70.0,73.0,77.0,3.0,1.0,41.0,5.0,3.0
2,16131860.0,65.0,0.0,168.0,47.0,232.0,4.0,84.0,116.0,186.0,32.0,227.0,15.0,213.0,92.0,75.0,76.0,138.0,53.0,202.0,254.0,156.0,45.0,192.0,358.0,302.0,149.0,256.0,7.0,10.0,137.0,53.0,4.0,398.0,0.0,41.0,9.0,84.0,172.0,84.0,297.0,76.0,288.0,33.0,3.0,248.0,22.0,6.0
3,25937737.0,15.0,168.0,0.0,26.0,218.0,1.0,75.0,43.0,32.0,1.0,106.0,6.0,92.0,17.0,12.0,13.0,7.0,7.0,35.0,91.0,53.0,20.0,40.0,220.0,84.0,115.0,67.0,8.0,1.0,41.0,9.0,1.0,179.0,0.0,11.0,10.0,6.0,54.0,24.0,208.0,46.0,97.0,2.0,0.0,150.0,14.0,1.0
4,34699794.0,38.0,47.0,26.0,0.0,57.0,3.0,41.0,61.0,23.0,0.0,65.0,3.0,42.0,34.0,28.0,16.0,6.0,13.0,35.0,42.0,33.0,30.0,41.0,31.0,95.0,74.0,55.0,4.0,3.0,29.0,11.0,0.0,119.0,0.0,16.0,5.0,6.0,22.0,32.0,89.0,39.0,103.0,2.0,0.0,48.0,10.0,5.0
5,42176166.0,76.0,232.0,218.0,57.0,0.0,2.0,148.0,66.0,112.0,1.0,129.0,4.0,153.0,10.0,54.0,22.0,6.0,7.0,59.0,84.0,34.0,32.0,52.0,311.0,134.0,61.0,95.0,4.0,0.0,52.0,7.0,0.0,195.0,0.0,13.0,13.0,1.0,75.0,9.0,273.0,136.0,165.0,6.0,0.0,77.0,8.0,2.0
6,43669003.0,1.0,4.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,4.0,2.0,3.0,0.0,2.0,1.0,3.0,2.0,4.0,1.0,7.0,2.0,4.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
7,48357731.0,39.0,84.0,75.0,41.0,148.0,1.0,0.0,47.0,31.0,1.0,87.0,2.0,58.0,6.0,32.0,12.0,3.0,4.0,30.0,43.0,29.0,17.0,26.0,77.0,51.0,47.0,56.0,4.0,3.0,35.0,9.0,1.0,113.0,0.0,11.0,3.0,1.0,34.0,16.0,141.0,47.0,75.0,1.0,0.0,54.0,8.0,2.0
8,48959778.0,45.0,116.0,43.0,61.0,66.0,1.0,47.0,0.0,57.0,0.0,91.0,7.0,73.0,28.0,44.0,25.0,19.0,21.0,72.0,77.0,59.0,17.0,30.0,73.0,140.0,105.0,88.0,12.0,2.0,46.0,16.0,4.0,184.0,0.0,25.0,2.0,13.0,70.0,46.0,121.0,58.0,156.0,5.0,0.0,127.0,13.0,3.0
9,49923648.0,50.0,186.0,32.0,23.0,112.0,2.0,31.0,57.0,0.0,22.0,74.0,5.0,72.0,73.0,46.0,36.0,73.0,21.0,134.0,60.0,63.0,20.0,112.0,101.0,144.0,43.0,144.0,2.0,6.0,60.0,23.0,2.0,132.0,0.0,25.0,1.0,51.0,82.0,41.0,76.0,51.0,116.0,49.0,1.0,66.0,11.0,3.0
