,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190
0,-1.0,778057.0,2797701.0,10333202.0,15236350.0,17396157.0,17839398.0,18210270.0,18385356.0,18452717.0,18525043.0,18529435.0,19074053.0,19682207.0,19712559.0,19719446.0,19995430.0,20355459.0,20378744.0,20576302.0,21159536.0,21288289.0,22201334.0,22208724.0,22374019.0,22757490.0,23037715.0,24167293.0,24812725.0,24998706.0,25161342.0,25212127.0,25803703.0,26140273.0,28771515.0,30233748.0,32840036.0,33806698.0,34575622.0,35707603.0,35773039.0,36415086.0,37593470.0,38224970.0,38699706.0,40552417.0,40856741.0,42277567.0,42569112.0,43694024.0,46416280.0,46668798.0,47247868.0,47379354.0,47643350.0,47655781.0,48955550.0,49416159.0,50645038.0,50656855.0,51478771.0,53193168.0,53223847.0,55636406.0,55768426.0,55837229.0,57292354.0,61983131.0,64127824.0,64234543.0,64911072.0,65331724.0,66680811.0,67208397.0,72010221.0,73938917.0,75055396.0,80293889.0,80894852.0,84891520.0,87250666.0,91176772.0,97534492.0,101250325.0,104935521.0,105092771.0,106441814.0,111950228.0,114154202.0,114716461.0,115341974.0,118427659.0,118656962.0,122627963.0,125797024.0,135468327.0,139500494.0,147053731.0,150881077.0,151919653.0,152637259.0,153282873.0,160600180.0,161863994.0,163029733.0,175139115.0,180261346.0,183131640.0,194008664.0,199945522.0,201414744.0,208768450.0,210755379.0,210824047.0,213302384.0,221706364.0,224393582.0,224682566.0,226590372.0,230527949.0,238017271.0,238519301.0,239299228.0,242154581.0,244071747.0,244529400.0,245027772.0,245556068.0,245650642.0,246003191.0,247012412.0,247494866.0,250876541.0,252769682.0,253967506.0,255007697.0,255040592.0,255471924.0,258124716.0,258536563.0,260379756.0,260969641.0,263022323.0,263607988.0,263834663.0,266562398.0,266583989.0,266620405.0,268529448.0,274133892.0,277820312.0,279947636.0,280185619.0,283209928.0,291007473.0,294523668.0,295366074.0,297691213.0,302144631.0,304677043.0,309041796.0,310790644.0,314252581.0,314867627.0,317401345.0,317752481.0,325444817.0,325913087.0,329409390.0,330229987.0,338688181.0,340664868.0,356405223.0,357645239.0,358127799.0,359564962.0,362982252.0,363763442.0,365082557.0,369028288.0,379429447.0,381696542.0,384822746.0,386653565.0,391645292.0,396738207.0,402037439.0,405438023.0,408971802.0,412391629.0,422808437.0
1,778057.0,0.0,44.0,249.0,5.0,73.0,174.0,8.0,199.0,81.0,228.0,91.0,343.0,34.0,2.0,16.0,6.0,2.0,3.0,25.0,22.0,59.0,372.0,112.0,7.0,4.0,227.0,67.0,6.0,0.0,343.0,18.0,442.0,12.0,12.0,124.0,12.0,237.0,27.0,112.0,214.0,114.0,164.0,232.0,75.0,35.0,3.0,43.0,35.0,375.0,120.0,6.0,34.0,373.0,27.0,343.0,84.0,88.0,226.0,255.0,289.0,12.0,36.0,1.0,12.0,22.0,4.0,25.0,4.0,207.0,3.0,54.0,91.0,34.0,11.0,142.0,9.0,11.0,0.0,26.0,24.0,16.0,229.0,34.0,86.0,34.0,13.0,118.0,10.0,105.0,0.0,48.0,17.0,18.0,159.0,219.0,120.0,36.0,85.0,280.0,0.0,24.0,153.0,420.0,5.0,36.0,49.0,50.0,133.0,58.0,1.0,84.0,215.0,17.0,31.0,54.0,4.0,135.0,229.0,56.0,39.0,187.0,24.0,31.0,42.0,79.0,14.0,1.0,180.0,33.0,263.0,18.0,0.0,213.0,124.0,185.0,207.0,21.0,56.0,156.0,332.0,2.0,227.0,129.0,175.0,4.0,48.0,8.0,187.0,19.0,0.0,46.0,95.0,193.0,7.0,0.0,130.0,1.0,10.0,3.0,65.0,91.0,20.0,333.0,191.0,5.0,10.0,18.0,23.0,43.0,18.0,35.0,7.0,3.0,150.0,55.0,22.0,31.0,0.0,83.0,5.0,24.0,84.0,18.0,6.0,77.0,155.0,351.0,96.0,0.0,34.0
2,2797701.0,44.0,0.0,55.0,0.0,12.0,20.0,2.0,43.0,94.0,28.0,18.0,32.0,7.0,4.0,2.0,24.0,0.0,1.0,11.0,2.0,4.0,50.0,13.0,6.0,2.0,17.0,29.0,3.0,0.0,50.0,7.0,59.0,9.0,1.0,28.0,5.0,46.0,4.0,46.0,9.0,8.0,39.0,35.0,10.0,67.0,0.0,7.0,2.0,62.0,14.0,6.0,21.0,36.0,6.0,46.0,11.0,14.0,52.0,44.0,30.0,3.0,33.0,0.0,5.0,4.0,2.0,5.0,2.0,41.0,16.0,13.0,28.0,6.0,0.0,19.0,2.0,1.0,0.0,7.0,2.0,10.0,23.0,4.0,7.0,9.0,7.0,12.0,0.0,12.0,0.0,2.0,3.0,5.0,25.0,40.0,13.0,2.0,47.0,35.0,0.0,2.0,22.0,44.0,1.0,34.0,71.0,5.0,21.0,9.0,0.0,9.0,33.0,1.0,3.0,24.0,1.0,23.0,41.0,7.0,2.0,16.0,5.0,21.0,9.0,12.0,6.0,6.0,33.0,7.0,27.0,7.0,0.0,58.0,13.0,42.0,31.0,5.0,2.0,26.0,40.0,9.0,29.0,33.0,78.0,1.0,5.0,3.0,20.0,5.0,0.0,3.0,8.0,27.0,5.0,0.0,20.0,0.0,4.0,0.0,9.0,7.0,0.0,57.0,47.0,0.0,1.0,72.0,2.0,3.0,1.0,5.0,2.0,0.0,29.0,21.0,3.0,10.0,0.0,64.0,24.0,2.0,15.0,6.0,3.0,13.0,10.0,81.0,9.0,4.0,2.0
3,10333202.0,249.0,55.0,0.0,5.0,163.0,223.0,17.0,104.0,136.0,147.0,65.0,303.0,52.0,2.0,33.0,44.0,1.0,16.0,24.0,10.0,63.0,527.0,88.0,55.0,22.0,211.0,768.0,20.0,0.0,211.0,65.0,405.0,7.0,13.0,296.0,16.0,306.0,103.0,76.0,191.0,159.0,114.0,260.0,113.0,200.0,16.0,86.0,32.0,213.0,194.0,7.0,52.0,301.0,58.0,88.0,65.0,54.0,400.0,300.0,301.0,13.0,50.0,1.0,24.0,17.0,5.0,53.0,3.0,143.0,25.0,76.0,105.0,47.0,15.0,331.0,19.0,6.0,0.0,206.0,26.0,48.0,136.0,14.0,56.0,23.0,61.0,82.0,17.0,251.0,3.0,108.0,26.0,42.0,157.0,203.0,160.0,25.0,112.0,251.0,4.0,65.0,244.0,379.0,6.0,86.0,82.0,81.0,97.0,95.0,3.0,113.0,201.0,14.0,122.0,33.0,3.0,94.0,427.0,58.0,23.0,83.0,45.0,33.0,34.0,44.0,12.0,40.0,257.0,32.0,160.0,34.0,3.0,393.0,50.0,187.0,131.0,46.0,26.0,147.0,302.0,12.0,263.0,139.0,125.0,1.0,38.0,9.0,94.0,7.0,0.0,25.0,42.0,202.0,35.0,0.0,89.0,0.0,7.0,0.0,43.0,62.0,10.0,314.0,226.0,10.0,24.0,20.0,28.0,15.0,17.0,13.0,16.0,4.0,206.0,31.0,19.0,43.0,0.0,140.0,24.0,16.0,164.0,41.0,43.0,118.0,76.0,212.0,45.0,29.0,20.0
4,15236350.0,5.0,0.0,5.0,0.0,5.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,5.0,1.0,0.0,3.0,1.0,5.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,9.0,20.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,5.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,17.0,6.0,1.0,0.0,0.0,0.0,4.0,2.0,15.0,12.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,0.0,8.0,1.0,6.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,0.0,10.0,5.0,0.0,0.0,0.0,1.0,0.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,8.0,2.0,6.0,2.0,0.0,1.0
5,17396157.0,73.0,12.0,163.0,5.0,0.0,47.0,7.0,18.0,30.0,48.0,7.0,73.0,23.0,1.0,8.0,7.0,0.0,4.0,16.0,3.0,22.0,102.0,21.0,8.0,4.0,49.0,107.0,6.0,0.0,43.0,19.0,79.0,4.0,16.0,72.0,3.0,80.0,15.0,11.0,61.0,55.0,20.0,52.0,48.0,50.0,3.0,19.0,5.0,37.0,22.0,2.0,27.0,75.0,7.0,23.0,31.0,24.0,116.0,68.0,115.0,3.0,7.0,2.0,6.0,6.0,0.0,28.0,2.0,60.0,7.0,17.0,54.0,23.0,5.0,105.0,8.0,7.0,0.0,32.0,9.0,4.0,49.0,4.0,24.0,14.0,15.0,27.0,7.0,63.0,0.0,21.0,12.0,16.0,27.0,66.0,59.0,12.0,25.0,60.0,1.0,22.0,55.0,112.0,0.0,33.0,28.0,18.0,29.0,33.0,0.0,66.0,74.0,4.0,19.0,5.0,2.0,32.0,91.0,29.0,9.0,18.0,13.0,8.0,12.0,13.0,2.0,5.0,86.0,13.0,33.0,13.0,1.0,80.0,22.0,41.0,32.0,12.0,9.0,64.0,98.0,1.0,75.0,38.0,26.0,0.0,7.0,7.0,22.0,1.0,0.0,8.0,16.0,45.0,7.0,0.0,20.0,0.0,4.0,0.0,5.0,12.0,7.0,89.0,82.0,7.0,14.0,4.0,18.0,7.0,12.0,4.0,6.0,2.0,71.0,17.0,9.0,17.0,0.0,46.0,5.0,10.0,38.0,17.0,4.0,57.0,21.0,79.0,10.0,2.0,7.0
6,17839398.0,174.0,20.0,223.0,2.0,47.0,0.0,12.0,92.0,67.0,129.0,55.0,207.0,55.0,1.0,13.0,2.0,2.0,2.0,11.0,17.0,24.0,228.0,75.0,5.0,5.0,211.0,55.0,4.0,0.0,185.0,18.0,259.0,4.0,5.0,167.0,22.0,242.0,19.0,62.0,88.0,61.0,109.0,476.0,60.0,43.0,4.0,46.0,40.0,269.0,84.0,9.0,31.0,218.0,64.0,104.0,67.0,53.0,231.0,102.0,164.0,16.0,11.0,0.0,10.0,14.0,7.0,32.0,2.0,96.0,4.0,49.0,73.0,28.0,20.0,94.0,8.0,7.0,1.0,36.0,7.0,25.0,134.0,8.0,39.0,15.0,19.0,63.0,17.0,67.0,0.0,25.0,26.0,12.0,146.0,139.0,68.0,20.0,93.0,286.0,0.0,17.0,119.0,203.0,2.0,30.0,40.0,39.0,87.0,85.0,0.0,27.0,159.0,7.0,24.0,57.0,2.0,80.0,155.0,26.0,11.0,136.0,37.0,20.0,27.0,42.0,10.0,2.0,157.0,16.0,197.0,17.0,1.0,206.0,24.0,109.0,161.0,63.0,19.0,113.0,189.0,1.0,156.0,76.0,75.0,2.0,13.0,4.0,94.0,14.0,0.0,12.0,40.0,148.0,15.0,0.0,70.0,0.0,5.0,1.0,29.0,58.0,5.0,202.0,123.0,4.0,22.0,5.0,7.0,9.0,10.0,10.0,6.0,2.0,138.0,8.0,9.0,22.0,0.0,69.0,7.0,10.0,60.0,7.0,15.0,41.0,88.0,145.0,69.0,1.0,9.0
7,18210270.0,8.0,2.0,17.0,0.0,7.0,12.0,0.0,5.0,8.0,14.0,0.0,20.0,11.0,0.0,1.0,0.0,0.0,3.0,9.0,3.0,2.0,21.0,11.0,4.0,2.0,12.0,13.0,0.0,0.0,9.0,9.0,9.0,0.0,1.0,18.0,6.0,15.0,13.0,5.0,17.0,9.0,4.0,13.0,23.0,13.0,0.0,14.0,0.0,13.0,11.0,1.0,10.0,14.0,1.0,1.0,13.0,5.0,18.0,8.0,15.0,3.0,1.0,0.0,5.0,1.0,0.0,13.0,0.0,16.0,0.0,8.0,4.0,10.0,2.0,15.0,6.0,4.0,0.0,6.0,0.0,2.0,13.0,2.0,6.0,9.0,5.0,5.0,2.0,15.0,0.0,5.0,6.0,1.0,7.0,16.0,9.0,7.0,8.0,22.0,0.0,10.0,8.0,19.0,0.0,6.0,4.0,4.0,9.0,17.0,0.0,2.0,12.0,0.0,3.0,4.0,0.0,4.0,23.0,4.0,0.0,1.0,9.0,3.0,5.0,4.0,2.0,1.0,17.0,4.0,9.0,3.0,0.0,19.0,6.0,4.0,12.0,2.0,2.0,19.0,20.0,0.0,4.0,16.0,2.0,0.0,0.0,3.0,5.0,1.0,0.0,1.0,6.0,6.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,9.0,0.0,17.0,15.0,1.0,11.0,0.0,3.0,3.0,3.0,1.0,3.0,0.0,20.0,0.0,1.0,11.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,11.0,5.0,8.0,1.0,1.0,1.0
8,18385356.0,199.0,43.0,104.0,1.0,18.0,92.0,5.0,0.0,86.0,106.0,45.0,173.0,7.0,0.0,4.0,1.0,0.0,0.0,10.0,7.0,34.0,212.0,66.0,3.0,3.0,120.0,23.0,1.0,0.0,168.0,4.0,221.0,3.0,2.0,76.0,8.0,171.0,17.0,120.0,44.0,30.0,57.0,118.0,29.0,18.0,0.0,20.0,15.0,183.0,61.0,5.0,9.0,227.0,5.0,149.0,42.0,26.0,79.0,150.0,120.0,9.0,25.0,0.0,2.0,6.0,4.0,12.0,0.0,81.0,1.0,37.0,30.0,9.0,6.0,47.0,4.0,2.0,0.0,10.0,6.0,8.0,93.0,5.0,42.0,8.0,4.0,40.0,4.0,49.0,0.0,24.0,3.0,8.0,139.0,91.0,31.0,7.0,73.0,108.0,0.0,8.0,87.0,169.0,5.0,17.0,34.0,22.0,40.0,24.0,0.0,26.0,99.0,7.0,20.0,24.0,5.0,59.0,76.0,16.0,7.0,106.0,7.0,23.0,19.0,23.0,21.0,3.0,107.0,13.0,156.0,10.0,0.0,150.0,35.0,94.0,96.0,4.0,20.0,48.0,94.0,2.0,82.0,80.0,175.0,1.0,22.0,10.0,80.0,10.0,0.0,8.0,26.0,97.0,1.0,0.0,62.0,0.0,2.0,0.0,26.0,32.0,4.0,176.0,78.0,0.0,3.0,19.0,6.0,10.0,5.0,15.0,3.0,1.0,48.0,27.0,28.0,8.0,0.0,43.0,3.0,10.0,37.0,5.0,2.0,23.0,67.0,178.0,51.0,2.0,15.0
9,18452717.0,81.0,94.0,136.0,2.0,30.0,67.0,8.0,86.0,0.0,124.0,55.0,157.0,12.0,1.0,3.0,7.0,0.0,3.0,12.0,4.0,34.0,192.0,37.0,16.0,9.0,50.0,35.0,3.0,0.0,99.0,28.0,131.0,15.0,6.0,109.0,14.0,181.0,39.0,61.0,27.0,23.0,59.0,72.0,31.0,95.0,2.0,41.0,9.0,98.0,116.0,2.0,21.0,90.0,12.0,78.0,38.0,29.0,115.0,163.0,79.0,12.0,29.0,0.0,4.0,12.0,4.0,13.0,2.0,134.0,9.0,60.0,52.0,17.0,8.0,66.0,7.0,4.0,0.0,18.0,9.0,18.0,53.0,11.0,50.0,17.0,17.0,45.0,4.0,77.0,0.0,35.0,5.0,62.0,142.0,93.0,28.0,8.0,99.0,95.0,1.0,9.0,87.0,118.0,13.0,60.0,97.0,33.0,50.0,28.0,1.0,55.0,118.0,11.0,63.0,30.0,1.0,74.0,161.0,25.0,7.0,60.0,9.0,31.0,46.0,19.0,19.0,37.0,110.0,13.0,65.0,44.0,2.0,226.0,32.0,183.0,65.0,15.0,17.0,78.0,103.0,8.0,89.0,102.0,143.0,1.0,6.0,6.0,57.0,8.0,0.0,10.0,29.0,83.0,12.0,0.0,60.0,3.0,14.0,0.0,25.0,28.0,5.0,114.0,122.0,0.0,17.0,60.0,6.0,16.0,7.0,10.0,18.0,1.0,78.0,41.0,16.0,20.0,0.0,164.0,39.0,6.0,61.0,39.0,18.0,52.0,44.0,133.0,27.0,5.0,12.0
