,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,-1.0,9076542.0,11277572.0,11688082.0,15292472.0,15439100.0,16067592.0,16542687.0,17839398.0,18594520.0,19512791.0,20039889.0,20097381.0,30261689.0,30709612.0,33806698.0,33994488.0,39953073.0,41061694.0,42005796.0,43914724.0,45560489.0,47107118.0,47131673.0,47247868.0,48959778.0,49323761.0,50083589.0,51478771.0,52696957.0,53870725.0,55312746.0,64149875.0,66647830.0,71207287.0,73938917.0,75055396.0,75630518.0,94626353.0,98310966.0,101250325.0,129389419.0,132306718.0,132434409.0,134043722.0,135604662.0,150123967.0,151919653.0,153321487.0,153949977.0,162505712.0,169196848.0,176015466.0,178779512.0,197635196.0,198109274.0,210824047.0,211993075.0,232286506.0,238369902.0,238422999.0,243296547.0,244152633.0,244632599.0,246875675.0,248670810.0,252016593.0,252050368.0,252474349.0,254688158.0,255040592.0,256927558.0,260314188.0,260706920.0,261885661.0,263022323.0,263607988.0,268529448.0,271937368.0,280868115.0,284642911.0,286791919.0,287229977.0,291113631.0,292920004.0,293175239.0,296532899.0,300752857.0,302144631.0,304993789.0,305323134.0,316144548.0,317262357.0,318492851.0,329409390.0,330994588.0,339034131.0,340083765.0,345009815.0,349146547.0,349847993.0,351462815.0,353142132.0,359509980.0,368229348.0,369028288.0,388197025.0,388549895.0,388951374.0,393729229.0,402094758.0,406558256.0,412663554.0,427111253.0,428140124.0,428978217.0,428999682.0,431602560.0,440363653.0,442200826.0,442233789.0
1,9076542.0,0.0,18.0,12.0,67.0,49.0,143.0,34.0,85.0,23.0,31.0,103.0,18.0,3.0,3.0,111.0,151.0,26.0,18.0,22.0,134.0,66.0,79.0,4.0,35.0,65.0,41.0,45.0,103.0,86.0,41.0,2.0,18.0,37.0,46.0,82.0,11.0,117.0,17.0,26.0,15.0,4.0,94.0,43.0,40.0,20.0,64.0,120.0,10.0,7.0,45.0,22.0,51.0,42.0,11.0,0.0,7.0,170.0,10.0,27.0,65.0,24.0,52.0,6.0,49.0,110.0,40.0,6.0,0.0,30.0,83.0,45.0,18.0,121.0,134.0,92.0,133.0,47.0,22.0,101.0,103.0,21.0,17.0,37.0,8.0,12.0,4.0,29.0,8.0,11.0,57.0,3.0,1.0,6.0,11.0,0.0,23.0,6.0,67.0,46.0,0.0,0.0,22.0,48.0,8.0,65.0,0.0,0.0,9.0,8.0,44.0,1.0,8.0,11.0,18.0,0.0,0.0,13.0,35.0,1.0,1.0
2,11277572.0,18.0,0.0,0.0,14.0,39.0,18.0,3.0,9.0,9.0,6.0,15.0,8.0,0.0,6.0,11.0,57.0,1.0,5.0,4.0,17.0,32.0,9.0,1.0,1.0,10.0,15.0,0.0,10.0,15.0,4.0,2.0,0.0,2.0,1.0,25.0,1.0,28.0,1.0,1.0,0.0,11.0,17.0,2.0,0.0,3.0,14.0,15.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,8.0,0.0,23.0,6.0,2.0,15.0,2.0,2.0,22.0,2.0,0.0,0.0,1.0,8.0,3.0,4.0,18.0,16.0,18.0,11.0,3.0,6.0,4.0,6.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,37.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,20.0,1.0,0.0,0.0,3.0,75.0,0.0,144.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
3,11688082.0,12.0,0.0,0.0,9.0,7.0,17.0,17.0,8.0,1.0,4.0,41.0,19.0,50.0,12.0,53.0,24.0,0.0,4.0,1.0,23.0,6.0,12.0,0.0,8.0,3.0,20.0,12.0,7.0,19.0,4.0,10.0,30.0,9.0,10.0,15.0,0.0,42.0,0.0,7.0,7.0,0.0,32.0,7.0,9.0,1.0,2.0,13.0,16.0,1.0,17.0,205.0,10.0,11.0,3.0,0.0,5.0,12.0,1.0,12.0,13.0,6.0,51.0,1.0,20.0,103.0,8.0,2.0,0.0,28.0,42.0,16.0,14.0,6.0,28.0,17.0,14.0,16.0,20.0,12.0,4.0,1.0,8.0,9.0,1.0,5.0,2.0,0.0,7.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,12.0,7.0,0.0,5.0,0.0,14.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,6.0,4.0,3.0,1.0
4,15292472.0,67.0,14.0,9.0,0.0,34.0,163.0,18.0,151.0,18.0,65.0,182.0,11.0,5.0,4.0,264.0,317.0,3.0,24.0,36.0,214.0,51.0,211.0,3.0,35.0,76.0,142.0,93.0,98.0,122.0,49.0,2.0,16.0,40.0,22.0,72.0,13.0,108.0,22.0,5.0,17.0,3.0,175.0,19.0,7.0,18.0,111.0,611.0,11.0,0.0,13.0,13.0,75.0,43.0,3.0,1.0,5.0,7.0,0.0,19.0,153.0,36.0,147.0,4.0,39.0,188.0,21.0,4.0,0.0,24.0,244.0,46.0,90.0,265.0,243.0,103.0,71.0,86.0,8.0,42.0,35.0,7.0,6.0,55.0,138.0,7.0,3.0,1.0,5.0,5.0,110.0,0.0,1.0,1.0,7.0,0.0,3.0,5.0,87.0,25.0,0.0,0.0,26.0,71.0,1.0,109.0,0.0,0.0,163.0,2.0,68.0,0.0,5.0,2.0,85.0,0.0,0.0,4.0,6.0,0.0,0.0
5,15439100.0,49.0,39.0,7.0,34.0,0.0,71.0,22.0,40.0,28.0,34.0,54.0,33.0,2.0,90.0,75.0,118.0,5.0,13.0,13.0,69.0,129.0,75.0,5.0,55.0,30.0,14.0,0.0,93.0,39.0,35.0,49.0,13.0,9.0,12.0,133.0,7.0,241.0,7.0,8.0,2.0,3.0,29.0,13.0,1.0,12.0,53.0,65.0,32.0,0.0,5.0,3.0,21.0,14.0,0.0,0.0,1.0,11.0,0.0,64.0,29.0,13.0,15.0,4.0,10.0,102.0,11.0,0.0,0.0,5.0,29.0,12.0,3.0,61.0,71.0,60.0,46.0,10.0,13.0,20.0,18.0,1.0,0.0,10.0,5.0,2.0,1.0,0.0,16.0,0.0,24.0,0.0,1.0,0.0,11.0,0.0,10.0,86.0,77.0,9.0,0.0,8.0,16.0,22.0,0.0,181.0,0.0,0.0,3.0,0.0,61.0,1.0,2.0,1.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0
6,16067592.0,143.0,18.0,17.0,163.0,71.0,0.0,84.0,196.0,49.0,54.0,431.0,57.0,15.0,4.0,316.0,344.0,12.0,41.0,37.0,316.0,100.0,279.0,5.0,49.0,124.0,299.0,18.0,254.0,197.0,93.0,1.0,34.0,33.0,53.0,118.0,13.0,189.0,13.0,21.0,54.0,3.0,280.0,27.0,22.0,26.0,94.0,359.0,13.0,0.0,13.0,21.0,67.0,40.0,0.0,0.0,20.0,87.0,0.0,54.0,302.0,65.0,184.0,3.0,83.0,393.0,23.0,3.0,0.0,91.0,287.0,111.0,237.0,315.0,500.0,258.0,141.0,202.0,18.0,52.0,84.0,9.0,3.0,197.0,33.0,18.0,24.0,9.0,26.0,22.0,158.0,5.0,1.0,8.0,21.0,0.0,14.0,8.0,162.0,49.0,0.0,1.0,33.0,148.0,4.0,118.0,0.0,0.0,7.0,2.0,131.0,0.0,12.0,5.0,149.0,4.0,0.0,4.0,26.0,2.0,0.0
7,16542687.0,34.0,3.0,17.0,18.0,22.0,84.0,0.0,32.0,7.0,13.0,63.0,141.0,1.0,15.0,78.0,65.0,5.0,6.0,7.0,63.0,45.0,84.0,0.0,18.0,30.0,24.0,7.0,52.0,35.0,21.0,16.0,18.0,8.0,9.0,52.0,4.0,159.0,2.0,2.0,4.0,2.0,38.0,6.0,7.0,7.0,15.0,36.0,38.0,2.0,3.0,2.0,11.0,3.0,1.0,0.0,5.0,11.0,0.0,9.0,22.0,9.0,15.0,0.0,17.0,70.0,14.0,1.0,0.0,13.0,61.0,19.0,6.0,63.0,53.0,69.0,23.0,17.0,3.0,11.0,14.0,3.0,1.0,16.0,5.0,2.0,4.0,0.0,1.0,3.0,18.0,1.0,0.0,1.0,2.0,0.0,5.0,26.0,20.0,10.0,0.0,12.0,27.0,12.0,0.0,22.0,0.0,0.0,3.0,1.0,14.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,8.0,0.0,0.0
8,17839398.0,85.0,9.0,8.0,151.0,40.0,196.0,32.0,0.0,18.0,48.0,219.0,13.0,6.0,2.0,242.0,244.0,2.0,31.0,36.0,293.0,63.0,144.0,3.0,31.0,85.0,125.0,4.0,164.0,121.0,45.0,3.0,11.0,29.0,23.0,94.0,8.0,143.0,11.0,4.0,8.0,3.0,83.0,22.0,3.0,17.0,69.0,286.0,8.0,0.0,8.0,9.0,55.0,31.0,0.0,0.0,7.0,7.0,0.0,28.0,161.0,36.0,102.0,1.0,42.0,227.0,31.0,0.0,0.0,18.0,161.0,102.0,62.0,268.0,223.0,156.0,76.0,94.0,3.0,31.0,28.0,6.0,1.0,60.0,42.0,4.0,8.0,0.0,5.0,2.0,151.0,0.0,2.0,1.0,7.0,0.0,2.0,3.0,126.0,20.0,0.0,1.0,53.0,45.0,0.0,69.0,0.0,0.0,6.0,0.0,98.0,0.0,6.0,3.0,75.0,0.0,0.0,1.0,10.0,0.0,0.0
9,18594520.0,23.0,9.0,1.0,18.0,28.0,49.0,7.0,18.0,0.0,6.0,33.0,2.0,0.0,1.0,21.0,47.0,1.0,3.0,3.0,28.0,24.0,20.0,5.0,1.0,17.0,23.0,13.0,21.0,17.0,10.0,1.0,8.0,9.0,9.0,20.0,2.0,27.0,0.0,3.0,4.0,0.0,24.0,7.0,9.0,3.0,19.0,27.0,4.0,0.0,12.0,5.0,16.0,7.0,2.0,0.0,3.0,11.0,3.0,18.0,20.0,8.0,19.0,0.0,6.0,53.0,8.0,1.0,0.0,10.0,26.0,14.0,16.0,26.0,37.0,15.0,16.0,23.0,10.0,14.0,15.0,3.0,4.0,14.0,5.0,3.0,2.0,1.0,5.0,2.0,7.0,0.0,1.0,1.0,5.0,0.0,2.0,4.0,15.0,11.0,0.0,0.0,1.0,28.0,2.0,38.0,0.0,0.0,3.0,1.0,5.0,0.0,1.0,6.0,10.0,0.0,0.0,2.0,7.0,0.0,0.0
