,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
0,-1.0,8220042.0,16838600.0,18452717.0,39953073.0,40546642.0,47847315.0,47962856.0,69128991.0,132158439.0,136668589.0,147036773.0,150121038.0,184478628.0,210824047.0,211993075.0,212973087.0,226702557.0,244071747.0,244511558.0,244679902.0,246003191.0,246580819.0,246875675.0,247012412.0,248575787.0,250650627.0,252379338.0,253542253.0,255007697.0,255408158.0,256097262.0,258019953.0,260046126.0,260744761.0,262067630.0,263022323.0,265393406.0,268234891.0,268358493.0,268444797.0,268982538.0,269938982.0,271791007.0,272100932.0,272308325.0,275005312.0,275115527.0,275122708.0,276866236.0,277428389.0,277483604.0,278466160.0,279265814.0,280868115.0,281553266.0,282636043.0,284165617.0,284642911.0,287606184.0,288941047.0,289514830.0,289856850.0,293414124.0,297864735.0,298112519.0,300547922.0,300752857.0,302144631.0,304181609.0,304677043.0,305078782.0,305549322.0,305809024.0,309041796.0,309246352.0,312669043.0,314831934.0,316144548.0,316432838.0,317262357.0,319244422.0,322281109.0,328867110.0,338067793.0,339034131.0,344839662.0,346880715.0,353142132.0,358918731.0,359179176.0,361466174.0,366222982.0,370131282.0,374701668.0,379753339.0,383602088.0,386609235.0,386653565.0,388082574.0,395517232.0,412663554.0,422088231.0,434689597.0,439896774.0,440363653.0
1,8220042.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16838600.0,1.0,0.0,44.0,13.0,8.0,114.0,21.0,27.0,23.0,12.0,61.0,8.0,8.0,11.0,10.0,75.0,30.0,27.0,21.0,15.0,24.0,111.0,45.0,135.0,0.0,3.0,27.0,6.0,48.0,34.0,4.0,28.0,22.0,3.0,13.0,86.0,5.0,12.0,2.0,4.0,1.0,4.0,8.0,5.0,16.0,30.0,13.0,13.0,2.0,13.0,28.0,12.0,1.0,58.0,7.0,8.0,2.0,36.0,11.0,16.0,26.0,19.0,6.0,2.0,5.0,2.0,10.0,9.0,34.0,0.0,6.0,1.0,10.0,17.0,1.0,8.0,12.0,1.0,31.0,1.0,13.0,132.0,3.0,2.0,18.0,2.0,60.0,24.0,10.0,19.0,12.0,19.0,3.0,6.0,0.0,70.0,2.0,4.0,0.0,22.0,8.0,0.0,5.0,26.0,21.0
3,18452717.0,1.0,44.0,0.0,8.0,63.0,107.0,385.0,7.0,16.0,5.0,13.0,9.0,3.0,11.0,26.0,315.0,17.0,46.0,5.0,1.0,13.0,67.0,27.0,65.0,0.0,1.0,11.0,0.0,183.0,15.0,0.0,16.0,20.0,1.0,8.0,89.0,6.0,4.0,4.0,6.0,2.0,5.0,29.0,1.0,9.0,74.0,4.0,4.0,6.0,4.0,3.0,6.0,4.0,30.0,4.0,6.0,1.0,30.0,10.0,15.0,34.0,13.0,5.0,1.0,3.0,6.0,3.0,14.0,18.0,0.0,4.0,0.0,4.0,25.0,0.0,13.0,304.0,3.0,16.0,1.0,6.0,153.0,0.0,1.0,9.0,15.0,48.0,8.0,7.0,8.0,2.0,8.0,2.0,4.0,0.0,50.0,0.0,39.0,16.0,5.0,6.0,0.0,4.0,31.0,9.0
4,39953073.0,0.0,13.0,8.0,0.0,2.0,13.0,4.0,6.0,2.0,4.0,10.0,1.0,13.0,10.0,4.0,5.0,38.0,5.0,13.0,4.0,13.0,25.0,13.0,4.0,0.0,0.0,11.0,2.0,4.0,8.0,4.0,7.0,6.0,58.0,4.0,5.0,40.0,12.0,3.0,3.0,1.0,10.0,1.0,4.0,10.0,3.0,177.0,7.0,76.0,69.0,82.0,12.0,10.0,127.0,8.0,2.0,3.0,84.0,8.0,3.0,11.0,4.0,1.0,57.0,22.0,0.0,125.0,1.0,11.0,0.0,7.0,65.0,180.0,0.0,0.0,4.0,2.0,2.0,9.0,0.0,3.0,3.0,0.0,14.0,348.0,0.0,13.0,2.0,10.0,6.0,4.0,19.0,1.0,2.0,0.0,11.0,0.0,1.0,0.0,23.0,3.0,2.0,4.0,8.0,10.0
5,40546642.0,0.0,8.0,63.0,2.0,0.0,26.0,61.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,164.0,5.0,5.0,1.0,1.0,2.0,9.0,4.0,5.0,0.0,0.0,2.0,0.0,92.0,7.0,0.0,5.0,5.0,0.0,1.0,10.0,2.0,0.0,1.0,1.0,1.0,3.0,6.0,0.0,4.0,28.0,1.0,1.0,2.0,0.0,1.0,3.0,2.0,9.0,1.0,1.0,0.0,9.0,2.0,4.0,9.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,32.0,0.0,4.0,1.0,1.0,39.0,0.0,0.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,8.0,0.0,25.0,1.0,2.0,2.0,0.0,0.0,5.0,1.0
6,47847315.0,0.0,114.0,107.0,13.0,26.0,0.0,53.0,21.0,107.0,2.0,45.0,10.0,6.0,5.0,10.0,232.0,19.0,19.0,5.0,6.0,19.0,101.0,41.0,87.0,0.0,1.0,17.0,0.0,96.0,47.0,0.0,27.0,28.0,3.0,3.0,177.0,8.0,4.0,0.0,1.0,0.0,3.0,18.0,1.0,10.0,68.0,8.0,1.0,6.0,3.0,14.0,8.0,7.0,67.0,2.0,6.0,2.0,56.0,3.0,11.0,49.0,14.0,2.0,5.0,6.0,0.0,11.0,8.0,30.0,0.0,1.0,1.0,9.0,12.0,0.0,9.0,21.0,2.0,31.0,1.0,4.0,215.0,2.0,2.0,15.0,8.0,47.0,56.0,6.0,21.0,3.0,10.0,0.0,2.0,0.0,109.0,0.0,22.0,3.0,6.0,9.0,1.0,1.0,37.0,22.0
7,47962856.0,8.0,21.0,385.0,4.0,61.0,53.0,0.0,0.0,11.0,3.0,0.0,6.0,4.0,2.0,30.0,214.0,9.0,6.0,4.0,3.0,5.0,32.0,4.0,13.0,0.0,2.0,9.0,1.0,197.0,1.0,0.0,12.0,4.0,0.0,7.0,63.0,3.0,1.0,4.0,4.0,1.0,7.0,23.0,3.0,1.0,117.0,1.0,5.0,1.0,0.0,2.0,7.0,3.0,7.0,4.0,2.0,1.0,8.0,6.0,11.0,15.0,10.0,3.0,0.0,1.0,3.0,0.0,91.0,14.0,0.0,4.0,0.0,1.0,3.0,0.0,11.0,89.0,1.0,1.0,0.0,4.0,223.0,1.0,0.0,7.0,138.0,9.0,5.0,4.0,0.0,3.0,2.0,1.0,3.0,1.0,72.0,0.0,27.0,30.0,1.0,0.0,0.0,4.0,24.0,4.0
8,69128991.0,0.0,27.0,7.0,6.0,1.0,21.0,0.0,0.0,1.0,7.0,13.0,5.0,7.0,1.0,4.0,7.0,15.0,1.0,44.0,5.0,7.0,21.0,15.0,12.0,0.0,1.0,11.0,3.0,5.0,8.0,0.0,21.0,3.0,1.0,5.0,11.0,0.0,12.0,0.0,2.0,1.0,2.0,1.0,0.0,9.0,1.0,6.0,9.0,4.0,8.0,26.0,7.0,0.0,32.0,3.0,2.0,0.0,7.0,14.0,4.0,6.0,4.0,0.0,1.0,1.0,0.0,8.0,0.0,16.0,1.0,5.0,3.0,6.0,3.0,0.0,6.0,0.0,1.0,10.0,0.0,7.0,10.0,4.0,1.0,12.0,0.0,17.0,3.0,3.0,4.0,8.0,8.0,1.0,3.0,0.0,13.0,0.0,2.0,0.0,38.0,2.0,0.0,2.0,7.0,44.0
9,132158439.0,4.0,23.0,16.0,2.0,3.0,107.0,11.0,1.0,0.0,0.0,13.0,2.0,1.0,3.0,4.0,15.0,2.0,5.0,0.0,3.0,4.0,33.0,12.0,31.0,0.0,0.0,3.0,0.0,19.0,14.0,0.0,6.0,6.0,0.0,0.0,41.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,4.0,7.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,14.0,0.0,2.0,0.0,9.0,1.0,2.0,14.0,3.0,0.0,0.0,4.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,3.0,5.0,0.0,3.0,1.0,3.0,7.0,0.0,1.0,48.0,0.0,0.0,1.0,2.0,13.0,15.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,16.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,6.0,3.0
10,136668589.0,0.0,12.0,5.0,4.0,1.0,2.0,3.0,7.0,0.0,0.0,3.0,48.0,9.0,1.0,60.0,1.0,82.0,0.0,34.0,24.0,3.0,2.0,5.0,3.0,6.0,27.0,50.0,23.0,8.0,2.0,3.0,9.0,0.0,1.0,61.0,4.0,1.0,7.0,36.0,44.0,23.0,65.0,1.0,55.0,8.0,0.0,6.0,61.0,1.0,9.0,17.0,28.0,0.0,15.0,60.0,3.0,21.0,17.0,48.0,47.0,4.0,42.0,33.0,1.0,0.0,36.0,4.0,1.0,48.0,0.0,29.0,0.0,3.0,0.0,8.0,54.0,1.0,1.0,4.0,0.0,80.0,2.0,4.0,2.0,6.0,0.0,8.0,0.0,60.0,1.0,50.0,52.0,33.0,38.0,0.0,9.0,18.0,0.0,0.0,12.0,2.0,0.0,38.0,29.0,9.0
11,147036773.0,0.0,61.0,13.0,10.0,3.0,45.0,0.0,13.0,13.0,3.0,0.0,0.0,3.0,6.0,4.0,26.0,12.0,13.0,7.0,2.0,18.0,51.0,28.0,57.0,0.0,1.0,10.0,0.0,58.0,15.0,1.0,9.0,9.0,1.0,0.0,41.0,1.0,6.0,1.0,1.0,0.0,2.0,0.0,3.0,6.0,9.0,10.0,1.0,5.0,6.0,15.0,5.0,1.0,29.0,2.0,3.0,0.0,23.0,6.0,2.0,6.0,8.0,0.0,1.0,2.0,0.0,17.0,1.0,10.0,0.0,1.0,4.0,2.0,9.0,0.0,5.0,2.0,1.0,13.0,0.0,0.0,41.0,1.0,2.0,11.0,2.0,22.0,7.0,3.0,5.0,1.0,6.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,10.0,5.0,0.0,2.0,9.0,6.0
