,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
0,-1.0,14795451.0,14819764.0,15898695.0,16131860.0,17738439.0,17922765.0,18086309.0,19110628.0,19899344.0,22926126.0,23412516.0,24892031.0,27968690.0,28096651.0,32418585.0,33530023.0,33608790.0,39473395.0,41197792.0,41777879.0,43902958.0,48959778.0,48984831.0,55863784.0,60472240.0,60598920.0,67208397.0,69049211.0,70983758.0,75055396.0,80791048.0,84669536.0,90500352.0,96441830.0,97932395.0,98361818.0,125656811.0,137917421.0,145746533.0,181974796.0,187708847.0,188770102.0,192269050.0,193964230.0,194008664.0,207320806.0,209651406.0,210585182.0,210824047.0,218198233.0,226702557.0,234901189.0,235372141.0,238280331.0,239737598.0,240697075.0,246567300.0,253451653.0,253750066.0,254134082.0,258536563.0,263022323.0,263871572.0,265588700.0,266393576.0,266562398.0,268234891.0,268236675.0,268445390.0,272100932.0,274052325.0,274246546.0,280185619.0,280596525.0,283718439.0,287606184.0,304073939.0,304181609.0,309041796.0,312669043.0,314966426.0,317262357.0,330229987.0,332961270.0,335432912.0,369028288.0,374701668.0,376061066.0,380534956.0,384671106.0,395689000.0,402037439.0,402793210.0,409731314.0,409763432.0,412663554.0,414655886.0,418992848.0,425840443.0,430977521.0,434689597.0,436738033.0
1,14795451.0,0.0,4.0,295.0,172.0,22.0,3.0,231.0,92.0,67.0,26.0,0.0,9.0,245.0,6.0,34.0,3.0,0.0,10.0,2.0,5.0,1.0,54.0,26.0,6.0,28.0,2.0,16.0,14.0,62.0,5.0,69.0,5.0,0.0,18.0,0.0,12.0,108.0,13.0,356.0,11.0,15.0,40.0,21.0,4.0,58.0,121.0,12.0,4.0,10.0,10.0,10.0,21.0,0.0,2.0,35.0,25.0,10.0,75.0,20.0,1.0,98.0,167.0,5.0,2.0,19.0,0.0,3.0,2.0,56.0,1.0,4.0,21.0,34.0,40.0,1.0,5.0,8.0,15.0,22.0,9.0,5.0,1.0,9.0,6.0,17.0,92.0,1.0,9.0,18.0,17.0,8.0,94.0,6.0,0.0,0.0,9.0,2.0,0.0,6.0,0.0,2.0,0.0
2,14819764.0,4.0,0.0,9.0,3.0,1.0,1.0,6.0,3.0,2.0,0.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,15898695.0,295.0,9.0,0.0,274.0,76.0,20.0,1275.0,186.0,183.0,38.0,0.0,27.0,298.0,26.0,72.0,3.0,0.0,21.0,3.0,11.0,3.0,97.0,38.0,12.0,69.0,0.0,94.0,91.0,163.0,12.0,132.0,15.0,5.0,51.0,0.0,39.0,134.0,28.0,95.0,39.0,41.0,117.0,13.0,30.0,123.0,153.0,18.0,6.0,12.0,19.0,24.0,17.0,0.0,19.0,99.0,154.0,23.0,146.0,21.0,2.0,209.0,327.0,20.0,1.0,30.0,4.0,5.0,4.0,92.0,5.0,7.0,35.0,67.0,40.0,2.0,7.0,14.0,24.0,34.0,13.0,10.0,1.0,31.0,14.0,26.0,129.0,6.0,56.0,13.0,47.0,20.0,134.0,21.0,0.0,0.0,11.0,6.0,6.0,7.0,0.0,8.0,0.0
4,16131860.0,172.0,3.0,274.0,0.0,63.0,18.0,247.0,96.0,103.0,12.0,0.0,12.0,178.0,28.0,66.0,2.0,0.0,14.0,2.0,13.0,3.0,116.0,35.0,6.0,14.0,4.0,33.0,28.0,148.0,13.0,66.0,24.0,2.0,38.0,0.0,34.0,104.0,20.0,92.0,11.0,23.0,40.0,12.0,7.0,94.0,102.0,64.0,138.0,53.0,10.0,41.0,24.0,0.0,23.0,83.0,45.0,66.0,144.0,43.0,25.0,302.0,158.0,18.0,11.0,33.0,10.0,82.0,100.0,157.0,6.0,26.0,55.0,148.0,30.0,4.0,23.0,25.0,43.0,97.0,18.0,17.0,1.0,84.0,15.0,129.0,76.0,9.0,26.0,51.0,103.0,61.0,248.0,1.0,2.0,3.0,16.0,6.0,9.0,6.0,0.0,4.0,1.0
5,17738439.0,22.0,1.0,76.0,63.0,0.0,8.0,40.0,31.0,20.0,1.0,0.0,12.0,29.0,11.0,21.0,1.0,0.0,7.0,1.0,13.0,2.0,34.0,15.0,6.0,9.0,0.0,11.0,13.0,47.0,6.0,26.0,3.0,3.0,15.0,0.0,22.0,16.0,2.0,19.0,5.0,18.0,24.0,17.0,1.0,36.0,19.0,16.0,13.0,5.0,0.0,22.0,8.0,0.0,5.0,31.0,24.0,27.0,37.0,16.0,4.0,58.0,51.0,6.0,3.0,15.0,3.0,12.0,12.0,16.0,3.0,3.0,24.0,25.0,8.0,2.0,10.0,10.0,27.0,17.0,9.0,4.0,1.0,12.0,9.0,26.0,22.0,5.0,12.0,6.0,25.0,17.0,38.0,5.0,0.0,0.0,2.0,4.0,1.0,2.0,0.0,1.0,0.0
6,17922765.0,3.0,1.0,20.0,18.0,8.0,0.0,8.0,12.0,7.0,0.0,0.0,8.0,3.0,1.0,5.0,1.0,0.0,2.0,0.0,2.0,5.0,7.0,4.0,0.0,6.0,0.0,5.0,4.0,21.0,1.0,4.0,122.0,0.0,8.0,0.0,2.0,1.0,5.0,2.0,0.0,0.0,7.0,0.0,0.0,11.0,4.0,10.0,13.0,7.0,0.0,9.0,0.0,0.0,59.0,16.0,7.0,12.0,9.0,2.0,3.0,25.0,9.0,4.0,1.0,5.0,2.0,9.0,11.0,2.0,3.0,2.0,2.0,8.0,6.0,0.0,4.0,4.0,7.0,5.0,1.0,1.0,0.0,7.0,3.0,14.0,8.0,1.0,4.0,4.0,23.0,6.0,6.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0
7,18086309.0,231.0,6.0,1275.0,247.0,40.0,8.0,0.0,125.0,108.0,44.0,0.0,113.0,295.0,24.0,67.0,1.0,0.0,10.0,0.0,7.0,0.0,107.0,39.0,9.0,40.0,0.0,142.0,170.0,74.0,16.0,197.0,11.0,3.0,54.0,0.0,31.0,97.0,36.0,91.0,24.0,21.0,92.0,13.0,48.0,87.0,109.0,14.0,5.0,9.0,17.0,18.0,16.0,0.0,4.0,69.0,138.0,17.0,111.0,24.0,1.0,156.0,249.0,14.0,0.0,33.0,2.0,5.0,2.0,77.0,3.0,3.0,31.0,52.0,26.0,3.0,7.0,17.0,22.0,34.0,14.0,9.0,1.0,23.0,11.0,19.0,154.0,4.0,59.0,14.0,40.0,16.0,119.0,6.0,0.0,0.0,8.0,9.0,4.0,5.0,0.0,7.0,0.0
8,19110628.0,92.0,3.0,186.0,96.0,31.0,12.0,125.0,0.0,40.0,12.0,0.0,12.0,83.0,9.0,26.0,4.0,0.0,9.0,1.0,7.0,3.0,85.0,32.0,16.0,37.0,0.0,21.0,15.0,68.0,12.0,81.0,7.0,2.0,29.0,0.0,22.0,39.0,23.0,40.0,6.0,18.0,36.0,7.0,5.0,79.0,43.0,19.0,3.0,14.0,7.0,44.0,17.0,0.0,3.0,38.0,37.0,9.0,98.0,40.0,0.0,100.0,166.0,33.0,3.0,25.0,1.0,1.0,2.0,33.0,14.0,4.0,25.0,46.0,26.0,3.0,23.0,42.0,37.0,25.0,33.0,6.0,1.0,18.0,13.0,19.0,77.0,12.0,11.0,28.0,24.0,13.0,71.0,0.0,0.0,1.0,9.0,18.0,2.0,6.0,0.0,22.0,0.0
9,19899344.0,67.0,2.0,183.0,103.0,20.0,7.0,108.0,40.0,0.0,2.0,0.0,8.0,37.0,12.0,8.0,0.0,0.0,8.0,1.0,9.0,2.0,44.0,13.0,2.0,30.0,0.0,19.0,11.0,78.0,6.0,28.0,4.0,2.0,21.0,0.0,7.0,22.0,109.0,9.0,7.0,19.0,17.0,3.0,6.0,32.0,39.0,7.0,2.0,3.0,50.0,4.0,16.0,0.0,10.0,26.0,27.0,6.0,47.0,3.0,2.0,61.0,46.0,0.0,2.0,13.0,0.0,2.0,1.0,21.0,0.0,2.0,13.0,10.0,8.0,1.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,4.0,6.0,10.0,67.0,1.0,23.0,6.0,9.0,10.0,26.0,8.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0
