,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,-1.0,820694.0,11277572.0,15735038.0,16010284.0,17243582.0,18561093.0,20439936.0,21536937.0,25805634.0,34240147.0,49052075.0,51008496.0,52696957.0,57811254.0,58430383.0,73525922.0,78874298.0,97534492.0,180261346.0,194008664.0,194920096.0,210824047.0,219260808.0,238169051.0,243483518.0,244152633.0,246476333.0,256659219.0,258047934.0,260046126.0,260706920.0,261905897.0,263022323.0,268870600.0,271618974.0,271791007.0,274246546.0,278431499.0,279039469.0,281037352.0,281628306.0,292801277.0,292999669.0,293967375.0,295123952.0,295125390.0,298347324.0,302144631.0,305840713.0,317262357.0,329409390.0,335022271.0,349146547.0,362118201.0,369028288.0,370501016.0,376061066.0,379883562.0,383602088.0,388440784.0,388466657.0,402037439.0,405452697.0,412663554.0,444814270.0
1,820694.0,0.0,12.0,15.0,38.0,123.0,22.0,17.0,131.0,1.0,22.0,0.0,2.0,28.0,19.0,1.0,23.0,23.0,42.0,30.0,15.0,7.0,1.0,13.0,39.0,63.0,7.0,3.0,13.0,7.0,2.0,50.0,4.0,81.0,0.0,15.0,50.0,4.0,0.0,1.0,17.0,7.0,0.0,0.0,43.0,4.0,6.0,0.0,4.0,0.0,0.0,15.0,0.0,7.0,0.0,63.0,3.0,32.0,50.0,36.0,0.0,19.0,4.0,13.0,0.0,0.0
2,11277572.0,12.0,0.0,4.0,8.0,11.0,13.0,6.0,33.0,0.0,13.0,0.0,1.0,15.0,2.0,1.0,3.0,7.0,7.0,39.0,7.0,12.0,0.0,2.0,10.0,9.0,15.0,2.0,3.0,2.0,0.0,18.0,0.0,18.0,0.0,3.0,8.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,18.0,1.0,3.0,0.0,37.0,0.0,0.0,0.0,0.0,1.0,1.0,144.0,11.0,3.0,48.0,31.0,0.0,6.0,3.0,4.0,1.0,0.0
3,15735038.0,15.0,4.0,0.0,35.0,118.0,69.0,42.0,13.0,0.0,107.0,0.0,6.0,42.0,30.0,1.0,71.0,12.0,67.0,6.0,29.0,17.0,4.0,11.0,10.0,16.0,48.0,6.0,6.0,54.0,7.0,85.0,5.0,35.0,0.0,13.0,4.0,14.0,1.0,13.0,3.0,12.0,2.0,2.0,11.0,33.0,44.0,0.0,0.0,0.0,0.0,4.0,1.0,24.0,1.0,30.0,0.0,13.0,40.0,29.0,0.0,25.0,41.0,3.0,4.0,0.0
4,16010284.0,38.0,8.0,35.0,0.0,189.0,126.0,50.0,41.0,5.0,110.0,4.0,14.0,80.0,54.0,2.0,71.0,35.0,90.0,31.0,62.0,23.0,4.0,23.0,54.0,36.0,47.0,32.0,25.0,31.0,15.0,123.0,17.0,80.0,1.0,35.0,20.0,22.0,1.0,16.0,2.0,24.0,1.0,3.0,16.0,7.0,30.0,0.0,1.0,0.0,1.0,8.0,1.0,32.0,1.0,29.0,0.0,24.0,70.0,58.0,0.0,64.0,53.0,5.0,6.0,0.0
5,17243582.0,123.0,11.0,118.0,189.0,0.0,308.0,84.0,88.0,4.0,650.0,2.0,31.0,141.0,294.0,1.0,198.0,39.0,185.0,23.0,98.0,32.0,13.0,30.0,104.0,38.0,169.0,23.0,27.0,39.0,25.0,500.0,14.0,200.0,0.0,37.0,19.0,17.0,2.0,42.0,4.0,39.0,4.0,8.0,18.0,9.0,45.0,1.0,12.0,0.0,0.0,10.0,0.0,20.0,9.0,61.0,3.0,26.0,162.0,50.0,0.0,83.0,208.0,14.0,7.0,0.0
6,18561093.0,22.0,13.0,69.0,126.0,308.0,0.0,86.0,47.0,4.0,437.0,8.0,30.0,229.0,105.0,3.0,206.0,65.0,172.0,47.0,110.0,43.0,13.0,29.0,100.0,25.0,176.0,23.0,32.0,51.0,33.0,307.0,18.0,166.0,0.0,34.0,17.0,36.0,2.0,42.0,5.0,46.0,8.0,7.0,21.0,14.0,58.0,1.0,17.0,0.0,1.0,10.0,0.0,42.0,15.0,97.0,9.0,26.0,120.0,66.0,0.0,80.0,208.0,7.0,11.0,0.0
7,20439936.0,17.0,6.0,42.0,50.0,84.0,86.0,0.0,29.0,5.0,129.0,4.0,24.0,54.0,55.0,1.0,34.0,19.0,128.0,22.0,65.0,16.0,18.0,15.0,54.0,19.0,93.0,15.0,19.0,70.0,22.0,87.0,16.0,86.0,3.0,18.0,16.0,14.0,1.0,38.0,7.0,41.0,1.0,5.0,18.0,40.0,66.0,5.0,5.0,1.0,1.0,7.0,3.0,28.0,5.0,26.0,2.0,8.0,41.0,39.0,0.0,40.0,76.0,8.0,8.0,0.0
8,21536937.0,131.0,33.0,13.0,41.0,88.0,47.0,29.0,0.0,2.0,37.0,4.0,5.0,39.0,20.0,1.0,19.0,23.0,47.0,41.0,34.0,18.0,3.0,14.0,65.0,72.0,23.0,10.0,13.0,11.0,4.0,58.0,17.0,141.0,0.0,18.0,71.0,11.0,0.0,12.0,11.0,7.0,2.0,0.0,77.0,3.0,13.0,1.0,10.0,0.0,1.0,25.0,2.0,9.0,1.0,147.0,2.0,26.0,186.0,84.0,0.0,36.0,17.0,38.0,3.0,0.0
9,25805634.0,1.0,0.0,0.0,5.0,4.0,4.0,5.0,2.0,0.0,2.0,2.0,0.0,4.0,1.0,0.0,3.0,3.0,4.0,1.0,4.0,4.0,0.0,2.0,3.0,1.0,3.0,1.0,4.0,0.0,1.0,5.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0
